ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSG00000000003.14|TSPAN6	TSPAN6	-1.04209680984458	-0.0594893088976258	0.624052925622134	0.999990107311892	-0.204778576453906
ENSG00000000419.12|DPM1	DPM1	-1.07003167754319	-0.0976535072413671	0.34591070697075	0.999990107311892	-0.461035995064712
ENSG00000000457.14|SCYL3	SCYL3	-1.01168702521874	-0.0167630479376561	0.900426392348377	0.999990107311892	-0.0455517839033246
ENSG00000000460.17|C1orf112	C1orf112	-1.0469493355976	-0.0661916284667711	0.660899358170138	0.999990107311892	-0.179864669892776
ENSG00000001084.12|GCLC	GCLC	-1.07358921503092	-0.102442083823273	0.472443956471275	0.999990107311892	-0.325649702157557
ENSG00000001167.14|NFYA	NFYA	-1.05305582975601	-0.0745819256105046	0.431846688533046	0.999990107311892	-0.364670406290479
ENSG00000001460.18|STPG1	STPG1	1.21963819857225	0.286453240789713	0.226024971570015	0.999990107311892	0.645843576711213
ENSG00000001461.17|NIPAL3	NIPAL3	-1.02587680692741	-0.0368574943895275	0.667553549388316	0.999990107311892	-0.175513890606002
ENSG00000001497.16|LAS1L	LAS1L	-1.0641116424181	-0.0896495206825617	0.444424997157246	0.999990107311892	-0.352201521688546
ENSG00000001561.7|ENPP4	ENPP4	-1.00146014237881	-0.00210500374003696	0.99262923140121	0.999990107311892	-0.00321293964714046
ENSG00000001617.12|SEMA3F	SEMA3F	1.27297711595544	0.348206484444024	0.470368114350384	0.999990107311892	0.327562126198565
ENSG00000001629.10|ANKIB1	ANKIB1	-1.01254310042868	-0.0179833198010094	0.83429184930527	0.999990107311892	-0.0786819992773022
ENSG00000001630.17|CYP51A1	CYP51A1	-1.04122666883571	-0.058284168933319	0.426776402428837	0.999990107311892	-0.369799601848937
ENSG00000001631.15|KRIT1	KRIT1	1.00908376430206	0.0130459379004747	0.912104800424813	0.999990107311892	0.0399552585670724
ENSG00000002016.17|RAD52	RAD52	1.07600822079171	0.105689100245952	0.558623776797717	0.999990107311892	0.252880583292575
ENSG00000002330.13|BAD	BAD	1.08720591241212	0.120625206862218	0.33864825372982	0.999990107311892	0.470251159530404
ENSG00000002549.12|LAP3	LAP3	1.00393166665598	0.00566107453612218	0.953304840226982	0.999990107311892	0.0207682019232625
ENSG00000002586.20|CD99	CD99	-1.01823961479686	-0.0260771001184181	0.753800148506066	0.999990107311892	-0.122743781326108
ENSG00000002586.20|PAR|Y|CD99	CD99	-1.01823961479686	-0.0260771001184181	0.753800148506066	0.999990107311892	-0.122743781326108
ENSG00000002822.15|MAD1L1	MAD1L1	1.00211171247826	0.00304334491520088	0.986360001838278	0.999990107311892	0.00596454725288139
ENSG00000002834.18|LASP1	LASP1	-1.00201039078023	-0.00289746926104349	0.969017090447317	0.999990107311892	-0.013668563277914
ENSG00000002919.14|SNX11	SNX11	-1.04662977210201	-0.0657512030992944	0.592257051924065	0.999990107311892	-0.227489759489157
ENSG00000003056.8|M6PR	M6PR	1.03584102086828	0.0508025976144258	0.490297526473867	0.999990107311892	0.309540297741911
ENSG00000003096.14|KLHL13	KLHL13	1.0209863007448	0.0299635087425179	0.720638817463511	0.999990107311892	0.142282348158275
ENSG00000003147.19|ICA1	ICA1	-1.02952293516222	-0.0419759699179412	0.886467904447844	0.999990107311892	-0.0523369838910713
ENSG00000003249.13|DBNDD1	DBNDD1	1.00078384538208	0.00113040687129678	0.994805142059569	0.999990107311892	0.00226197856663206
