ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSG00000000003.14|TSPAN6	TSPAN6	1.09742853831667	0.134126998282001	0.244772467800981	0.568619876422481	0.611237433563055
ENSG00000000419.12|DPM1	DPM1	-1.18868910661074	-0.249371437539389	0.024497877297905	0.14393661971816	-1.61087154493118
ENSG00000000457.14|SCYL3	SCYL3	1.05230810491268	0.0735571726440401	0.666673074040732	0.875200193440122	0.176087085044939
ENSG00000000460.17|C1orf112	C1orf112	-1.11185800352991	-0.152972551834853	0.218080956817604	0.538484989413691	-0.661382256063262
ENSG00000001036.13|FUCA2	FUCA2	1.04192122226371	0.0592462022364872	0.452273416159914	0.747831299430161	0.344598938573679
ENSG00000001084.12|GCLC	GCLC	1.07466443473975	0.103886246873102	0.45849075027864	0.751929359496681	0.338669421484618
ENSG00000001167.14|NFYA	NFYA	-1.22591800649002	-0.293862489969953	0.00202177639198249	0.0244996369498393	-2.69426687896173
ENSG00000001460.18|STPG1	STPG1	1.39346816868913	0.478680047006597	0.0150499430946699	0.104434629708789	1.82246514217762
ENSG00000001461.17|NIPAL3	NIPAL3	1.6557846055932	0.727515010606764	5.22592056887882e-11	7.05408391223530e-09	10.281837195596
ENSG00000001497.16|LAS1L	LAS1L	-1.04398520048873	-0.0621012604395521	0.490920694927772	0.775314065252193	-0.308988659683605
ENSG00000001629.10|ANKIB1	ANKIB1	-1.14150040536175	-0.190931371882613	0.0210884621013018	0.13078553623592	-1.67595509049624
ENSG00000001630.17|CYP51A1	CYP51A1	-1.11637906386762	-0.158826974036877	0.0338322380138383	0.177710298308454	-1.47066927253682
ENSG00000001631.15|KRIT1	KRIT1	-1.07097167214797	-0.0989203204316449	0.344726840784403	0.663727453798542	-0.462524900663016
ENSG00000002016.17|RAD52	RAD52	1.00684659385529	0.00984388677695681	0.938968679280637	0.980532176822962	0.0273488940410782
ENSG00000002330.13|BAD	BAD	1.18360538203198	0.243188161811083	0.136373588363238	0.423385442432508	0.865269731869994
ENSG00000002549.12|LAP3	LAP3	1.10796823075668	0.14791651497295	0.166775454016964	0.472246510891158	0.777867868383107
ENSG00000002586.20|CD99	CD99	-1.35967236847726	-0.443259056389636	1.0517028831328e-06	4.75273580829437e-05	-5.97810693550663
ENSG00000002586.20|PAR|Y|CD99	CD99	-1.35967236847726	-0.443259056389636	1.0517028831328e-06	4.75273580829437e-05	-5.97810693550663
ENSG00000002587.10|HS3ST1	HS3ST1	1.55170554703063	0.633854816454235	0.00183029843258064	0.0227475761160523	2.73747809220614
ENSG00000002746.15|HECW1	HECW1	1.2152478922819	0.281250631927702	0.161015135808509	0.463444061222743	0.793133297327483
ENSG00000002822.15|MAD1L1	MAD1L1	-1.12755903690182	-0.17320297229725	0.289515892885419	0.616144119174714	-0.538327590820867
ENSG00000002834.18|LASP1	LASP1	-1.06667891775677	-0.093125974221578	0.208476973304437	0.525029842558016	-0.680941906728974
ENSG00000002919.14|SNX11	SNX11	1.14060664127218	0.189801338050437	0.189949313384185	0.502490507319735	0.721362271964479
