ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSG00000000003.14|TSPAN6	TSPAN6	-1.05419557697343	-0.0761425441617858	0.468564639727257	0.790976128275462	-0.329230488574665
ENSG00000000419.12|DPM1	DPM1	-1.10189649876978	-0.139988717807254	0.106352273612231	0.40522436907258	-0.973253221260159
ENSG00000000457.14|SCYL3	SCYL3	-1.09363895235094	-0.129136533721158	0.472956018344067	0.793222871437481	-0.325179243783498
ENSG00000000460.17|C1orf112	C1orf112	1.37474144105058	0.459160304607813	6.19175647335947e-05	0.00182134135222847	4.20818613313201
ENSG00000001036.13|FUCA2	FUCA2	-1.00607774899499	-0.00874179992998503	0.918313115991964	0.978138928203243	-0.0370092127403307
ENSG00000001084.12|GCLC	GCLC	-1.09403853137025	-0.129663549865259	0.242440865502334	0.605243256579988	-0.61539417424866
ENSG00000001167.14|NFYA	NFYA	-1.07052069387943	-0.0983126842509119	0.209239264984985	0.565916374928001	-0.679356814230177
ENSG00000001460.18|STPG1	STPG1	1.44813758656311	0.534198678403532	0.0801830748233086	0.348379042120312	1.0959172936431
ENSG00000001461.17|NIPAL3	NIPAL3	1.07675202643387	0.10668603871638	0.190500245164819	0.543533616507363	0.720104461071514
ENSG00000001497.16|LAS1L	LAS1L	1.05273260654509	0.0741390392130681	0.292476122208039	0.656155237412263	0.533909583997462
ENSG00000001561.7|ENPP4	ENPP4	-1.08183253962012	-0.113477196986163	0.526610466511035	0.822520830118457	-0.278510513435771
ENSG00000001629.10|ANKIB1	ANKIB1	-1.05945935284039	-0.0833282384127711	0.259934473865498	0.624653514663649	-0.585136118280088
ENSG00000001630.17|CYP51A1	CYP51A1	-1.0800474411531	-0.11109468425273	0.119248384365963	0.431662816009667	-0.923547496276949
ENSG00000001631.15|KRIT1	KRIT1	-1.07206763689735	-0.100395928499212	0.201570099660509	0.55726136532125	-0.695573889466197
ENSG00000002016.17|RAD52	RAD52	-1.09291386531097	-0.128179703859401	0.282104949226186	0.645887937903419	-0.549589294550881
ENSG00000002330.13|BAD	BAD	1.16343669196399	0.218392709089191	0.0714071857121146	0.325801706321029	1.14625808292837
ENSG00000002549.12|LAP3	LAP3	1.00915431841822	0.0131468061522515	0.860182891165736	0.960842591195769	0.0654091997105544
ENSG00000002586.20|CD99	CD99	-1.21745900108598	-0.283873189206284	0.000666593487572466	0.0125846868139952	-3.17613893358752
ENSG00000002586.20|PAR|Y|CD99	PAR	-1.21745900108598	-0.283873189206284	0.000666593487572466	0.0125846868139952	-3.17613893358752
ENSG00000002587.10|HS3ST1	HS3ST1	-1.06224739707152	-0.0871198084790494	0.417851215226359	0.757319503590983	-0.378978330447066
ENSG00000002822.15|MAD1L1	MAD1L1	-1.1963337360356	-0.258619908063766	0.01719335856603	0.140443431254202	-1.76463927955368
ENSG00000002834.18|LASP1	LASP1	1.07645506545242	0.106288098230667	0.0881501080264203	0.367735304308426	1.05477715114402
ENSG00000002919.14|SNX11	SNX11	1.10744123834581	0.147230150341314	0.212550941982148	0.56964083589029	0.67253696598859
ENSG00000003056.8|M6PR	M6PR	-1.03294401238345	-0.0467620593861833	0.545333905544584	0.833361332367011	-0.263337499684985
ENSG00000003096.14|KLHL13	KLHL13	-1.01289958553517	-0.0184911587086676	0.805969855901701	0.944817158249277	-0.0936812009497063
ENSG00000003137.8|CYP26B1	CYP26B1	-1.04350734822971	-0.0614407597859419	0.828218956253497	0.950447744665231	-0.081854833599305
ENSG00000003147.19|ICA1	ICA1	-1.00217771262787	-0.0031383592253853	0.972351067438308	0.993718852017914	-0.0121769046993725
ENSG00000003249.13|DBNDD1	DBNDD1	1.21309954451278	0.278697939974085	0.00411327184315403	0.0520063198350934	2.38581258733488
ENSG00000003393.15|ALS2	ALS2	1.00013836830021	0.000199609451033922	0.99787486518253	0.999261415238364	0.000923916396064304
ENSG00000003402.20|CFLAR	CFLAR	1.05864852570969	0.0822236900094904	0.281732121801213	0.645859793319151	0.550163633931125
ENSG00000003436.16|TFPI	TFPI	-1.24927261545356	-0.321088335270016	5.85066840340587e-05	0.00173387565487851	-4.23279451557104
ENSG00000003509.16|NDUFAF7	NDUFAF7	1.05350721717141	0.0752001975360859	0.505077014278776	0.811511558714025	0.296642395492871
ENSG00000003756.16|RBM5	RBM5	-1.00652003805474	-0.00937589408184802	0.889454576339864	0.970257156700729	-0.050876226049604
