ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSG00000000003.14|TSPAN6	TSPAN6	-1.36959877286624	-0.453753314225683	2.07197119613571e-05	0.000821450247134637	-4.68361628630435
ENSG00000000419.12|DPM1	DPM1	1.08502101139998	0.117722980687312	0.123816097981761	0.295476652002636	0.907222886736391
ENSG00000000457.14|SCYL3	SCYL3	-1.07432718257569	-0.103433427955903	0.395806644617499	0.600534219419654	-0.40251691933505
ENSG00000000460.17|C1orf112	C1orf112	1.26985573901367	0.344664610043859	0.00105889058079216	0.0117411144952512	2.97514891488148
ENSG00000001036.13|FUCA2	FUCA2	-1.0062159203166	-0.00893992119213216	0.886101641692058	0.940267051865888	-0.0525164588192903
ENSG00000001084.12|GCLC	GCLC	-1.15176828774843	-0.203850505200219	0.0801615435620958	0.224521641691251	-1.09603392877665
ENSG00000001167.14|NFYA	NFYA	-1.16009273360807	-0.214240133774521	0.00695845106679081	0.0435589880924438	-2.15748742245983
ENSG00000001461.17|NIPAL3	NIPAL3	1.55364830743116	0.63565996413949	9.85900082133665e-05	0.00228883881094559	4.00616709720568
ENSG00000001497.16|LAS1L	LAS1L	-1.11035220571043	-0.151017374624159	0.0229088321000577	0.098493097964213	-1.63999705072457
ENSG00000001617.12|SEMA3F	SEMA3F	2.24160730967053	1.16453356538183	0.0179078203070306	0.0835515342795691	1.74695727212066
ENSG00000001629.10|ANKIB1	ANKIB1	-1.08369036193196	-0.115952600678987	0.0693467476937914	0.204243545538843	-1.15897390217196
ENSG00000001630.17|CYP51A1	CYP51A1	-1.03059492478293	-0.0434773929960448	0.55193621525981	0.72808162053164	-0.258111108794881
ENSG00000001631.15|KRIT1	KRIT1	1.00173147982544	0.00249583723466351	0.969522580773467	0.984328894277777	0.0134420714835627
ENSG00000002016.17|RAD52	RAD52	1.02360983287347	0.0336659111942339	0.777723446279767	0.877886983477658	0.109174808031588
ENSG00000002330.13|BAD	BAD	1.13095707167436	0.177544169241175	0.207498207923333	0.406871808014531	0.682985649758484
ENSG00000002549.12|LAP3	LAP3	1.04589974587892	0.0647445695054083	0.309346474615498	0.51903441457593	0.509554828936884
ENSG00000002586.20|CD99	CD99	-1.16265239127546	-0.217419825664432	0.0395259507250801	0.141686619693577	-1.40311767510378
ENSG00000002586.20|PAR|Y|CD99	PAR	-1.16265239127546	-0.217419825664432	0.0395259507250801	0.141686619693577	-1.40311767510378
ENSG00000002822.15|MAD1L1	MAD1L1	1.00775779387198	0.011148940854067	0.896560224469961	0.946023901949729	0.0474205323410596
ENSG00000002834.18|LASP1	LASP1	1.11820968337627	0.161190743460639	0.00952166283247922	0.0541898298922107	2.02128720120496
ENSG00000002919.14|SNX11	SNX11	-1.01139208060612	-0.0163423870433173	0.871926036931756	0.93180755323245	-0.0595203535017953
ENSG00000003056.8|M6PR	M6PR	-1.0137408632923	-0.0196889116881289	0.716289439907964	0.839993100690097	-0.144911451498793
ENSG00000003096.14|KLHL13	KLHL13	-1.18220694719595	-0.241482603671073	0.02390021205713	0.101484268613081	-1.62159824571158
ENSG00000003147.19|ICA1	ICA1	1.05756890740698	0.0807516672559481	0.556458078265714	0.731185722727191	0.254567548424798
ENSG00000003249.13|DBNDD1	DBNDD1	-1.11577847474214	-0.158050624734591	0.115843781150834	0.283219162396065	-0.936127275506886
ENSG00000003393.15|ALS2	ALS2	-1.01346633123159	-0.0192981612546799	0.833817870180325	0.909003683890521	-0.0789288014170372
ENSG00000003402.20|CFLAR	CFLAR	1.12601722552587	0.171228897569712	0.0423415441016114	0.148381225612455	1.37323330827736
ENSG00000003509.16|NDUFAF7	NDUFAF7	1.17194129375288	0.228900302411287	0.0298891003211298	0.117372517649894	1.52448715727418
