ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSG00000000003.14|TSPAN6	TSPAN6	-1.07971063424677	-0.110644717506011	0.222346122563828	0.565581240560922	-0.652970439697468
ENSG00000000419.12|DPM1	DPM1	1.01349937236274	0.0193451953766512	0.819318817344577	0.934315266639202	0.0865470705585627
ENSG00000000457.14|SCYL3	SCYL3	-1.08823222035558	-0.121986449425729	0.304296232933092	0.644020494635164	-0.516703424002325
ENSG00000000460.17|C1orf112	C1orf112	1.04255056545143	0.0601173584966803	0.50214256086356	0.782327579273966	0.299172966905217
ENSG00000001036.13|FUCA2	FUCA2	-1.03551313566762	-0.0503458545167472	0.444428009187985	0.747918166713642	-0.352198578325988
ENSG00000001084.12|GCLC	GCLC	-1.15759044441218	-0.211124917984295	0.0423133374343604	0.284248890260405	-1.37352271864971
ENSG00000001167.14|NFYA	NFYA	-1.12531779429806	-0.170332481898665	0.098271010337093	0.404459600923275	-1.00757457888673
ENSG00000001461.17|NIPAL3	NIPAL3	1.48406484485945	0.56955413057954	0.000609381567696046	0.0360871076839078	3.21511068626195
ENSG00000001497.16|LAS1L	LAS1L	1.01645244275318	0.0235427166984623	0.777569750271552	0.916656062645018	0.109260643073654
ENSG00000001629.10|ANKIB1	ANKIB1	-1.04416719433395	-0.0623527378885056	0.454556652748905	0.754008649893515	-0.342411981654474
ENSG00000001630.17|CYP51A1	CYP51A1	-1.06464007775583	-0.090365781813083	0.164723538515549	0.498554047073763	-0.78324433697483
ENSG00000001631.15|KRIT1	KRIT1	-1.01260959781412	-0.0180780637166782	0.834083124163095	0.938701693058926	-0.0787906657094841
ENSG00000002016.17|RAD52	RAD52	1.05865267035252	0.0822293381956531	0.49916178657865	0.780536870343309	0.301758669546107
ENSG00000002330.13|BAD	BAD	-1.02238836943392	-0.031943329567103	0.83306756895753	0.938483836792492	-0.0793197721402569
ENSG00000002549.12|LAP3	LAP3	1.01013588855285	0.0145493846148783	0.826833058251237	0.936222135453324	0.0825821678344442
ENSG00000002586.20|CD99	CD99	-1.06398932674542	-0.0894836787256716	0.366281193967849	0.692373309657397	-0.436185378811991
ENSG00000002586.20|PAR|Y|CD99	PAR	-1.06398932674542	-0.0894836787256716	0.366281193967849	0.692373309657397	-0.436185378811991
ENSG00000002822.15|MAD1L1	MAD1L1	-1.08839547806555	-0.122202867777077	0.30659273769625	0.64630454303247	-0.513438136552089
ENSG00000002834.18|LASP1	LASP1	1.19653684185987	0.258864818732033	0.000987185162431865	0.0449694968815486	3.00560138078489
ENSG00000002919.14|SNX11	SNX11	1.04342532450661	0.0613273539054831	0.630929533902371	0.852291808518583	0.20001914273093
ENSG00000003056.8|M6PR	M6PR	-1.02238430154733	-0.0319375893497256	0.587691267788605	0.831249294397211	-0.230850762202732
ENSG00000003096.14|KLHL13	KLHL13	-1.2334201197006	-0.302664285039353	0.00490243506096251	0.103097786740555	-2.30958815040927
ENSG00000003147.19|ICA1	ICA1	-1.1087721332452	-0.14896290380875	0.298150128151262	0.637054888030111	-0.525564999649203
ENSG00000003249.13|DBNDD1	DBNDD1	1.02318622738176	0.0330687500380469	0.716594680300565	0.892093167253218	0.144726420178679
ENSG00000003393.15|ALS2	ALS2	1.03711425733466	0.0525748424729873	0.64622228992221	0.858749094522515	0.189618066090481
ENSG00000003402.20|CFLAR	CFLAR	1.07948929058907	0.110348930724307	0.170461447387509	0.506274205317661	0.768373828284951
ENSG00000003509.16|NDUFAF7	NDUFAF7	-1.03071977021957	-0.0436521493231306	0.653053592954249	0.86169879326923	-0.185051176811856
ENSG00000003756.16|RBM5	RBM5	1.15017193882831	0.201849545302831	0.00499136991640911	0.103574289222306	2.30178024285638
ENSG00000003987.14|MTMR7	MTMR7	-1.55732913340487	-0.639073882727848	0.123682419094678	0.440821557057006	-0.907692029011168
ENSG00000003989.17|SLC7A2	SLC7A2	-1.31766581053099	-0.39798451706493	0.0283008250173842	0.238635160346476	-1.54820090386529
ENSG00000004059.11|ARF5	ARF5	1.01881236315438	0.0268883717460406	0.680953424093153	0.873647185298081	0.166882591980143
ENSG00000004139.14|SARM1	SARM1	1.03976315886297	0.0562549433215862	0.521222354095745	0.794447958919761	0.282976966612093
ENSG00000004142.12|POLDIP2	POLDIP2	1.005998245114	0.00862778847591361	0.882902156116143	0.95898845488972	0.0540874225983278
ENSG00000004399.12|PLXND1	PLXND1	1.06992717673213	0.0975126047172807	0.244604339123364	0.592911367991567	0.61153584312713
ENSG00000004455.16|AK2	AK2	-1.09663730852075	-0.13308646127724	0.0374880295057103	0.26855640575223	-1.42610738692674
ENSG00000004478.8|FKBP4	FKBP4	-1.01461226641527	-0.0209285075189092	0.727083701107518	0.895856408459157	-0.138415590741095
ENSG00000004487.16|KDM1A	KDM1A	-1.00258713885664	-0.0037276325235851	0.947871598133494	0.981565362478918	-0.0232504896650175
ENSG00000004534.15|RBM6	RBM6	-1.002479676766	-0.0035729892726124	0.961969874452527	0.985590242011283	-0.0168385283404535
ENSG00000004660.14|CAMKK1	CAMKK1	1.27719336244648	0.352976960377021	0.0807536222964181	0.372376017519602	1.09283798778246
ENSG00000004700.16|RECQL	RECQL	1.12137555391196	0.165269524377894	0.047999091609746	0.298713671657924	1.31876698163707
ENSG00000004766.17|VPS50	VPS50	-1.06402270005738	-0.0895289298906645	0.413922567839363	0.725873095332878	-0.383080894399163
ENSG00000004776.13|HSPB6	HSPB6	1.129371184198	0.175519726670021	0.690696049904463	0.87893085843921	0.160713027719928
ENSG00000004777.18|ARHGAP33	ARHGAP33	1.07692577557712	0.106918819151438	0.50230520677253	0.782396891115493	0.299032320027075
ENSG00000004779.10|NDUFAB1	NDUFAB1	-1.07269997455356	-0.101246622460029	0.180347136184459	0.51728853499108	-0.743890749653694
ENSG00000004799.8|PDK4	PDK4	1.18710188710072	0.247443764555824	0.392341718247498	0.711278162705372	0.406335510271197
ENSG00000004838.14|ZMYND10	ZMYND10	1.36034891756375	0.443976737561562	0.0877978980524742	0.38712034258704	1.05651588130505
ENSG00000004848.8|ARX	ARX	-1.54260885615978	-0.625372298580963	0.0530994158280477	0.309451818888891	-1.2749102567726
ENSG00000004864.13|SLC25A13	SLC25A13	-1.09865675774765	-0.13574073001649	0.0626453577162406	0.33350855993316	-1.20311110652011
ENSG00000004866.20|ST7	ST7	-1.12780006016462	-0.173511325027216	0.0874922643566461	0.386104440899765	-1.05803034350038
ENSG00000004897.12|CDC27	CDC27	-1.06251224522003	-0.0874794680893149	0.243806209085547	0.591628715727371	-0.61295523826951
ENSG00000004961.15|HCCS	HCCS	1.02040529542269	0.0291422909799417	0.757952936542315	0.90875679283812	0.120357760112708
ENSG00000004975.12|DVL2	DVL2	1.0874563086815	0.120957438189162	0.103071163894784	0.410180075080897	0.986862819808967
ENSG00000005007.12|UPF1	UPF1	1.05876298674071	0.0823796657005733	0.310162119252017	0.64995532940248	0.508411244576574
ENSG00000005020.13|SKAP2	SKAP2	-1.05371131087641	-0.0754796606986146	0.572107856947464	0.823334493493545	-0.242522087882824
ENSG00000005022.6|SLC25A5	SLC25A5	-1.0667516575209	-0.093224352203265	0.122930711938665	0.439695381828257	-0.91033960320611
ENSG00000005059.16|MCUB	MCUB	1.00913577847792	0.0131203010626484	0.899353942445406	0.9640103083743	0.0460693572105771
ENSG00000005075.15|POLR2J	POLR2J	-1.01405835010802	-0.0201406690961639	0.763439662227479	0.910227697020017	-0.117225281328121
ENSG00000005100.13|DHX33	DHX33	1.00473611591767	0.00681664145724614	0.920015369887641	0.971949653967456	0.0362049172178877
ENSG00000005108.16|THSD7A	THSD7A	-1.09368739023601	-0.129200430081963	0.730243948288084	0.8975072203117	-0.13653203344511
ENSG00000005156.11|LIG3	LIG3	-1.19664705408231	-0.258997698304836	0.00213145638312605	0.0681852415773208	-2.67132355007361
ENSG00000005175.10|RPAP3	RPAP3	1.05483660995969	0.0770195484527054	0.359899158702362	0.687947904647413	0.443819168549503
ENSG00000005189.19|REXO5	REXO5	-1.12707510041632	-0.172583649838773	0.167677492240059	0.502934299878278	-0.775525229892267
ENSG00000005194.15|CIAPIN1	CIAPIN1	1.01304816070695	0.0187027620575861	0.784551798711002	0.919685730570764	0.105378377568804
ENSG00000005206.17|SPPL2B	SPPL2B	1.13558206526496	0.183431969252762	0.18891124745532	0.527647744141905	0.723742184151409
ENSG00000005238.19|FAM214B	FAM214B	1.17099501124599	0.22773492958294	0.0549347269766824	0.31434882346618	1.26015302956842
ENSG00000005243.10|COPZ2	COPZ2	1.43026990976476	0.516287427237733	0.103592294628406	0.410873405562485	0.984672546953881
ENSG00000005249.13|PRKAR2B	PRKAR2B	1.02022305986067	0.0288846151110245	0.854320843074225	0.946942482241296	0.068378997919259
ENSG00000005302.18|MSL3	MSL3	-1.01831773650255	-0.0261877827833281	0.730250810337942	0.8975072203117	-0.136527952430275
ENSG00000005339.14|CREBBP	CREBBP	1.00910957083093	0.0130828332271751	0.872633425254001	0.954600200217362	0.0591681558628957
ENSG00000005379.17|TSPOAP1	TSPOAP1	-1.00343961092036	-0.0049537949294356	0.974080165824355	0.990157279540344	-0.0114052996486209
ENSG00000005436.13|GCFC2	GCFC2	-1.08107715248294	-0.112469486562507	0.293436423234231	0.633399776887348	-0.532485979695677
ENSG00000005448.16|WDR54	WDR54	1.07010025345976	0.0977459633496682	0.246725258603791	0.594632683133667	0.607786387151061
ENSG00000005469.11|CROT	CROT	-1.05560271265288	-0.0780669631715036	0.593519422300157	0.834711229919211	-0.226565064645752
ENSG00000005483.20|KMT2E	KMT2E	-1.07332075307888	-0.102081278074876	0.148222128804079	0.476644970174688	-0.829086953576165
ENSG00000005486.17|RHBDD2	RHBDD2	1.0368531843725	0.0522116268677353	0.566630618567503	0.820117656898274	0.246699961556437
ENSG00000005513.10|SOX8	SOX8	-1.36528276222864	-0.449199777092473	0.000449119076645552	0.0301968839437186	-3.34763849758493
ENSG00000005700.15|IBTK	IBTK	-1.03235011670735	-0.045932337015639	0.668018672132701	0.868926543450807	-0.175211398166873
ENSG00000005801.18|ZNF195	ZNF195	1.06988325640632	0.0974533811194656	0.185666681748915	0.523573241554587	0.731266024266919
ENSG00000005810.18|MYCBP2	MYCBP2	-1.02610153424359	-0.0371734947871838	0.722445086218286	0.894350666688291	-0.141195158479705
ENSG00000005812.11|FBXL3	FBXL3	-1.07822885572962	-0.10866342482909	0.231467655161821	0.577248713481427	-0.635509687869167
ENSG00000005882.11|PDK2	PDK2	1.30455010644418	0.383552357670323	0.0205711762092925	0.208104073649459	1.68674087570434
ENSG00000005884.18|ITGA3	ITGA3	-1.2431247599444	-0.313971092465109	0.0364933222537216	0.265542383147709	-1.43778659783621
ENSG00000005889.15|ZFX	ZFX	-1.09974695865347	-0.137171611485249	0.0764660445958327	0.360707012451604	-1.11653137423675
ENSG00000005893.15|LAMP2	LAMP2	-1.01937933091079	-0.0276910063500244	0.654506545663622	0.862129975496859	-0.184086005749778
ENSG00000005961.18|ITGA2B	ITGA2B	1.40680288920934	0.492420203001443	0.0996097771765148	0.405389040035498	1.00169803140149
ENSG00000006007.12|GDE1	GDE1	-1.18220982068719	-0.241486110304604	0.0230556648214855	0.219534985316272	-1.63722235016807
ENSG00000006015.17|REX1BD	REX1BD	1.05297634248923	0.0744730232991726	0.563786601557784	0.818077683930374	0.248885249391453
ENSG00000006016.11|CRLF1	CRLF1	1.01551610603346	0.0222131208850098	0.922263652823917	0.97262131397818	0.0351449069309757
ENSG00000006025.12|AC003665.1	AC003665.1	1.20135714032479	0.264665100237345	0.045634605396014	0.292765008034345	1.34070570047677
ENSG00000006042.12|TMEM98	TMEM98	-1.14269960060361	-0.192446189484327	0.404378388637809	0.719876754521487	-0.393212062641233
ENSG00000006047.13|YBX2	YBX2	1.54877245941537	0.631125203658687	0.0109998315670899	0.156725236927169	1.95861396484573
ENSG00000006062.16|MAP3K14	MAP3K14	1.1225034260515	0.166719848298244	0.290554791957965	0.63053870779095	0.536771957589723
ENSG00000006071.13|ABCC8	ABCC8	1.43889446552378	0.52496078273226	0.00156591415678559	0.0583786447264594	2.80523204959365
ENSG00000006118.14|TMEM132A	TMEM132A	1.16091933139616	0.215267727381711	0.0548759644233484	0.314336101611521	1.26061783412918
ENSG00000006125.18|AP2B1	AP2B1	-1.06521965746529	-0.0911509572680096	0.10712219807589	0.415306029743999	-0.970120524472189
ENSG00000006194.10|ZNF263	ZNF263	-1.02834135243287	-0.040319238964746	0.637472941233206	0.855576261869567	-0.195538244968531
ENSG00000006210.7|CX3CL1	CX3CL1	1.16653925577707	0.222234856968051	0.0957224394229676	0.399278940413251	1.01898624221035
ENSG00000006282.21|SPATA20	SPATA20	1.59003196992884	0.669055773304663	0.00124533130422479	0.0516829274694046	2.9047150947885
ENSG00000006283.18|CACNA1G	CACNA1G	-1.16682462734923	-0.222587741622686	0.305763264348256	0.645705250469085	-0.514614693708519
ENSG00000006327.13|TNFRSF12A	TNFRSF12A	-1.33965824561084	-0.42186500796164	0.00214929534305465	0.0683733479277117	-2.66770390230951
ENSG00000006432.15|MAP3K9	MAP3K9	1.04484614177661	0.0632905147098342	0.48243019975222	0.770198109213508	0.316565513522916
ENSG00000006451.8|RALA	RALA	-1.0571103755823	-0.0801260200429121	0.335019506820893	0.672178179114059	-0.474929905028731
