ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSG00000000003.14|TSPAN6	TSPAN6	-1.17575912831158	-0.233592532977288	0.0739740664733663	0.328324319212145	-1.13092050677597
ENSG00000000419.12|DPM1	DPM1	-1.01902689181415	-0.0271921242956799	0.700361789019478	0.863877151517025	-0.154677556578709
ENSG00000000457.14|SCYL3	SCYL3	-1.10403013375681	-0.142779550040188	0.120501238089306	0.396613702758176	-0.919008490909931
ENSG00000000460.17|C1orf112	C1orf112	1.11253006919179	0.153844329416227	0.167383978452964	0.456580839392925	0.776286113860456
ENSG00000001036.13|FUCA2	FUCA2	-1.02403708267839	-0.034267959505442	0.496131682598896	0.737577869962628	-0.304403038356829
ENSG00000001084.12|GCLC	GCLC	-1.17196628374575	-0.228931065517419	0.023691569910117	0.226873010520547	-1.62540616001549
ENSG00000001167.14|NFYA	NFYA	-1.16878188079862	-0.225005717849704	0.0133537388526625	0.20327085958249	-1.87439712113508
ENSG00000001461.17|NIPAL3	NIPAL3	1.3617574522182	0.445469762349143	0.0230654827662011	0.224943025872741	1.63703745107076
ENSG00000001497.16|LAS1L	LAS1L	-1.00406759027912	-0.00585638968543734	0.932084293507842	0.971601142208222	-0.0305448102319355
ENSG00000001617.12|SEMA3F	SEMA3F	2.25937619205596	1.17592450323566	0.0507876043789017	0.286569015285965	1.29424227210074
ENSG00000001629.10|ANKIB1	ANKIB1	-1.04528366414729	-0.063894507210108	0.323356372220295	0.607976220669822	-0.490318576211086
ENSG00000001630.17|CYP51A1	CYP51A1	-1.05518597093414	-0.0774972886953824	0.183347552238247	0.474793958188283	-0.736724883666391
ENSG00000001631.15|KRIT1	KRIT1	-1.05276353537481	-0.0741814243482146	0.259238093995064	0.548485709269436	-0.586301180285038
ENSG00000002016.17|RAD52	RAD52	1.00292513074296	0.00421391149605554	0.970060444002872	0.987208885098183	0.0132012042089443
ENSG00000002330.13|BAD	BAD	1.0251983710477	0.0359030914252356	0.763429076493236	0.897514113736009	0.117231303228828
ENSG00000002549.12|LAP3	LAP3	-1.03394859982072	-0.048164467444991	0.391659223773446	0.66214916725926	-0.407091641145529
ENSG00000002586.20|CD99	CD99	-1.08027681824603	-0.111401046776103	0.219731112231844	0.512153930768222	-0.658108445974455
ENSG00000002586.20|PAR|Y|CD99	PAR	-1.08027681824603	-0.111401046776103	0.219731112231844	0.512153930768222	-0.658108445974455
ENSG00000002746.15|HECW1	HECW1	-1.73412325960332	-0.794206447405457	0.0486223059473503	0.282273462646563	-1.31316444828038
ENSG00000002822.15|MAD1L1	MAD1L1	1.05547940977353	0.0778984349547409	0.49004182658551	0.733412474953571	0.309766850012221
ENSG00000002834.18|LASP1	LASP1	1.15209689452446	0.204262056512368	0.00297727908924373	0.160752069536386	2.52618045281133
ENSG00000002919.14|SNX11	SNX11	-1.00999965412925	-0.0143547989314321	0.880351476365107	0.949642634173953	-0.0553439031105526
ENSG00000003056.8|M6PR	M6PR	-1.01546362459411	-0.0221385610938318	0.603554578309784	0.807800738508134	-0.219283451354491
ENSG00000003096.14|KLHL13	KLHL13	-1.17677487125345	-0.234838344851958	0.0170277436375768	0.212538458648483	-1.7688428969976
ENSG00000003147.19|ICA1	ICA1	-1.06502299788328	-0.090884584041655	0.399372353727616	0.66731971007737	-0.398622002157122
ENSG00000003249.13|DBNDD1	DBNDD1	-1.03782514451735	-0.0535633951529455	0.564501123558661	0.784819041047572	-0.248335189337169
ENSG00000003393.15|ALS2	ALS2	1.01432139605258	0.0205148545341567	0.804660273496767	0.916443610483585	0.0943874394920179
ENSG00000003402.20|CFLAR	CFLAR	1.09813612903273	0.135056907264011	0.0625115204720527	0.306531520828114	1.20403993759389
ENSG00000003509.16|NDUFAF7	NDUFAF7	-1.04391792778102	-0.0620082925230623	0.467394241706242	0.716991003173314	-0.330316642415784
ENSG00000003756.16|RBM5	RBM5	1.08015484683066	0.111238146408443	0.212502777185432	0.505177435266699	0.672635389809307
ENSG00000003987.14|MTMR7	MTMR7	-1.11168490296662	-0.152747927138822	0.647956206226764	0.833789669874217	-0.188454346038019
ENSG00000003989.17|SLC7A2	SLC7A2	-1.31154607575492	-0.39126849162538	0.0455377576953044	0.275292451798263	-1.34162835809794
ENSG00000004059.11|ARF5	ARF5	-1.0302671392919	-0.0430184641675515	0.558432425569215	0.780114716106618	-0.253029372195552
ENSG00000004139.14|SARM1	SARM1	1.02592186369696	0.0369208565301999	0.676951617722202	0.850811856820164	0.169442369582403
ENSG00000004142.12|POLDIP2	POLDIP2	-1.01256382138444	-0.0180128432002906	0.726831059511731	0.878711642424949	-0.13856652235693
ENSG00000004399.12|PLXND1	PLXND1	1.15052450732147	0.202291714735041	0.0119939878683238	0.198194194833906	1.9210363947781
ENSG00000004455.16|AK2	AK2	-1.07665439650959	-0.106555222530271	0.0302661230081898	0.244796113679267	-1.51904320718967
ENSG00000004478.8|FKBP4	FKBP4	-1.00984961494762	-0.0141404653304082	0.757970940171566	0.895218264890748	-0.120347444453777
ENSG00000004487.16|KDM1A	KDM1A	-1.05111251283334	-0.0719171060449053	0.190147271378095	0.482743102680888	-0.720909902353051
ENSG00000004534.15|RBM6	RBM6	-1.09790476879035	-0.134752921781868	0.099715747013562	0.36865138694506	-1.00123625291125
ENSG00000004660.14|CAMKK1	CAMKK1	1.11250470666596	0.15381143969187	0.383573799283705	0.656421568436904	0.416151065774382
ENSG00000004700.16|RECQL	RECQL	1.08334003880815	0.115486147197157	0.12002630253495	0.395697248160124	0.920723572335078
ENSG00000004766.17|VPS50	VPS50	-1.03871880625355	-0.0548051520964146	0.459538011433049	0.710953359349504	-0.337678559418557
ENSG00000004776.13|HSPB6	HSPB6	-1.05298831874742	-0.0744894320154366	0.871876068527091	0.946305172055401	-0.0595452427966912
ENSG00000004777.18|ARHGAP33	ARHGAP33	1.04383982620189	0.0619003520680597	0.59880791253536	0.805212837558497	0.222712469605303
ENSG00000004779.10|NDUFAB1	NDUFAB1	-1.06031528936973	-0.0844933202367688	0.17440557467021	0.464421530279172	-0.758439637466426
ENSG00000004799.8|PDK4	PDK4	1.17874679977405	0.237253854076295	0.545839796310588	0.771780180851742	0.262934803792499
ENSG00000004838.14|ZMYND10	ZMYND10	1.2806448997951	0.356870497284466	0.108038108557504	0.379955763706607	0.966423027689227
ENSG00000004848.8|ARX	ARX	-1.68681554159168	-0.754302219161477	0.0129144524918328	0.202625937539672	-1.8889240010134
ENSG00000004864.13|SLC25A13	SLC25A13	-1.0877637837493	-0.121365298304111	0.0893198757160914	0.353677388298558	-1.04905188989811
ENSG00000004866.20|ST7	ST7	-1.11444485317224	-0.156325228510302	0.0837592629774318	0.343581839485759	-1.0769671527982
ENSG00000004897.12|CDC27	CDC27	-1.10904507495932	-0.149318002198235	0.0509744042809085	0.286667451558227	-1.29264784095985
ENSG00000004961.15|HCCS	HCCS	1.0367707205293	0.0520968807197759	0.463954129452943	0.714168365585924	0.333524955458555
ENSG00000004975.12|DVL2	DVL2	1.07954312554284	0.110420877231705	0.0548033985080685	0.294918131034186	1.26119250889636
ENSG00000005007.12|UPF1	UPF1	1.03982426649487	0.0563397290598093	0.397713211671269	0.666261354895783	0.400429981906586
ENSG00000005020.13|SKAP2	SKAP2	-1.03913719679951	-0.055386145171088	0.569800987103921	0.787914441186524	-0.244276802738847
ENSG00000005022.6|SLC25A5	SLC25A5	-1.05638055874266	-0.0791296560083659	0.122177897071086	0.399123150311471	-0.913007354226787
ENSG00000005059.16|MCUB	MCUB	1.02821950417335	0.040148283770888	0.583309945108562	0.7955211461676	0.234100619028666
ENSG00000005075.15|POLR2J	POLR2J	-1.02067013075364	-0.0295166785364849	0.606106047138494	0.809211610639444	-0.2174513829991
ENSG00000005100.13|DHX33	DHX33	1.0138149779208	0.0197943833154719	0.73097434027391	0.880630561525711	0.136097868012099
ENSG00000005108.16|THSD7A	THSD7A	1.02926011213475	0.0416076227228155	0.876635813945804	0.947920708536095	0.057180790719115
ENSG00000005156.11|LIG3	LIG3	-1.25465576129646	-0.327291587606808	0.0101508844866642	0.190680431531305	-1.99349611430823
ENSG00000005175.10|RPAP3	RPAP3	1.02898119122705	0.0412166114141321	0.55309376580464	0.776769024275157	0.257201236652698
ENSG00000005187.12|ACSM3	ACSM3	1.1360283390239	0.183998824331406	0.758874974012179	0.895559142940839	0.119829768991493
ENSG00000005189.19|REXO5	REXO5	-1.10189875181419	-0.139991667678396	0.210874718939163	0.503783011525044	-0.675975483244558
