Ingenuity Canonical Pathways, -log(p-value),Ratio,z-score,Molecules
Osteoarthritis Pathway,3.99,0.0521,1.265,"ADAMTS4,CCN4,DCN,EPAS1,FRZB,H19,NOS2,PPARGC1A,PTHLH,SPP1,TNFRSF1B"
Breast Cancer Regulation by Stathmin1,3.56,0.0321,#NUM!,"ADGRA1,ADGRB3,ADGRG7,ADRB1,C5AR1,CNR1,EDNRB,GALR1,GPR139,GPR37,HRH2,LPAR4,LTB4R2,OXTR,PDGFB,RASD2,SHC1,SSTR2,TUBA4A"
Notch Signaling,2.89,0.108,#NUM!,"DLL1,DLL3,HES5,MFNG"
The Visual Cycle,2.68,0.15,#NUM!,"RDH5,RLBP1,RPE65"
Oncostatin M Signaling,2.64,0.093,#NUM!,"CHI3L1,EPAS1,RASD2,SHC1"
Hepatic Cholestasis,2.53,0.0432,#NUM!,"ABCC3,ADCY2,ADCY8,ATP8B1,IRAK2,LIF,LY96,TNFRSF1B"
Adrenomedullin signaling pathway,2.37,0.0406,0,"ADCY2,ADCY8,GPR37,MAP2K6,MYLK3,RASD2,SHC1,TFAP2C"
PDGF Signaling,2.28,0.0581,1,"CAV1,INPP5D,PDGFB,RASD2,SHC1"
Gαi Signaling,2.24,0.048,1,"ADCY2,ADCY8,CAV1,CNR1,RASD2,SHC1"
Integrin Signaling,2.17,0.0376,2.646,"CAV1,ITGAX,ITGB4,MYLK3,PAK6,PDGFB,RASD2,SHC1"
Prostanoid Biosynthesis,2.15,0.2,#NUM!,"PTGDS,PTGES"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis",2.11,0.0321,#NUM!,"ADAMTS4,C5AR1,FRZB,IRAK2,MAP2K6,NOS2,PDGFB,RASD2,SFRP2,TNFRSF1B"
Synaptogenesis Signaling Pathway,2.11,0.0321,0.333,"ADCY2,ADCY8,CDH15,CDH5,CPLX1,CPLX2,NLGN1,RASD2,SHC1,THBS1"
Bladder Cancer Signaling,2.06,0.0515,#NUM!,"CDKN1A,FGF14,MMP16,RASD2,THBS1"
Acute Phase Response Signaling,2.05,0.0391,0,"CRABP1,MAP2K6,RASD2,SERPINA3,SHC1,TNFRSF1B,VWF"
Eicosanoid Signaling,1.97,0.0606,#NUM!,"LTB4R2,PLAAT4,PTGDS,PTGES"
