© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Osteoarthritis Pathway	3.99E00	5.21E-02	1.265	ADAMTS4,CCN4,DCN,EPAS1,FRZB,H19,NOS2,PPARGC1A,PTHLH,SPP1,TNFRSF1B	
Breast Cancer Regulation by Stathmin1	3.56E00	3.21E-02	NaN	ADGRA1,ADGRB3,ADGRG7,ADRB1,C5AR1,CNR1,EDNRB,GALR1,GPR139,GPR37,HRH2,LPAR4,LTB4R2,OXTR,PDGFB,RASD2,SHC1,SSTR2,TUBA4A	
Notch Signaling	2.89E00	1.08E-01	NaN	DLL1,DLL3,HES5,MFNG	
The Visual Cycle	2.68E00	1.5E-01	NaN	RDH5,RLBP1,RPE65	
Oncostatin M Signaling	2.64E00	9.3E-02	NaN	CHI3L1,EPAS1,RASD2,SHC1	
Hepatic Cholestasis	2.53E00	4.32E-02	NaN	ABCC3,ADCY2,ADCY8,ATP8B1,IRAK2,LIF,LY96,TNFRSF1B	
Adrenomedullin signaling pathway	2.37E00	4.06E-02	0.000	ADCY2,ADCY8,GPR37,MAP2K6,MYLK3,RASD2,SHC1,TFAP2C	
PDGF Signaling	2.28E00	5.81E-02	1.000	CAV1,INPP5D,PDGFB,RASD2,SHC1	
Gαi Signaling	2.24E00	4.8E-02	1.000	ADCY2,ADCY8,CAV1,CNR1,RASD2,SHC1	
Integrin Signaling	2.17E00	3.76E-02	2.646	CAV1,ITGAX,ITGB4,MYLK3,PAK6,PDGFB,RASD2,SHC1	
Prostanoid Biosynthesis	2.15E00	2E-01	NaN	PTGDS,PTGES	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.11E00	3.21E-02	NaN	ADAMTS4,C5AR1,FRZB,IRAK2,MAP2K6,NOS2,PDGFB,RASD2,SFRP2,TNFRSF1B	
Synaptogenesis Signaling Pathway	2.11E00	3.21E-02	0.333	ADCY2,ADCY8,CDH15,CDH5,CPLX1,CPLX2,NLGN1,RASD2,SHC1,THBS1	
Bladder Cancer Signaling	2.06E00	5.15E-02	NaN	CDKN1A,FGF14,MMP16,RASD2,THBS1	
Acute Phase Response Signaling	2.05E00	3.91E-02	0.000	CRABP1,MAP2K6,RASD2,SERPINA3,SHC1,TNFRSF1B,VWF	
Eicosanoid Signaling	1.97E00	6.06E-02	NaN	LTB4R2,PLAAT4,PTGDS,PTGES	
Estrogen Receptor Signaling	1.97E00	3.05E-02	0.333	ADCY2,ADCY8,CACNA1E,CAV1,CDKN1A,IGF2,MMP16,PPARGC1A,RASD2,SHC1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.96E00	3.76E-02	NaN	COL8A2,COL9A1,EDNRB,IGF2,LY96,PDGFB,TNFRSF1B	
Endocannabinoid Cancer Inhibition Pathway	1.96E00	4.2E-02	0.000	ADCY2,ADCY8,CDKN1A,CNR1,MAP2K6,NOS2	
PPAR Signaling	1.94E00	4.81E-02	-1.000	PDGFB,PPARGC1A,RASD2,SHC1,TNFRSF1B	
Endothelin-1 Signaling	1.94E00	3.72E-02	0.816	ADCY2,ADCY8,EDNRB,NOS2,PLAAT4,RASD2,SHC1	
Xenobiotic Metabolism CAR Signaling Pathway	1.93E00	3.7E-02	2.646	ABCC3,ALDH3A1,CYP1A1,MAP2K6,NOS2,PPARGC1A,SULT1A1	
PPARα/RXRα Activation	1.92E00	3.68E-02	0.000	ADCY2,ADCY8,GHR,MAP2K6,PPARGC1A,RASD2,SHC1	
Gαs Signaling	1.89E00	4.67E-02	1.342	ADCY2,ADCY8,ADRB1,CNR1,HRH2	
Glioma Signaling	1.84E00	4.55E-02	NaN	CDKN1A,IGF2,PDGFB,RASD2,SHC1	
Gap Junction Signaling	1.83E00	3.54E-02	NaN	ADCY2,ADCY8,ADRB1,CAV1,GRIK2,RASD2,TUBA4A	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.83E00	5.48E-02	1.000	ADCY2,ADCY8,ADRB1,GALR1	
FcγRIIB Signaling in B Lymphocytes	1.79E00	5.33E-02	NaN	CACNA1E,INPP5D,RASD2,SHC1	
Endocannabinoid Developing Neuron Pathway	1.77E00	4.35E-02	0.000	ADCY2,ADCY8,CNR1,MAP2K6,RASD2	
Renin-Angiotensin Signaling	1.73E00	4.24E-02	NaN	ADCY2,ADCY8,PAK6,RASD2,SHC1	
iNOS Signaling	1.69E00	6.67E-02	NaN	IRAK2,LY96,NOS2	
Th1 Pathway	1.68E00	4.13E-02	-1.000	CD8A,DLL1,ICOSLG/LOC102723996,MAP2K6,TBX21	
G Beta Gamma Signaling	1.67E00	4.1E-02	2.000	ADCY2,CACNA1E,CAV1,RASD2,SHC1	
Role of NFAT in Cardiac Hypertrophy	1.66E00	3.27E-02	0.816	ADCY2,ADCY8,CACNA1E,LIF,MAP2K6,RASD2,SHC1	
PTEN Signaling	1.62E00	3.97E-02	1.000	CDKN1A,GHR,INPP5D,RASD2,SHC1	
GADD45 Signaling	1.61E00	1.05E-01	NaN	CDKN1A,GADD45G	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.6E00	3.18E-02	NaN	ACP5,ADAMTS4,FRZB,MAP2K6,SFRP2,SPP1,TNFRSF1B	
GNRH Signaling	1.6E00	3.47E-02	0.000	ADCY2,ADCY8,CACNA1E,MAP2K6,PAK6,RASD2	
Flavin Biosynthesis IV (Mammalian)	1.59E00	5E-01	NaN	RFK	
White Adipose Tissue Browning Pathway	1.58E00	3.88E-02	0.447	ADCY2,ADCY8,CACNA1E,PPARGC1A,PRDM16	
PI3K/AKT Signaling	1.57E00	3.43E-02	NaN	CDKN1A,GDF15,GHR,INPP5D,RASD2,SHC1	
LPS/IL-1 Mediated Inhibition of RXR Function	1.57E00	3.12E-02	NaN	ABCC3,ALDH3A1,APOC1,LY96,PPARGC1A,SULT1A1,TNFRSF1B	
Granulocyte Adhesion and Diapedesis	1.52E00	3.33E-02	NaN	C5AR1,CDH5,CLDN4,HRH2,MMP16,TNFRSF1B	
IL-1 Signaling	1.51E00	4.4E-02	NaN	ADCY2,ADCY8,IRAK2,MAP2K6	
Melanocyte Development and Pigmentation Signaling	1.47E00	4.26E-02	NaN	ADCY2,ADCY8,RASD2,SHC1	
ErbB Signaling	1.47E00	4.26E-02	NaN	MAP2K6,PAK6,RASD2,SHC1	
Xenobiotic Metabolism Signaling	1.47E00	2.79E-02	NaN	ABCC3,ALDH3A1,CYP1A1,MAP2K6,NOS2,PPARGC1A,RASD2,SULT1A1	
GABA Receptor Signaling	1.46E00	4.21E-02	NaN	ADCY2,ADCY8,CACNA1E,GPR37	
PAK Signaling	1.43E00	4.12E-02	NaN	PAK6,PDGFB,RASD2,SHC1	
L-serine Degradation	1.42E00	3.33E-01	NaN	SDSL	
p53 Signaling	1.41E00	4.08E-02	NaN	CDKN1A,GADD45G,PERP,THBS1	
Corticotropin Releasing Hormone Signaling	1.39E00	3.45E-02	0.447	ADCY2,ADCY8,CACNA1E,CNR1,NOS2	
Dermatan Sulfate Biosynthesis	1.39E00	5.08E-02	NaN	DSEL,SULT1A1,XYLT1	
Retinoic acid Mediated Apoptosis Signaling	1.37E00	5E-02	NaN	CRABP1,PARP10,TNFRSF10D	
NAD Salvage Pathway II	1.35E00	7.69E-02	NaN	ACP5,NT5E	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.3E00	3.25E-02	NaN	C5AR1,LIF,NOD2,OAS1,OAS3	
Phenylethylamine Degradation I	1.29E00	2.5E-01	NaN	AOC2	
Hepatic Fibrosis Signaling Pathway	1.29E00	2.45E-02	2.333	CACNA1E,CNR1,IRAK2,MAP2K6,MYLK3,PDGFB,RASD2,SPP1,TNFRSF1B	
CDK5 Signaling	1.28E00	3.7E-02	NaN	ADCY2,ADCY8,FOSB,RASD2	
Paxillin Signaling	1.28E00	3.7E-02	NaN	ITGAX,ITGB4,PAK6,RASD2	
CREB Signaling in Neurons	1.27E00	2.9E-02	0.000	ADCY2,ADCY8,CACNA1E,GRIK2,RASD2,SHC1	
Cardiac Hypertrophy Signaling (Enhanced)	1.27E00	2.26E-02	0.632	ADCY2,ADCY8,ADRB1,CACNA1E,EDNRB,FGF14,GHR,LIF,MAP2K6,RASD2,TNFRSF1B	
eNOS Signaling	1.25E00	3.14E-02	-0.447	ADCY2,ADCY8,CAV1,CHRNA9,LPAR4	
Serotonin Degradation	1.25E00	4.48E-02	NaN	ALDH3A1,DHRS2,SULT1A1	
Dopamine Degradation	1.24E00	6.67E-02	NaN	ALDH3A1,SULT1A1	
Citrulline-Nitric Oxide Cycle	1.2E00	2E-01	NaN	NOS2	
Tyrosine Degradation I	1.2E00	2E-01	NaN	HPD	
Glioblastoma Multiforme Signaling	1.2E00	3.03E-02	0.000	CDKN1A,IGF2,PDGFB,RASD2,SHC1	
Ethanol Degradation II	1.19E00	6.25E-02	NaN	ALDH3A1,DHRS2	
G-Protein Coupled Receptor Signaling	1.19E00	2.57E-02	NaN	ADCY2,ADCY8,ADRB1,CNR1,HRH2,RASD2,SHC1	
Actin Cytoskeleton Signaling	1.19E00	2.75E-02	NaN	FGF14,MYLK3,PAK6,PDGFB,RASD2,SHC1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.17E00	2.55E-02	1.890	IFIT2,INPP5D,LIF,PLAAT4,RASD2,SHC1,TMEM173	
Caveolar-mediated Endocytosis Signaling	1.16E00	4.11E-02	NaN	CAV1,ITGAX,ITGB4	
T Helper Cell Differentiation	1.16E00	4.11E-02	NaN	ICOSLG/LOC102723996,TBX21,TNFRSF1B	
Role of JAK2 in Hormone-like Cytokine Signaling	1.15E00	5.88E-02	NaN	GHR,SHC1	
Th1 and Th2 Activation Pathway	1.14E00	2.92E-02	NaN	CD8A,DLL1,ICOSLG/LOC102723996,MAP2K6,TBX21	
LXR/RXR Activation	1.14E00	3.31E-02	-1.000	APOC1,LY96,NOS2,TNFRSF1B	
Coagulation System	1.12E00	5.71E-02	NaN	PLAUR,VWF	
DNA Methylation and Transcriptional Repression Signaling	1.12E00	5.71E-02	NaN	H4C11,H4C15	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	1.12E00	1.67E-01	NaN	TDO2	
Noradrenaline and Adrenaline Degradation	1.12E00	5.71E-02	NaN	ALDH3A1,DHRS2	
Toll-like Receptor Signaling	1.12E00	3.95E-02	NaN	IRAK2,LY96,MAP2K6	
Neurotrophin/TRK Signaling	1.12E00	3.95E-02	NaN	MAP2K6,RASD2,SHC1	
Macropinocytosis Signaling	1.12E00	3.95E-02	NaN	ITGB4,PDGFB,RASD2	
Antiproliferative Role of Somatostatin Receptor 2	1.11E00	3.9E-02	NaN	CDKN1A,RASD2,SSTR2	
Interferon Signaling	1.1E00	5.56E-02	NaN	IFIT1,OAS1	
IL-6 Signaling	1.1E00	3.2E-02	NaN	MAP2K6,RASD2,SHC1,TNFRSF1B	
