"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0031344","GO:0031344","regulation of cell projection organization",499,0.431772026135548,1.64025979679787,3.8971161340608e-05,0.00750842520134803,0.00628620732158264,2079,"tags=23%, list=14%, signal=20%","PTPRG/SDC2/NRCAM/CDH4/SEMA3A/ROBO1/HOMER1/MAP2/SPOCK1/PTPRO/NLGN1/SDK1/TENM3/PLXNA4/NEDD4L/GPM6A/KALRN/MAP4K4/ARC/BCAS3/PTK2/FYN/ZEB2/CXCL12/HSPA5/ASAP1/MAP2K1/BMP7/FNBP1L/NPTN/PRKN/MAGI2/RIMS2/SDCCAG8/KIDINS220/TMEM106B/SIPA1L1/MEF2C/ADAM10/CUX1/ALK/SCARB2/CAMSAP2/GSK3B/DISC1/BMPR2/TNIK/MACF1/TENM1/RUFY3/NCKAP1/HDAC4/FER/KEL/DHX36/ARSB/TIAM1/OPA1/EFNA5/PDLIM5/ABI2/UBE3A/ARHGAP35/ARMCX5-GPRASP2/AUTS2/BDNF/DNM3/P3H1/STK24/CNTN2/CREB3L2/ACAP3/ITSN2/PODXL/ITGA3/PPP3CA/SYNE2/PTEN/HGF/EP300/CCDC88A/NME1/TCHP/PTPN9/CHN1/MYCBP2/KLHL41/ACTR2/DAB1/DYNC2LI1/PRKD1/GOLGA4/PAK3/VAMP7/VAMP7/SETX/B2M/PAFAH1B1/PPP1R16B/DGUOK/ATMIN/SEZ6/APC/EPHB3/MAP4/PTK2B/CD38/MEGF8/UST/ABHD17B/CRMP1/FBXW8/WDR36"
"GO:0000904","GO:0000904","cell morphogenesis involved in differentiation",494,0.469292846013856,1.78128724953293,3.90441980321724e-05,0.00750842520134803,0.00628620732158264,2079,"tags=24%, list=14%, signal=22%","PRKCA/SDC2/APP/NRCAM/PTPRZ1/KIF5C/CDH4/SEMA3A/ROBO1/MAP2/DOCK1/PTPRO/UNC5C/NLGN1/C1GALT1C1/PLXNA4/GFRA1/SHC3/ANK3/KALRN/EXT1/ARC/NFIB/PTK2/FYN/ZEB2/CXCL12/DOCK10/UNC5B/PARD3/DLX5/ITGB1/MAP2K1/ROCK1/BMP7/CLIC4/PTPRA/KIDINS220/TMEM106B/SIPA1L1/MEF2C/MEF2A/ADAM10/CUX1/GSK3B/DISC1/BMPR2/TNIK/SPTBN1/MACF1/ETV1/SLIT1/RUFY3/OPHN1/FER/KEL/DHX36/NCAM1/PPP3CB/TIAM1/ADGRB1/APBB2/OPA1/EFNA5/PEAK1/PDLIM5/ABI2/UBE3A/ARHGAP35/ARMCX5-GPRASP2/HRH2/POU4F1/AUTS2/TOP2B/BDNF/SPTBN5/DNM3/USP9X/CNTN2/USP33/ABI1/FERMT2/NTN4/COL25A1/PPP3CA/MAPK1/FRS2/NUMB/PTEN/HSP90AB1/EP300/PICALM/CHN1/MYCBP2/SIAH1/ACTR2/ID2/DAB1/ALCAM/WDR1/LAMC1/C1QBP/GOLGA4/PAK3/VAMP7/VAMP7/DCLK1/PAFAH1B1/MAP6/LHX4/NDN/FARP1/PTPN11/EPHB3/VASP/MEGF8/LAMB1/UST/CRMP1/FBXW8/WDR36"
"GO:0120035","GO:0120035","regulation of plasma membrane bounded cell projection organization",493,0.436339464280474,1.65589030552303,3.90747108471397e-05,0.00750842520134803,0.00628620732158264,2079,"tags=23%, list=14%, signal=20%","PTPRG/SDC2/NRCAM/CDH4/SEMA3A/ROBO1/HOMER1/MAP2/SPOCK1/PTPRO/NLGN1/SDK1/TENM3/PLXNA4/NEDD4L/GPM6A/KALRN/MAP4K4/ARC/BCAS3/PTK2/FYN/ZEB2/CXCL12/HSPA5/ASAP1/MAP2K1/BMP7/FNBP1L/NPTN/PRKN/MAGI2/RIMS2/SDCCAG8/KIDINS220/TMEM106B/SIPA1L1/MEF2C/ADAM10/CUX1/ALK/SCARB2/CAMSAP2/GSK3B/DISC1/BMPR2/TNIK/MACF1/TENM1/RUFY3/NCKAP1/HDAC4/FER/KEL/DHX36/ARSB/TIAM1/OPA1/EFNA5/PDLIM5/ABI2/UBE3A/ARHGAP35/ARMCX5-GPRASP2/AUTS2/BDNF/DNM3/P3H1/STK24/CNTN2/CREB3L2/ACAP3/ITSN2/PODXL/ITGA3/PPP3CA/SYNE2/PTEN/HGF/EP300/CCDC88A/NME1/TCHP/PTPN9/CHN1/MYCBP2/KLHL41/ACTR2/DAB1/DYNC2LI1/PRKD1/GOLGA4/PAK3/VAMP7/VAMP7/SETX/B2M/PAFAH1B1/PPP1R16B/DGUOK/ATMIN/SEZ6/APC/EPHB3/MAP4/PTK2B/CD38/MEGF8/UST/ABHD17B/CRMP1/FBXW8/WDR36"
"GO:0007169","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",480,0.444912185290979,1.685598483685,3.9232610145553e-05,0.00750842520134803,0.00628620732158264,2050,"tags=20%, list=13%, signal=18%","PRKCA/PTPRG/CDH13/SDC2/APP/PLCB1/ROBO1/DOCK1/PDGFRA/VAV3/GAREM1/GFRA1/SHC3/ADRA2A/KALRN/EGFR/CADM4/PTK2/FYN/MTSS1/MBD5/PDGFC/ROCK1/NPTN/CD63/IGFBP3/PTPRA/FBXW7/NUS1/SIPA1L1/SPRED1/SH2B3/EPS15/CREB3L1/CSPG4/ANKS1A/RASA1/MYOF/NCKAP1/PHF14/NCSTN/PTPN12/FER/OGT/EPHB6/SPRY1/MMP2/ACTB/MVP/TIAM1/ACTR3/OPA1/EFNA5/ARID5B/NCK2/PID1/IGF2R/ARNT/ATP6V1B1/GPR21/ATP6V1G2/BDNF/CRIM1/NCBP2/ABI1/SOX9/MAPK1/FRS2/PTEN/REPS2/PTPRJ/HGF/ATP6V1H/ELMO1/VAV2/CHN1/MMRN2/ACTR2/SGPL1/EPN2/PRKD1/PTPRE/PAK3/ELMO2/SETX/HIF1A/ATP6V1A/ADIPOR1/TSG101/STXBP4/NDN/APC/PTPN11/EPHB3/DDR2/PTK2B/PDGFRB/PDGFB"
"GO:0032990","GO:0032990","cell part morphogenesis",470,0.503274326902147,1.90401945306119,3.933910306845e-05,0.00750842520134803,0.00628620732158264,1359,"tags=20%, list=9%, signal=19%","PRKCA/SDC2/APP/NRCAM/PTPRZ1/KIF5C/CDH4/KIRREL3/SEMA3A/ROBO1/MAP2/PTPRO/UNC5C/NLGN1/PLXNA4/NEDD4L/GFRA1/SHC3/GPM6A/ANK3/KALRN/EGFR/EXT1/ARC/NFIB/PTK2/FYN/ZEB2/CXCL12/DOCK10/UNC5B/PARD3/DLX5/ITGB1/MAP2K1/ROCK1/BMP7/NEK3/PRKN/RIMS2/PTPRA/KIDINS220/TMEM106B/SIPA1L1/MEF2A/ADAM10/CUX1/GSK3B/DISC1/BMPR2/TNIK/SPTBN1/MACF1/ETV1/SLIT1/RUFY3/OPHN1/KEL/DHX36/NCAM1/PPP3CB/TIAM1/ADGRB1/APBB2/OPA1/NES/EFNA5/NUBPL/PID1/PDLIM5/ABI2/UBE3A/ARHGAP35/ARMCX5-GPRASP2/POU4F1/AUTS2/TOP2B/BDNF/SPTBN5/DNM3/USP9X/CNTN2/ITSN2/USP33/ABI1/NTN4/COL25A1/PPP3CA/MAPK1/FRS2/NUMB/PTEN/HSP90AB1"
"GO:0045664","GO:0045664","regulation of neuron differentiation",469,0.476213049913619,1.80134836588735,3.93592317077971e-05,0.00750842520134803,0.00628620732158264,1853,"tags=22%, list=12%, signal=20%","PTPRG/SDC2/APP/NRCAM/CDH4/SEMA3A/ROBO1/MAP2/SPOCK1/PTPRO/NLGN1/SDK1/TENM3/PLXNA4/NEDD4L/KALRN/MAP4K4/ARC/PTK2/FYN/ZEB2/PBX1/CXCL12/HSPA5/ASAP1/MAP2K1/ROCK1/BMP7/NPTN/PRKN/MAGI2/RIMS2/KIDINS220/DLX1/TCF4/TMEM106B/SIPA1L1/OLIG2/MEF2C/ETV5/ADAM10/CUX1/ALK/SCARB2/CAMSAP2/GSK3B/DISC1/BMPR2/TNIK/MACF1/RUFY3/KEL/DHX36/ZNF536/ARSB/TUG1/NCOA1/TIAM1/OPA1/EFNA5/PDLIM5/ABI2/UBE3A/ARHGAP35/ARMCX5-GPRASP2/BDNF/GDF11/DNM3/P3H1/MEIS1/STK24/EYA1/CNTN2/CREB3L2/ACAP3/ITSN2/SOX9/ITGA3/PPP3CA/ZEB1/LSM1/PTEN/SOX8/HGF/EP300/CCDC88A/NME1/PTPN9/CHN1/MYCBP2/ACTR2/ID2/DAB1/HMG20A/KDM4C/PRKD1/GOLGA4/PAK3/VAMP7/VAMP7/SETX/B2M/PAFAH1B1/DGUOK/SEZ6"
"GO:0098655","GO:0098655","cation transmembrane transport",463,0.450463815679401,1.70177691121016,3.94679717409322e-05,0.00750842520134803,0.00628620732158264,1803,"tags=19%, list=12%, signal=17%","APP/PDE4D/KCNMA1/HOMER1/PARL/CEMIP/NLGN1/CACNA2D1/PRKCE/NEDD4L/GRIA4/KCNH1/ADRA2A/GPM6A/ANK3/KCNQ3/FYN/DLG1/ANK2/CAMK2D/AKAP6/KCND3/CACNG4/ITPR2/SLC20A2/SHROOM2/ASIC4/RYR3/GRIA1/NIPSNAP2/KCNQ5/ZDHHC17/CD63/KCNMB2/UTRN/THADA/ASIC1/MICU2/ATP2A2/DAPK1/COMMD1/SLC9A9/MEF2C/IBTK/SLC30A9/DLG2/COX6C/ATP5F1A/SRI/KEL/CALM1/NIPAL3/CACNA1A/CACNA2D3/CHRNE/OPA1/ATP2B1/KCNAB2/ATP6V1B1/AKAP9/EHD3/ATP6V1G2/P2RX6/TSPAN13/GRIA3/STK39/PPARGC1A/SLC33A1/PTEN/ATP7B/TRPC1/ATP6V1H/ATP1B2/MICU1/SLC25A3/SLC25A48/COX7C/CAB39/STIM2/SCN9A/SLC1A1/YME1L1/PARL/PARK7/KCNIP2/KIF5B/ATP6V1A/SLC30A1"
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis",449,0.509702397284803,1.92219802317321,3.96400681809173e-05,0.00750842520134803,0.00628620732158264,1359,"tags=20%, list=9%, signal=19%","PRKCA/SDC2/APP/NRCAM/PTPRZ1/KIF5C/CDH4/KIRREL3/SEMA3A/ROBO1/MAP2/PTPRO/UNC5C/NLGN1/PLXNA4/NEDD4L/GFRA1/SHC3/GPM6A/ANK3/KALRN/EGFR/EXT1/ARC/NFIB/PTK2/FYN/ZEB2/CXCL12/DOCK10/UNC5B/PARD3/DLX5/ITGB1/MAP2K1/ROCK1/BMP7/NEK3/PRKN/RIMS2/PTPRA/KIDINS220/TMEM106B/SIPA1L1/MEF2A/ADAM10/CUX1/GSK3B/DISC1/BMPR2/TNIK/SPTBN1/MACF1/ETV1/SLIT1/RUFY3/OPHN1/KEL/DHX36/NCAM1/PPP3CB/TIAM1/ADGRB1/APBB2/OPA1/EFNA5/PDLIM5/ABI2/UBE3A/ARHGAP35/ARMCX5-GPRASP2/POU4F1/AUTS2/TOP2B/BDNF/SPTBN5/DNM3/USP9X/CNTN2/ITSN2/USP33/ABI1/NTN4/COL25A1/PPP3CA/MAPK1/FRS2/NUMB/PTEN/HSP90AB1"
"GO:0048858","GO:0048858","cell projection morphogenesis",453,0.510097058886208,1.92378063020216,3.96542152430803e-05,0.00750842520134803,0.00628620732158264,1359,"tags=20%, list=9%, signal=19%","PRKCA/SDC2/APP/NRCAM/PTPRZ1/KIF5C/CDH4/KIRREL3/SEMA3A/ROBO1/MAP2/PTPRO/UNC5C/NLGN1/PLXNA4/NEDD4L/GFRA1/SHC3/GPM6A/ANK3/KALRN/EGFR/EXT1/ARC/NFIB/PTK2/FYN/ZEB2/CXCL12/DOCK10/UNC5B/PARD3/DLX5/ITGB1/MAP2K1/ROCK1/BMP7/NEK3/PRKN/RIMS2/PTPRA/KIDINS220/TMEM106B/SIPA1L1/MEF2A/ADAM10/CUX1/GSK3B/DISC1/BMPR2/TNIK/SPTBN1/MACF1/ETV1/SLIT1/RUFY3/OPHN1/KEL/DHX36/NCAM1/PPP3CB/TIAM1/ADGRB1/APBB2/OPA1/NES/EFNA5/PDLIM5/ABI2/UBE3A/ARHGAP35/ARMCX5-GPRASP2/POU4F1/AUTS2/TOP2B/BDNF/SPTBN5/DNM3/USP9X/CNTN2/ITSN2/USP33/ABI1/NTN4/COL25A1/PPP3CA/MAPK1/FRS2/NUMB/PTEN/HSP90AB1"
"GO:0048812","GO:0048812","neuron projection morphogenesis",438,0.517541590129683,1.94794888886565,3.97994109687177e-05,0.00750842520134803,0.00628620732158264,1359,"tags=21%, list=9%, signal=19%","PRKCA/SDC2/APP/NRCAM/PTPRZ1/KIF5C/CDH4/KIRREL3/SEMA3A/ROBO1/MAP2/PTPRO/UNC5C/NLGN1/PLXNA4/NEDD4L/GFRA1/SHC3/GPM6A/ANK3/KALRN/EGFR/EXT1/ARC/NFIB/PTK2/FYN/ZEB2/CXCL12/DOCK10/UNC5B/PARD3/DLX5/ITGB1/MAP2K1/ROCK1/BMP7/NEK3/PRKN/RIMS2/PTPRA/KIDINS220/TMEM106B/SIPA1L1/MEF2A/ADAM10/CUX1/GSK3B/DISC1/BMPR2/TNIK/SPTBN1/MACF1/ETV1/SLIT1/RUFY3/OPHN1/KEL/DHX36/NCAM1/PPP3CB/TIAM1/ADGRB1/APBB2/OPA1/EFNA5/PDLIM5/ABI2/UBE3A/ARHGAP35/ARMCX5-GPRASP2/POU4F1/AUTS2/TOP2B/BDNF/SPTBN5/DNM3/USP9X/CNTN2/ITSN2/USP33/ABI1/NTN4/COL25A1/PPP3CA/MAPK1/FRS2/NUMB/PTEN/HSP90AB1"
