"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0019953","GO:0019953","sexual reproduction",481,-0.467436204176873,-1.64772449733952,5.6277787157409e-05,0.00308764513838104,0.00262358011458378,2368,"tags=24%, list=15%, signal=21%","TIAL1/CETN2/KDM5B/EIF2S2/ACVR1/SPIN4/AGFG1/KDM2B/TCP1/AGO4/ATRX/EIF4H/CEP57/MSH2/HSPA2/CCT8/NDRG3/PRDX4/USP9X/SMAD4/MFSD14A/MLH1/RAB3A/LEPR/WDR48/SIAH1/SPATA6/CCT4/TUBGCP3/TCFL5/SPA17/MASTL/PAQR8/FOXO3/IFT81/ANGPT2/SLC2A14/KDM5A/CRKL/E2F1/REC8/ING2/ZMIZ1/CTDNEP1/MAST2/ALKBH5/TMF1/AURKC/YY1/CCT5/ABHD2/SPIRE1/ZNF449/CIP2A/NR2C2/KHDRBS1/ANG/FBXO5/GMCL1/GGNBP2/ALDOA/CDK1/TUT4/MNS1/THRA/B4GALT1/TGFBR1/CDC25C/RPS6/PTX3/NCAPH/UBE2J1/CCNB1IP1/UBE3A/NDC1/VDAC2/SCMH1/NCOA1/BCL6/IMMP2L/JAM3/STX2/PGM3/ITGB1/SEPTIN7/ODF2/TOP2A/MFGE8/SUN1/CLIC4/H3F3B/RFX2/CCNI/RAD23B/ADAM10/PLK1/PTN/KNL1/CD9/KIFC1/CCNB1/KDM3A/QKI/CALR/PTTG1/DIAPH2/RACGAP1/AURKA/KIF18A/SNRPA1/RGS2/APP/TTK/HMGB2/ASPM"
"GO:0010638","GO:0010638","positive regulation of organelle organization",489,-0.453355688125812,-1.60044158452735,5.63285078578268e-05,0.00308764513838104,0.00262358011458378,2283,"tags=27%, list=15%, signal=23%","LNPK/PRKN/ARHGEF10L/RESF1/BRD7/TCP1/GTF2H2/RICTOR/PPP3CC/ATRX/MAPK3/RIF1/FBXO7/USP36/CCT8/TMED9/SMAD4/OPTN/DSTN/DDHD2/CCT4/BRCA1/SNAI2/WASL/KIF5B/PFN1/MAPT/CENPJ/SART3/E2F1/MAPRE1/ING2/ARHGAP35/SAE1/ARPIN/PAXIP1/SNX9/FAM162A/ACTN2/CNOT2/CCT5/PAXBP1/SPIRE1/RAB3GAP2/MTF2/ARF1/NEK7/SURF4/VPS13D/YWHAQ/KMT2A/TP53BP2/ANXA2/NSD3/RPS6KA5/PLAUR/UBE2D3/SFPQ/OPA1/SIN3A/MIER1/FCHSD2/PKIB/TNKS/TPR/RHOA/MNS1/OGT/POT1/RAC1/XRCC5/NUMA1/TGFBR1/FER/AKAP8L/JARID2/RPS3/CCDC88A/NIPBL/BCL6/AURKB/AUTS2/NTRK3/MSN/FMR1/YWHAE/PHF1/UBE2C/ESPL1/SEPTIN7/ROCK2/INSR/NES/TET1/S100A10/ABI2/NCKAP1/PHIP/AKAP8/CEP135/PHF19/NCK1/DLG1/HNRNPA2B1/YWHAH/HNRNPD/PLK4/NEK2/SPAG5/NUSAP1/PSRC1/HNRNPA1/PDGFRB/CCNB1/KIRREL1/BNIP3/LMAN1/HK2/KMT2E/AURKA/PRKCE/HNRNPU/GPSM2/ARHGEF10/BRD4/RAD21/SEPTIN9/DLGAP5/TENM1/SEMA5A"
"GO:0051301","GO:0051301","cell division",498,-0.623913401311236,-2.20517971867111,5.64111242737068e-05,0.00308764513838104,0.00262358011458378,1926,"tags=33%, list=12%, signal=30%","CDC7/MYH10/HAUS3/CENPC/HAUS1/ERCC6L/SKA2/MASTL/AHCTF1/TACC1/BABAM2/PKP4/CKAP2/WASL/SPART/PPP1CB/CENPJ/NCAPG2/POGZ/MAPRE1/ING2/FBXL7/CKS1B/USP37/BUB3/SNX9/TIPIN/EFHC1/CSNK1A1/VEGFB/RASA1/KATNA1/KIF18B/AURKC/SPC25/YBX1/PDS5A/SPIRE1/ZNF449/MAD2L2/ZWINT/RAB11FIP4/ARF1/CCSAP/TTC28/CCNT2/INCENP/CCND2/SGO1/LRRCC1/SETD2/UBE2I/RALA/FBXO5/NCOA3/TNKS/TPR/CDK1/RHOA/CDK2/SPICE1/STAG2/ANXA11/KLHL13/FGFR2/UBE2S/MCMBP/CCNY/NUMA1/SMC2/CDC25C/CIT/NCAPH/RPS3/CCNF/PPP1CC/CNTROB/USP16/KIF20B/AURKB/PARD3B/TUBA1B/TACC3/ZNF207/GOLGA2/WEE1/UBE2C/SPDL1/CALM3/ESPL1/SAPCD2/TOP2A/RBL2/CNTRL/PDS5B/TUBB/KNTC1/BORA/CCNG2/WWTR1/MAP4/PDGFA/KIF20A/STMN1/PARD3/KNSTRN/PLK1/PTN/KIF4A/CEP55/MIS18BP1/SMC3/CDCA2/NUF2/RACK1/MAD2L1/KNL1/NEK2/NCAPG/SPAG5/NUSAP1/BIRC5/HMGA2/PSRC1/SPTBN1/NCAPD2/ANLN/KIFC1/SMC4/NDC80/CCNB1/KIF14/EPB41L2/KIF11/CENPA/CKAP5/CDK14/PRC1/SGO2/PTTG1/CDCA3/ECT2/CEP63/KIF2C/RACGAP1/KIF23/AURKA/CCNB2/FAM83D/CDC20/STAG1/PRKCE/HNRNPU/GPSM2/NEK6/CKS2/CCNA2/RAD21/CDCA8/TPX2/FGFR1/CENPF/BUB1/BUB1B/ASPM/CENPE"
"GO:0045664","GO:0045664","regulation of neuron differentiation",466,-0.462049826687575,-1.62372303402201,5.65642853102551e-05,0.00308764513838104,0.00262358011458378,1835,"tags=24%, list=12%, signal=22%","ASAP1/SPAG9/TNIK/DLG5/STX1B/KREMEN1/CAMSAP2/HES5/SCARB2/INPP5F/FOXO3/SPART/HES1/KANK1/MT3/CRKL/MAPT/CREB3L2/GDI1/GLI2/ARHGAP35/SRGAP2C/MAPK6/ARHGAP33/SEMA3A/TIMP2/SIPA1L1/ANKRD27/CUX1/ITSN1/TUG1/ULK4/ARF1/CAMK1D/OPA1/LINGO1/NLGN3/P3H1/MYO9A/CSNK1E/DISC1/KDM4C/VLDLR/ILK/ARMCX5-GPRASP2/IQGAP1/RHOA/ID2/DENND5A/SHOX2/CHN1/MAP4K4/GLI3/SDK1/UBE3A/CCDC88A/EFNA3/STK24/PARP6/NCOA1/BCL6/SDC2/NLGN1/NTRK3/FMR1/UST/PTK2/PLXNA4/DPYSL2/VIM/DLG4/EZH2/CPNE1/HSPA5/SOX11/DISP3/KALRN/MAP2/ABI2/ROCK1/ZEB2/NCK1/SPOCK1/ITGA3/ADGRB3/ADAM10/PTN/YWHAH/ALK/FYN/DSCAM/IFRD1/ROBO1/B2M/DCC/CDH4/CALR/ECT2/EPHA3/OLFM1/TUBB2B/CDC20/GPRC5B/RGS2/APP/PMP22/NEDD4L/ZEB1/FGFR1/ASPM/TENM3/SEMA5A/PTPRG"
"GO:0072657","GO:0072657","protein localization to membrane",461,-0.489153803925395,-1.71737251668328,5.65738854944558e-05,0.00308764513838104,0.00262358011458378,2381,"tags=32%, list=15%, signal=28%","RAB8A/RAP1A/RPS10/RPL39/SRP54/SYNGAP1/RPL23A/PRKN/VTI1B/RPL35A/PPP3CC/RPS14/RPL41/RPL37A/GOLPH3/RPS12/RAB3IP/RABEP1/OPTN/RPL9/PTPN9/MRAP2/RPL27/STAC2/TNIK/RPSA/RPL13A/RPS3A/KIF5B/CRKL/UBA52/E2F1/RPL31/RPL34/GDI1/RPS2/TMED2/SORBS1/RPL4/APPL1/ACTN2/RPL13/BRAF/RAB3GAP2/ATG3/MMP14/SRP72/TTC7B/RAB8B/LZTFL1/YWHAQ/RPL35/PKDCC/DPP6/RFTN1/RPL36A/TP53BP2/GPHN/RPLP0/RPS25/RPS4Y1/RPL7/EMP2/NPC1/RPS23/AP2B1/RDX/RPS4X/WDR19/ACSL3/RPL19/SSR3/ZFAND2B/RPL7A/RPL14/RPLP2/RPL26/RAB13/SYNE3/HSP90AA1/RAPGEF6/RPL37/STX7/STX8/RPS24/RPL30/RPS6/TRAM1/RPS20/RPS3/RPS18/RPS27A/PPP2R5A/LGALS3/RPS29/RPL12/RPL3/RAB31/RPL22/CDH2/GPC4/RPL17/ITGB1/RPL24/NLGN1/RPL11/EFR3B/RPL5/YWHAE/RPL10A/CALM3/SEC63/GGA2/BSG/ROCK2/DLG4/TRAM2/RPL32/HSPA5/MYADM/RPS16/S100A10/PICALM/RPS15A/ROCK1/RPS8/RPS7/RPS11/RPS27/DLG1/RPS17/ITGA3/PARD3/ADAM10/PTN/YWHAH/RPL10/TSPAN5/RACK1/FYN/RPL21/VAMP2/SEC23A/SPTBN1/FERMT2/SSR2/EPHA3/PRKCE/AFDN"
"GO:0000226","GO:0000226","microtubule cytoskeleton organization",420,-0.53840305209848,-1.87786478644922,5.67343696811528e-05,0.00308764513838104,0.00262358011458378,2001,"tags=30%, list=13%, signal=27%","SPRY2/MLH1/KPNB1/SPRY1/NCOR1/HAUS3/FGFR1OP/SYNE2/NUBP1/HAUS1/SKA2/TUBGCP3/BRCA1/TUBGCP5/TACC1/CKAP2/CAMSAP2/MAPT/CENPJ/PCNT/MAPRE1/SRGAP2C/SBDS/FOPNL/CEP350/EFHC1/CRYAB/RASSF1/KATNA1/TAOK1/KIF18B/AURKC/SPC25/SPIRE1/STIL/CHORDC1/CEP192/ULK4/CHEK1/NEK7/CCSAP/SGO1/SETD2/FBXO5/PIBF1/DISC1/TNKS/TPR/CDK1/ATXN7/RHOA/CDK2/SPICE1/STAG2/CEP70/NPM1/RAC1/DYRK1A/PHLDB2/NUMA1/FER/CEP152/CNTLN/RPS3/CCNF/CNTROB/AURKB/PPP1R12A/TACC3/ZNF207/GOLGA2/PTK2/WEE1/SPDL1/ESPL1/SAPCD2/ODF2/ROCK2/TUBB/SUN1/BICD1/MAP2/BORA/MAP4/RANBP9/CEP135/KIF20A/DLG1/STMN1/KNSTRN/PLK1/SLC16A1/KIF4A/SMC3/PLK4/MAD2L1/NEK2/SPAG5/NUSAP1/PSRC1/KIFC1/XPO1/SUN2/NDC80/CCNB1/KIF11/CENPA/CKAP5/PRC1/CEP63/KIF2C/EPHA3/RACGAP1/KIF23/AURKA/KIF18A/CDC20/STAG1/GAS2L3/GAPDH/HNRNPU/GPSM2/NEK6/ARHGEF10/TTK/TPX2/ASPM/CENPE"
"GO:0006397","GO:0006397","mRNA processing",427,-0.572202379577809,-1.99793932063607,5.67375886524823e-05,0.00308764513838104,0.00262358011458378,2656,"tags=36%, list=17%, signal=30%","SNRNP200/POLR2H/XRN2/THOC3/SLU7/RNPS1/DHX38/RBBP6/SNRPD2/CDC73/RBM5/PCF11/GEMIN2/IWS1/SNRPD1/SYF2/CDK12/CHTOP/PNPT1/SNRNP40/RNPC3/CDC40/GTF2H2/SON/DDX17/WTAP/DDX42/MAGOHB/U2AF1/CIR1/CASC3/BARD1/VIRMA/DDX47/BUD13/SRSF10/CPSF6/PRPF8/PABPN1/MTREX/RBM26/SMN1/CTNNBL1/SUGP2/THRAP3/SARNP/LSM2/ZCCHC8/ALYREF/DHX9/MNAT1/SLBP/HNRNPM/HNRNPL/FAM172A/PTBP1/NONO/SART3/PDCD7/PSIP1/CWC15/POLDIP3/TRA2A/CLASRP/LSM8/ACIN1/USP49/ALKBH5/YBX1/SF3B2/POLR2J/RBM27/PAN3/PPIH/DDX41/ZCRB1/PABPC1/ZC3H11A/SRSF4/AKAP17A/AKAP17A/KHDRBS1/SNRPA/SRSF3/SFPQ/SYNCRIP/U2SURP/THOC2/ZRANB2/SRRT/LSM3/PAPOLA/TARDBP/NOVA1/RBM25/WBP11/RBM17/HNRNPUL1/PRPF3/RBFOX2/DDX39A/SRRM2/DYRK1A/THOC1/KHDC4/AKAP8L/POLR2B/CDK13/HNRNPK/PTBP2/SRSF7/HNRNPA3/CWC22/LGALS3/RBMX/DDX39B/YTHDC1/CWC27/TRA2B/EIF4A3/RBM39/CWC25/TENT4A/FMR1/NUDT21/HNRNPF/PNN/SF3B1/SRSF5/RBM22/RNMT/HSPA8/DHX15/SRRM1/HNRNPH1/SRSF2/SRSF9/HNRNPA2B1/HNRNPC/RSRC1/SRSF1/HNRNPD/PCBP2/JMJD6/HNRNPA1/HNRNPH3/CCNB1/QKI/SNRPA1/HNRNPU/HNRNPR/APP"
"GO:0010720","GO:0010720","positive regulation of cell development",373,-0.471466089726149,-1.6277163335533,5.69638279692395e-05,0.00308764513838104,0.00262358011458378,1763,"tags=22%, list=11%, signal=20%","SPAG9/DLG5/SCARB2/HES1/PARP2/CRKL/MAPT/E2F1/CREB3L2/GDI1/GLI2/ARHGAP35/SRGAP2C/MAPK6/TIMP2/ANKRD27/DICER1/CUX1/ITSN1/ARF1/CAMK1D/OPA1/P3H1/CSNK1E/SRRT/DISC1/KDM4C/VLDLR/ILK/ARMCX5-GPRASP2/IQGAP1/RHOA/ID2/SHOX2/RAC1/XRCC5/ZNF609/GLI3/PPP1CC/NIPBL/PARP6/NCOA1/KIF20B/BCL6/DDX39B/NLGN1/NTRK3/FMR1/DLG4/DOCK1/EZH2/CPNE1/HSPA5/SOX11/MYADM/KALRN/S100A10/SMARCD3/ZEB2/NCK1/ITGA3/PTN/ALK/FYN/DSCAM/ROBO1/RHEB/CDH4/CALR/ECT2/EPHA3/TUBB2B/AURKA/GPRC5B/RGS2/APP/NEDD4L/PTPRZ1/ZEB1/FGFR1/ASPM/TENM3/SEMA5A"
"GO:0008380","GO:0008380","RNA splicing",376,-0.582611026240922,-2.01309316031028,5.6986551173923e-05,0.00308764513838104,0.00262358011458378,2656,"tags=37%, list=17%, signal=32%","SNRNP200/POLR2H/THOC3/SLU7/RPS13/RNPS1/RTRAF/DHX38/SNRPD2/RBM5/SCAF8/PCF11/GEMIN2/IWS1/SNRPD1/SYF2/CDK12/SNRNP40/RNPC3/CDC40/SON/DDX17/WTAP/DDX42/MAGOHB/U2AF1/CIR1/CASC3/VIRMA/DDX47/BUD13/SRSF10/CLK4/PRPF8/PABPN1/MTREX/SMN1/CTNNBL1/SUGP2/THRAP3/LSM2/ZCCHC8/ALYREF/DHX9/HNRNPM/HNRNPL/FAM172A/LUC7L3/PTBP1/NONO/SART3/PDCD7/PSIP1/CWC15/TRA2A/CLASRP/LSM8/ACIN1/USP49/YBX1/SF3B2/POLR2J/PPIH/DDX41/ZCRB1/PABPC1/SRSF4/AKAP17A/AKAP17A/KHDRBS1/SNRPA/SRSF3/SFPQ/SYNCRIP/U2SURP/THOC2/CLK3/ZRANB2/SRRT/LSM3/PAPOLA/TARDBP/NOVA1/RBM25/WBP11/RBM17/HNRNPUL1/PRPF3/IVNS1ABP/RBFOX2/DDX39A/SRRM2/DYRK1A/THOC1/KHDC4/AKAP8L/POLR2B/CDK13/HNRNPK/PTBP2/SRSF7/HNRNPA3/CWC22/LGALS3/RBMX/DDX39B/YTHDC1/CWC27/TRA2B/TMBIM6/EIF4A3/RBM39/CWC25/FMR1/NUDT21/HNRNPF/PNN/SF3B1/SRSF5/RBM22/HSPA8/DHX15/SRRM1/HNRNPH1/SRSF2/SRSF9/HNRNPA2B1/HNRNPC/RSRC1/SRSF1/HNRNPD/CLK1/PCBP2/JMJD6/HNRNPA1/HNRNPH3/QKI/SNRPA1/HNRNPU/HNRNPR"
"GO:0016569","GO:0016569","covalent chromatin modification",382,-0.506634417124512,-1.75285713222568,5.70157933747648e-05,0.00308764513838104,0.00262358011458378,3090,"tags=40%, list=20%, signal=32%","WDR5/KDM5C/ZNF304/HELLS/UHRF1/PHF2/VEGFA/SKP1/PCGF1/PADI2/TADA1/UBE2N/PRDM2/PKN1/SREBF1/BMI1/TAF10/ATXN3/DNMT1/DOT1L/PER2/CTCF/KDM2A/KAT6B/RBM14/KMT5A/TADA2A/PCGF2/KMT5B/EPC1/CDC73/DNMT3B/IWS1/KANSL1/TET2/CHTOP/KDM5B/MBIP/CRTC2/PHC1/RESF1/KDM2B/BRD7/RBBP5/HAT1/ATRX/MAPK3/KAT8/MYSM1/TAF7/RIF1/USP36/LEF1/SMAD4/RCOR1/YEATS4/MLLT6/ACTL6A/BAZ2A/UIMC1/TAF5/BRCA1/CAMK2D/SNAI2/MT3/MSL2/KDM5A/SART3/ING2/JAK2/PAXIP1/SET/KANSL1L/USP49/DR1/AURKC/PAXBP1/MTF2/MSL1/SKI/DPF1/HDAC5/CHEK1/ATF2/KMT2A/MBD2/SAP30/NSD3/RPS6KA5/SFPQ/SUZ12/SETD2/SIN3A/RLF/MIER1/KDM6A/NCOA3/KDM5D/CDK1/KDM4C/SMYD3/ATXN7/DCAF1/CDK2/USP7/OGT/RNF168/BRD8/EZH1/KMT2C/AKAP8L/JARID2/WAC/NIPBL/USP16/KDM7A/NCOA1/BCL6/AURKB/HIST1H1C/AUTS2/FMR1/CHD1/PHF1/PRKCA/KAT6A/EZH2/UBR5/TET1/NSD2/FBL/ASXL1/AKAP8/PHF19/SAP30L/USP3/PER1/HMGA2/JMJD6/HDAC9/MORF4L1/SETD5/JADE1/CCNB1/KDM3A/BCOR/KMT2E/AURKA/CCNA2/BRD4/EYA2"
