"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0071214","GO:0071214","cellular response to abiotic stimulus",241,0.454215035965871,1.81640298533226,5.94035879767138e-05,0.00276029126845354,0.00243327657345164,1981,"tags=20%, list=13%, signal=17%","CDKN1A/DDB2/AKR1B1/MDM2/TP53INP1/TRPV4/TRIAP1/RIPOR2/ITGA2/XPC/EGFR/GADD45A/BAX/POLH/FAS/PTEN/TRPV1/BAK1/YBX3/SCN2A/ARHGEF2/COL1A1/ERCC4/ST20/CASP3/HRAS/LIG4/DDB1/SLC9A1/USP47/BCL2L1/CDC25A/HDAC4/NEDD4/SLC38A3/FADD/POLK/KCNJ2/BAD/ATR/CRY1/TNFRSF10B/IFI16/HYAL3/ATP1A2/RHOB/MMP7"
"GO:0104004","GO:0104004","cellular response to environmental stimulus",241,0.454215035965871,1.81640298533226,5.94035879767138e-05,0.00276029126845354,0.00243327657345164,1981,"tags=20%, list=13%, signal=17%","CDKN1A/DDB2/AKR1B1/MDM2/TP53INP1/TRPV4/TRIAP1/RIPOR2/ITGA2/XPC/EGFR/GADD45A/BAX/POLH/FAS/PTEN/TRPV1/BAK1/YBX3/SCN2A/ARHGEF2/COL1A1/ERCC4/ST20/CASP3/HRAS/LIG4/DDB1/SLC9A1/USP47/BCL2L1/CDC25A/HDAC4/NEDD4/SLC38A3/FADD/POLK/KCNJ2/BAD/ATR/CRY1/TNFRSF10B/IFI16/HYAL3/ATP1A2/RHOB/MMP7"
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator",97,0.582600858620747,2.05793666780966,6.34558030331874e-05,0.00276029126845354,0.00243327657345164,354,"tags=16%, list=2%, signal=16%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/RPS27L/PIDD1/BAX/PMAIP1/SOX4/BTG2/ACER2/PPM1D/CD44"
"GO:0044774","GO:0044774","mitotic DNA integrity checkpoint",86,0.60038413178132,2.08097675644015,6.37836458731981e-05,0.00276029126845354,0.00243327657345164,230,"tags=15%, list=1%, signal=15%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/XPC/GADD45A/RPS27L/PIDD1/BAX/SOX4/BTG2"
"GO:0044773","GO:0044773","mitotic DNA damage checkpoint",82,0.619125902711727,2.12883531046614,6.38855171532614e-05,0.00276029126845354,0.00243327657345164,230,"tags=16%, list=1%, signal=16%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/XPC/GADD45A/RPS27L/PIDD1/BAX/SOX4/BTG2"
"GO:0007077","GO:0007077","mitotic nuclear envelope disassembly",11,-0.897806388659061,-2.08351192470433,6.42714827431069e-05,0.00276029126845354,0.00243327657345164,555,"tags=55%, list=4%, signal=53%","CDK1/NEK6/LPIN1/CCNB1/CCNB2/PLK1"
"GO:0044783","GO:0044783","G1 DNA damage checkpoint",61,0.663302296532373,2.17315068627459,6.4968814968815e-05,0.00276029126845354,0.00243327657345164,230,"tags=20%, list=1%, signal=19%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/RPS27L/PIDD1/BAX/SOX4/BTG2"
"GO:0031571","GO:0031571","mitotic G1 DNA damage checkpoint",60,0.667228637025269,2.17934812225529,6.50660420326631e-05,0.00276029126845354,0.00243327657345164,230,"tags=20%, list=1%, signal=20%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/RPS27L/PIDD1/BAX/SOX4/BTG2"
"GO:0044819","GO:0044819","mitotic G1/S transition checkpoint",60,0.667228637025269,2.17934812225529,6.50660420326631e-05,0.00276029126845354,0.00243327657345164,230,"tags=20%, list=1%, signal=20%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/RPS27L/PIDD1/BAX/SOX4/BTG2"
"GO:0051382","GO:0051382","kinetochore assembly",16,-0.822134155786761,-2.09531194608152,6.51126448756348e-05,0.00276029126845354,0.00243327657345164,32,"tags=31%, list=0%, signal=31%","POGZ/CENPW/CENPA/CENPF/CENPE"
"GO:0072413","GO:0072413","signal transduction involved in mitotic cell cycle checkpoint",55,0.672390795806898,2.16275086937465,6.5291198746409e-05,0.00276029126845354,0.00243327657345164,230,"tags=20%, list=1%, signal=20%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/PIDD1/BAX/SOX4/BTG2"
"GO:1902402","GO:1902402","signal transduction involved in mitotic DNA damage checkpoint",55,0.672390795806898,2.16275086937465,6.5291198746409e-05,0.00276029126845354,0.00243327657345164,230,"tags=20%, list=1%, signal=20%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/PIDD1/BAX/SOX4/BTG2"
"GO:1902403","GO:1902403","signal transduction involved in mitotic DNA integrity checkpoint",55,0.672390795806898,2.16275086937465,6.5291198746409e-05,0.00276029126845354,0.00243327657345164,230,"tags=20%, list=1%, signal=20%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/PIDD1/BAX/SOX4/BTG2"
"GO:0072431","GO:0072431","signal transduction involved in mitotic G1 DNA damage checkpoint",54,0.67251292438547,2.15532701182598,6.53295877703012e-05,0.00276029126845354,0.00243327657345164,230,"tags=20%, list=1%, signal=20%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/PIDD1/BAX/SOX4/BTG2"
"GO:1902400","GO:1902400","intracellular signal transduction involved in G1 DNA damage checkpoint",54,0.67251292438547,2.15532701182598,6.53295877703012e-05,0.00276029126845354,0.00243327657345164,230,"tags=20%, list=1%, signal=20%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/PIDD1/BAX/SOX4/BTG2"
"GO:0030397","GO:0030397","membrane disassembly",15,-0.87536610296506,-2.19292038991232,6.53722952212852e-05,0.00276029126845354,0.00243327657345164,747,"tags=47%, list=5%, signal=44%","AKAP8L/CDK1/NEK6/LPIN1/CCNB1/CCNB2/PLK1"
"GO:0051081","GO:0051081","nuclear envelope disassembly",15,-0.87536610296506,-2.19292038991232,6.53722952212852e-05,0.00276029126845354,0.00243327657345164,747,"tags=47%, list=5%, signal=44%","AKAP8L/CDK1/NEK6/LPIN1/CCNB1/CCNB2/PLK1"
"GO:0006977","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",53,0.675248638407784,2.15564688431434,6.54921736852446e-05,0.00276029126845354,0.00243327657345164,230,"tags=21%, list=1%, signal=21%","CDKN1A/PLK2/MDM2/E2F7/PLK3/TRIAP1/GADD45A/PIDD1/BAX/SOX4/BTG2"
"GO:0051383","GO:0051383","kinetochore organization",20,-0.784249393864067,-2.10271652589755,6.55651717807501e-05,0.00276029126845354,0.00243327657345164,68,"tags=35%, list=0%, signal=35%","POGZ/CENPW/SMC4/NDC80/CENPA/CENPF/CENPE"
"GO:0090169","GO:0090169","regulation of spindle assembly",25,-0.711278487681881,-2.00541471757453,6.56900742297839e-05,0.00276029126845354,0.00243327657345164,3195,"tags=48%, list=21%, signal=38%","TPR/NUMA1/CCSAP/STAG2/STAG1/MAPK15/CHMP2A/HNRNPU/SMC3/GPSM2/SPAG5/PLK1"
"GO:0007143","GO:0007143","female meiotic nuclear division",24,-0.710149370120242,-1.98413951593298,6.57116572479958e-05,0.00276029126845354,0.00243327657345164,35,"tags=21%, list=0%, signal=21%","NCAPH/TOP2A/TTK/AURKA/PLK1"
"GO:0051294","GO:0051294","establishment of spindle orientation",24,-0.739825883659651,-2.06705494990526,6.57116572479958e-05,0.00276029126845354,0.00243327657345164,699,"tags=33%, list=5%, signal=32%","SPRY1/SPDL1/MAD2L1/SAPCD2/GPSM2/NDC80/CENPA/PLK1"
"GO:0061842","GO:0061842","microtubule organizing center localization",24,-0.722585197795366,-2.01888490632791,6.57116572479958e-05,0.00276029126845354,0.00243327657345164,196,"tags=29%, list=1%, signal=29%","KIF5B/SUN2/NUBP1/MAD2L1/GPSM2/AURKA/ASPM"
"GO:0051642","GO:0051642","centrosome localization",23,-0.733594817436434,-2.03303772217737,6.58067912608581e-05,0.00276029126845354,0.00243327657345164,1824,"tags=30%, list=12%, signal=27%","KIF5B/SUN2/NUBP1/MAD2L1/GPSM2/AURKA/ASPM"
"GO:0000132","GO:0000132","establishment of mitotic spindle orientation",22,-0.757938536273874,-2.07527754808417,6.59239237919441e-05,0.00276029126845354,0.00243327657345164,699,"tags=36%, list=5%, signal=35%","SPRY1/SPDL1/MAD2L1/SAPCD2/GPSM2/NDC80/CENPA/PLK1"
