"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0032990","GO:0032990","cell part morphogenesis",487,-0.446657251568974,-1.75928807622431,5.04948495253484e-05,0.0134114284255927,0.0121481254625731,1825,"tags=20%, list=12%, signal=18%","SRGAP2/PTPRM/SEMA3A/SYT17/CUX1/GSK3B/OLFM1/UNC5C/SYT2/LLPH/PSEN1/WDR36/WEE1/SYT3/NRCAM/SPTB/PPP3CA/GATA3/DISC1/BMP7/ANKRD27/ZEB2/EXT1/FRS2/PAK3/APOE/PACSIN1/MT3/KLF7/APBB2/ZNF335/SUPV3L1/BMPR1B/YWHAH/CUX2/PRKCQ/FEZ2/EFNA1/DSCAML1/NLGN1/PNPT1/PPP1R9A/CXCL12/FZD4/DTNBP1/SHC3/CRPPA/DYNLT1/NCAM1/SSBP1/UST/NGFR/TCTN1/NUBPL/S100B/DOK6/NTRK2/TNIK/PTN/PID1/CSPG5/TNFRSF12A/MATN2/SH3KBP1/PRKN/PTK2/PRKCA/KALRN/ROBO1/GLI3/PLXNA4/TNN/RIMS2/DOCK10/FARP1/COBL/SLIT1/ARHGEF7/MAP2/EPHB1/NTN4/PARD3/EGFR/ANK3/DCC/GPM6A/PTPRD/FYN/NTRK3/APP/PTPRO/ADGRB3/DCLK1/CTNND2/ALCAM/SEMA5A/TNR/PTPRZ1"
"GO:0045664","GO:0045664","regulation of neuron differentiation",491,-0.4125850245732,-1.62591024922852,5.04999495000505e-05,0.0134114284255927,0.0121481254625731,1804,"tags=18%, list=11%, signal=16%","WASHC5/SEMA3A/SYT17/CUX1/GSK3B/OLFM1/TRIM67/SYT2/LLPH/PSEN1/ID2/WDR36/PRKD1/RTN4RL1/NME2/SYT3/NRCAM/PPP3CA/GATA3/DISC1/BMP7/ANKRD27/ZEB2/DGUOK/PAK3/APOE/STK24/ZEB1/PACSIN1/MT3/MMD/HES1/NCOA1/YWHAH/CUX2/EFNA1/NLGN1/SIX1/ARSB/NME1/PPP1R9A/CXCL12/FZD4/RAP1A/VIM/DYNLT1/UST/NGFR/CNTN1/SEZ6/NTRK2/MAGI2/TNIK/PTN/ASAP1/TNFRSF12A/OLIG2/SDK1/PRKN/PTK2/KALRN/ROBO1/KDM4C/GLI3/PLXNA4/RIMS2/COBL/MAP2/HSPA5/HEY2/DCC/AGT/PTPRD/FYN/ALK/EPHA3/SPOCK1/NTRK3/APP/PTPRO/ASCL1/ADGRB3/SFRP2/PTPRG/SEMA5A/TNR/BRINP3"
"GO:0048858","GO:0048858","cell projection morphogenesis",469,-0.443830733721074,-1.74313060171444,5.07150826655847e-05,0.0134114284255927,0.0121481254625731,1825,"tags=20%, list=12%, signal=18%","SRGAP2/PTPRM/SEMA3A/SYT17/CUX1/GSK3B/OLFM1/UNC5C/SYT2/LLPH/PSEN1/WDR36/WEE1/SYT3/NRCAM/SPTB/PPP3CA/GATA3/DISC1/BMP7/ANKRD27/ZEB2/EXT1/FRS2/PAK3/APOE/PACSIN1/MT3/KLF7/APBB2/ZNF335/BMPR1B/YWHAH/CUX2/PRKCQ/FEZ2/EFNA1/DSCAML1/NLGN1/PPP1R9A/CXCL12/FZD4/DTNBP1/SHC3/CRPPA/DYNLT1/NCAM1/UST/NGFR/TCTN1/S100B/DOK6/NTRK2/TNIK/PTN/CSPG5/TNFRSF12A/MATN2/SH3KBP1/PRKN/PTK2/PRKCA/KALRN/ROBO1/GLI3/PLXNA4/TNN/RIMS2/DOCK10/FARP1/COBL/SLIT1/ARHGEF7/MAP2/EPHB1/NTN4/PARD3/EGFR/ANK3/DCC/GPM6A/PTPRD/FYN/NTRK3/APP/PTPRO/ADGRB3/DCLK1/CTNND2/ALCAM/SEMA5A/TNR/PTPRZ1"
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis",465,-0.444524514440324,-1.74436063075768,5.08130081300813e-05,0.0134114284255927,0.0121481254625731,1825,"tags=20%, list=12%, signal=18%","SRGAP2/PTPRM/SEMA3A/SYT17/CUX1/GSK3B/OLFM1/UNC5C/SYT2/LLPH/PSEN1/WDR36/WEE1/SYT3/NRCAM/SPTB/PPP3CA/GATA3/DISC1/BMP7/ANKRD27/ZEB2/EXT1/FRS2/PAK3/APOE/PACSIN1/MT3/KLF7/APBB2/ZNF335/BMPR1B/YWHAH/CUX2/PRKCQ/FEZ2/EFNA1/DSCAML1/NLGN1/PPP1R9A/CXCL12/FZD4/DTNBP1/SHC3/CRPPA/DYNLT1/NCAM1/UST/NGFR/TCTN1/S100B/DOK6/NTRK2/TNIK/PTN/TNFRSF12A/MATN2/SH3KBP1/PRKN/PTK2/PRKCA/KALRN/ROBO1/GLI3/PLXNA4/TNN/RIMS2/DOCK10/FARP1/COBL/SLIT1/ARHGEF7/MAP2/EPHB1/NTN4/PARD3/EGFR/ANK3/DCC/GPM6A/PTPRD/FYN/NTRK3/APP/PTPRO/ADGRB3/DCLK1/CTNND2/ALCAM/SEMA5A/TNR/PTPRZ1"
"GO:0048812","GO:0048812","neuron projection morphogenesis",453,-0.446354588731695,-1.74766519146989,5.09658019468936e-05,0.0134114284255927,0.0121481254625731,1825,"tags=20%, list=12%, signal=18%","SRGAP2/PTPRM/SEMA3A/SYT17/CUX1/GSK3B/OLFM1/UNC5C/SYT2/LLPH/PSEN1/WDR36/WEE1/SYT3/NRCAM/SPTB/PPP3CA/GATA3/DISC1/BMP7/ANKRD27/ZEB2/EXT1/FRS2/PAK3/APOE/PACSIN1/MT3/KLF7/APBB2/ZNF335/BMPR1B/YWHAH/CUX2/PRKCQ/FEZ2/EFNA1/DSCAML1/NLGN1/PPP1R9A/CXCL12/FZD4/DTNBP1/SHC3/CRPPA/DYNLT1/NCAM1/UST/NGFR/TCTN1/S100B/DOK6/NTRK2/TNIK/PTN/TNFRSF12A/MATN2/SH3KBP1/PRKN/PTK2/PRKCA/KALRN/ROBO1/GLI3/PLXNA4/TNN/RIMS2/DOCK10/FARP1/COBL/SLIT1/MAP2/EPHB1/NTN4/PARD3/EGFR/ANK3/DCC/GPM6A/PTPRD/FYN/NTRK3/APP/PTPRO/ADGRB3/DCLK1/CTNND2/ALCAM/SEMA5A/TNR/PTPRZ1"
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation",409,-0.450448875876465,-1.74871976465309,5.15224895666959e-05,0.0134114284255927,0.0121481254625731,1421,"tags=20%, list=9%, signal=19%","PTPRM/SEMA3A/CUX1/GSK3B/OLFM1/UNC5C/PSEN1/ID2/WDR36/PDZD7/NRCAM/SPTB/PPP3CA/GATA3/DISC1/BMP7/ANKRD27/ZEB2/EXT1/FRS2/PAK3/APOE/MT3/KLF7/APBB2/HES1/BMPR1B/YWHAH/CUX2/PRKCQ/FEZ2/EFNA1/DSCAML1/NLGN1/WDPCP/PPP1R9A/CXCL12/DTNBP1/SHC3/CRPPA/NCAM1/UST/NGFR/TCTN1/S100B/DOK6/NTRK2/TNIK/PTN/TNFRSF12A/MATN2/SH3KBP1/PTK2/PRKCA/KALRN/ROBO1/GLI3/PLXNA4/TNN/DOCK10/FARP1/COBL/SLIT1/MAP2/EPHB1/NTN4/PARD3/ANK3/DCC/PTPRD/FYN/NTRK3/APP/PTPRO/ADGRB3/DCLK1/CTNND2/SLC1A3/ALCAM/SEMA5A/TNR/PTPRZ1"
"GO:0007610","GO:0007610","behavior",393,-0.418134506343239,-1.61804230122595,5.16795865633075e-05,0.0134114284255927,0.0121481254625731,1031,"tags=12%, list=7%, signal=11%","NCOA1/BTBD9/PJA2/GATM/BCHE/CUX2/NLGN1/SEZ6L/CXCL12/FZD4/SHC3/CFAP69/OLFM2/NETO1/SEZ6/S100B/NTRK2/MBD5/PTN/BBS2/KCND2/SDK1/PRKN/KALRN/ADAM22/NOVA1/KCNK2/NRG1/NAV2/GRID1/GAD1/PLCB1/EGFR/NLGN4X/PRKCE/RNF180/AGT/FYN/ALK/APP/ADGRB3/CLN3/SLC1A3/TNR/PTPRZ1/ASTN1/ADGRL3"
"GO:0010975","GO:0010975","regulation of neuron projection development",380,-0.443525398945749,-1.71142078035639,5.1907604464054e-05,0.0134114284255927,0.0121481254625731,1804,"tags=19%, list=11%, signal=18%","WASHC5/SEMA3A/SYT17/CUX1/GSK3B/OLFM1/TRIM67/SYT2/LLPH/PSEN1/WDR36/PRKD1/RTN4RL1/NME2/SYT3/NRCAM/PPP3CA/GATA3/DISC1/BMP7/ANKRD27/ZEB2/DGUOK/PAK3/APOE/STK24/PACSIN1/MT3/YWHAH/CUX2/EFNA1/NLGN1/ARSB/NME1/PPP1R9A/CXCL12/FZD4/RAP1A/VIM/DYNLT1/UST/NGFR/CNTN1/SEZ6/NTRK2/MAGI2/TNIK/PTN/ASAP1/TNFRSF12A/SDK1/PRKN/PTK2/KALRN/ROBO1/PLXNA4/RIMS2/COBL/MAP2/HSPA5/DCC/AGT/PTPRD/FYN/ALK/EPHA3/SPOCK1/NTRK3/PTPRO/ADGRB3/SFRP2/PTPRG/SEMA5A/TNR"
"GO:0061564","GO:0061564","axon development",345,-0.455397366144974,-1.74093730898665,5.25845296313824e-05,0.0134114284255927,0.0121481254625731,1814,"tags=20%, list=11%, signal=18%","PTPRM/SEMA3A/GSK3B/OLFM1/UNC5C/PSEN1/WDR36/RTN4RL1/CTNNA1/JUN/NRCAM/SPTB/GATA3/DISC1/BMP7/ZEB2/EXT1/FRS2/PAK3/APOE/STK24/MT3/KLF7/APBB2/BMPR1B/PRKCQ/FEZ2/EFNA1/DSCAML1/CXCL12/SHC3/CRPPA/DYNLT1/NCAM1/UST/NGFR/TCTN1/S100B/JAM3/DOK6/NTRK2/PTN/TNFRSF12A/MATN2/SH3KBP1/PTK2/PRKCA/ROBO1/GLI3/PLXNA4/TNN/COBL/SLIT1/MAP2/EPHB1/NTN4/PARD3/ANK3/DCC/FYN/EPHA3/NTRK3/APP/PTPRO/DCLK1/ALCAM/SEMA5A/TNR/PTPRZ1/TNC"
"GO:0007409","GO:0007409","axonogenesis",311,-0.449970200797049,-1.70310116597337,5.33532518807021e-05,0.0134114284255927,0.0121481254625731,1467,"tags=17%, list=9%, signal=16%","NRCAM/SPTB/GATA3/DISC1/BMP7/ZEB2/EXT1/FRS2/PAK3/APOE/MT3/KLF7/APBB2/BMPR1B/PRKCQ/FEZ2/EFNA1/DSCAML1/CXCL12/SHC3/CRPPA/NCAM1/UST/NGFR/TCTN1/S100B/DOK6/NTRK2/TNFRSF12A/MATN2/SH3KBP1/PTK2/PRKCA/ROBO1/GLI3/PLXNA4/TNN/COBL/SLIT1/MAP2/EPHB1/NTN4/PARD3/ANK3/DCC/FYN/NTRK3/APP/PTPRO/DCLK1/ALCAM/SEMA5A/TNR/PTPRZ1"
