"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0007265","GO:0007265","Ras protein signal transduction",272,0.39993617686331,1.67429807182421,5.76867608883761e-05,0.0365103127079175,0.0341422418321252,4071,"tags=36%, list=26%, signal=27%","NOTCH1/IQGAP3/PLK2/CDKN1A/IQSEC1/HEG1/CELSR1/IRS2/KIF14/PDGFRB/MCF2L/RTN4R/ABCA1/ARFGEF2/ARHGEF18/NGEF/PRAG1/FGF2/ABR/RASSF1/CBL/RASIP1/TGFB2/ITGA3/IQSEC2/LYN/AKAP13/CCNA2/RANGRF/FOXM1/NRP1/CRK/COL1A2/RRAS/CSF1/ARHGEF17/SCAI/RHOG/TIMP2/ITPKB/SOS1/TIAM1/MYO9B/PREX1/ARHGEF11/PLEKHG4B/PLEKHG2/RAP2A/EPHB2/PSD2/SOS2/SPATA13/ITSN2/MFN2/DNM2/STMN3/TIAM2/ARFGEF3/PLEKHG1/FLOT1/FARP2/LPAR1/KANK2/TRIM67/SQSTM1/CYTH3/ARHGDIA/DNMBP/ARHGEF28/ECT2/RDX/CYFIP1/SHC2/FGD6/NF1/RAPGEF1/FLCN/PSD/EPS8L2/ARHGEF7/SYNGAP1/PLEKHG5/RASA4B/ABL2/RASA4/BCR/NISCH/OGT/CRKL/DGKI/DBNL/KSR1/WAS/SHTN1/MAPK14/SHOC2/DHCR24/RIPOR1/RAPGEF3"
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction",264,0.401187928165641,1.67466051837697,5.77967864986707e-05,0.0365103127079175,0.0341422418321252,3813,"tags=39%, list=24%, signal=30%","NOTCH1/IQSEC1/HEG1/IRS2/KIF14/PDGFRB/MCF2L/SIPA1/RTN4R/ABCA1/ARFGEF2/SYDE1/ARHGEF18/RACGAP1/NGEF/ARHGAP33/ARAP3/PRAG1/CGNL1/ABR/SRC/GMIP/CBL/RASIP1/SIPA1L2/TGFB2/ITGA3/TSC2/IQSEC2/LYN/AKAP13/FOXM1/NRP1/CRK/CSF1/ARHGEF17/SCAI/MYO9A/RHOG/TIMP2/ITPKB/SOS1/TIAM1/MYO9B/A2M/ARHGAP21/SIPA1L3/PREX1/ARHGAP11A/RALBP1/ARHGEF11/PLEKHG4B/RAP1GAP2/PLEKHG2/EPHB2/PSD2/ARHGAP24/SOS2/SPATA13/ITSN2/ARHGAP10/CD2AP/ARHGAP39/MFN2/DNM2/STMN3/TIAM2/STARD8/ARFGEF3/PLEKHG1/RALGAPB/FLOT1/FARP2/LPAR1/ARHGAP9/KANK2/TRIM67/SQSTM1/CYTH3/ARHGDIA/DNMBP/ARHGEF28/ECT2/RDX/FAM13A/FGD6/NF1/INPP5B/RAPGEF1/FLCN/SRGAP2/PSD/EPS8L2/ARHGEF7/SYNGAP1/PLEKHG5/RASA4B/ABL2/RASA4/BCR/OGT/CRKL/DGKI"
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction",176,0.467583517106056,1.86246037473731,5.97050570183295e-05,0.0365103127079175,0.0341422418321252,3813,"tags=43%, list=24%, signal=33%","NOTCH1/IQSEC1/HEG1/IRS2/KIF14/PDGFRB/MCF2L/RTN4R/ABCA1/ARFGEF2/ARHGEF18/NGEF/PRAG1/ABR/CBL/RASIP1/TGFB2/ITGA3/IQSEC2/LYN/AKAP13/FOXM1/NRP1/CRK/CSF1/ARHGEF17/SCAI/TIMP2/ITPKB/SOS1/TIAM1/MYO9B/PREX1/ARHGEF11/PLEKHG4B/PLEKHG2/EPHB2/PSD2/SOS2/SPATA13/ITSN2/MFN2/DNM2/STMN3/TIAM2/ARFGEF3/PLEKHG1/FLOT1/FARP2/LPAR1/KANK2/TRIM67/SQSTM1/CYTH3/ARHGDIA/DNMBP/ARHGEF28/ECT2/RDX/FGD6/NF1/RAPGEF1/FLCN/PSD/EPS8L2/ARHGEF7/SYNGAP1/PLEKHG5/RASA4B/ABL2/RASA4/BCR/OGT/CRKL/DGKI"
"GO:0045047","GO:0045047","protein targeting to ER",99,-0.494684944399851,-1.86208404973945,7.3394495412844e-05,0.0365103127079175,0.0341422418321252,4155,"tags=46%, list=26%, signal=34%","RPS27/SEC62/RPL36A/RPS13/RPL37A/RPSA/HSPA5/RPL9/RPS18/RPL5/RPL26/RPS9/RN7SL2/RPL35A/RPS26/RPS20/RPL38/RPL23/RPS14/RPL27/SEC61G/RPL14/SRP19/RPL21/RPL7A/ZFAND2B/RPS7/RPL10A/RPL12/RPS6/RPS25/RPL7/RPS8/RPL11/RPL27A/RPS17/RPL32/RPL37/RPL24/RPL22/RPL35/RPS3/RPS15A/RPS24/TRAM1L1/RN7SL1"
"GO:0006413","GO:0006413","translational initiation",173,-0.439141934818868,-1.79509812453351,7.54147812971342e-05,0.0365103127079175,0.0341422418321252,4550,"tags=47%, list=29%, signal=34%","EIF3K/RPL17/RPL6/HSPB1/DHX29/RPS29/COPS5/RPS27/EIF2B3/RPL36A/RPS13/EIF3A/RPL37A/DHX33/EIF5/RPSA/EIF2S2/RPL9/RPS18/RPL5/EIF2S1/EIF4G2/RPL26/EIF2B5/RPS9/METTL3/EIF2S3/EIF2AK1/RPL35A/EIF3B/RPS26/PABPC1/RPS20/RPL38/MTIF2/RPL23/RPS14/EIF4A2/RPL27/EIF3G/RPL14/EIF3J/EIF1B/EIF1AX/RPL21/PAIP1/EIF3H/ATF4/RPL7A/EIF4G3/YTHDF2/RPS7/DDX1/RPL10A/RPL12/NCBP2/MTIF3/RPS6/EIF3M/RPS25/RPL7/ALKBH1/EIF3E/RPS8/EIF2B1/RPL11/RPL27A/RPS17/RPL32/EIF4EBP1/EIF5B/RPL37/RPL24/RPL22/FMR1/RPL35/NPM1/RPS3/EIF3D/RPS15A/RPS24/DENR"
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",292,-0.37740955500043,-1.63813652193254,7.96939751354798e-05,0.0365103127079175,0.0341422418321252,4631,"tags=45%, list=29%, signal=33%","DNAJC8/YTHDC1/SNRPC/SRSF4/PRDX6/PSIP1/SF3B6/PRPF6/HSPA8/SNIP1/DYRK1A/ELAVL1/WEE2-AS1/SRSF11/PRPF40A/RNPC3/RNPS1/DDX42/SNRPE/USP39/CPSF3/AQR/DDX41/RBM22/DHX15/RBM10/PRPF4B/PRMT5/SNRPA/BUD31/DDX46/WBP4/NOVA1/SAP18/KHDRBS2/GEMIN6/NOL3/CDC40/PRPF19/PCBP2/SNW1/YBX1/DDX39B/MAGOHB/RBMX/TGS1/TXNL4A/CPSF4/PPIH/MTREX/TIA1/SNRPG/ZMAT2/GEMIN5/MAGOH/RNF113A/HNRNPH3/METTL3/CPSF2/RBM5/SMN1/SF3B1/POLR2H/SRSF6/ISY1/SYF2/PABPC1/ZRSR2/HNRNPD/SF3B2/DHX16/SNRNP48/SRSF5/PRPF3/CASC3/RBMX2/RBM8A/TRA2A/PTBP2/SYNCRIP/ZMAT5/CELF3/SCNM1/THRAP3/PRMT7/U2SURP/SART1/PPIL1/PRPF38A/IK/PRPF40B/SMU1/UPF3B/HNRNPA1/SRRT/BUD13/DDX1/HNRNPF/NCBP2/HNRNPH1/SRSF7/POLR2F/SNU13/U2AF1L4/PPIE/DHX35/DDX5/CWC22/CLNS1A/SNRPD1/POLR2K/SNRPN/NSRP1/KHDRBS3/DDX23/DHX38/FMR1/CDC5L/RBM17/PHF5A/CD2BP2/SF3A3/GPATCH1/SNRPD3/HTATSF1/SLU7/LSM6/PNN/SNRNP35/PQBP1/C1QBP/ZCRB1"
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome",292,-0.37740955500043,-1.63813652193254,7.96939751354798e-05,0.0365103127079175,0.0341422418321252,4631,"tags=45%, list=29%, signal=33%","DNAJC8/YTHDC1/SNRPC/SRSF4/PRDX6/PSIP1/SF3B6/PRPF6/HSPA8/SNIP1/DYRK1A/ELAVL1/WEE2-AS1/SRSF11/PRPF40A/RNPC3/RNPS1/DDX42/SNRPE/USP39/CPSF3/AQR/DDX41/RBM22/DHX15/RBM10/PRPF4B/PRMT5/SNRPA/BUD31/DDX46/WBP4/NOVA1/SAP18/KHDRBS2/GEMIN6/NOL3/CDC40/PRPF19/PCBP2/SNW1/YBX1/DDX39B/MAGOHB/RBMX/TGS1/TXNL4A/CPSF4/PPIH/MTREX/TIA1/SNRPG/ZMAT2/GEMIN5/MAGOH/RNF113A/HNRNPH3/METTL3/CPSF2/RBM5/SMN1/SF3B1/POLR2H/SRSF6/ISY1/SYF2/PABPC1/ZRSR2/HNRNPD/SF3B2/DHX16/SNRNP48/SRSF5/PRPF3/CASC3/RBMX2/RBM8A/TRA2A/PTBP2/SYNCRIP/ZMAT5/CELF3/SCNM1/THRAP3/PRMT7/U2SURP/SART1/PPIL1/PRPF38A/IK/PRPF40B/SMU1/UPF3B/HNRNPA1/SRRT/BUD13/DDX1/HNRNPF/NCBP2/HNRNPH1/SRSF7/POLR2F/SNU13/U2AF1L4/PPIE/DHX35/DDX5/CWC22/CLNS1A/SNRPD1/POLR2K/SNRPN/NSRP1/KHDRBS3/DDX23/DHX38/FMR1/CDC5L/RBM17/PHF5A/CD2BP2/SF3A3/GPATCH1/SNRPD3/HTATSF1/SLU7/LSM6/PNN/SNRNP35/PQBP1/C1QBP/ZCRB1"
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions",296,-0.372859683814396,-1.6205619082896,7.99041150619257e-05,0.0365103127079175,0.0341422418321252,4631,"tags=45%, list=29%, signal=32%","DNAJC8/YTHDC1/SNRPC/SRSF4/PRDX6/PSIP1/SF3B6/PRPF6/HSPA8/SNIP1/DYRK1A/ELAVL1/WEE2-AS1/SRSF11/PRPF40A/RNPC3/RNPS1/DDX42/SNRPE/USP39/CPSF3/AQR/DDX41/RBM22/DHX15/RBM10/PRPF4B/PRMT5/SNRPA/BUD31/DDX46/WBP4/NOVA1/MPHOSPH10/SAP18/KHDRBS2/GEMIN6/NOL3/CDC40/PRPF19/PCBP2/SNW1/YBX1/DDX39B/MAGOHB/RBMX/TGS1/TXNL4A/CPSF4/PPIH/MTREX/TIA1/SNRPG/ZMAT2/GEMIN5/MAGOH/RNF113A/HNRNPH3/METTL3/CPSF2/RBM5/SMN1/SF3B1/POLR2H/SRSF6/ISY1/SYF2/PABPC1/ZRSR2/HNRNPD/SF3B2/DHX16/SNRNP48/SRSF5/PRPF3/CASC3/RBMX2/RBM8A/TRA2A/PTBP2/SYNCRIP/ZMAT5/CELF3/SCNM1/THRAP3/PRMT7/U2SURP/SART1/PPIL1/PRPF38A/IK/PRPF40B/SMU1/UPF3B/HNRNPA1/SRRT/BUD13/DDX1/HNRNPF/NCBP2/HNRNPH1/SRSF7/POLR2F/SNU13/U2AF1L4/PPIE/DHX35/DDX5/CWC22/CLNS1A/SNRPD1/POLR2K/SNRPN/NSRP1/KHDRBS3/DDX23/DHX38/FMR1/CDC5L/RBM17/PHF5A/CD2BP2/SF3A3/GPATCH1/SNRPD3/HTATSF1/SLU7/LSM6/PNN/SNRNP35/PQBP1/C1QBP/ZCRB1"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",338,-0.380899497091025,-1.6781514022868,8.08146112817197e-05,0.0365103127079175,0.0341422418321252,4686,"tags=47%, list=30%, signal=34%","NMD3/NAT10/BUD23/IMP3/YTHDC1/SNRPC/PSIP1/PRPF6/EIF3K/RIOK1/RRP8/NOP58/RBIS/WEE2-AS1/RC3H1/HSP90AA1/PRKAA1/ISG20L2/PELP1/SNRPE/USP39/ZNHIT6/RPS27/DIS3/CNOT2/GAR1/EIF3A/PRMT5/DROSHA/NOP10/EXOSC6/GLUL/EIF5/MPHOSPH10/CNOT7/GEMIN6/HSP90AB1/NOL3/GNL2/ERI1/PRPF19/RRP36/FASTKD2/DDX39B/NVL/C1D/RPL5/EIF2S1/TGS1/TXNL4A/EXOSC2/PRKAA2/GTF3A/RPL26/DDX27/MTREX/EXOSC8/SNRPG/RPS9/GEMIN5/RBM5/SMN1/RAMAC/SF3B1/FCF1/CPSF6/SRSF6/RPL35A/EIF3B/MRPS2/DIMT1/PDCD11/WDR55/ZRSR2/RPL38/WDR3/CNOT6/CUL4B/FTSJ3/EXOSC9/SRSF5/RPS14/PRPF3/NOLC1/PTBP2/RPL27/EIF3G/NOL8/NOP56/BICD1/WDR46/DDX21/NOP14/NOL6/DDX31/PRMT7/NSUN4/RPL14/EIF3J/RRP15/DDX47/UTP4/SART1/NOB1/UTP25/EIF3H/UTP6/PA2G4/MYBBP1A/DCAF13/MTERF4/SBDS/MRM1/TRMT112/RPS7/AATF/WDR74/DDX1/MRTO4/RRP9/SNU13/RPS6/EIF3M/EFL1/RPL7/EIF3E/TENT4B/UTP23/CLNS1A/SNRPD1/LOC102724159/RPL11/DKC1/RPS17/EXOSC5/DDX23/GNL3L/UTP14A/PES1/RBFA/NOCT/NBDY/CD2BP2/SF3A3/NPM1/NPM3/SHQ1/PAK1IP1/SNRPD3/ZNF658/GTPBP4/EIF3D/RPS24/SLU7/DENR/WDR12/SDAD1/C1QBP/NUFIP1/GTF2H5"
"GO:0008380","GO:0008380","RNA splicing",380,-0.357841460892739,-1.59307794534182,8.19202097157369e-05,0.0365103127079175,0.0341422418321252,4726,"tags=46%, list=30%, signal=33%","ZNF638/CWC27/CSTF3/TSEN2/DNAJC8/ZC3H13/RP9/YTHDC1/SNRPC/SRSF4/PRDX6/PSIP1/SF3B6/PRPF6/HSPA8/SNIP1/RBM39/DYRK1A/ELAVL1/WEE2-AS1/SRSF11/PRPF40A/RNPC3/RNPS1/PRPF38B/DDX42/PPP1R9B/SNRPE/USP39/CPSF3/AQR/DDX41/TSEN54/RPS13/MBNL2/RBM22/TSEN15/DHX15/RBM10/PRPF4B/PRMT5/SNRPA/THOC3/BUD31/DDX46/WBP4/NOVA1/MPHOSPH10/SAP18/KHDRBS2/GEMIN6/NOL3/AKAP17A/AKAP17A/CDC40/PRPF19/CLK2/RTRAF/PCBP2/SNW1/YBX1/DDX39B/MAGOHB/RBMX/TGS1/TXNL4A/CPSF4/PPIH/MTREX/TIA1/SNRPG/ZMAT2/RBM20/GEMIN5/MAGOH/RNF113A/HNRNPH3/METTL3/CPSF2/RBM5/SMN1/SF3B1/POLR2H/SRSF6/PIK3R1/CLASRP/RPS26/ISY1/THOC5/SYF2/PABPC1/ZRSR2/HNRNPD/SF3B2/DHX16/PPP1R8/SNRNP48/SRSF5/PRPF3/CASC3/ZNF326/RBMX2/RBM8A/TRA2A/PTBP2/SYNCRIP/ZMAT5/THOC6/CELF3/SCNM1/LUC7L3/THRAP3/PRMT7/DDX47/U2SURP/SART1/PPIL1/THOC2/PRPF38A/IK/ZRANB2/PRPF40B/CCAR2/SMU1/UPF3B/CIR1/HNRNPA1/C2orf49/SRRT/PPIG/ZNF830/BUD13/ZBTB8OS/VIRMA/DDX1/HNRNPF/NCBP2/HNRNPH1/SRSF7/POLR2F/SNU13/U2AF1L4/PPIE/DHX35/DDX5/CWC22/CLNS1A/SNRPD1/POLR2K/SNRPN/PRPF18/NSRP1/KHDRBS3/DDX23/DHX38/FMR1/CDC5L/RBM17/PHF5A/CD2BP2/SF3A3/IVNS1ABP/GPATCH1/SNRPD3/HTATSF1/SLU7/THOC1/LSM6/PNN/SNRNP35/PPARGC1A/PQBP1/C1QBP/ZCRB1"
