"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"hsa04115","hsa04115","p53 signaling pathway",65,0.656674402531041,2.16741358768219,6.48676699532953e-05,0.00321264917669571,0.00274567278259095,752,"tags=35%, list=5%, signal=34%","CDKN1A/DDB2/MDM2/TP53I3/SESN1/GADD45A/RRM2B/SESN3/PIDD1/BAX/PMAIP1/FAS/ZMAT3/PPM1D/PTEN/EI24/CCNE2/RRM2/CDK6/CCNE1/BBC3/CASP3/SESN2"
"hsa05214","hsa05214","Glioma",67,0.623473061275746,2.06635607433955,6.50152785904688e-05,0.00321264917669571,0.00274567278259095,1702,"tags=30%, list=12%, signal=26%","CDKN1A/DDB2/MDM2/EGFR/GADD45A/BAX/SHC4/PTEN/BAK1/SHC1/CDK6/HRAS/CAMK1/PRKCA/PIK3R3/SOS1/POLK/CAMK2D/CAMK2A/CAMK2B"
"hsa05218","hsa05218","Melanoma",51,0.701051866164714,2.21473579724835,6.61506912747238e-05,0.00321264917669571,0.00274567278259095,498,"tags=24%, list=3%, signal=23%","CDKN1A/DDB2/MDM2/EGFR/GADD45A/PDGFC/FGF2/BAX/CDH1/PTEN/BAK1/CDK6"
"hsa04114","hsa04114","Oocyte meiosis",104,-0.573647292686057,-2.12409712375016,6.9851913942442e-05,0.00321264917669571,0.00274567278259095,1898,"tags=33%, list=13%, signal=29%","YWHAQ/SGO1/PPP3CC/REC8/CPEB1/MAP2K1/RPS6KA3/PPP1CB/ADCY1/MAPK13/SPDYA/PPP2R5C/IGF1R/MAPK3/YWHAE/CDK1/PPP3CB/CALM3/ITPR3/CDC25C/PPP1CC/SMC3/SPDYE5/MAD2L1/ESPL1/MAD2L2/CDC27/PTTG1/CCNB1/CDC20/CCNB2/AURKA/PLK1/BUB1"
"hsa04110","hsa04110","Cell cycle",115,-0.528243250053419,-1.98429633563195,7.04523037903339e-05,0.00321264917669571,0.00274567278259095,574,"tags=22%, list=4%, signal=21%","YWHAE/CDK1/ABL1/GADD45B/CDC25C/RBL2/HDAC1/MYC/SMC3/MAD2L1/RAD21/ESPL1/MCM6/MAD2L2/DBF4/CDC27/CCNA2/PTTG1/CCNB1/CDC20/CCNB2/TTK/PLK1/BUB1/BUB1B"
"hsa03010","hsa03010","Ribosome",130,-0.552771325927041,-2.11974516985998,7.04970038773352e-05,0.00321264917669571,0.00274567278259095,3289,"tags=58%, list=23%, signal=45%","RPL15/MRPL33/RPL6/RPL36/MRPL22/RPS16/RPL18/RPL23/RPL26/RPL18A/RPS13/RPS28/RSL24D1/RPL30/RPL36AL/RPL4/MRPL14/RPS5/RPL23A/RPS9/RPL35/RPS25/RPL14/RPL7/RPL36A/RPS10/RPL13A/RPL24/RPL32/RPL22/RPL5/RPSA/RPL37/MRPL23/RPL10/RPL8/RPS20/RPL31/RPS4Y1/RPS8/RPS14/RPS11/RPS3A/RPL3/RPS23/RPL34/RPL11/RPS27/RPL27/RPL17/RPL13/RPL7A/RPS3/RPLP0/RPS21/RPS17/RPL27A/MRPS15/RPL39/RPL19/RPL12/RPS4X/RPS27A/RPS18/RPL10A/MRPS14/RPS6/RPS2/RPLP2/RPS12/RPS15A/RPS24/RPL21/RPS7/RPS29"
"hsa03040","hsa03040","Spliceosome",130,-0.548833822396177,-2.10464579024427,7.04970038773352e-05,0.00321264917669571,0.00274567278259095,3227,"tags=44%, list=22%, signal=34%","RBM17/RBMXL1/SRSF10/PLRG1/SF3B3/DHX15/SRSF6/SNRPD1/SF3B2/SNRPD2/USP39/PRPF3/WBP11/SLU7/SRSF4/HNRNPM/SNRPA/PRPF40B/RP9/SRSF5/DDX42/TXNL4A/SNU13/SF3B1/U2SURP/CDC5L/HNRNPK/RBM25/THOC1/SRSF3/ISY1-RAB43/DHX38/LSM8/HNRNPA3/RBM22/SRSF9/SNRPA1/TRA2A/DDX39B/U2AF1/ACIN1/SNRNP40/PRPF18/SNRPF/LSM2/HSPA2/TCERG1/RBMX/SRSF7/TRA2B/SRSF1/HNRNPC/SRSF2/EIF4A3/HNRNPA1/HSPA8/HNRNPU"
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation",78,-0.579313505670584,-2.04818399143029,0.000137447598103223,0.00504547251878213,0.00431208507627313,630,"tags=29%, list=4%, signal=28%","CPEB1/MAP2K1/RPS6KA3/ADCY1/MAPK13/SPDYA/IGF1R/MAPK3/KIF22/CDK1/CDC25C/HSP90AA1/SPDYE5/MAD2L1/HSP90AB1/MAD2L2/CDC27/CCNA2/CCNB1/CCNB2/AURKA/PLK1/BUB1"
"hsa03013","hsa03013","RNA transport",150,-0.460805323241049,-1.80158524533578,0.000142348754448399,0.00504547251878213,0.00431208507627313,3186,"tags=37%, list=22%, signal=29%","NMD3/EIF3G/EIF5/TPR/NUP133/EIF1/EIF4E/EIF5B/TRNT1/UPF2/SMN1/SMN2/RAE1/NUP160/EEF1A2/UBE2I/KPNB1/SRRM1/PABPC1/EIF3F/EIF3H/CYFIP1/EIF4G1/PNN/NUP205/NUP58/SNORD3B-1/THOC1/EIF1AY/GEMIN8/NUP50/NUP37/SNORD3A/SUMO2/SUMO3/EIF3B/GEMIN2/DDX39B/EIF1B/RANGAP1/FXR1/ACIN1/EIF4B/EIF1AX/FMR1/PAIP1/NUP88/NUP54/SNUPN/EEF1A1/EIF4A3/XPO1/EIF3E/TACC3/EIF4A1/NUP35"
"hsa05220","hsa05220","Chronic myeloid leukemia",73,0.586107168304441,1.97192128937556,0.000195045835771406,0.00622196216110786,0.00531756541734676,1557,"tags=22%, list=11%, signal=20%","CDKN1A/DDB2/MDM2/GADD45A/BAX/SHC4/BAK1/SHC1/CDK6/HRAS/PIK3R3/BCL2L1/SOS1/POLK/RUNX1/BAD"
