"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"hsa04114","hsa04114","Oocyte meiosis",104,0.69472192993534,1.96819814108944,4.94046736821303e-05,0.0153659718856035,0.0122458351404444,860,"tags=25%, list=6%, signal=24%","BUB1/AURKA/CCNB2/CCNB1/RPS6KA2/CDC20/PTTG1/PLK1/ESPL1/MAD2L1/CDC27/CDK1/SMC3/ITPR1/YWHAE/FBXO5/YWHAH/SGO1/PPP1CB/PPP1CC/ITPR2/CDC25C/ITPR3/CAMK2D/CALM3/CDK2"
"hsa05220","hsa05220","Chronic myeloid leukemia",73,-0.741542565612822,-2.13754928153782,9.69461948618517e-05,0.0153659718856035,0.0122458351404444,320,"tags=12%, list=2%, signal=12%","HRAS/BAK1/GADD45A/BAX/PIK3R3/SHC1/MDM2/DDB2/CDKN1A"
"hsa04115","hsa04115","p53 signaling pathway",65,-0.719303237880563,-2.03657425226228,0.0001906941266209,0.0162380903595943,0.0129408656360705,581,"tags=31%, list=4%, signal=30%","CCND1/SHISA5/CCNG1/EI24/PERP/STEAP3/TNFRSF10B/GADD45A/BBC3/PPM1D/PIDD1/BAX/SESN3/RRM2B/SESN1/SESN2/MDM2/TP53I3/DDB2/CDKN1A"
"hsa05226","hsa05226","Gastric cancer",104,-0.638220594264461,-1.93506938092546,0.000204897039237783,0.0162380903595943,0.0129408656360705,320,"tags=10%, list=2%, signal=9%","HRAS/FGF2/BAK1/JUP/GADD45A/BAX/PIK3R3/SHC1/DDB2/CDKN1A"
"hsa05212","hsa05212","Pancreatic cancer",73,-0.694159113406455,-2.00096310440206,0.000290838584585555,0.0184391662627242,0.0146950021685333,581,"tags=12%, list=4%, signal=12%","CCND1/TGFA/BAK1/GADD45A/PLD1/BAX/PIK3R3/DDB2/CDKN1A"
"hsa05213","hsa05213","Endometrial cancer",55,-0.725172589772248,-1.99756491276201,0.000374742364624321,0.0197988882643183,0.0157786258789188,320,"tags=15%, list=2%, signal=14%","CCND1/HRAS/BAK1/GADD45A/BAX/PIK3R3/DDB2/CDKN1A"
"hsa05217","hsa05217","Basal cell carcinoma",47,-0.760911349356674,-2.04880799339533,0.000454917659903557,0.0206012711699182,0.0164180809589254,660,"tags=15%, list=5%, signal=14%","PTCH2/KIF7/BAK1/GADD45A/BAX/DDB2/CDKN1A"
"hsa05214","hsa05214","Glioma",67,-0.672482967286443,-1.91435829466917,0.000573888091822095,0.0226103771566242,0.0180192280178974,581,"tags=16%, list=4%, signal=16%","CCND1/TGFA/HRAS/BAK1/GADD45A/BAX/PIK3R3/SHC1/MDM2/DDB2/CDKN1A"
"hsa05218","hsa05218","Melanoma",51,-0.723261672439707,-1.97319379310371,0.000735632183908046,0.0226103771566242,0.0180192280178974,320,"tags=18%, list=2%, signal=17%","HRAS/FGF2/BAK1/GADD45A/BAX/PIK3R3/MDM2/DDB2/CDKN1A"
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450",25,-0.840689550266992,-2.04012654716451,0.00075503355704698,0.0226103771566242,0.0180192280178974,1035,"tags=28%, list=7%, signal=26%","GSTM2/MGST2/GSTA4/GSTK1/EPHX1/ALDH3B1/ALDH3A1"
"hsa05216","hsa05216","Thyroid cancer",33,-0.791419411850024,-2.0098615386416,0.000784587219945951,0.0226103771566242,0.0180192280178974,320,"tags=21%, list=2%, signal=21%","CCND1/HRAS/BAK1/GADD45A/BAX/DDB2/CDKN1A"
"hsa00340","hsa00340","Histidine metabolism",18,-0.877263048959674,-2.00774005930751,0.00097887266498083,0.0258585528999103,0.0206078455785438,565,"tags=33%, list=4%, signal=32%","MAOB/ALDH3A2/ALDH3B1/ASPA/CARNS1/ALDH3A1"
"hsa04012","hsa04012","ErbB signaling pathway",75,-0.635822306745096,-1.84186016550985,0.00106702880977786,0.0260190871307371,0.0207357825381933,540,"tags=12%, list=4%, signal=12%","SRC/TGFA/HRAS/HBEGF/PAK6/BUB1B-PAK6/PIK3R3/SHC1/CDKN1A"
"hsa00982","hsa00982","Drug metabolism - cytochrome P450",23,-0.834567492858543,-1.9943025590795,0.00116676389699142,0.0262075105726732,0.0208859456664173,1035,"tags=30%, list=7%, signal=28%","GSTM2/MGST2/GSTA4/MAOB/GSTK1/ALDH3B1/ALDH3A1"
"hsa05211","hsa05211","Renal cell carcinoma",66,-0.656409183604843,-1.86368207417823,0.00124010302394353,0.0262075105726732,0.0208859456664173,521,"tags=9%, list=4%, signal=9%","TGFA/HRAS/PAK6/BUB1B-PAK6/PIK3R3/CDKN1A"
"hsa05225","hsa05225","Hepatocellular carcinoma",133,-0.552370033806672,-1.73216757427476,0.00150521449306526,0.0298220621438555,0.0237665446273462,768,"tags=10%, list=5%, signal=9%","KEAP1/MGST2/GSTA4/CCND1/TGFA/HRAS/BAK1/GADD45A/BAX/PIK3R3/SHC1/DDB2/CDKN1A"
"hsa05169","hsa05169","Epstein-Barr virus infection",153,-0.528411255925859,-1.68858161401007,0.00166500166500167,0.0310473839885605,0.0247430587987864,1151,"tags=13%, list=8%, signal=12%","FADD/NFKBIB/PIK3R2/PSMC5/MYD88/FAS/OAS1/TAP1/NFKBIE/CCND1/MAP2K3/BAK1/OAS2/GADD45A/CD44/BAX/PIK3R3/MDM2/DDB2/CDKN1A"
"hsa01522","hsa01522","Endocrine resistance",83,-0.611073124088892,-1.79640405586414,0.00177532301015879,0.0312654107900187,0.0249168141776673,812,"tags=14%, list=6%, signal=14%","ERBB2/PRKACA/CCND1/SRC/ADCY9/HRAS/HBEGF/BAX/PIK3R3/SHC1/MDM2/CDKN1A"
"hsa00052","hsa00052","Galactose metabolism",23,-0.820238518419232,-1.9600616970308,0.00208350695891324,0.034099989755148,0.0271758178357481,309,"tags=17%, list=2%, signal=17%","AKR1B10/GAA/AKR1B1/HKDC1"
"hsa05224","hsa05224","Breast cancer",104,-0.588406130963983,-1.78403313495304,0.00215141891199672,0.034099989755148,0.0271758178357481,581,"tags=11%, list=4%, signal=10%","CCND1/HEY1/HRAS/FGF2/BAK1/GADD45A/BAX/PIK3R3/SHC1/DDB2/CDKN1A"
"hsa05204","hsa05204","Chemical carcinogenesis",27,-0.791306737531078,-1.94598991275326,0.00247440273037543,0.0367254547236902,0.0292681691306181,1297,"tags=29%, list=9%, signal=26%","SULT1A3/GSTM2/MGST2/GSTA4/GSTK1/EPHX1/ALDH3B1/ALDH3A1"
"hsa04110","hsa04110","Cell cycle",115,0.56818948344732,1.62967558913415,0.00254876972845799,0.0367254547236902,0.0292681691306181,1013,"tags=33%, list=7%, signal=31%","BUB1/BUB1B/CCNB2/CCNB1/CCNA2/CDC20/TTK/RAD21/PTTG1/MCM3/STAG1/MCM6/DBF4/PLK1/ESPL1/MAD2L1/CDKN2C/CDC27/GADD45B/CDK1/SMC3/MCM7/WEE1/YWHAE/YWHAH/E2F1/RBL2/CCND2/MCM4/CDC25C/CDC45/CDK6/CDC6/CDK2/BUB3/MCM2/CDC7/CHEK1"
"hsa04066","hsa04066","HIF-1 signaling pathway",85,-0.598236307353384,-1.76468101576812,0.00306687772061733,0.0422695755406824,0.0336865287390462,237,"tags=7%, list=2%, signal=7%","ENO3/TIMP1/MKNK2/PIK3R3/HKDC1/CDKN1A"
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation",78,0.609218156256876,1.66296222232943,0.00323444685904887,0.0427216522632705,0.0340468090426197,1405,"tags=24%, list=10%, signal=22%","BUB1/AURKA/CCNB2/CCNB1/RPS6KA2/CCNA2/PLK1/MAD2L1/KIF22/CDC27/CDK1/AKT3/CDC25C/CDK2/HSP90AA1/PDE3B/RPS6KA3/ADCY1/BRAF"
"hsa03040","hsa03040","Spliceosome",130,0.549414470444019,1.5977800129536,0.00369200874423124,0.0468146708768521,0.0373087199417051,3217,"tags=38%, list=23%, signal=30%","HNRNPU/HSPA8/RBMX/SRSF1/HNRNPA1/SRSF2/SRSF3/TRA2B/HNRNPA3/DHX15/SF3B1/SRSF7/EIF4A3/SNRPA1/SRSF9/HNRNPC/HNRNPK/SNRPD1/SNRPA/HNRNPM/LSM2/THOC1/THOC2/SRSF10/DDX39B/RBM25/LSM5/RBM17/U2SURP/RBM22/PPIL1/PRPF3/U2AF1L5/TCERG1/HSPA2/LSM8/SNRPF/WBP11/ISY1-RAB43/SRSF5/SNRNP40/CWC15/TRA2A/DDX46/U2AF1/ACIN1/SRSF4/CDC5L/CDC40/PRPF18"
