"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"hsa03460","hsa03460","Fanconi anemia pathway",53,0.593780173112937,1.96205241457811,6.0790273556231e-05,0.00963803148630222,0.00776392450072746,2348,"tags=38%, list=17%, signal=32%","FANCD2/EME1/BRCA1/BRCA2/BRIP1/FANCG/FANCI/RPA1/BLM/EME2/FANCA/TELO2/FANCB/FAAP24/RMI2/ATRIP/FAAP100/TOP3A/FANCM/RAD51"
"hsa03440","hsa03440","Homologous recombination",39,0.651817923925086,2.02834766870805,6.1980909879757e-05,0.00963803148630222,0.00776392450072746,1227,"tags=40%, list=9%, signal=37%","EME1/XRCC2/BRCA1/BRCA2/BRIP1/RAD54B/RPA1/XRCC3/RAD54L/BLM/BABAM1/POLD1/ATM/MRE11/TOPBP1/BARD1"
"hsa05218","hsa05218","Melanoma",53,0.560462689990757,1.85196007541355,0.000121580547112462,0.0107018117375819,0.0086208535912828,1183,"tags=25%, list=8%, signal=23%","CDKN1A/PDGFB/PDGFA/PIK3R3/PIK3R2/E2F2/FGF1/DDB2/FGFR1/CCND1/MDM2/EGF/E2F1"
"hsa03040","hsa03040","Spliceosome",131,-0.46787311172424,-1.84853574577011,0.000156470035988108,0.0107018117375819,0.0086208535912828,2455,"tags=34%, list=17%, signal=28%","PHF5A/LSM6/SNRPC/SF3B5/PUF60/SNRPB2/PCBP1/SRSF9/SRSF10/SRSF4/SNRPA1/PRPF38A/TCERG1/HNRNPK/ISY1/TRA2A/HNRNPM/HNRNPU/SNRPD1/HNRNPA1/CTNNBL1/DHX15/U2AF1L5/SRSF7/SNRPA/PRPF3/DDX46/THOC1/HNRNPA3/SNRPB/HNRNPC/SNRPF/BUD31/TXNL4A/SRSF3/SNRPG/LSM2/SRSF2/PPIL1/RBMX/HSPA8/TRA2B/NCBP2/SRSF1"
"hsa03010","hsa03010","Ribosome",130,-0.431888142765968,-1.70338053207653,0.000235441845864072,0.0107018117375819,0.0086208535912828,5036,"tags=60%, list=36%, signal=39%","RPS18/RPL5/MRPL18/MRPS17/RPL21/RPS27A/RPL10A/MRPL36/RPS25/RPS13/RPL23/RPL26L1/RPL35A/RPL30/RPSA/RPL36AL/MRPS5/RPL36A-HNRNPH2/RPL6/RPL39/RPS15A/RPL41/UBA52/RSL24D1/RPS29/RPS10/RPL34/MRPL33/RPL17-C18orf32/RPL14/MRPS9/RPS16/MRPL19/RPL17/MRPS18C/MRPL28/RPS17/RPL12/RPS4X/RPL37A/RPL15/RPL27/RPS7/RPS2/MRPS7/MRPL12/RPS15/RPL7/RPS20/MRPL13/RPS11/RPS14/RPS24/RPL32/MRPL9/MRPL23/MRPS15/MRPL1/MRPL20/MRPL11/MRPL27/RPS6/MRPL15/MRPS18A/RPS10-NUDT3/MRPL3/RPL38/MRPS10/RPL37/RPL35/MRPS14/RPL36A/MRPL22/RPL7A/RPS27L/RPL24/MRPL24/RPS26"
"hsa05214","hsa05214","Glioma",67,0.532687113018449,1.83105253938274,0.000240615976900866,0.0107018117375819,0.0086208535912828,1536,"tags=24%, list=11%, signal=21%","CDKN1A/SHC1/PDGFB/PDGFA/PIK3R3/PIK3R2/CAMK2A/E2F2/DDB2/CAMK2B/CCND1/MDM2/EGF/E2F1/SHC4/AKT2"
"hsa04115","hsa04115","p53 signaling pathway",65,0.535777049653695,1.83314212727557,0.000240876791521137,0.0107018117375819,0.0086208535912828,1252,"tags=29%, list=9%, signal=27%","CDKN1A/IGFBP3/THBS1/TP73/SERPINE1/PIDD1/DDB2/TNFRSF10B/STEAP3/CCND1/MDM2/PERP/ATM/CHEK2/RRM2/SESN2/CCNG1/AIFM2/CASP8"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes",75,-0.49563205989099,-1.79145854770331,0.00037642098923436,0.0134304268263059,0.0108188918079567,3383,"tags=37%, list=24%, signal=29%","GNL3L/EMG1/UTP14A/WDR43/NOP56/UTP15/CSNK2A2/NOP58/WDR3/SBDS/MPHOSPH10/EFL1/NXT1/NXT2/FBL/RIOK1/NAT10/UTP18/WDR75/NHP2/FCF1/MDN1/IMP4/CSNK2A1/GNL3/NOP10/BMS1/RAN"
"hsa04510","hsa04510","Focal adhesion",157,0.423513142928194,1.65208472829096,0.000401629468127833,0.0134304268263059,0.0108188918079567,2541,"tags=34%, list=18%, signal=28%","SHC1/PDGFB/PARVG/THBS1/MYLK3/PDGFA/PIK3R3/ACTN1/LAMB2/PIK3R2/ITGA2/ITGA7/ACTG1/SPP1/CCND1/PAK6/BUB1B-PAK6/MAPK10/FLNA/LAMB1/VCL/COL4A1/FLNC/EGF/TNXB/LAMC1/LAMC3/LAMA5/ELK1/ITGB4/MYLK/SHC4/ITGA6/LAMC2/ITGB5/AKT2/MYL5/VWF/ACTB/SRC/FLNB/COL4A4/COL6A2/TLN2/PPP1CB/ACTN4/BCAR1/CAV1/COL4A2/LAMA3/PXN/PIK3CA/RAPGEF1"
"hsa05205","hsa05205","Proteoglycans in cancer",153,0.421913982192446,1.64006370624933,0.000460643749640122,0.0134304268263059,0.0108188918079567,2186,"tags=27%, list=15%, signal=23%","CDKN1A/THBS1/CD44/PIK3R3/TIAM1/PIK3R2/ITGA2/CAMK2A/FZD7/HBEGF/FGFR1/LUM/ACTG1/ITPR1/CAMK2B/CCND1/IQGAP1/EIF4B/FLNA/MDM2/PLAU/PDCD4/FLNC/FZD8/SDC1/ELK1/TGFB1/SDC2/WNT9B/ITGB5/AKT2/DCN/PTPN11/RPS6KB2/ACTB/CTTN/SRC/FLNB/MAPK12/PPP1CB/TWIST1"
