"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum",156,-0.583026869905443,-2.2845848226856,5.95025586100202e-05,0.00463258785942492,0.00380635003133742,2638,"tags=42%, list=17%, signal=35%","MAPK9/SEC24A/UGGT2/MAN1A2/ERP29/DNAJB11/SEC61G/SEC31B/DERL1/MARCH6/MAP3K5/CUL1/STT3B/DDIT3/ATF6B/SEC24D/NGLY1/RRBP1/RPN2/DDOST/RNF5/BAG1/PDIA4/UBE4B/ATXN3/PPP1R15A/DERL3/SEC24B/GANAB/DNAJC1/DERL2/UBE2J1/SSR3/RPN1/UBE2D2/SYVN1/DNAJC3/SEL1L/UBE2D3/OS9/CANX/ATF6/TRAM1/RAD23B/SEC31A/SELENOS/SAR1A/UBQLN1/EIF2AK3/SEC63/HYOU1/HSP90B1/PDIA3/SEC23A/PDIA6/CRYAB/ERO1A/CALR/HSPA5/HERPUD1/LMAN1/SSR2/P4HB/STT3A/ATF4"
"hsa03013","hsa03013","RNA transport",151,-0.539168391497397,-2.1035786877099,5.96587519389094e-05,0.00463258785942492,0.00380635003133742,2659,"tags=41%, list=17%, signal=34%","TRNT1/NUP133/NUP210/NUP155/UPF2/NUP93/EIF3D/EIF4EBP1/THOC7/SMN1/RPP25/RPP30/EIF4A1/NUP205/EIF4A3/TPR/EIF2B5/FMR1/EIF3F/UPF3A/NXF1/SUMO2/EIF1B/NUP88/EIF3B/PABPC4/NDC1/EIF5/MAGOHB/NUP107/CLNS1A/NUP98/NUP50/ACIN1/RNPS1/THOC3/NXT1/SENP2/EIF3E/FXR1/XPO1/CASC3/THOC1/NUP54/NUP85/PNN/THOC2/ALYREF/DDX39B/PABPC1/XPOT/EIF2S2/EIF3H/UBE2I/NUP153/EEF1A1/EIF2S3/NUP58/EIF4B/NUP160/SRRM1/EIF1"
"hsa03010","hsa03010","Ribosome",131,-0.709468473411643,-2.7133194811465,6.02736423362064e-05,0.00463258785942492,0.00380635003133742,2389,"tags=53%, list=16%, signal=45%","RPL38/RPS2/RPS3A/RPL34/MRPL11/RPL31/RPSA/RPL8/RPL22L1/RPL13/MRPL16/RPS4X/RPL27/RPS18/RPL15/RPS27A/RPL6/RPL18/RPL29/RPL7A/RPS10/RPL23A/MRPL17/RPL13A/RPLP2/RPLP0/RPS24/RPL35A/RPS29/RPL37A/RPL19/RPL36A/MRPS14/RPS4Y1/RPS23/RPS6/RSL24D1/RPL12/MRPS5/RPL41/RPS7/RPL21/RPL9/RPL10A/RPL35/RPL3/RPL7/RPS3/UBA52/RPS25/RPL4/RPS20/MRPS6/RPL11/RPL24/RPS15A/RPS8/RPS17/RPL5/RPL14/RPL26/RPL17/RPL22/RPS16/RPL10/RPL37/RPS27/RPL30/RPS11/RPL32"
"hsa03040","hsa03040","Spliceosome",131,-0.624291719624268,-2.38756611217614,6.02736423362064e-05,0.00463258785942492,0.00380635003133742,2611,"tags=48%, list=17%, signal=40%","SART1/SRSF10/CCDC12/RBMX/PRPF4/AQR/DHX38/SF3B6/RP9/CRNKL1/EIF4A3/SNRPG/SRSF7/SNRPA/PRPF6/HNRNPA3/LSM8/CDC40/TRA2A/PHF5A/SNRPD2/SRSF2/TRA2B/MAGOHB/HNRNPK/LSM6/DDX42/SNRPD3/SF3B1/SYF2/U2SURP/ACIN1/U2AF1L4/THOC3/CWC15/RBM25/HNRNPA1/HNRNPU/PRPF38A/SRSF1/HNRNPC/THOC1/PRPF8/BUD31/SRSF4/U2AF1/THOC2/ALYREF/DDX39B/DHX15/PRPF3/CTNNBL1/SNRPA1/SRSF9/RBM17/WBP11/SF3B2/SNRNP200/RBM22/TCERG1/LSM3/SRSF5/PPIH"
"hsa04146","hsa04146","Peroxisome",73,0.580786202909376,2.06925821904881,7.26110949753122e-05,0.00463258785942492,0.00380635003133742,2309,"tags=34%, list=15%, signal=29%","ACOX2/ACSL6/ABCD2/PEX11B/CROT/ABCD1/ACOX1/ACAA1/GSTK1/MPV17L/PEX6/SLC25A17/ACSL5/PEX16/AMACR/ECI2/DECR2/CAT/PRDX1/PEX26/MPV17/DDO/PMVK/PRDX5/ABCD3"
"hsa02010","hsa02010","ABC transporters",34,0.648303564131636,1.99036124407379,0.000142237394210938,0.00756228812554821,0.00621352827342519,2663,"tags=50%, list=17%, signal=41%","ABCD2/ABCA7/ABCA12/ABCC10/ABCD1/ABCA8/ABCB9/ABCA3/ABCA2/TAP1/ABCA13/ABCA6/ABCA5/ABCA10/ABCD3/ABCC5/ABCA4"
"hsa03015","hsa03015","mRNA surveillance pathway",80,-0.509945171583515,-1.81468332169193,0.000183902409121559,0.00838069550139678,0.00688596990545388,2127,"tags=36%, list=14%, signal=31%","UPF2/SMG7/PPP1CC/CPSF3/PPP2R5E/PABPN1/EIF4A3/PPP2R2D/CPSF7/UPF3A/NXF1/PABPC4/MAGOHB/HBS1L/ACIN1/RNPS1/PAPOLA/NXT1/DAZAP1/MSI2/CASC3/RNMT/PPP2R5A/PNN/ALYREF/DDX39B/PABPC1/NUDT21/SRRM1"
"hsa04520","hsa04520","Adherens junction",65,-0.540946155500243,-1.86151854600782,0.000246214452788379,0.0098178013049366,0.00806676299267188,3231,"tags=51%, list=21%, signal=40%","CDC42/ACTN1/IGF1R/TJP1/MAPK1/MAPK3/LMO7/CTNND1/CSNK2B/SNAI1/WASL/FER/FGFR1/SMAD4/VCL/TGFBR1/WASF3/LEF1/MET/NLK/PARD3/INSR/FYN/RAC1/CSNK2A1/WASF2/SORBS1/ACP1/RHOA/PTPRJ/CTNNA1/IQGAP1/AFDN"
"hsa04022","hsa04022","cGMP-PKG signaling pathway",119,-0.44565221953236,-1.68301371477083,0.000423011844331641,0.0149934198157548,0.0123192923086057,3104,"tags=35%, list=20%, signal=28%","MEF2D/MAPK1/MAPK3/ADCY2/ITPR1/SLC25A5/KCNMA1/SLC25A6/SLC25A6/NPPC/MEF2C/ITPR3/PPP1CC/ATF6B/CALML4/PPP3CB/GNA13/GNAQ/ROCK2/GTF2IRD1/CREB3L2/RGS2/MEF2A/VASP/PPP1R12A/ATF2/ATP1B1/CREB3L1/VDAC1/SLC8A1/INSR/ROCK1/CALM3/RAF1/ADCY1/NFATC1/CREB1/RHOA/VDAC2/PRKCE/MYLK/ATF4"
"hsa05010","hsa05010","Alzheimer disease",277,-0.355340819021027,-1.48735339335763,0.000634737449509521,0.0191326252426338,0.0157202563452097,2945,"tags=29%, list=19%, signal=24%","PIK3CA/TUBA1B/MAPK3/FRAT2/CYCS/NDUFAB1/LRP1/ITPR1/WIPI1/SLC25A5/NDUFA6/UQCRC1/SLC25A6/SLC25A6/PSEN1/COX6B1/WNT7B/MAPK9/ULK2/NDUFV2/SDHD/SDHA/ATP5F1C/ATP5F1B/RELA/UQCR10/ITPR3/MAP3K5/CSNK2B/LPL/DDIT3/MCU/KIF5A/ATP5PF/RTN4/CALML4/PPP3CB/COX6C/GNAQ/TUBB/RTN3/RB1CC1/NDUFA9/AXIN2/CSNK1E/ADAM17/COX7A2L/ATP5PO/BRAF/UQCRFS1/CSNK1A1/FZD8/UQCRB/SDHB/NDUFB9/VDAC1/INSR/COX7B/TUBB2B/CALM3/ATP5F1A/RAF1/RYR3/CSNK2A1/ATF6/BACE2/NDUFA1/GAPDH/VDAC2/EIF2AK3/NDUFA5/ATP5MC2/UQCRC2/APP/ADAM10/NDUFA10/UQCRH/NDUFS4/COX4I1/ATF4"
