"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic",484,0.718899249068167,2.53514797956519,6.13647520864016e-05,0.00188415458400459,0.00156099190070987,1409,"tags=35%, list=10%, signal=32%","RRM2/HIST2H2AA4/TOP2A/ESCO2/CDKN1A/CDCA5/MYBL2/SPC24/E2F2/AURKB/ESPL1/FOXM1/RFC3/KNL1/KIF2C/NCAPH/MCM10/ZWINT/INCENP/MASTL/CDK1/CDT1/UBE2C/LIG1/TUBA1B/SMC2/CENPU/GINS4/ERCC6L/CENPF/CENPM/CDC25B/TK1/GTSE1/MCM8/PKMYT1/PCNA/CCNA2/DNA2/TUBB4B/BUB1B/NCAPD3/CCNE2/SMC1A/SKA1/POLE/CEP57/POLD3/TMPO/POLA2/NCAPG/SGO1/CENPK/CENPO/NCAPG2/HAUS5/E2F1/TYMS/ORC6/CDC6/POLD1/KIF23/TPX2/NCAPD2/CEP152/DSN1/CDC25A/FEN1/CDK2/NUF2/RFC2/CEP192/ZWILCH/HSP90AA1/DHFR/SPC25/NDC80/CENPI/CCP110/LIN54/FBXO5/NUP58/GINS1/CDC45/NUP62/VRK1/SMC4/NCAPH2/FZR1/MCM4/RFC5/MZT1/OPTN/HAUS3/CENPH/H2AFZ/CENPA/TUBG1/RPA1/CCNE1/TUBB6/KNTC1/MAD2L1/PRKACA/RBL1/CDC25C/TUBB/RFC4/CKS1B/BIRC5/HAUS8/MZT2B/CEP135/NUP188/CEP131/NUP155/SRC/RANGAP1/CEP72/RCC2/RAD21/CKAP5/GINS3/HIST2H4B/RPA3/ODF2/GMNN/BUB3/HAUS6/CENPJ/SKA2/FKBPL/HMMR/SMC3/LIN9/NEK2/H2AFX/CDC7/H2AFV/AHCTF1/CCND3/PPP2R1B/CDK11B/RBBP4/NUP50/NUMA1/SGO2/NDC1/BUB1/PLK4/PCNT/TFDP2/CCNB1/CCNB2/POLA2/CEP76/NUP85/AKT1/PRIM1/PSMC3/HAUS1/CDKN2D/NUP43/ORC1/ANAPC7/PSMB8/CENPC/XPO1/LYN"
"R-HSA-73894","R-HSA-73894","DNA Repair",304,0.649333709286832,2.19823889794473,6.17131572451247e-05,0.00188415458400459,0.00156099190070987,1171,"tags=26%, list=8%, signal=24%","HIST2H2AA4/BRCA2/RFC3/FANCD2/PCLAF/FANCI/POLQ/CLSPN/TIMELESS/POLH/EME1/BRCA1/LIG1/FANCG/XRCC2/BRIP1/CHEK2/PCNA/RAD51AP1/CCNA2/DNA2/POLE/POLD3/BLM/EXO1/BARD1/NEIL3/POLD1/TOPBP1/DTL/FEN1/CDK2/RFC2/RHNO1/KPNA2/DDB2/UBE2T/RMI1/GEN1/RAD18/RAD1/MBD4/RFC5/XRCC1/H2AFZ/RPA1/FANCA/MAD2L2/POLR2A/FANCB/XRCC3/POLR2D/USP1/RFC4/ATRIP/RAD51/POLR2L/NPLOC4/NSD2/PARP2/HIST2H4B/RAD51C/TOP3A/RIF1/RPA3/MUTYH/RAD51D/SLX1A/UFD1/CHEK1/MSH2/ACD/H2AFX/DCLRE1B/H2AFV/RAD9A/DCLRE1C/BRCC3"
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53",338,0.570980475718469,1.95284152096788,6.17474529175672e-05,0.00188415458400459,0.00156099190070987,1323,"tags=20%, list=9%, signal=19%","CDKN1A/AURKB/RFC3/FANCD2/FANCI/E2F8/CDK1/E2F7/BRCA1/BRIP1/CHEK2/PCNA/CCNA2/DNA2/CCNE2/BLM/EXO1/RRAGD/BARD1/E2F1/TPX2/TP73/PIDD1/TOPBP1/CDK2/RFC2/RHNO1/DDB2/RMI1/RAD1/RFC5/RPA1/CCNE1/PMAIP1/POLR2A/PLK2/MOV10/RBL1/POLR2D/CDC25C/RFC4/ATRIP/BIRC5/POLR2L/COX8A/TOP3A/RPA3/RAD51D/CENPJ/APAF1/CHEK1/MSH2/HIPK1/CHD3/BBC3/PPP1R13L/CNOT9/PPP2R1B/PIN1/RBBP4/RAD9A/TFDP2/CCNB1/AKT1/MRE11/CASP2/STEAP3/RFFL/G6PD"
"R-HSA-68886","R-HSA-68886","M Phase",345,0.670765137084208,2.29790740889783,6.18582209575653e-05,0.00188415458400459,0.00156099190070987,1406,"tags=30%, list=10%, signal=28%","HIST2H2AA4/CDCA5/SPC24/AURKB/ESPL1/KNL1/KIF2C/NCAPH/ZWINT/INCENP/MASTL/CDK1/UBE2C/TUBA1B/SMC2/CENPU/ERCC6L/CENPF/CENPM/TUBB4B/BUB1B/NCAPD3/SMC1A/SKA1/CEP57/TMPO/NCAPG/SGO1/CENPK/CENPO/NCAPG2/HAUS5/KIF23/NCAPD2/CEP152/DSN1/NUF2/CEP192/ZWILCH/HSP90AA1/SPC25/NDC80/CENPI/CCP110/FBXO5/NUP58/NUP62/VRK1/SMC4/NCAPH2/MZT1/HAUS3/CENPH/H2AFZ/CENPA/TUBG1/TUBB6/KNTC1/MAD2L1/PRKACA/TUBB/BIRC5/HAUS8/MZT2B/CEP135/NUP188/CEP131/NUP155/RANGAP1/CEP72/RCC2/RAD21/CKAP5/HIST2H4B/ODF2/BUB3/HAUS6/CENPJ/SKA2/SMC3/NEK2/H2AFX/H2AFV/AHCTF1/PPP2R1B/NUP50/NUMA1/SGO2/NDC1/BUB1/PLK4/PCNT/CCNB1/CCNB2/CEP76/NUP85/PSMC3/HAUS1/NUP43/ANAPC7/PSMB8/CENPC/XPO1"
"R-HSA-194315","R-HSA-194315","Signaling by Rho GTPases",368,0.528780166070913,1.82202113291507,6.20848078475197e-05,0.00188415458400459,0.00156099190070987,1242,"tags=20%, list=9%, signal=19%","IQGAP3/HIST2H2AA4/SPC24/AURKB/CIT/KNL1/KIF2C/ZWINT/INCENP/TUBA1B/PKN3/CENPU/ERCC6L/CENPF/CENPM/PRC1/TUBB4B/BUB1B/SKA1/SGO1/CENPK/CENPO/ARHGAP33/DSN1/RACGAP1/NUF2/ZWILCH/SPC25/NDC80/CENPI/KIF14/ARHGAP11A/NET1/CENPH/H2AFZ/CENPA/TUBB6/KNTC1/NCKIPSD/MAD2L1/TIAM1/ARHGEF19/ARHGEF39/RHOU/GMIP/CDC25C/BIRC5/PKN1/ECT2/SRC/RANGAP1/PIK3R2/RCC2/CHN2/CKAP5/CALM3/HIST2H4B/LIMK2/BUB3/SKA2/ARHGAP29/TIAM2/FGD4/H2AFX/MYH9/DEPDC1B/H2AFV/AHCTF1/PPP2R1B/PIN1/MYH10/SGO2/BUB1/ARPC1B/NUP85"
"R-HSA-195258","R-HSA-195258","RHO GTPase Effectors",257,0.600944714509973,1.99710922528736,6.23052959501558e-05,0.00188415458400459,0.00156099190070987,1320,"tags=24%, list=9%, signal=22%","IQGAP3/HIST2H2AA4/SPC24/AURKB/CIT/KNL1/KIF2C/ZWINT/INCENP/TUBA1B/PKN3/CENPU/ERCC6L/CENPF/CENPM/PRC1/TUBB4B/BUB1B/SKA1/SGO1/CENPK/CENPO/DSN1/NUF2/ZWILCH/SPC25/NDC80/CENPI/KIF14/CENPH/H2AFZ/CENPA/TUBB6/KNTC1/NCKIPSD/MAD2L1/CDC25C/BIRC5/PKN1/SRC/RANGAP1/RCC2/CKAP5/CALM3/HIST2H4B/LIMK2/BUB3/SKA2/H2AFX/MYH9/H2AFV/AHCTF1/PPP2R1B/PIN1/MYH10/SGO2/BUB1/ARPC1B/NUP85/ARPC5/NUP43"
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints",265,0.71456328040269,2.38371211242797,6.23130608175474e-05,0.00188415458400459,0.00156099190070987,1406,"tags=34%, list=10%, signal=31%","CDKN1A/SPC24/AURKB/RFC3/KNL1/CLSPN/KIF2C/MCM10/ZWINT/INCENP/CDK1/UBE2C/BRCA1/CENPU/ERCC6L/CENPF/CENPM/BRIP1/GTSE1/MCM8/CHEK2/PKMYT1/CCNA2/DNA2/BUB1B/CCNE2/SKA1/BLM/EXO1/SGO1/CENPK/CENPO/BARD1/ORC6/CDC6/TOPBP1/DSN1/CDC25A/CDK2/NUF2/RFC2/ZWILCH/RHNO1/SPC25/NDC80/CENPI/RMI1/CDC45/MCM4/RAD1/RFC5/CENPH/CENPA/RPA1/CCNE1/KNTC1/MAD2L1/CDC25C/RFC4/ATRIP/BIRC5/RANGAP1/NSD2/RCC2/CKAP5/HIST2H4B/TOP3A/RPA3/BUB3/SKA2/CHEK1/H2AFX/CDC7/AHCTF1/PPP2R1B/RAD9A/BRCC3/SGO2/BUB1/CCNB1/CCNB2/NUP85/MRE11/PSMC3/NUP43/ORC1/ANAPC7/PSMB8/CENPC/XPO1"
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases",188,0.672570413946024,2.16262114048039,6.24492599762693e-05,0.00188415458400459,0.00156099190070987,1406,"tags=29%, list=10%, signal=27%","CDKN1A/MYBL2/FOXM1/CDK1/TUBA1B/CENPF/CDC25B/GTSE1/PKMYT1/CCNA2/TUBB4B/CEP57/HAUS5/E2F1/TPX2/CEP152/CDC25A/CDK2/CEP192/HSP90AA1/CCP110/LIN54/MZT1/OPTN/HAUS3/TUBG1/TUBB6/PRKACA/CDC25C/TUBB/HAUS8/MZT2B/CEP135/CEP131/CEP72/CKAP5/ODF2/HAUS6/CENPJ/FKBPL/HMMR/LIN9/NEK2/PPP2R1B/CDK11B/RBBP4/PLK4/PCNT/CCNB1/CCNB2/CEP76/PSMC3/HAUS1/PSMB8/XPO1"
"R-HSA-69306","R-HSA-69306","DNA Replication",122,0.749320841228376,2.28512518018396,6.24609618988132e-05,0.00188415458400459,0.00156099190070987,1372,"tags=33%, list=9%, signal=30%","E2F2/RFC3/MCM10/CDT1/UBE2C/LIG1/GINS4/MCM8/PCNA/CCNA2/DNA2/CCNE2/POLE/POLD3/POLA2/E2F1/ORC6/CDC6/POLD1/FEN1/CDK2/RFC2/GINS1/CDC45/FZR1/MCM4/RFC5/RPA1/CCNE1/RFC4/GINS3/RPA3/GMNN/CDC7/POLA2/PRIM1/PSMC3/ORC1/ANAPC7/PSMB8"
"R-HSA-5663220","R-HSA-5663220","RHO GTPases Activate Formins",131,0.689253765023072,2.12033752240201,6.24765712857678e-05,0.00188415458400459,0.00156099190070987,2010,"tags=42%, list=14%, signal=36%","SPC24/AURKB/KNL1/KIF2C/ZWINT/INCENP/TUBA1B/CENPU/ERCC6L/CENPF/CENPM/TUBB4B/BUB1B/SKA1/SGO1/CENPK/CENPO/DSN1/NUF2/ZWILCH/SPC25/NDC80/CENPI/CENPH/CENPA/TUBB6/KNTC1/MAD2L1/BIRC5/SRC/RANGAP1/RCC2/CKAP5/BUB3/SKA2/AHCTF1/PPP2R1B/SGO2/BUB1/NUP85/NUP43/CENPC/XPO1/KIF18A/NUP107/DIAPH1/CDCA8/CENPQ/TUBB3/CENPN/CENPL/DAAM1/DYNC1I1/CENPT/PMF1"
