"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"R-HSA-68884","R-HSA-68884","Mitotic Telophase/Cytokinesis",14,-0.857725056718702,-2.11295422783328,6.4040986231188e-05,0.00121964818376962,0.000929605103332891,206,"tags=36%, list=1%, signal=35%","SMC3/RAD21/KIF23/PLK1/KIF20A"
"R-HSA-179409","R-HSA-179409","APC-Cdc20 mediated degradation of Nek2A",25,-0.770808613951829,-2.17484693742786,6.44163875289874e-05,0.00121964818376962,0.000929605103332891,575,"tags=32%, list=4%, signal=31%","RPS27A/UBC/MAD2L1/NEK2/UBE2C/CDC27/CDC20/BUB1B"
"R-HSA-174048","R-HSA-174048","APC/C:Cdc20 mediated degradation of Cyclin B",23,-0.743664665421013,-2.0583423359067,6.44786897930234e-05,0.00121964818376962,0.000929605103332891,575,"tags=30%, list=4%, signal=29%","RPS27A/UBC/CDK1/UBE2C/CDC27/CCNB1/CDC20"
"R-HSA-69273","R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition",24,-0.754949258654569,-2.10824680589549,6.45411126887827e-05,0.00121964818376962,0.000929605103332891,1286,"tags=40%, list=9%, signal=36%","MNAT1/FOXM1/LCMT1/CDK1/CDC25C/XPO1/CCNA2/CCNB1/CCNB2/PLK1"
"R-HSA-191273","R-HSA-191273","Cholesterol biosynthesis",24,-0.838614983301649,-2.3418889940665,6.45411126887827e-05,0.00121964818376962,0.000929605103332891,789,"tags=62%, list=5%, signal=59%","LSS/DHCR24/SQLE/CYP51A1/MVD/EBP/HMGCR/IDI1/ACAT2/FDPS/MSMO1/HMGCS1/LBR/DHCR7/FDFT1"
"R-HSA-983189","R-HSA-983189","Kinesins",44,-0.713659671726874,-2.26562908704076,6.61069610629999e-05,0.00121964818376962,0.000929605103332891,1707,"tags=50%, list=12%, signal=44%","KIF5B/KIF18B/KIF5A/KIF3C/TUBA1C/TUBB2A/TUBB3/KIF20B/TUBA1A/KIF22/KIFC1/TUBA1B/KLC1/TUBB2B/KIF4A/RACGAP1/KIF11/KIF2C/KIF18A/KIF23/KIF20A/CENPE"
"R-HSA-3371497","R-HSA-3371497","HSP90 chaperone cycle for steroid hormone receptors (SHR)",44,-0.643237855401057,-2.04206353927212,6.61069610629999e-05,0.00121964818376962,0.000929605103332891,2407,"tags=41%, list=17%, signal=34%","STIP1/TUBA8/FKBP5/DNAJB1/TUBA1C/DYNLL1/CAPZA2/TUBB2A/TUBB3/PTGES3/DYNC1LI1/TUBA1A/HSPA2/TUBA1B/HSPA8/HSP90AA1/HSP90AB1/TUBB2B"
"R-HSA-4615885","R-HSA-4615885","SUMOylation of DNA replication proteins",45,-0.648676928067529,-2.06732917778423,6.63042036865137e-05,0.00121964818376962,0.000929605103332891,2497,"tags=49%, list=17%, signal=41%","RAE1/NUP160/UBE2I/TOP1/TOP2B/PIAS3/NUP205/NUP58/NUP50/NUP37/SUMO2/SUMO3/RANGAP1/NUP88/NUP54/AURKB/INCENP/BIRC5/NUP35/TOP2A/CDCA8/AURKA"
"R-HSA-72695","R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex",50,-0.673914686587457,-2.19192358389343,6.64010624169987e-05,0.00121964818376962,0.000929605103332891,2336,"tags=64%, list=16%, signal=54%","RPS5/RPS9/RPS25/RPS10/EIF3F/EIF3H/RPSA/RPS20/RPS4Y1/EIF3M/RPS8/RPS14/RPS11/RPS3A/RPS23/RPS27/EIF3B/RPS3/RPS21/RPS17/EIF1AX/RPS4X/RPS27A/RPS18/RPS6/RPS2/RPS12/RPS15A/RPS24/RPS7/EIF3E/RPS29"
"R-HSA-2980766","R-HSA-2980766","Nuclear Envelope Breakdown",51,-0.671444561448377,-2.19376964109215,6.64805212072863e-05,0.00121964818376962,0.000929605103332891,1428,"tags=33%, list=10%, signal=30%","NUP205/NUP58/NUP50/EMD/BANF1/NUP37/NEK7/NUP88/CDK1/NUP54/NEK6/NUP35/LMNB1/LPIN1/CCNB1/CCNB2/PLK1"
