"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic",486,0.651311176398547,2.13582128186764,4.11082792074324e-05,0.00259853394242006,0.0022611505924058,1540,"tags=32%, list=11%, signal=29%","CENPE/CENPF/BUB1/BUB1B/TPX2/LMNB1/KIF23/AURKA/CCNB2/CCNB1/CCNA2/SMC4/CDC20/KIF18A/SGO2/NEK6/CDCA8/TUBB2B/NDC80/RAD21/PTTG1/MCM3/KNTC1/BIRC5/STAG1/KIF2C/MCM6/KNL1/LPIN1/NCAPD2/PLK4/HMMR/DBF4/CENPA/KIF20A/CKAP5/PLK1/NUF2/H2AFZ/GTSE1/TOP2A/SPDL1/NEK2/XPO1/ESPL1/UBE2C/MAD2L1/NCAPG/BORA/PRKCA/TUBB/INCENP/ALMS1/CDKN2C/SMC2/NIPBL/AURKB/CNTRL/CDC27/NCAPH/CEP135/GINS2/FOXM1/ODF2/CDK1/TMPO/CEP63/SMC3/POLA1/FBXL7/MCM7/NDC1/WEE1/PPP1R12A/YWHAE/CEP152/ZWINT/FBXO5/E2F1/SGO1/PPP1CB/CENPL/PDS5B/PPP1CC/RBL2/TK1/H2AFV/AKT3/CCND2/MCM4/NUP35/RANGAP1/NUP205/NUP54/CENPI/CDC25C/NUP50/ERCC6L/NUMA1/CDC45/CENPK/PCNT/CDK6/CDC6/MASTL/MZT1/CDK2/DYRK1A/BUB3/SDCCAG8/RFC4/TAOK1/SKA2/HSP90AA1/TPR/CENPJ/MCM2/TUBA1B/CDC7/TUBGCP3/NUP210/RPA1/DHFR/CKS1B/CEP70/CENPU/ANAPC15/HAUS8/CEP78/SPC25/HAUS1/NUP153/NCAPG2/NUP107/TUBGCP5/NUP88/MYBL2/NEK7/CENPQ/NUP58/STAG2/PSMB1/UBC/SET/PDS5A/POLD3/DYNLL1/POLE/NUP160/GOLGA2/CENPH/RFC1/CEP192/PPP2R5A/RPS27A"
"R-HSA-194315","R-HSA-194315","Signaling by Rho GTPases",370,0.650234587575752,2.0905614409609,4.27222625710258e-05,0.00259853394242006,0.0022611505924058,1671,"tags=30%, list=12%, signal=27%","CENPE/CENPF/ARHGAP11A/BUB1/BUB1B/ECT2/CDC20/KIF18A/KIF14/PRC1/SGO2/RACGAP1/CDCA8/TUBB2B/NDC80/DIAPH2/KNTC1/BIRC5/KIF2C/KNL1/TRIO/CENPA/FMNL2/CKAP5/DEPDC1B/ARHGAP19/DIAPH3/PLK1/NUF2/H2AFZ/ARHGAP26/SPDL1/XPO1/ROCK2/MAD2L1/CIT/IQGAP3/PRKCA/PTK2/INCENP/VAV3/CTNNA1/DLC1/AURKB/ARHGAP29/NCKAP1/A2M/ARHGEF10/PREX1/MYH10/PPP1R12A/YWHAE/KALRN/ZWINT/ABI2/YWHAH/SGO1/PPP1CB/CENPL/ITSN1/PPP1CC/H2AFV/ARHGEF26/RANGAP1/CENPI/CDC25C/ROCK1/MYO9A/ERCC6L/CENPK/CHN1/ARHGEF39/CALM3/KTN1/BUB3/TAOK1/SKA2/ARHGEF9/GNA13/ARHGAP33/NCK1/TUBA1B/CENPU/WASF3/ACTG1/SPC25/KIF5B/DLG4/STARD13/NUP107/PLEKHG2/ARHGAP42/ARHGAP32/MYO9B/CENPQ/ARHGAP35/SRGAP2/FMNL3/DYNLL1/NUP160/ITGB1/ARHGAP22/ARHGAP21/CENPH/DIAPH1/PPP2R5A/CENPO/YWHAQ/RAC1/ARHGEF6/HIST1H2BH/AKAP13"
"R-HSA-68886","R-HSA-68886","M Phase",348,0.70961649096261,2.27094773215316,4.30960179279435e-05,0.00259853394242006,0.0022611505924058,1605,"tags=34%, list=11%, signal=31%","CENPE/CENPF/BUB1/BUB1B/LMNB1/KIF23/CCNB2/CCNB1/SMC4/CDC20/KIF18A/SGO2/NEK6/CDCA8/TUBB2B/NDC80/RAD21/PTTG1/KNTC1/BIRC5/STAG1/KIF2C/KNL1/LPIN1/NCAPD2/PLK4/CENPA/KIF20A/CKAP5/PLK1/NUF2/H2AFZ/SPDL1/NEK2/XPO1/ESPL1/UBE2C/MAD2L1/NCAPG/PRKCA/TUBB/INCENP/ALMS1/SMC2/NIPBL/AURKB/CNTRL/CDC27/NCAPH/CEP135/ODF2/CDK1/TMPO/CEP63/SMC3/NDC1/YWHAE/CEP152/ZWINT/FBXO5/SGO1/CENPL/PDS5B/PPP1CC/H2AFV/NUP35/RANGAP1/NUP205/NUP54/CENPI/NUP50/ERCC6L/NUMA1/CENPK/PCNT/MASTL/MZT1/BUB3/SDCCAG8/TAOK1/SKA2/HSP90AA1/TPR/CENPJ/TUBA1B/TUBGCP3/NUP210/CEP70/CENPU/ANAPC15/HAUS8/CEP78/SPC25/HAUS1/NUP153/NCAPG2/NUP107/TUBGCP5/NUP88/NEK7/CENPQ/NUP58/STAG2/PSMB1/UBC/SET/PDS5A/DYNLL1/NUP160/GOLGA2/CENPH/CEP192/PPP2R5A/RPS27A/CDK5RAP2/CENPO/PSMD14"
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints",265,0.574411392044339,1.79622386723912,4.46907400786557e-05,0.00259853394242006,0.0022611505924058,1606,"tags=31%, list=11%, signal=28%","CENPE/CENPF/BUB1/BUB1B/CCNB2/CCNB1/CCNA2/CDC20/KIF18A/SGO2/CDCA8/NDC80/MCM3/KNTC1/BIRC5/KIF2C/MCM6/KNL1/DBF4/CENPA/CKAP5/PLK1/NUF2/GTSE1/SPDL1/XPO1/UBE2C/MAD2L1/NSD2/INCENP/AURKB/CDC27/CDK1/MCM7/WEE1/YWHAE/ZWINT/YWHAH/SGO1/CENPL/PPP1CC/MDC1/RNF168/MCM4/RANGAP1/CENPI/CDC25C/ERCC6L/CDC45/CENPK/CDC6/CDK2/BUB3/RFC4/TAOK1/SKA2/MCM2/CDC7/CHEK1/TOPBP1/BRCA1/RPA1/CENPU/ANAPC15/SPC25/NUP107/CENPQ/BARD1/PSMB1/UBC/UBE2N/DYNLL1/NUP160/CENPH/PPP2R5A/RPS27A/RBBP8/BABAM2/CENPO/PSMD14/YWHAQ"
"R-HSA-195258","R-HSA-195258","RHO GTPase Effectors",260,0.667127373922529,2.08225143718755,4.48229493500672e-05,0.00259853394242006,0.0022611505924058,1625,"tags=30%, list=11%, signal=27%","CENPE/CENPF/BUB1/BUB1B/CDC20/KIF18A/KIF14/PRC1/SGO2/CDCA8/TUBB2B/NDC80/DIAPH2/KNTC1/BIRC5/KIF2C/KNL1/CENPA/FMNL2/CKAP5/DIAPH3/PLK1/NUF2/H2AFZ/SPDL1/XPO1/ROCK2/MAD2L1/CIT/IQGAP3/PRKCA/PTK2/INCENP/CTNNA1/AURKB/NCKAP1/MYH10/PPP1R12A/YWHAE/ZWINT/ABI2/YWHAH/SGO1/PPP1CB/CENPL/PPP1CC/H2AFV/RANGAP1/CENPI/CDC25C/ROCK1/ERCC6L/CENPK/CALM3/KTN1/BUB3/TAOK1/SKA2/NCK1/TUBA1B/CENPU/WASF3/ACTG1/SPC25/KIF5B/DLG4/NUP107/CENPQ/SRGAP2/FMNL3/DYNLL1/NUP160/ITGB1/CENPH/DIAPH1/PPP2R5A/CENPO/YWHAQ/RAC1"
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase",192,0.77087764219612,2.33558825291999,4.63177396943029e-05,0.00259853394242006,0.0022611505924058,1594,"tags=43%, list=11%, signal=38%","CENPE/CENPF/BUB1/BUB1B/CCNB2/CCNB1/SMC4/CDC20/KIF18A/SGO2/CDCA8/TUBB2B/NDC80/RAD21/KNTC1/BIRC5/STAG1/KIF2C/KNL1/NCAPD2/PLK4/CENPA/CKAP5/PLK1/NUF2/SPDL1/NEK2/XPO1/MAD2L1/NCAPG/TUBB/INCENP/ALMS1/SMC2/AURKB/CNTRL/NCAPH/CEP135/ODF2/CDK1/CEP63/SMC3/YWHAE/CEP152/ZWINT/SGO1/CENPL/PDS5B/PPP1CC/RANGAP1/CENPI/ERCC6L/NUMA1/CENPK/PCNT/MZT1/BUB3/SDCCAG8/TAOK1/SKA2/HSP90AA1/CENPJ/TUBA1B/TUBGCP3/CEP70/CENPU/HAUS8/CEP78/SPC25/HAUS1/NUP107/TUBGCP5/CENPQ/STAG2/PDS5A/DYNLL1/NUP160/CENPH/CEP192/PPP2R5A/CDK5RAP2/CENPO"
"R-HSA-2555396","R-HSA-2555396","Mitotic Metaphase and Anaphase",192,0.732558157098024,2.21948871344173,4.63177396943029e-05,0.00259853394242006,0.0022611505924058,1605,"tags=32%, list=11%, signal=29%","CENPE/CENPF/BUB1/BUB1B/LMNB1/CDC20/KIF18A/SGO2/CDCA8/TUBB2B/NDC80/RAD21/PTTG1/KNTC1/BIRC5/STAG1/KIF2C/KNL1/CENPA/CKAP5/PLK1/NUF2/SPDL1/XPO1/ESPL1/UBE2C/MAD2L1/INCENP/AURKB/CDC27/TMPO/SMC3/ZWINT/FBXO5/SGO1/CENPL/PDS5B/PPP1CC/RANGAP1/CENPI/ERCC6L/CENPK/BUB3/TAOK1/SKA2/TUBA1B/CENPU/ANAPC15/SPC25/NUP107/CENPQ/STAG2/PSMB1/UBC/PDS5A/DYNLL1/NUP160/CENPH/PPP2R5A/RPS27A/CENPO/PSMD14"
"R-HSA-68882","R-HSA-68882","Mitotic Anaphase",191,0.731287910618576,2.21386316527359,4.6339202965709e-05,0.00259853394242006,0.0022611505924058,1605,"tags=32%, list=11%, signal=29%","CENPE/CENPF/BUB1/BUB1B/LMNB1/CDC20/KIF18A/SGO2/CDCA8/TUBB2B/NDC80/RAD21/PTTG1/KNTC1/BIRC5/STAG1/KIF2C/KNL1/CENPA/CKAP5/PLK1/NUF2/SPDL1/XPO1/ESPL1/UBE2C/MAD2L1/INCENP/AURKB/CDC27/TMPO/SMC3/ZWINT/SGO1/CENPL/PDS5B/PPP1CC/RANGAP1/CENPI/ERCC6L/CENPK/BUB3/TAOK1/SKA2/TUBA1B/CENPU/ANAPC15/SPC25/NUP107/CENPQ/STAG2/PSMB1/UBC/PDS5A/DYNLL1/NUP160/CENPH/PPP2R5A/RPS27A/CENPO/PSMD14"
"R-HSA-5617833","R-HSA-5617833","Cilium Assembly",188,0.593246108913936,1.79293612312672,4.64209451304429e-05,0.00259853394242006,0.0022611505924058,2274,"tags=32%, list=16%, signal=28%","EXOC4/TUBB2B/TNPO1/PLK4/CKAP5/PLK1/SCLT1/NEK2/TUBB/ALMS1/CNTRL/CEP135/ODF2/CDK1/BBS9/CEP63/YWHAE/CEP152/DYNC2H1/ASAP1/PCNT/SDCCAG8/TTC21B/HSP90AA1/IFT81/CENPJ/TUBA1B/CCT4/CEP70/HAUS8/CEP78/CCT8/WDR19/HAUS1/CEP162/IFT74/PKD1/DYNLL1/CCT5/CEP192/TTC26/CDK5RAP2/CEP97/PRKAR2B/MAPRE1/RAB3IP/IFT122/CEP41/TCTE3/PDE6D/FGFR1OP/ARL13B/CETN2/KIF17/DCTN3/TCP1/CSNK1E/WDR35/LZTFL1/RAB8A/RP2"
"R-HSA-6811442","R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic",180,0.595391025463841,1.78970808294414,4.67704971703849e-05,0.00259853394242006,0.0022611505924058,1328,"tags=15%, list=9%, signal=14%","CENPE/KIF23/KIF18A/KIF11/RACGAP1/TUBB2B/KIF4A/KIF2C/KIFC1/KIF15/KIF20B/KIF20A/KIF22/BICD1/GOLIM4/GALNT1/CUX1/NBAS/TMED10/TUBA1B/KIF16B/COG5/KIF5B/RAB3GAP2/MAN1A1/COPB1/MAN2A1"
