"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"R-HSA-983189","R-HSA-983189","Kinesins",45,0.757799596632296,2.32227964612319,7.23693732812274e-05,0.00661645060830397,0.00581902822228688,1262,"tags=42%, list=9%, signal=39%","KIF2C/KIF1A/KIF18B/TUBA1B/TUBB4B/KIF20B/KIF23/KIFC1/RACGAP1/KIF11/KIF18A/KIF15/KIF26A/KIF4A/KIF3C/KIF20A/KIF22/KLC2/TUBB2A"
"R-HSA-6811434","R-HSA-6811434","COPI-dependent Golgi-to-ER retrograde traffic",84,0.57540234043107,1.97237425938714,7.68344218209758e-05,0.00661645060830397,0.00581902822228688,1307,"tags=25%, list=9%, signal=23%","KIF2C/KIF1A/KIF18B/TUBA1B/TUBB4B/KIF20B/KIF23/KIFC1/RACGAP1/KIF11/KIF18A/KIF15/KIF26A/KIF4A/KIF3C/KIF20A/KIF22/ARFGAP2/KLC2/TUBB2A/RINT1"
"R-HSA-380320","R-HSA-380320","Recruitment of NuMA to mitotic centrosomes",88,0.576049147738067,1.98907359882518,7.72797527047913e-05,0.00661645060830397,0.00581902822228688,2820,"tags=44%, list=19%, signal=36%","TUBA1B/TUBB4B/NUMA1/CDK1/CEP131/NEK2/PCNT/ODF2/HSP90AA1/CNTRL/CKAP5/DYNC1H1/PLK4/HAUS5/CCP110/MZT2B/TUBB2A/MZT1/CENPJ/DCTN1/CEP164/CEP135/TUBG1/CEP57/MZT2A/CEP192/CEP76/CEP72/TUBB3/PRKACA/CEP152/PPP2R1A/HAUS3/PLK1/CSNK1E/TUBA4A/TUBB6/FGFR1OP/SFI1"
"R-HSA-141424","R-HSA-141424","Amplification of signal from the kinetochores",95,0.651111315913485,2.27818341305381,7.77907429015947e-05,0.00661645060830397,0.00581902822228688,1062,"tags=32%, list=7%, signal=29%","KIF2C/INCENP/KNL1/CENPF/SPC24/AURKB/RANGAP1/CENPM/CDCA8/ERCC6L/CENPO/ZWINT/BUB1B/SGO1/CENPI/CDC20/BIRC5/KIF18A/MAD2L1/SGO2/CENPA/SKA1/NUF2/BUB3/NDC80/CKAP5/RCC2/DYNC1H1/CENPL/PPP2R5D"
"R-HSA-141444","R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",95,0.651111315913485,2.27818341305381,7.77907429015947e-05,0.00661645060830397,0.00581902822228688,1062,"tags=32%, list=7%, signal=29%","KIF2C/INCENP/KNL1/CENPF/SPC24/AURKB/RANGAP1/CENPM/CDCA8/ERCC6L/CENPO/ZWINT/BUB1B/SGO1/CENPI/CDC20/BIRC5/KIF18A/MAD2L1/SGO2/CENPA/SKA1/NUF2/BUB3/NDC80/CKAP5/RCC2/DYNC1H1/CENPL/PPP2R5D"
"R-HSA-69618","R-HSA-69618","Mitotic Spindle Checkpoint",111,0.622705389707022,2.22928932124441,7.92832791564259e-05,0.00661645060830397,0.00581902822228688,1062,"tags=28%, list=7%, signal=26%","KIF2C/UBE2C/INCENP/KNL1/CENPF/SPC24/AURKB/RANGAP1/CENPM/CDCA8/ERCC6L/CENPO/ZWINT/BUB1B/SGO1/CENPI/CDC20/BIRC5/KIF18A/MAD2L1/SGO2/CENPA/SKA1/NUF2/BUB3/NDC80/CKAP5/RCC2/DYNC1H1/CENPL/PPP2R5D"
"R-HSA-2500257","R-HSA-2500257","Resolution of Sister Chromatid Cohesion",119,0.636833703280528,2.30425268698598,8.0032012805122e-05,0.00661645060830397,0.00581902822228688,1062,"tags=31%, list=7%, signal=29%","KIF2C/INCENP/KNL1/TUBA1B/CENPF/CCNB1/TUBB4B/SPC24/AURKB/CDCA5/RANGAP1/CDK1/CENPM/CDCA8/ERCC6L/CCNB2/CENPO/ZWINT/SMC1A/BUB1B/SGO1/CENPI/CDC20/BIRC5/KIF18A/MAD2L1/SGO2/CENPA/SKA1/NUF2/BUB3/NDC80/CKAP5/RCC2/DYNC1H1/CENPL/PPP2R5D"
"R-HSA-5663220","R-HSA-5663220","RHO GTPases Activate Formins",131,0.583573837642935,2.14185033324182,8.09126952018772e-05,0.00661645060830397,0.00581902822228688,1560,"tags=30%, list=11%, signal=27%","KIF2C/INCENP/KNL1/TUBA1B/CENPF/TUBB4B/SPC24/AURKB/RANGAP1/CENPM/CDCA8/ERCC6L/CENPO/ZWINT/SRC/BUB1B/SGO1/CENPI/CDC20/BIRC5/KIF18A/MAD2L1/SGO2/CENPA/SKA1/DVL3/NUF2/BUB3/NDC80/CKAP5/RCC2/DYNC1H1/CENPL/PPP2R5D/TUBB2A/NDEL1/SRF/DVL2/BUB1"
"R-HSA-2467813","R-HSA-2467813","Separation of Sister Chromatids",180,0.548506575479974,2.09495276419502,8.49329030066248e-05,0.00661645060830397,0.00581902822228688,1062,"tags=21%, list=7%, signal=19%","KIF2C/ESPL1/UBE2C/INCENP/KNL1/TUBA1B/CENPF/TUBB4B/SPC24/AURKB/CDCA5/RANGAP1/CENPM/CDCA8/ERCC6L/CENPO/ZWINT/SMC1A/BUB1B/SGO1/CENPI/CDC20/BIRC5/KIF18A/MAD2L1/SGO2/CENPA/SKA1/NUF2/BUB3/PTTG1/NDC80/CKAP5/RCC2/DYNC1H1/CENPL/PPP2R5D"
"R-HSA-68882","R-HSA-68882","Mitotic Anaphase",190,0.539845338188355,2.07706383875923,8.53898044573478e-05,0.00661645060830397,0.00581902822228688,1062,"tags=20%, list=7%, signal=19%","KIF2C/ESPL1/UBE2C/INCENP/KNL1/TUBA1B/CENPF/TUBB4B/SPC24/AURKB/CDCA5/RANGAP1/CENPM/CDCA8/ERCC6L/CENPO/ZWINT/SMC1A/BUB1B/SGO1/CENPI/CDC20/BIRC5/KIF18A/MAD2L1/SGO2/TMPO/CENPA/SKA1/NUF2/BUB3/PTTG1/NDC80/CKAP5/RCC2/DYNC1H1/CENPL/PPP2R5D"
