"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"R-HSA-382551","R-HSA-382551","Transport of small molecules",478,0.355745059350849,1.54282877917228,4.31909471774716e-05,0.00624360286591607,0.00475677422830362,2873,"tags=27%, list=20%, signal=22%","APOE/LIPA/A2M/SLC47A2/ADCY9/SLCO2A1/MYO5B/ATP1A1/ATP2B2/FXYD1/ABCA1/SLC36A1/APOC1/ATP10D/SLC22A17/SLC25A18/SLC1A2/CLCN7/RSC1A1/ATP8B1/STEAP3/TTYH3/PRKAR1B/ATP2A2/FTL/SLC2A1/AQP4/SLC4A2/SLC4A4/SLC12A2/TFR2/ADCY2/ATP13A1/VLDLR/SLC7A5/WNK2/ABCA2/SLC18A1/SLC12A7/ADCY3/PSMD9/SLC47A1/DMTN/SLC7A11/PLTP/SLC24A5/LPL/SLC27A1/HDLBP/ANO7/ATP2B1/BSG/MTTP/BEST1/CAMK2B/AP2A1/ABCD1/ATP11A/TPCN1/ADCY5/CAMK2A/HMOX1/SLC4A3/SLC36A4/AQP1/SLC43A2/ATP6V0A1/SLC25A22/PSMB10/LRRC8A/ABCB9/GNB2/CLCN5/LMF2/HFE/SCNN1G/ATP6V1B2/ABCA3/TRPM8/ANKH/SLC6A1/SLC1A5/SLC35A2/ABCB8/SLC20A1/UNC80/SLC35D2/TRPM4/CASQ1/TRPM3/CLCN2/SPG7/SLC26A11/ADD2/GNG7/TTYH1/SLC2A4/LETM1/SLC9A1/SLC38A1/NR1H2/SLC25A10/SLC3A2/SLC2A11/TRPC4AP/SLC35A3/SOAT1/ABCA7/SLC7A1/SLC30A6/SLC25A6/SLC25A6/PSMB8/SCARB1/ATP1A3/SLC12A4/SLC1A4/SCNN1B/ATP6V1H/AP2A2/FLVCR1/SLC6A9/SLC33A1/RYR3/ZDHHC8/ATP6V0E2/ABCC1/NR1H3/PMPCA/SLC16A3/MCOLN1"
"R-HSA-372790","R-HSA-372790","Signaling by GPCR",350,0.437727983166876,1.85236497096862,4.50876955678795e-05,0.00624360286591607,0.00475677422830362,2174,"tags=29%, list=15%, signal=25%","CNR1/APOE/PDE2A/RHOB/ADCY9/RPS6KA2/LRP1/PLEKHG5/VIPR1/OBSCN/PDE1C/LTB4R2/ARHGEF10L/LRP10/DRD2/PIK3R2/CHRM1/FZD8/MCHR1/RGS6/REEP2/GNAO1/CXCR4/FZD7/GABBR2/PLPPR2/DGKI/HSPG2/ARRB1/PRKAR1B/ITPR1/TIAM1/GPC1/PREX1/ARHGEF4/HTR6/SDC1/ADCY2/HRH2/WNT9B/ARHGEF37/ADCY3/DAGLA/TBXA2R/REEP4/RGS11/GNA11/SDC3/ADRB1/HEBP1/LPL/WNT7A/RASGRP2/RAMP1/SRC/PTCH2/PLCB1/AKAP13/ARHGEF17/CAMK2B/DGKZ/PDE4A/ARHGEF16/KALRN/ARHGEF11/C5AR1/ADCY5/ADGRE5/PLPPR5/CAMK2A/GRK6/APLN/RGS3/AGRN/ARHGEF10/NPB/NLN/HRAS/PDE10A/MCF2L/ECE2/NGEF/GNB2/P2RY11/DGKQ/RGS14/S1PR2/UCN2/RTP4/AGT/WNT3/ARHGEF18/GPR37L1/P2RY1/PAK1/RDH5/GPSM1/HBEGF/FZD5/OXTR/AKT2/GNG7/F2RL1"
"R-HSA-388396","R-HSA-388396","GPCR downstream signalling",325,0.422611252169134,1.77736551081614,4.55041863851474e-05,0.00624360286591607,0.00475677422830362,2174,"tags=27%, list=15%, signal=24%","CNR1/APOE/PDE2A/RHOB/ADCY9/RPS6KA2/LRP1/PLEKHG5/VIPR1/OBSCN/PDE1C/LTB4R2/ARHGEF10L/LRP10/DRD2/PIK3R2/CHRM1/MCHR1/RGS6/REEP2/GNAO1/CXCR4/GABBR2/DGKI/HSPG2/ARRB1/PRKAR1B/ITPR1/TIAM1/GPC1/PREX1/ARHGEF4/HTR6/SDC1/ADCY2/HRH2/ARHGEF37/ADCY3/DAGLA/TBXA2R/REEP4/RGS11/GNA11/SDC3/ADRB1/HEBP1/LPL/RASGRP2/RAMP1/SRC/PLCB1/AKAP13/ARHGEF17/CAMK2B/DGKZ/PDE4A/ARHGEF16/KALRN/ARHGEF11/C5AR1/ADCY5/CAMK2A/GRK6/APLN/RGS3/AGRN/ARHGEF10/NPB/HRAS/PDE10A/MCF2L/NGEF/GNB2/P2RY11/DGKQ/RGS14/S1PR2/RTP4/AGT/ARHGEF18/GPR37L1/P2RY1/PAK1/RDH5/GPSM1/HBEGF/OXTR/AKT2/GNG7/F2RL1"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization",197,0.552314344098346,2.20879319543594,4.86594326310155e-05,0.00624360286591607,0.00475677422830362,2039,"tags=40%, list=15%, signal=34%","ELN/FBLN1/A2M/F11R/PDGFB/ADAM19/COL7A1/TNC/COL8A2/SERPINE1/CD44/LAMB3/LAMB2/ICAM5/COL6A2/LUM/ADAMTS4/FBN2/PTPRS/HSPG2/ITGA3/EMILIN3/SH3PXD2A/COL18A1/TIMP2/PLEC/ACTN1/COL5A1/ICAM1/SDC1/VCAM1/CTSD/LAMA3/COL1A1/MFAP4/SPARC/P3H3/FBLN5/TIMP1/ADAMTS2/CD151/COL6A1/SDC3/LTBP4/NID1/MMP14/TNXB/EFEMP2/LAMA5/COL27A1/ITGB4/BSG/COL4A2/BGN/MMP11/CAPN5/LAMC1/COL4A1/ADAMTS9/NCAN/CAPN1/ITGB5/AGRN/ADAM10/ITGA6/LOXL1/SPP1/ITGAX/ITGA7/PDGFA/ADAMTS3/FBN1/TGFB1/CDH1/COLGALT1/COL9A2/THBS1/SERPINH1"
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix",83,0.56810807713173,2.0181865614405,5.41096261024836e-05,0.00624360286591607,0.00475677422830362,2444,"tags=48%, list=17%, signal=40%","ELN/A2M/COL7A1/COL8A2/CD44/LAMB3/COL6A2/ADAMTS4/FBN2/HSPG2/COL18A1/TIMP2/COL5A1/CTSD/LAMA3/COL1A1/TIMP1/COL6A1/NID1/MMP14/LAMA5/BSG/COL4A2/MMP11/CAPN5/LAMC1/COL4A1/ADAMTS9/CAPN1/ADAM10/SPP1/FBN1/CDH1/COL9A2/COL19A1/ADAM15/FBN3/LAMB1/CAPN15/COL4A4"
"R-HSA-1500931","R-HSA-1500931","Cell-Cell communication",84,0.549694963883156,1.95646639079324,5.41565123206066e-05,0.00624360286591607,0.00475677422830362,1200,"tags=26%, list=9%, signal=24%","ACTG1/F11R/CDH5/PTK2B/CDH6/FLNA/CLDN4/NECTIN1/PIK3R2/LAMB3/SDK2/FLNC/PLEC/ACTN1/LAMA3/ACTB/SPTBN1/CD151/NECTIN2/SRC/ITGB4/KIRREL1"
"R-HSA-446728","R-HSA-446728","Cell junction organization",57,0.620291465154594,2.07192335552098,5.58284948637785e-05,0.00624360286591607,0.00475677422830362,1018,"tags=30%, list=7%, signal=28%","ACTG1/F11R/CDH5/CDH6/FLNA/CLDN4/NECTIN1/LAMB3/SDK2/FLNC/PLEC/ACTN1/LAMA3/ACTB/CD151/NECTIN2/ITGB4"
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions",51,0.634992979514903,2.07637310728146,5.66540139368874e-05,0.00624360286591607,0.00475677422830362,2015,"tags=57%, list=14%, signal=49%","F11R/COL7A1/TNC/COL8A2/CD44/ICAM5/COL6A2/LUM/HSPG2/ITGA3/COL18A1/COL5A1/ICAM1/VCAM1/COL1A1/COL6A1/BSG/COL4A2/COL4A1/ITGB5/AGRN/ITGA6/SPP1/ITGAX/ITGA7/FBN1/CDH1/COL9A2/THBS1"
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions",47,0.652670126988104,2.10006756252558,5.70841420253454e-05,0.00624360286591607,0.00475677422830362,2015,"tags=47%, list=14%, signal=40%","PDGFB/TNC/LAMB3/LAMB2/HSPG2/ACTN1/COL5A1/SDC1/LAMA3/COL1A1/SDC3/LAMA5/ITGB4/COL4A2/LAMC1/COL4A1/ITGB5/AGRN/ITGA6/PDGFA/TGFB1/THBS1"
"R-HSA-2467813","R-HSA-2467813","Separation of Sister Chromatids",182,-0.404157548372658,-1.73365514660176,0.000103487529752665,0.00624360286591607,0.00475677422830362,4011,"tags=48%, list=29%, signal=35%","BIRC5/PSMA7/PSMD6/CENPP/PSMF1/NUP85/RPS27/CENPQ/NUF2/ZWINT/CDC26/ESPL1/UBC/CENPI/PSMA1/PSMB5/KIF2C/PSMC5/ANAPC5/PSMD5/SPDL1/NSL1/CENPK/PPP2CB/CENPS/SKA1/PPP2R5C/PSMD3/ANAPC7/ANAPC10/CKAP5/PSMD1/NUP160/WAPL/PSMD10/KNL1/TUBA1C/PDS5B/PSMB2/CDC27/PPP2R1B/UBB/PSMD8/XPO1/PSMB3/MAPRE1/PPP1CC/SPC25/DYNLL2/PSMC2/SEM1/PSMA4/SEH1L/STAG1/PMF1-BGLAP/PSMB1/PMF1/PSMB6/CDC16/PSMC3/NUP107/UBE2D1/PSMD4/CDC20/UBE2C/NDC80/AURKB/PPP2R5E/PSMD11/ITGB3BP/SKA2/CENPA/BUB1/PSMC6/CDCA8/TUBA1B/HDAC8/PTTG1/CENPC/PSMA3/SGO2/BUB1B/PSMC1/DYNLL1/DYNC1LI1/PSMB7/CENPE"
