"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"R-HSA-72766","R-HSA-72766","Translation",288,-0.410775801980614,-1.63888199849339,6.53466640528001e-05,0.0142125706214689,0.0130556794528695,4285,"tags=42%, list=25%, signal=32%","RPL11/MRPS18C/MRPS23/MRPL1/RPL22/SARS/RPL5/RARS/MRPL32/RPS20/MRPL54/NARS/RPL36AL/RPS12/EIF3J/MRPS21/SRP9/GARS/EIF1AX/PPA1/RPS14/MRPL12/YARS2/RPS7/EIF4E/MRPS7/RPL34/EIF3K/UBA52/RPL31/RPS18/RPL14/MRPL17/EIF2S2/MRPL19/RPL23A/EEF1B2/RPL9/TSFM/RPL7/MRPS22/CARS/RPS26/PPA2/SSR1/RPL23/RPL21/RPS17/RPL39/RPS8/MRPL47/MRPL46/MRPL24/MARS/RPN2/SRP54/EIF2B5/RPL37/AIMP1/MRPS9/SEC61B/TARS/RPL41/MRPL3/IARS/EIF4A1/MRPS10/SRP19/RPS11/MRPL18/RPL36A/MTIF3/RPS29/MRPL50/MRPL11/MRPS17/MRPL27/RPL35A/MRPL44/YARS/NARS2/MRPL51/RPL38/MRPS18B/MRPS31/EIF3E/RPS25/RPL30/RPL27/RPL35/RPL17/MRPS27/MRPL16/RPS15A/SRP72/MRPL33/MRPL9/MRPL15/MTIF2/EIF5/SPCS2/FARSB/RPS27/EEF1E1/MRPL39/EIF2S3/EIF2B1/RPL32/MRPL22/RPS27A/RPL26/SSR2/FARS2/N6AMT1/MRPS14/EIF3H/RPL37A/RPL24/RARS2/MRPL58/MRPS28/MRPL48"
"R-HSA-72163","R-HSA-72163","mRNA Splicing - Major Pathway",183,-0.456166627692881,-1.73382727822061,6.55436848659632e-05,0.0142125706214689,0.0130556794528695,4027,"tags=43%, list=23%, signal=34%","HNRNPK/HNRNPH1/PPIH/WBP4/CPSF2/LSM8/SF3B6/HNRNPA3/CDC40/AQR/SRSF5/RBM17/HNRNPA1/SNRPC/CASC3/SNRPN/SRSF10/HNRNPD/TXNL4A/SNW1/PPIE/BCAS2/PLRG1/HSPA8/SMNDC1/MTREX/PCF11/NCBP2/SRSF7/POLR2K/HNRNPC/PPWD1/SNRPG/POLR2B/SNRPD1/SNRPF/PPIL6/HNRNPH2/MAGOHB/HNRNPL/PPIL1/SNURF/PHF5A/SRSF9/RBM22/USP39/SNRPE/U2AF1L4/U2AF1L5/SNRPD3/ISY1/PRPF38A/PCBP2/RBMX/SYF2/LSM6/PAPOLA/CWC27/BUD31/HNRNPF/CWC25/LSM3/HNRNPU/HNRNPR/SRSF3/DDX46/PRPF3/DHX15/POLR2H/POLR2J/SNRPA1/LSM2/SRSF1/MAGOH/CTNNBL1/CWC15/SRSF2/TRA2B/CWC22"
"R-HSA-72172","R-HSA-72172","mRNA Splicing",191,-0.46960986144073,-1.793563746256,6.56167979002625e-05,0.0142125706214689,0.0130556794528695,4027,"tags=44%, list=23%, signal=34%","HNRNPK/HNRNPH1/PPIH/WBP4/CPSF2/LSM8/SF3B6/HNRNPA3/CDC40/AQR/SRSF5/RBM17/HNRNPA1/SNRPC/CASC3/SNRPN/SRSF10/HNRNPD/TXNL4A/SNW1/PPIE/BCAS2/PDCD7/PLRG1/HSPA8/SMNDC1/MTREX/PCF11/NCBP2/SRSF7/POLR2K/HNRNPC/PPWD1/SNRPG/POLR2B/SNRPD1/SNRPF/PPIL6/HNRNPH2/MAGOHB/HNRNPL/PPIL1/SNURF/PHF5A/SRSF9/RBM22/USP39/SNRPE/U2AF1L4/U2AF1L5/SNRPD3/ISY1/RNPC3/PRPF38A/PCBP2/RBMX/SYF2/LSM6/PAPOLA/CWC27/BUD31/HNRNPF/CWC25/LSM3/SNRNP48/HNRNPU/HNRNPR/SRSF3/DDX46/PRPF3/DHX15/POLR2H/POLR2J/SNRPA1/LSM2/SRSF1/MAGOH/CTNNBL1/CWC15/SRSF2/ZCRB1/TRA2B/SNRNP35/CWC22"
"R-HSA-72203","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA",241,-0.452232708268146,-1.77066964351582,6.57375755982119e-05,0.0142125706214689,0.0130556794528695,4027,"tags=41%, list=23%, signal=32%","HNRNPK/HNRNPH1/PPIH/WBP4/CPSF2/LSM8/SF3B6/HNRNPA3/CDC40/AQR/SRSF5/DDX39B/RBM17/EIF4E/HNRNPA1/SNRPC/CASC3/WTAP/SNRPN/SRSF10/HNRNPD/TXNL4A/SNW1/PPIE/BCAS2/PDCD7/PLRG1/NUP54/HSPA8/SMNDC1/MTREX/PCF11/NCBP2/NUP88/SRSF7/POLR2K/CHTOP/HNRNPC/PPWD1/SNRPG/POLR2B/ZC3H11A/SNRPD1/SNRPF/PPIL6/HNRNPH2/POLDIP3/MAGOHB/HNRNPL/PPIL1/SNURF/PHF5A/NUP35/SRSF9/RBM22/USP39/SNRPE/U2AF1L4/U2AF1L5/THOC2/SNRPD3/ISY1/RNPC3/PRPF38A/PCBP2/RBMX/SYF2/LSM6/THOC7/PAPOLA/CWC27/BUD31/HNRNPF/CWC25/LSM3/SNRNP48/HNRNPU/HNRNPR/SRSF3/DDX46/PRPF3/DHX15/POLR2H/POLR2J/SNRPA1/LSM2/SRSF1/SARNP/MAGOH/CTNNBL1/SEH1L/NXT1/CWC15/SRSF2/ZCRB1/TRA2B/THOC1/SNRNP35/CWC22"
"R-HSA-5625886","R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",38,-0.688569513860234,-2.0325349030539,6.61550674781688e-05,0.0142125706214689,0.0130556794528695,3023,"tags=45%, list=17%, signal=37%","HIST1H2BN/HIST1H2AE/HIST1H3H/HIST1H2BE/HIST1H2BC/HIST1H2BG/HIST2H4A/HIST1H4H/HIST2H2BE/HIST2H3A/HIST1H4J/HIST1H2AC/HIST1H2BF/HIST2H2AA3/HIST3H2BB/HIST1H4E/KDM4C"
"R-HSA-5693571","R-HSA-5693571","Nonhomologous End-Joining (NHEJ)",53,-0.636938459004897,-2.0031531052942,6.62076271186441e-05,0.0142125706214689,0.0130556794528695,2500,"tags=43%, list=14%, signal=37%","XRCC4/TDP1/ABRAXAS1/HIST1H2BE/NBN/HIST1H2BC/HIST1H2BG/XRCC5/HIST2H4A/HIST1H4H/HIST2H2BE/UBE2V2/UBE2N/PAXIP1/TDP2/HIST1H4J/HIST1H2BF/UIMC1/LIG4/HIST3H2BB/BABAM2/NHEJ1/HIST1H4E"
"R-HSA-977225","R-HSA-977225","Amyloid fiber formation",67,-0.579001566323807,-1.89590986257948,0.000132004488152597,0.0242888258200779,0.0223117360426345,3023,"tags=37%, list=17%, signal=31%","HIST1H2BN/TSPAN5/HIST1H2AE/HIST1H3H/APP/BACE1/HIST1H2BE/HIST1H2BC/HIST1H2BG/HIST2H4A/HIST1H4H/HIST2H2BE/NPPA/SIAH2/HIST2H3A/ADAM10/HIST1H4J/HIST1H2AC/HIST1H2BF/HIST2H2AA3/RPS27A/SIAH1/HIST3H2BB/PRKN/HIST1H4E"
"R-HSA-1799339","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",109,-0.485910973900384,-1.72181635485929,0.000195707482549416,0.0285479974289071,0.026224214702592,4409,"tags=61%, list=25%, signal=46%","RPL7A/SPCS1/RPS3/RPS6/RPS3A/RPL10A/RPSA/RPL6/RPS10/RPL12/SEC11A/RPL10/RPS16/RPS4X/RPS24/SEC11C/DDOST/RPL11/RPL22/RPL5/RPS20/RPL36AL/RPS12/SRP9/RPS14/RPS7/RPL34/UBA52/RPL31/RPS18/RPL14/RPL23A/RPL9/RPL7/RPS26/SSR1/RPL23/RPL21/RPS17/RPL39/RPS8/RPN2/SRP54/RPL37/SEC61B/RPL41/SRP19/RPS11/RPL36A/RPS29/RPL35A/RPL38/RPS25/RPL30/RPL27/RPL35/RPL17/RPS15A/SRP72/SPCS2/RPS27/RPL32/RPS27A/RPL26/SSR2/RPL37A/RPL24"
"R-HSA-73728","R-HSA-73728","RNA Polymerase I Promoter Opening",36,-0.666539867348621,-1.94282515704978,0.000199481348493916,0.0285479974289071,0.026224214702592,3023,"tags=47%, list=17%, signal=39%","HIST1H2BN/HIST1H2AE/HIST1H3H/HIST1H2BE/HIST1H2BC/HIST1H2BG/MBD2/HIST2H4A/HIST1H4H/HIST2H2BE/HIST2H3A/HIST1H4J/HIST1H2AC/HIST1H2BF/HIST2H2AA3/HIST3H2BB/HIST1H4E"
"R-HSA-3214847","R-HSA-3214847","HATs acetylate histones",111,-0.485075869868706,-1.72292493766483,0.000261147744336358,0.0336358294705229,0.0308979015404281,3795,"tags=40%, list=22%, signal=32%","VPS72/MBIP/PAX3/HIST1H2BH/ELP1/ING3/HIST1H2AI/MSL1/KAT6A/TAF10/HIST1H2BN/ELP3/ATXN7/HIST1H2AE/HIST1H3H/ELP2/TADA1/HIST1H2BE/KANSL1/HIST1H2BC/KANSL2/HIST1H2BG/YEATS4/JADE1/HIST2H4A/HIST1H4H/HIST2H2BE/KAT8/ACTL6A/MORF4L1/HIST2H3A/ING4/MSL2/HIST1H4J/HIST1H2AC/ATF2/HIST1H2BF/ZZZ3/HIST2H2AA3/SUPT3H/TAF5L/HIST3H2BB/TADA2A/HIST1H4E/HIST3H2A"
