"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"R-HSA-167044","R-HSA-167044","Signalling to RAS",19,0.760482319344415,1.97893843239834,5.54508151269824e-05,0.00883289275461186,0.00800372210478443,1300,"tags=42%, list=8%, signal=39%","HRAS/MAPK11/RALGDS/MAPK12/SHC2/MAPKAPK3/NTRK1/SRC"
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures",43,0.621853838883087,1.91322104812564,0.000102875366493493,0.00883289275461186,0.00800372210478443,2610,"tags=42%, list=17%, signal=35%","COL1A1/PLEC/COL9A3/BMP1/COL18A1/ITGB4/COL6A1/COL6A2/COL4A2/COL17A1/PCOLCE/COL2A1/CD151/COL27A1/COL4A1/COL7A1/LAMB3/LAMA3"
"R-HSA-156902","R-HSA-156902","Peptide chain elongation",85,-0.535832048403777,-2.08204081023967,0.000114298777003086,0.00883289275461186,0.00800372210478443,3270,"tags=60%, list=21%, signal=47%","RPS6/RPL10A/RPS17/RPS27/UBA52/RPS11/RPL7A/RPL22/RPS7/RPL37/EEF1A1/RPL35/RPS26/RPL31/RPL14/RPL30/RPL36A/RPL24/RPS25/RPSA/RPS18/RPS15A/RPL11/RPL32/RPS24/RPS29/RPS3/RPL6/RPL38/RPL7/RPL34/RPL17/RPS14/RPS4Y1/RPS23/RPL41/RPS12/RPL23/RPS27A/RPS4X/RPL23A/RPL26/RPL10/RPL37A/RPS3A/RPL5/RPL39/RPL35A/RPL9/RPL27/RPL21"
"R-HSA-192823","R-HSA-192823","Viral mRNA Translation",85,-0.560882617021447,-2.17937785145822,0.000114298777003086,0.00883289275461186,0.00800372210478443,3581,"tags=60%, list=23%, signal=46%","RPS6/RPL10A/RPS17/RPS27/UBA52/RPS11/RPL7A/RPL22/RPS7/RPL37/RPL35/RPS26/RPL31/RPL14/RPL30/RPL36A/RPL24/DNAJC3/RPS25/RPSA/RPS18/RPS15A/RPL11/RPL32/RPS24/RPS29/RPS3/RPL6/RPL38/RPL7/RPL34/RPL17/RPS14/RPS4Y1/RPS23/RPL41/RPS12/RPL23/RPS27A/RPS4X/RPL23A/RPL26/RPL10/RPL37A/RPS3A/RPL5/RPL39/RPL35A/RPL9/RPL27/RPL21"
"R-HSA-171007","R-HSA-171007","p38MAPK events",13,0.814312644404962,1.92793293936151,0.000115141047783535,0.00883289275461186,0.00800372210478443,1300,"tags=46%, list=8%, signal=42%","HRAS/MAPK11/RALGDS/MAPK12/MAPKAPK3/SRC"
"R-HSA-156842","R-HSA-156842","Eukaryotic Translation Elongation",89,-0.504107900250749,-1.97625917669278,0.000115848007414272,0.00883289275461186,0.00800372210478443,3270,"tags=55%, list=21%, signal=44%","RPS27/UBA52/RPS11/RPL7A/RPL22/RPS7/RPL37/EEF1A1/RPL35/RPS26/RPL31/RPL14/RPL30/RPL36A/RPL24/RPS25/RPSA/RPS18/RPS15A/RPL11/RPL32/RPS24/RPS29/RPS3/RPL6/RPL38/RPL7/RPL34/RPL17/RPS14/RPS4Y1/RPS23/RPL41/RPS12/RPL23/RPS27A/RPS4X/RPL23A/RPL26/RPL10/RPL37A/RPS3A/RPL5/RPL39/RPL35A/EEF1B2/RPL9/RPL27/RPL21"
"R-HSA-2408557","R-HSA-2408557","Selenocysteine synthesis",89,-0.551079594594419,-2.16040277361978,0.000115848007414272,0.00883289275461186,0.00800372210478443,3581,"tags=58%, list=23%, signal=45%","RPS6/RPL10A/SARS/RPS17/RPS27/UBA52/RPS11/RPL7A/RPL22/RPS7/RPL37/RPL35/RPS26/RPL31/RPL14/RPL30/RPL36A/RPL24/RPS25/RPSA/RPS18/RPS15A/RPL11/RPL32/RPS24/RPS29/RPS3/RPL6/RPL38/RPL7/RPL34/RPL17/RPS14/RPS4Y1/RPS23/RPL41/RPS12/RPL23/RPS27A/RPS4X/RPL23A/RPL26/RPL10/RPL37A/RPS3A/RPL5/RPL39/RPL35A/SECISBP2/RPL9/RPL27/RPL21"
"R-HSA-72764","R-HSA-72764","Eukaryotic Translation Termination",89,-0.555328067038491,-2.17705810207297,0.000115848007414272,0.00883289275461186,0.00800372210478443,3271,"tags=55%, list=21%, signal=44%","GSPT1/RPS27/UBA52/RPS11/RPL7A/RPL22/RPS7/RPL37/RPL35/RPS26/RPL31/RPL14/RPL30/RPL36A/RPL24/RPS25/RPSA/RPS18/RPS15A/RPL11/RPL32/RPS24/RPS29/RPS3/RPL6/RPL38/RPL7/RPL34/RPL17/RPS14/RPS4Y1/RPS23/RPL41/RPS12/RPL23/RPS27A/RPS4X/RPL23A/RPL26/RPL10/RPL37A/RPS3A/RPL5/RPL39/RPL35A/RPL9/RPL27/RPL21/N6AMT1"
"R-HSA-975956","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",91,-0.515038981628629,-2.02708003556099,0.000116333178222429,0.00883289275461186,0.00800372210478443,3271,"tags=53%, list=21%, signal=42%","GSPT1/RPS27/UBA52/RPS11/RPL7A/RPL22/RPS7/RPL37/RPL35/RPS26/RPL31/RPL14/RPL30/RPL36A/RPL24/RPS25/RPSA/RPS18/RPS15A/RPL11/RPL32/RPS24/RPS29/RPS3/RPL6/RPL38/RPL7/RPL34/RPL17/RPS14/RPS4Y1/RPS23/RPL41/RPS12/RPL23/RPS27A/RPS4X/RPL23A/RPL26/RPL10/RPL37A/RPS3A/RPL5/RPL39/RPL35A/RPL9/RPL27/RPL21"
"R-HSA-72689","R-HSA-72689","Formation of a pool of free 40S subunits",97,-0.543286907266354,-2.15777291658169,0.00011983223487118,0.00883289275461186,0.00800372210478443,3628,"tags=59%, list=24%, signal=45%","EIF3L/RPS6/RPL10A/RPS17/EIF3F/RPS27/UBA52/RPS11/RPL7A/EIF1AX/RPL22/RPS7/RPL37/RPL35/RPS26/RPL31/RPL14/RPL30/RPL36A/RPL24/EIF3H/RPS25/RPSA/RPS18/RPS15A/RPL11/RPL32/RPS24/EIF3M/RPS29/RPS3/RPL6/RPL38/RPL7/RPL34/RPL17/EIF3E/RPS14/EIF3J/RPS4Y1/RPS23/RPL41/RPS12/RPL23/RPS27A/RPS4X/RPL23A/RPL26/RPL10/RPL37A/RPS3A/RPL5/RPL39/RPL35A/RPL9/RPL27/RPL21"
