	Ola_417_R1B1	LMP.Olap_417_R1B1	Ola_417_R2B2	LMP.Olap_417_R2B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000000003.14|TSPAN6	4.98767293675259	4.96864056409943	5.12357848515318	5.14853745877946	4.82783205861978	4.81267899915161
ENSG00000000419.12|DPM1	5.3950242941512	5.26666062472822	5.24950680930422	5.10850120912294	5.44135023972124	5.52401157961045
ENSG00000000457.14|SCYL3	4.52186690793197	4.40056272778208	4.34602353305029	4.33429719739883	4.7232535804359	4.4412849605431
ENSG00000000460.17|C1orf112	4.56349916234	4.94394282364179	4.67951999067003	4.68145094724031	4.79073124838955	4.8631817856637
ENSG00000001084.12|GCLC	4.42254524186478	4.27794454715557	4.47200540048807	4.33398272087806	4.29370755933968	4.3012838973349
ENSG00000001167.14|NFYA	5.94902140172685	5.85874483298611	5.97976863714911	5.906160157189	5.95636724880736	5.77323642628045
ENSG00000001460.18|STPG1	2.55652267894049	2.80758577707495	2.85726702425246	3.09900588153063	2.05643195050452	2.71551205574327
ENSG00000001461.17|NIPAL3	7.0345911682188	6.96698702447147	7.45203491764383	7.42942260107165	6.72859573268297	6.3931031339821
ENSG00000001497.16|LAS1L	6.1269249063338	6.10907213386952	6.32149792979908	6.21104516056404	5.96384115637084	5.97560983367268
ENSG00000001561.7|ENPP4	2.96142933684813	3.27834728767384	3.07944686074086	3.21424745473564	3.27142541011341	2.91443352345405
ENSG00000001617.12|SEMA3F	-0.193614083993548	0.724989993477708	-0.00151227577649289	0.477650668662541	0.0697091735211243	0.516904252561146
ENSG00000001629.10|ANKIB1	6.47322969090206	6.4269215364013	6.57145899033478	6.46992826481461	6.41329275425049	6.34562244520685
ENSG00000001630.17|CYP51A1	7.81121722673246	7.70288912557409	7.85898651426095	7.73285016135028	7.72442474412205	7.71195128487983
ENSG00000001631.15|KRIT1	5.19383753086808	5.47835022507915	5.24939993040797	5.45611985513651	5.40254025743804	5.23631546891196
ENSG00000002016.17|RAD52	3.79756688805081	3.64853808708272	3.79592464382872	3.90509773719694	3.51496299987885	3.67622456936256
ENSG00000002330.13|BAD	5.12095860398258	4.99698630464648	4.93063586158641	5.08382089335161	4.95338777640364	5.26804528591646
ENSG00000002549.12|LAP3	6.91350777785517	6.96833644287689	6.75667216125758	6.8820729321077	7.10152068326179	7.02342266483706
ENSG00000002586.20|CD99	7.39396863519997	7.37433539642986	7.34739111325743	7.41147781041506	7.38904915225933	7.38868998732784
ENSG00000002586.20|PAR|Y|CD99	7.39396863519997	7.37433539642986	7.34739111325743	7.41147781041506	7.38904915225933	7.38868998732784
ENSG00000002822.15|MAD1L1	4.31303691380799	4.13690507234768	4.24793104071292	3.79304088773546	4.38392588631165	4.47498615755131
ENSG00000002834.18|LASP1	8.10831072581057	8.20745593112094	7.97571845161878	8.05183645069031	8.27847242504651	8.32550598650745
ENSG00000002919.14|SNX11	4.99261669105065	4.73352328194006	4.85538796204049	4.8258801933993	4.98994777927365	4.78106401126799
ENSG00000003056.8|M6PR	7.50120808147433	7.55899921846171	7.26251480763734	7.30137660752787	7.77110843366943	7.78541475103747
ENSG00000003096.14|KLHL13	7.07794241192687	6.95155378597313	6.77208833884829	6.72519112159458	7.43694942607926	7.12476350927788
ENSG00000003147.19|ICA1	1.98316812041163	1.92178555636014	1.99999178875576	2.22373625327607	2.04101056511217	1.54516874639955
ENSG00000003249.13|DBNDD1	3.62263768659796	4.03319227075002	3.61603093796879	3.53214796742717	4.13220591272067	4.03127509657932
ENSG00000003393.15|ALS2	6.5577561814594	6.69235517108485	6.51328706251753	6.57373671753225	6.71457289025957	6.69862603477915
ENSG00000003402.20|CFLAR	5.92494706195799	6.02378774746212	5.92237697673523	6.19819018010555	5.946162899725	5.83073956227445
ENSG00000003436.16|TFPI	5.08373352085087	4.88974053610164	5.06895324695942	4.96022950895448	4.90640842296961	5.01135693502153
ENSG00000003509.16|NDUFAF7	4.37685299934775	4.29926488065884	4.06176520968126	4.40795121652058	4.38748068572774	4.49503864808361
ENSG00000003756.16|RBM5	7.86799378768483	7.92351956422658	7.9469154122429	8.00401836546528	7.89221900464115	7.7398739214735
ENSG00000003987.14|MTMR7	-0.355210840592078	-0.411161733043282	-0.0504158032304551	-0.123729799194656	-1.30818374161515	-0.0504158032304551
ENSG00000004059.11|ARF5	6.48845680252464	6.57095821046434	6.36105387627259	6.29392994664575	6.71213746746748	6.75170873559213
ENSG00000004139.14|SARM1	6.37170003639488	6.26306434662502	6.34854141234076	6.48791162156373	6.21233163792236	6.22074409421295
ENSG00000004142.12|POLDIP2	7.18605773182652	7.21850264356682	7.24663248546715	7.07004264032499	7.23233489076384	7.26011073423071
ENSG00000004399.12|PLXND1	2.09014673631565	2.33900287590274	1.98280605730788	1.9541662919352	2.47446705897198	2.44685981622173
ENSG00000004455.16|AK2	7.10235789890849	7.16832098051401	7.06580516220713	7.3334663388216	7.02576512655105	7.11632113126524
ENSG00000004468.13|CD38	1.29334432073539	0.879797091120881	1.62295062845417	0.949230055288649	0.992620084125676	0.781482055844053
ENSG00000004478.8|FKBP4	6.14308338109468	6.18396751408159	6.17750257631898	6.21339834409521	6.0883057492261	6.17489512071227
ENSG00000004487.16|KDM1A	6.81905527216952	6.91717292783894	6.74138857648773	6.78593148844938	6.93106135810953	7.01407497697027
ENSG00000004534.15|RBM6	7.16920445892048	7.11162391351873	7.22349759749577	7.18295099792838	7.19827802984205	6.95693011961222
ENSG00000004700.16|RECQL	5.93194697645563	6.04280288734962	5.83638542886525	6.01980284732608	6.05039159236383	6.04291985905535
ENSG00000004766.17|VPS50	5.22337917915891	5.11196458720901	5.25884396880372	5.28289777499244	5.19600419978124	4.93294158915843
ENSG00000004776.13|HSPB6	-0.540884530894225	-0.190248382142881	-0.648645755235314	0.216189624354549	-0.536031739855736	-0.49377795533771
ENSG00000004777.18|ARHGAP33	5.10726230671307	5.05016936924334	5.29988867448298	5.37288129995585	4.73046241178052	4.91163096569347
ENSG00000004779.10|NDUFAB1	4.79296075629554	4.74750358124001	4.74959447738601	4.55195422098782	4.87670914455055	4.90267083214672
ENSG00000004838.14|ZMYND10	0.754254558074216	-0.00900324395415394	-0.465618416925481	0.671019168838491	0.759021764300363	0.526080112026752
ENSG00000004848.8|ARX	0.480078315450053	0.237540950962871	0.657700403712536	0.137259193098291	0.54144182203607	0.0988371139789521
ENSG00000004864.13|SLC25A13	5.98438657418071	5.90876128466647	5.99249307519174	6.01347278352683	5.9533976361096	5.82693222286621
ENSG00000004866.20|ST7	5.28168336870751	5.2536551363955	5.24272902000618	5.21869378694751	5.43277343210953	5.17648077114282
ENSG00000004897.12|CDC27	7.04594961522872	6.97051643603383	6.97790131075485	6.86650302740596	7.09502455533898	7.0935032090253
ENSG00000004961.15|HCCS	4.9567010027691	5.06170972561399	4.7831404270274	4.95614299847653	5.10817895344261	5.18935907781966
ENSG00000004975.12|DVL2	7.24746333389434	7.32036075540783	7.24697875976947	7.20529702676725	7.30447163985062	7.378900752217
ENSG00000005007.12|UPF1	7.3059820165652	7.36570044609913	7.37416744240292	7.37095876366595	7.25081469538878	7.34742402387103
ENSG00000005022.6|SLC25A5	7.89322043611611	7.92054553356617	7.77003936736859	7.70583455387655	8.01284321012627	8.13881480799315
