	Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000000003.14|TSPAN6	4.80309958461513	4.80559716471853	4.88116157019939	4.72753517913427
ENSG00000000419.12|DPM1	5.69619105574019	5.58549748735623	5.72527322704777	5.55641531604864
ENSG00000000457.14|SCYL3	3.11176332758398	3.03130792560401	3.16049171707532	2.98257953611267
ENSG00000000460.17|C1orf112	4.20047186756211	4.89612313118594	4.42426053192906	4.67233446681899
ENSG00000001036.13|FUCA2	5.77221393880191	5.75589299092537	5.76485260344374	5.76325432628353
ENSG00000001084.12|GCLC	4.76954501076374	4.46042036218215	4.59462634883203	4.63533902411386
ENSG00000001167.14|NFYA	6.16295815003008	6.17116493856386	6.2708506165906	6.06327247200334
ENSG00000001460.18|STPG1	1.20229155717183	1.5954508386916	1.0400648252255	1.75767757063793
ENSG00000001461.17|NIPAL3	5.82588598641339	6.03111606970815	5.92590463936568	5.93109741675586
ENSG00000001497.16|LAS1L	6.9865386191342	7.02192171493366	6.94745629757103	7.06100403649683
ENSG00000001561.7|ENPP4	3.148734266773	3.1068186779076	3.21696223488853	3.03859070979207
ENSG00000001629.10|ANKIB1	6.61015443840148	6.59156579170707	6.6747082914041	6.52701193870444
ENSG00000001630.17|CYP51A1	7.01911909445057	6.95741380004648	7.06735700447537	6.90917589002168
ENSG00000001631.15|KRIT1	6.30695345345026	6.08483620933282	6.1868104398856	6.20497922289748
ENSG00000002016.17|RAD52	4.3548548036847	4.29709262686406	4.42473026663778	4.22721716391098
ENSG00000002330.13|BAD	4.13982542638855	4.33977532154354	4.12096143547849	4.35863931245359
ENSG00000002549.12|LAP3	6.49337405322782	6.47825582789593	6.46466348016404	6.50696640095971
ENSG00000002586.20|CD99	5.99733124767196	5.72425709820409	6.00794583388203	5.71364251199402
ENSG00000002586.20|PAR|Y|CD99	5.99733124767196	5.72425709820409	6.00794583388203	5.71364251199402
ENSG00000002587.10|HS3ST1	4.60679338163298	4.45263327417373	4.52903072768679	4.53039592811992
ENSG00000002822.15|MAD1L1	4.75069221712351	4.39798204130195	4.64907965403764	4.49959460438782
ENSG00000002834.18|LASP1	8.37833477308771	8.45818713521181	8.35191163967563	8.48461026862389
ENSG00000002919.14|SNX11	4.26292082028805	4.4502444475286	4.30285664288909	4.41030862492756
ENSG00000003056.8|M6PR	6.27714731902872	6.24274357823587	6.28958468773618	6.23030620952841
ENSG00000003096.14|KLHL13	6.4315425368982	6.49769015541957	6.515963059131	6.41326963318676
ENSG00000003137.8|CYP26B1	1.79728812250356	1.71212319819703	1.77361609745782	1.73579522324278
ENSG00000003147.19|ICA1	5.40906616109288	5.41411856782642	5.41731879792017	5.40586593099913
ENSG00000003249.13|DBNDD1	4.85375199501423	5.17328861212503	4.8981703582011	5.12887024893816
ENSG00000003393.15|ALS2	6.48635987481137	6.55196663182678	6.55108504021315	6.487241466425
