	LMP_602_R1B1	LMP.Olap_602_R1B1	LMP_602_R2B2	LMP.Olap_602_R2B2
ENSG00000000003.14|TSPAN6	4.80304687636727	4.78001240249593	4.80500359430237	4.77805568456083
ENSG00000000419.12|DPM1	5.52840188201306	5.56900782710709	5.5002922475268	5.59711746159335
ENSG00000000457.14|SCYL3	2.7928877387306	3.03479564684219	2.81952640582863	3.00815697974415
ENSG00000000460.17|C1orf112	4.52307367609426	4.77991957784366	4.48731308681722	4.81568016712071
ENSG00000001036.13|FUCA2	5.73152269443963	5.76913716795436	5.73082547015267	5.76983439224131
ENSG00000001084.12|GCLC	4.68881521431423	4.51706716268897	4.60532557578706	4.60055680121613
ENSG00000001167.14|NFYA	6.12710213549035	6.16059467150781	6.19144751096361	6.09624929603455
ENSG00000001460.18|STPG1	1.25323233522591	1.7855114244742	1.44864761181336	1.59009614788675
ENSG00000001461.17|NIPAL3	6.16177305014163	6.01014831731401	6.19738993816134	5.9745314292943
ENSG00000001497.16|LAS1L	7.01551743337054	7.03507340542871	7.00483173780442	7.04575910099483
ENSG00000001561.7|ENPP4	2.73901746402704	3.13455024914627	2.83357948552994	3.03998822764337
ENSG00000001617.12|SEMA3F	-1.182486308752	0.119302275449241	-0.167026324182814	-0.896157709119949
ENSG00000001629.10|ANKIB1	6.59728315431527	6.56661695718547	6.58403583079179	6.57986428070895
ENSG00000001630.17|CYP51A1	6.95234128632651	6.90929451286264	6.90071342537093	6.96092237381822
ENSG00000001631.15|KRIT1	6.22789127436214	6.1687048534283	6.25061852093135	6.14597760685909
ENSG00000002016.17|RAD52	4.34803911308256	4.30944387383147	4.42782545430726	4.22965753260677
ENSG00000002330.13|BAD	4.17986920243485	4.39785785187227	4.25129883482829	4.32642821947883
ENSG00000002549.12|LAP3	6.5623112860553	6.50386680008462	6.5677172226426	6.49846086349732
ENSG00000002586.20|CD99	5.81069426502864	5.73800103901189	5.82766558985776	5.72102971418277
ENSG00000002586.20|PAR|Y|CD99	5.81069426502864	5.73800103901189	5.82766558985776	5.72102971418277
ENSG00000002587.10|HS3ST1	4.50024610978955	4.53743703129411	4.57531466287871	4.46236847820494
ENSG00000002822.15|MAD1L1	4.48060548127334	4.48209130664207	4.5206992558085	4.44199753210691
ENSG00000002834.18|LASP1	8.43698694896115	8.48028893930175	8.46584927757702	8.45142661068588
ENSG00000002919.14|SNX11	4.46749313714016	4.47658597963214	4.53391474086024	4.41016437591206
ENSG00000003056.8|M6PR	6.25697648997913	6.25280884949033	6.26752192715548	6.24226341231398
ENSG00000003096.14|KLHL13	6.39897162668297	6.43834653223021	6.34670381505713	6.49061434385604
ENSG00000003137.8|CYP26B1	1.09748403019806	1.93983862888881	1.50769639202956	1.52962626705731
ENSG00000003147.19|ICA1	5.38681127859083	5.41402941048649	5.37067915943833	5.43016152963899
ENSG00000003249.13|DBNDD1	5.02435339209089	5.24713093940917	5.19241400965093	5.07907032184914
ENSG00000003393.15|ALS2	6.49549978489499	6.56245754285322	6.55716610900957	6.50079121873865
ENSG00000003402.20|CFLAR	6.59296509229065	6.43383033917358	6.47080154657869	6.55599388488553
ENSG00000003436.16|TFPI	6.02453617343359	5.85757429290907	5.96381472949645	5.91829573684621
ENSG00000003509.16|NDUFAF7	4.52337006858991	4.63559980328866	4.59320477838761	4.56576509349096
ENSG00000003756.16|RBM5	7.48216056989788	7.46293050338711	7.43829499163806	7.50679608164693
ENSG00000003987.14|MTMR7	0.793344452395385	0.529198945846987	0.495546713477792	0.82699668476458
ENSG00000003989.17|SLC7A2	3.38244776988349	3.20921597417529	3.24813122818413	3.34353251587465
ENSG00000004059.11|ARF5	5.96648186304948	5.99213819994297	6.04234098750043	5.91627907549202
ENSG00000004139.14|SARM1	6.45827630932348	6.42100025583751	6.50309287442457	6.37618369073642
ENSG00000004142.12|POLDIP2	7.18552321734517	7.27053496120197	7.2137084802996	7.24234969824754
ENSG00000004399.12|PLXND1	5.44912705565903	5.51932164631825	5.56226045503111	5.40618824694616
ENSG00000004455.16|AK2	6.98286894160839	6.92373159146723	6.94106174474491	6.9655387883307
ENSG00000004478.8|FKBP4	7.05381833868667	7.18736671942039	7.11289557471959	7.12828948338747
ENSG00000004487.16|KDM1A	7.69396828009299	7.69362616779003	7.6897399843205	7.69785446356252
ENSG00000004534.15|RBM6	6.87983956716305	6.84547363724249	6.90472659740732	6.82058660699821
ENSG00000004660.14|CAMKK1	2.39324343084518	2.18398308563144	2.53116683722274	2.04605967925388
ENSG00000004700.16|RECQL	5.97928828924809	6.21531143523075	6.04180570200031	6.15279402247853
ENSG00000004766.17|VPS50	5.28699547800181	5.17610343954252	5.24093765252708	5.22216126501725
ENSG00000004777.18|ARHGAP33	5.95786938436052	6.16853650749984	6.01881396844045	6.10759192341991
ENSG00000004779.10|NDUFAB1	4.60050161928227	4.70021624303311	4.56683187500137	4.73388598731401
ENSG00000004838.14|ZMYND10	0.765072461591802	1.52115334355309	1.06723825766001	1.21898754748488
ENSG00000004864.13|SLC25A13	5.43451054023315	5.38264046617216	5.48497182010355	5.33217918630176
ENSG00000004866.20|ST7	4.83745029886673	4.80400116918598	4.78704512280681	4.8544063452459
ENSG00000004897.12|CDC27	6.85749857928259	6.80263443129329	6.81847890899976	6.84165410157612
ENSG00000004961.15|HCCS	4.94156022759357	5.16059381993132	4.98462859324852	5.11752545427636
ENSG00000004975.12|DVL2	6.49507568101153	6.4584469148371	6.50625975174908	6.44726284409955
ENSG00000005007.12|UPF1	7.30126160489215	7.25475010121735	7.3314555750169	7.22455613109259
ENSG00000005020.13|SKAP2	4.16378690378368	4.05092380853578	4.13020084872335	4.08450986359611
ENSG00000005022.6|SLC25A5	7.82703183020587	7.83155704856267	7.77966562948246	7.87892324928608
ENSG00000005059.16|MCUB	3.92424628211705	4.1544760600059	3.85860778252109	4.22011455960185
ENSG00000005073.5|HOXA11	1.55773473906887	1.79589024315994	1.32816415472924	2.02546082749956
ENSG00000005075.15|POLR2J	6.17603609503077	5.95239228001361	6.07623826738567	6.05219010765872
ENSG00000005100.13|DHX33	6.19132835464666	6.0535764490742	6.13527236376327	6.10963243995758
ENSG00000005156.11|LIG3	5.57963899832592	5.3768155694044	5.6033446112557	5.35310995647461
ENSG00000005175.10|RPAP3	4.95996249295735	4.90597875097979	4.96104282082355	4.9048984231136
ENSG00000005189.19|REXO5	2.83128596237834	3.30201881954574	2.7243798416871	3.40892494023697
ENSG00000005194.15|CIAPIN1	6.37650715691717	6.36264175025947	6.35637428395032	6.38277462322632
ENSG00000005206.17|SPPL2B	6.72776518840356	6.788735043827	6.70438275445679	6.81211747777377
ENSG00000005238.19|FAM214B	4.70558080816534	4.6556916440624	4.69737723243809	4.66389521978965
ENSG00000005249.13|PRKAR2B	2.93622662122896	3.11102416182709	3.09370600756307	2.95354477549297
ENSG00000005302.18|MSL3	5.9279450634439	6.11583604271593	5.93764719984053	6.1061339063193
ENSG00000005339.14|CREBBP	6.67407769171629	6.55987041898681	6.7194090013225	6.5145391093806
ENSG00000005379.17|TSPOAP1	2.42971405730143	2.45479710445669	2.68798417947054	2.19652698228757
ENSG00000005436.13|GCFC2	5.20405363472945	5.23534123630782	5.15764865942818	5.28174621160909
ENSG00000005448.16|WDR54	4.90391934029264	4.94340851031326	4.92352546875336	4.92380238185254
ENSG00000005469.11|CROT	4.34201696844238	4.4281871519558	4.48102274305495	4.28918137734323
ENSG00000005483.20|KMT2E	7.18045197230931	7.08483310822794	7.17024963541883	7.09503544511842
ENSG00000005486.17|RHBDD2	6.25048536665347	6.16805185315356	6.26075932552681	6.15777789428023
ENSG00000005513.10|SOX8	5.16948064531811	5.08478127898413	5.2114659032932	5.04279602100905
ENSG00000005700.15|IBTK	6.10769790108595	5.92389633054662	5.99032690230669	6.04126732932588
ENSG00000005801.18|ZNF195	5.8949636469131	5.68333572465244	5.76743829849857	5.81086107306697
ENSG00000005810.18|MYCBP2	5.38664121940759	5.29122790966571	5.46332303344134	5.21454609563196
ENSG00000005812.11|FBXL3	4.80909869919695	4.79121404300193	4.66868181413571	4.93163092806316
ENSG00000005882.11|PDK2	4.68162653144439	4.72647304219132	4.63271307177961	4.7753865018561
ENSG00000005884.18|ITGA3	4.1526061511196	4.46136687854806	4.45040961572498	4.16356341394268
ENSG00000005889.15|ZFX	5.4546283109432	5.33461071443732	5.40617703281526	5.38306199256526
ENSG00000005893.15|LAMP2	6.70316551498392	6.68453403943613	6.61942801628407	6.76827153813597
ENSG00000005961.18|ITGA2B	0.848515347292677	0.300784668133588	0.350275055026279	0.799024960399985
ENSG00000006007.12|GDE1	5.41700390573599	5.27258371428734	5.39509081698447	5.29449680303886
ENSG00000006015.17|REX1BD	3.84845760535563	3.80575589029745	3.77579736197806	3.87841613367503
ENSG00000006016.11|CRLF1	2.52984303123764	2.43689452355267	2.33970177123598	2.62703578355432
ENSG00000006025.12|AC003665.1	4.36635973755045	4.30312168369786	4.36565118028357	4.30383024096474
ENSG00000006042.12|TMEM98	5.94083757567036	6.11334596548593	6.00381878089763	6.05036476025866
ENSG00000006047.13|YBX2	0.935236427914986	1.06598698940056	1.18521569285807	0.816007724457475
ENSG00000006062.16|MAP3K14	4.13874611899382	4.12865269329312	4.15613242571831	4.11126638656863
ENSG00000006071.13|ABCC8	4.13789603602742	4.37748426635772	4.34049352043148	4.17488678195366
ENSG00000006118.14|TMEM132A	7.24487248784973	7.26577816645403	7.30999194395368	7.20065871035008
ENSG00000006125.18|AP2B1	8.5889461575341	8.56403490410921	8.5846234770334	8.56835758460991
ENSG00000006194.10|ZNF263	5.33986195909826	5.17265503355088	5.29202909630391	5.22048789634523
ENSG00000006210.7|CX3CL1	4.92376479594886	4.79414613652996	4.95882540597453	4.7590855265043
ENSG00000006282.21|SPATA20	6.13958298446524	6.06090197945056	6.14272810719601	6.05775685671979
ENSG00000006283.18|CACNA1G	0.633775524804121	0.756778407747116	0.414157213265462	0.976396719285774
ENSG00000006327.13|TNFRSF12A	3.95310860696315	4.03659602901496	4.08955840878827	3.90014622718985
ENSG00000006377.11|DLX6	-0.2725304605594	-0.85483163293367	-0.928160763661313	-0.199201329831757
ENSG00000006432.15|MAP3K9	3.15785271054723	3.20560043763038	3.13621541547443	3.22723773270318
ENSG00000006451.8|RALA	6.4802818150011	6.57677394281903	6.48872693888419	6.56832881893594
ENSG00000006459.11|KDM7A	2.40513509231323	2.09943370668583	2.58065867197294	1.92391012702611
ENSG00000006468.14|ETV1	8.81012678949233	8.7434717134869	8.81501990978789	8.73857859319133
ENSG00000006530.17|AGK	5.42918254563199	5.32937480360909	5.4994279811251	5.25912936811598
ENSG00000006534.16|ALDH3B1	3.8101691820669	3.70404958460025	3.85166080904768	3.66255795761947
ENSG00000006576.16|PHTF2	5.99438515593782	6.28170813217692	6.06878867963496	6.20730460847977
ENSG00000006607.14|FARP2	5.98546755954265	5.81175076611105	5.96257991938636	5.83463840626733
ENSG00000006625.18|GGCT	5.74406254874777	5.92495319709311	5.74755056074293	5.92146518509794
ENSG00000006634.8|DBF4	6.26320800913585	6.28357596309717	6.19937447304932	6.34740949918369
ENSG00000006638.11|TBXA2R	0.773630481639452	1.66955529707025	1.10309845642321	1.34008732228649
ENSG00000006652.14|IFRD1	6.75882503119054	6.76478623600017	6.73441430496643	6.78919696222427
