	Ola_602_R1B1	LMP.Olap_602_R1B1	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000000003.14|TSPAN6	4.82144958549086	4.84150027536757	4.95012396733314	4.71282589352529
ENSG00000000419.12|DPM1	5.51022051014294	5.58599634042546	5.52397971552709	5.5722371350413
ENSG00000000457.14|SCYL3	2.99759118350255	3.06120860970885	3.08745791000206	2.97134188320934
ENSG00000000460.17|C1orf112	4.46183415688985	4.76906632048987	4.41081934475296	4.82008113262676
ENSG00000001036.13|FUCA2	5.68870108406603	5.71739564061828	5.59140746143349	5.81468926325082
ENSG00000001084.12|GCLC	4.55132049714241	4.54532437948233	4.52247375796502	4.57417111865972
ENSG00000001167.14|NFYA	6.14580484719557	6.18441271839573	6.25959361759807	6.07062394799321
ENSG00000001460.18|STPG1	1.13432509515065	1.63419812310092	1.01712783999049	1.75139537826107
ENSG00000001461.17|NIPAL3	5.90148288116895	6.02444835439433	5.97426092053638	5.9516703150269
ENSG00000001497.16|LAS1L	6.9439792106046	7.03880797592102	6.92989923124542	7.0528879552802
ENSG00000001561.7|ENPP4	3.01091640337312	3.03241034190532	2.91220897984796	3.13111776543048
ENSG00000001617.12|SEMA3F	-0.978120710744948	-0.259230639026151	-0.757031338681524	-0.480320011089576
ENSG00000001629.10|ANKIB1	6.67255602942231	6.57738254959792	6.68564404273592	6.56429453628431
ENSG00000001630.17|CYP51A1	6.96959360593297	6.90905664059985	6.91194166344419	6.96670858308863
ENSG00000001631.15|KRIT1	6.27486767454972	6.12944630392094	6.22601706034417	6.17829691812649
ENSG00000002016.17|RAD52	4.29281922676471	4.32904445789876	4.41155075027597	4.2103129343875
ENSG00000002330.13|BAD	4.38652156954738	4.31341254165589	4.28619989995069	4.41373421125259
ENSG00000002549.12|LAP3	6.42435960257734	6.5140659826558	6.45203654866692	6.48638903656621
ENSG00000002586.20|CD99	5.96949563509789	5.79037498624411	6.09554241874619	5.66432820259581
ENSG00000002586.20|PAR|Y|CD99	5.96949563509789	5.79037498624411	6.09554241874619	5.66432820259581
ENSG00000002587.10|HS3ST1	4.50428129940514	4.56472102886295	4.63151464480781	4.43748768346028
ENSG00000002822.15|MAD1L1	4.66192899503116	4.44771915176522	4.63449216089884	4.47515598589754
ENSG00000002834.18|LASP1	8.36225554148165	8.48219782463971	8.36994522897993	8.47450813714143
ENSG00000002919.14|SNX11	4.38093712502001	4.4446948468861	4.38404657519789	4.44158539670823
ENSG00000003056.8|M6PR	6.22844826729165	6.24085418680625	6.21650615866579	6.2527962954321
ENSG00000003096.14|KLHL13	6.55889977283873	6.44596496387918	6.52726022238617	6.47760451433174
ENSG00000003137.8|CYP26B1	1.33336029082874	1.77486593643083	1.39507436454594	1.71315186271363
ENSG00000003147.19|ICA1	5.42709757452314	5.41170424417231	5.41913950498632	5.41966231370913
ENSG00000003249.13|DBNDD1	4.85270201546508	5.24582806465947	5.0257459137718	5.07278416635275
ENSG00000003393.15|ALS2	6.5485604522762	6.51522456921641	6.52006811525744	6.54371690623517
ENSG00000003402.20|CFLAR	6.53842179219353	6.43310366823709	6.41693146853863	6.55459399189198
ENSG00000003436.16|TFPI	6.0910186009011	5.84934171276899	6.02154969264877	5.91881062102132
ENSG00000003509.16|NDUFAF7	4.61236668855864	4.56082783318278	4.5324522299611	4.64074229178032
ENSG00000003756.16|RBM5	7.47299231644414	7.44989872223436	7.39865265658141	7.52423838209709
ENSG00000003987.14|MTMR7	1.05812755198835	0.392632375063563	0.47505885658783	0.975701070464078
ENSG00000003989.17|SLC7A2	3.38609164537111	3.28241394308762	3.40870591541537	3.25979967304336
ENSG00000004059.11|ARF5	5.94726999571247	6.00234402934404	6.05395019676269	5.89566382829382
ENSG00000004139.14|SARM1	6.42589700746564	6.41067306135704	6.45215423578265	6.38441583304004
ENSG00000004142.12|POLDIP2	7.2229415208185	7.27311176181519	7.24769559583208	7.24835768680161
ENSG00000004399.12|PLXND1	5.40279468758857	5.51671244684286	5.51949012273564	5.40001701169579
ENSG00000004455.16|AK2	6.97327596934481	6.91739590285995	6.92514256216151	6.96552931004326
ENSG00000004478.8|FKBP4	7.00875244509947	7.15426126883012	6.99605490928335	7.16695880464625
ENSG00000004487.16|KDM1A	7.71975603263997	7.66559262468146	7.66313254544444	7.72221611187699
ENSG00000004534.15|RBM6	6.97723311853962	6.81909917148082	6.95366076332992	6.84267152669053
ENSG00000004660.14|CAMKK1	2.00491735888375	2.28193042909927	2.34144434134566	1.94540344663737
ENSG00000004700.16|RECQL	5.95305936658634	6.23061141696121	6.04583086503026	6.13783991851729
ENSG00000004766.17|VPS50	5.18920819023165	5.21147450135977	5.2179048781751	5.18277781341632
ENSG00000004777.18|ARHGAP33	5.91766396398095	6.14526055805915	5.93656657511343	6.12635794692666
ENSG00000004779.10|NDUFAB1	4.82429373873433	4.75081776314027	4.89294554651146	4.68216595536314
ENSG00000004799.8|PDK4	-0.633115431912538	-0.901879746974534	-1.6490127961099	0.114017617222832
ENSG00000004838.14|ZMYND10	1.13894418043284	1.45304513800756	1.30920965137259	1.2827796670678
ENSG00000004864.13|SLC25A13	5.49574889230622	5.37251445936632	5.53229037773639	5.33597297393614
ENSG00000004866.20|ST7	4.93142026912033	4.80469401178832	4.88891263563242	4.84720164527624
ENSG00000004897.12|CDC27	6.75840222189137	6.82848949817331	6.77550631204677	6.81138540801792
ENSG00000004961.15|HCCS	4.97967470478802	5.16211784170287	5.02962833616255	5.11216421032833
ENSG00000004975.12|DVL2	6.32784038072249	6.4875625888768	6.40182226359647	6.41358070600282
ENSG00000005007.12|UPF1	7.21315521955162	7.25330534118194	7.23443160353778	7.23202895719578
ENSG00000005020.13|SKAP2	4.18180494320453	4.07914338512898	4.20265014633359	4.05829818199991
ENSG00000005022.6|SLC25A5	7.81631700256593	7.83699408432358	7.76667711914909	7.88663396774042
ENSG00000005059.16|MCUB	3.77010349644196	4.1339057930605	3.66141863616829	4.24259065333417
ENSG00000005073.5|HOXA11	1.69284129939643	1.75075917073567	1.36492305186357	2.07867741826854
ENSG00000005075.15|POLR2J	6.11452695588146	6.02438651139143	6.16712277262095	5.97179069465194
ENSG00000005100.13|DHX33	6.20324482864117	6.03884169063433	6.12515140955751	6.11693510971798
ENSG00000005156.11|LIG3	5.39246247330143	5.4267725009968	5.52254451219724	5.29669046210099
ENSG00000005175.10|RPAP3	4.76811531125965	4.90277319043474	4.77126121275147	4.89962728894292
ENSG00000005189.19|REXO5	2.9320504271631	3.33716552459198	2.90641874811601	3.36279720363907
ENSG00000005194.15|CIAPIN1	6.3435352277184	6.3681353086742	6.33850684886143	6.37316368753117
ENSG00000005206.17|SPPL2B	6.78050782570759	6.84638766576554	6.87688456808196	6.75001092339117
ENSG00000005238.19|FAM214B	4.74719435799956	4.64436077910885	4.71498379042999	4.67657134667842
ENSG00000005249.13|PRKAR2B	2.81931902260764	3.11436499205803	2.99809447990906	2.93558953475661
ENSG00000005302.18|MSL3	6.04059014488431	6.09903651656172	6.021826316902	6.11780034454403
ENSG00000005339.14|CREBBP	6.66620409435885	6.52614251084541	6.64844766237895	6.5438989428253
ENSG00000005379.17|TSPOAP1	1.98790514965827	2.41924011117788	2.17746383308495	2.2296814277512
ENSG00000005436.13|GCFC2	5.23811343563591	5.27931528553791	5.28146558397791	5.2359631371959
ENSG00000005448.16|WDR54	4.70044687523118	4.9325051545271	4.70781616928283	4.92513586047544
ENSG00000005469.11|CROT	4.41691116786876	4.35190969110318	4.40061183642171	4.36820902255023
ENSG00000005483.20|KMT2E	7.17918305194315	7.09884767832405	7.18761608678336	7.09041464348384
ENSG00000005486.17|RHBDD2	6.22999454994294	6.17648145569708	6.25841892163998	6.14805708400003
ENSG00000005513.10|SOX8	5.12384613211631	5.12271762797981	5.2493759792097	4.99718778088643
ENSG00000005700.15|IBTK	6.13404955373915	5.95072212319648	6.07847094347816	6.00630073345746
