	LMP_827_R1B1	LMP.Olap_827_R1B1	LMP_827_R2B1	LMP.Olap_827_R2B1	LMP_827_R3B2	LMP.Olap_827_R3B2
ENSG00000000003.14|TSPAN6	5.22184609716979	5.29845625250976	5.2231631215402	5.10253260632571	5.1634906657846	5.25950837298813
ENSG00000000419.12|DPM1	5.27432833253844	5.46207705981999	5.53312893063852	5.25252306944886	5.45194732248141	5.30908137374149
ENSG00000000457.14|SCYL3	3.26656358918817	3.65483879005704	3.33636568973885	3.46711945333509	3.31723566462138	3.5452080965382
ENSG00000000460.17|C1orf112	4.94465215884171	4.94715597094796	4.7307263846556	4.63193746241342	4.93784223140579	4.68939375702355
ENSG00000001036.13|FUCA2	6.69371788914853	6.72696905694054	6.77198810492409	6.65617646972282	6.70296231686154	6.72146344350645
ENSG00000001084.12|GCLC	4.5218900926382	4.68929954277148	4.20666555441852	4.35335781632235	4.46800522966932	4.41760127340595
ENSG00000001167.14|NFYA	5.72664777620442	5.77011890377859	6.06762356674601	5.70893044317729	5.86726017240117	5.76940017255198
ENSG00000001460.18|STPG1	3.11330414500766	3.367062549192	2.97016173055454	3.28340867058529	2.99313260715937	3.37383594051037
ENSG00000001461.17|NIPAL3	5.88515779708087	6.33422183999945	5.56971711249538	5.99920851760947	5.83920307162088	6.05494956197171
ENSG00000001497.16|LAS1L	6.0200337816262	5.99916028851719	6.04455290471218	5.99405311584741	6.04781517240111	5.98108487295038
ENSG00000001629.10|ANKIB1	6.85974133733252	6.85533155513804	6.82801943005344	6.84567750520931	6.84938355494332	6.84500135892334
ENSG00000001630.17|CYP51A1	8.54298884853715	8.43520895725842	8.34370241280118	8.22328279503293	8.3913164020464	8.38127510476844
ENSG00000001631.15|KRIT1	5.99822701391415	5.88937219360311	5.96560659128094	5.71506003313748	5.81938214092055	5.9647507750473
ENSG00000002016.17|RAD52	4.317651142339	4.46870993072985	4.57802203889199	4.52003903828303	4.41483632557573	4.5273747495462
ENSG00000002330.13|BAD	3.98497961365281	4.11912365822528	3.93723875128235	4.48847937682475	4.26869675135157	3.99621394864103
ENSG00000002549.12|LAP3	5.58735591268987	5.50901334858102	5.38737547485505	5.43127133238061	5.47644336156401	5.48106467268926
ENSG00000002586.20|CD99	5.85598191408545	5.77620340439678	6.82995488204222	6.42481960999416	6.16040751180369	6.28307239345562
ENSG00000002586.20|PAR|Y|CD99	5.85598191408545	5.77620340439678	6.82995488204222	6.42481960999416	6.16040751180369	6.28307239345562
ENSG00000002587.10|HS3ST1	3.26812850486403	3.38869256677445	3.03215843155798	3.1479950884077	3.20555445972797	3.21293283607411
ENSG00000002746.15|HECW1	3.43248008083389	3.39066650249551	3.14535949773831	3.21330941149424	3.31207698162753	3.27883076465345
ENSG00000002822.15|MAD1L1	4.51670803690089	4.47555945587231	4.20567454232749	4.71479064870216	4.64162690518458	4.31473943671685
ENSG00000002834.18|LASP1	7.23661267589159	7.09756011023769	7.29408091072859	7.08968291083801	7.19688249140524	7.1620858124427
ENSG00000002919.14|SNX11	4.11722592524606	4.30179425246793	4.11987057499871	4.17471839089866	4.14588417066642	4.21092040113926
ENSG00000003056.8|M6PR	6.85989287141484	6.85487194110767	6.79999077399022	6.74013186037233	6.8259011042902	6.80154261915234
ENSG00000003096.14|KLHL13	5.00791848399814	4.8747913850798	4.81358816371613	4.78568957091164	4.84129556119563	4.89969824065722
ENSG00000003137.8|CYP26B1	0.781891958396067	0.968665844434305	0.247311105093805	1.22738719296141	0.967046135570712	0.645581914872082
ENSG00000003147.19|ICA1	3.52785811093406	3.67434893214787	3.58728093219159	3.1562175218532	3.52804978307011	3.44480296549325
ENSG00000003249.13|DBNDD1	6.04011045536718	6.13097023549558	5.30815431721727	6.06765698541243	5.89974632124339	5.87369967550284
ENSG00000003393.15|ALS2	5.87770005993542	5.8574024930963	5.98137504257023	5.75230763020353	5.91031417686485	5.82407843603789
ENSG00000003402.20|CFLAR	6.39520034158264	6.65685013282462	6.25992082684035	6.49083255203336	6.37478911865468	6.52661280798581
ENSG00000003436.16|TFPI	1.96650624653699	1.96638784241125	2.50543604757047	2.10781463021408	1.89626534918088	2.37680703418551
ENSG00000003509.16|NDUFAF7	3.69430020675259	3.77151000226296	3.8871647325031	3.71582960664724	3.76987865975916	3.76452361432378
ENSG00000003756.16|RBM5	7.3372829704513	7.39687101941828	7.57288411258054	7.40317138360593	7.43169282830759	7.42341191472043
ENSG00000003987.14|MTMR7	-0.719995917044847	0.389368040399051	0.116824512309332	0.270968831321909	-0.314624673941191	0.343207407433913
ENSG00000004059.11|ARF5	6.67677723255442	6.50338142821206	6.70944532340191	6.74053726857266	6.68711101858189	6.62795960778864
ENSG00000004139.14|SARM1	6.43595689358593	6.38195735925329	6.01616694250086	6.42491992120746	6.3456179444899	6.28388261378387
ENSG00000004142.12|POLDIP2	6.99008008892144	7.02961822952586	6.97598961944099	7.10942927410202	6.9983154538213	7.05424315217386
ENSG00000004399.12|PLXND1	6.80818587626293	6.58217775176473	6.58646021992519	6.87067819679721	6.74915210759538	6.67459891477965
ENSG00000004455.16|AK2	6.36606406193092	6.36769466524463	6.59387835336306	6.37765390705322	6.41990764428039	6.43273784951552
ENSG00000004478.8|FKBP4	7.43002321978688	7.41610215957067	7.08218814382175	7.1368858359121	7.27623126916939	7.25636841037631
ENSG00000004487.16|KDM1A	6.74847868173846	6.62897184502614	6.69653949092791	6.57643872300262	6.65370449723738	6.67150987311019
ENSG00000004534.15|RBM6	6.91881993273217	6.90958257857039	7.24458402937246	6.90270757307254	7.05159662914056	6.93625042773322
ENSG00000004660.14|CAMKK1	2.72791692361326	2.43577344385903	3.28419844032736	2.78118085330154	2.93525067716726	2.67928415338334
ENSG00000004700.16|RECQL	6.75326206315682	6.74593673464598	6.66105807551241	6.62038242163375	6.74371831627737	6.64660133119711
ENSG00000004766.17|VPS50	5.13148059096439	5.11540520853641	5.12425348772143	4.96084949120537	5.03917840395062	5.12681598526319
ENSG00000004776.13|HSPB6	3.40137473687627	3.63827801362063	3.63406987289297	3.75123014133386	3.62437089779901	3.58810548456285
ENSG00000004777.18|ARHGAP33	4.8265487986214	4.23725932484949	4.42169462982052	4.74828941050055	4.68245252241024	4.43444355948574
ENSG00000004779.10|NDUFAB1	5.25705788228071	5.27181294832466	5.32009609403108	5.27205951436351	5.31777198989803	5.24274122960195
ENSG00000004838.14|ZMYND10	2.34927087294945	2.80738702937806	3.14551334977234	3.17597635996072	2.92382274288304	2.81525106314725
ENSG00000004864.13|SLC25A13	6.17790119583541	6.10727374536245	5.81411081244914	5.92838440091939	6.03051290258103	5.98332217470217
ENSG00000004866.20|ST7	5.09259456047776	5.02436914887222	5.52108985812897	4.95524937431909	5.09713555348019	5.19951591741883
ENSG00000004897.12|CDC27	6.99234284523364	6.79121262382558	6.89815966765542	6.76126608601247	6.95631069059526	6.7651799207683
ENSG00000004961.15|HCCS	4.71565827795681	4.73724751561267	4.43660632732475	4.7431930511187	4.71078753058404	4.60556505542243
ENSG00000004975.12|DVL2	6.37304312133078	6.1379727956881	6.49602582513505	6.42810709687967	6.39873655329616	6.31883786622064
ENSG00000005007.12|UPF1	7.40527106751426	7.16329265676368	6.85990905675966	7.15224410668041	7.21352562176645	7.07683282209256
