	Ctrl_923_R2B1	LMP.Olap_923_R2B1	Ctrl_923_R3B1	LMP.Olap_923_R3B1	Ctrl_923_R1B2	LMP.Olap_923_R1B2
ENSG00000000003.14|TSPAN6	5.984031494177	5.44333246035778	5.72625244457953	5.39609976900985	5.98775063921959	5.28710744484249
ENSG00000000419.12|DPM1	5.66052774714788	5.43771245804923	5.42071298372631	5.5218416372075	5.44367972186519	5.57671769120028
ENSG00000000457.14|SCYL3	3.86154802988272	3.39302459225206	3.64843444379451	3.6352819906001	3.70634781558691	3.56279671267779
ENSG00000000460.17|C1orf112	4.83169742642475	5.16179242566931	4.71364192568153	5.25535680846829	4.87734626804	5.10389802508194
ENSG00000001036.13|FUCA2	6.88623707285616	6.71134835534119	6.78390528837226	6.87746872809687	6.82212138303121	6.80735833930203
ENSG00000001084.12|GCLC	4.93415989129477	4.43327809023179	4.88924100130794	4.71238270898499	4.92511949303257	4.55941135287717
ENSG00000001167.14|NFYA	6.10206283253564	5.66173810037742	5.89818529512041	5.67214983052203	6.04531149768124	5.62175653159651
ENSG00000001461.17|NIPAL3	3.75592796503497	4.42394099575375	3.49845421886619	4.11903070180863	3.56317942033366	4.33549752039811
ENSG00000001497.16|LAS1L	6.38674794229954	6.46878740243005	6.64279494895858	6.44390903166287	6.56459774896707	6.40652191370845
ENSG00000001617.12|SEMA3F	-1.77222829219177	-0.394484272787952	-2.42617381151126	-0.584274753262548	-2.38071869650955	-0.207861868367212
ENSG00000001629.10|ANKIB1	7.1277475787849	6.86696462498648	6.84554015905005	6.87910804770277	7.00548215602323	6.85419804923887
ENSG00000001630.17|CYP51A1	6.81515700541634	6.53605636372726	6.75260266463864	6.81836193007247	6.76669707117094	6.69439191075642
ENSG00000001631.15|KRIT1	6.40727486182025	6.14828052389284	6.28304399407826	6.20386733929507	6.248804965062	6.27242839448121
ENSG00000002016.17|RAD52	3.57807403129471	3.54179682092124	3.87927321732503	3.65923499833074	3.55131860797394	3.77787092596192
ENSG00000002330.13|BAD	3.05095084374984	3.499636560767	3.31727761294886	3.17776824756583	3.16197604748445	3.36084058503131
ENSG00000002549.12|LAP3	6.58337655730121	6.49785392680964	6.50586793471413	6.52128118422919	6.56588602976533	6.48830377176176
ENSG00000002586.20|CD99	4.6884256852812	4.52385903623657	4.45195104456551	4.27874238966989	4.67316565321933	4.29832342465726
ENSG00000002586.20|PAR|Y|CD99	4.6884256852812	4.52385903623657	4.45195104456551	4.27874238966989	4.67316565321933	4.29832342465726
ENSG00000002746.15|HECW1	-0.390538134564634	-0.904681055862019	-1.19375842716126	-2.39206649113017	-0.419852825718275	-2.02066922864076
ENSG00000002822.15|MAD1L1	4.92793548153963	5.30999371011222	5.2835894951867	5.19667426433681	5.03304756472592	5.32604891086176
ENSG00000002834.18|LASP1	7.51538383714713	7.78852009322845	7.5676920808089	7.73766827387745	7.480627426655	7.82400471587596
ENSG00000002919.14|SNX11	4.60587235873734	4.37374880973107	4.13517318294532	4.3371450779186	4.45662270699408	4.26934700767208
ENSG00000003056.8|M6PR	7.31809148535173	7.24476091651231	7.26864319672864	7.27149932254547	7.27989528179928	7.2716021787698
