	Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000000003.14|TSPAN6	4.79670227798434	4.8224445306042	4.87365764586479	4.74548916272375
ENSG00000000419.12|DPM1	5.66876405882657	5.52455797498528	5.72877661250159	5.46454542131026
ENSG00000000457.14|SCYL3	3.11885441956837	2.79757962058052	3.13920042117112	2.77723361897777
ENSG00000000460.17|C1orf112	4.17347620781747	4.6094119050006	4.43196640801077	4.3509217048073
ENSG00000001036.13|FUCA2	5.76100658959116	5.70475098881971	5.7531671388	5.71259043961086
ENSG00000001084.12|GCLC	4.71918675070854	4.58243322034446	4.62852905488497	4.67309091616804
ENSG00000001167.14|NFYA	6.1874984575205	6.16072536109739	6.23072660323435	6.11749721538355
ENSG00000001460.18|STPG1	1.29450681642223	1.15085342462494	0.933884592808471	1.5114756482387
ENSG00000001461.17|NIPAL3	5.83373611103103	6.19355964955401	5.90030192722691	6.12699383335814
ENSG00000001497.16|LAS1L	6.97688391935832	6.98941784019552	6.94733731433669	7.01896444521715
ENSG00000001561.7|ENPP4	3.1915838245409	2.75637057042407	3.16453280771977	2.7834215872452
ENSG00000001629.10|ANKIB1	6.59552922330453	6.61053435478784	6.67644807765651	6.52961550043586
ENSG00000001630.17|CYP51A1	6.98728585708092	6.96866402979422	7.09229880100311	6.86365108587203
ENSG00000001631.15|KRIT1	6.31281454092607	6.15053145654502	6.16793640614221	6.29540959132888
ENSG00000002016.17|RAD52	4.3817121664837	4.36252493863883	4.37384503435798	4.37039207076455
ENSG00000002330.13|BAD	4.16540683804865	4.15450745761351	4.07609741428844	4.24381688137371
ENSG00000002549.12|LAP3	6.48860213501657	6.52910705722379	6.4561142157044	6.56159497653596
ENSG00000002586.20|CD99	5.99847719112174	5.79462445409701	5.98947348134222	5.80362816387653
ENSG00000002586.20|PAR|Y|CD99	5.99847719112174	5.79462445409701	5.98947348134222	5.80362816387653
ENSG00000002587.10|HS3ST1	4.63545231567101	4.44029018772641	4.4834111148453	4.59233138855211
ENSG00000002822.15|MAD1L1	4.76379964473231	4.40281575503107	4.6190871868409	4.54752821292248
ENSG00000002834.18|LASP1	8.38849556855348	8.43181633633786	8.33587599204681	8.48443591284454
ENSG00000002919.14|SNX11	4.28514694045559	4.46521965829379	4.25795407620646	4.49241252254292
ENSG00000003056.8|M6PR	6.27970898984149	6.24523988769758	6.28024914214827	6.2446997353908
ENSG00000003096.14|KLHL13	6.40048661103275	6.4268825346464	6.53712026093311	6.29024888474604
ENSG00000003137.8|CYP26B1	1.99513602182336	1.06944029517616	1.56506690820629	1.49950940879324
ENSG00000003147.19|ICA1	5.39452232681414	5.37304317397307	5.41942009710981	5.3481454036774
ENSG00000003249.13|DBNDD1	4.93255989953138	5.02715470812228	4.80707871059182	5.15263589706183
ENSG00000003393.15|ALS2	6.51194481120137	6.51193323064803	6.51433749526396	6.50954054658544
ENSG00000003402.20|CFLAR	6.34903850288984	6.55917165045454	6.44293996499923	6.46527018834514
ENSG00000003436.16|TFPI	6.16024879704908	6.004732777781	6.22156735389105	5.94341422093903
ENSG00000003509.16|NDUFAF7	4.53186015506176	4.5104175378433	4.47772875600734	4.56454893689771
ENSG00000003756.16|RBM5	7.48750453951726	7.45744472301004	7.49309821640174	7.45185104612557
ENSG00000003987.14|MTMR7	0.60042059068299	0.713265955256512	0.754541200088099	0.559145345851402
ENSG00000003989.17|SLC7A2	3.05200623171748	3.45014999095734	3.3657472293066	3.13640899336822
ENSG00000004059.11|ARF5	5.9860285316883	5.93338201829588	5.88373265928445	6.03567789069973
ENSG00000004139.14|SARM1	6.37233672413339	6.43545832391313	6.31471489587023	6.49308015217629
ENSG00000004142.12|POLDIP2	7.26681843680056	7.16056399048205	7.20175633754395	7.22562608973866
ENSG00000004399.12|PLXND1	5.41453853291022	5.39078778089252	5.22412792843966	5.58119838536308
ENSG00000004455.16|AK2	6.92320767782852	6.97990744765192	6.97787064212497	6.92524448335547
ENSG00000004478.8|FKBP4	7.01732317368011	7.02299483768723	6.91127053204052	7.12904747932682
ENSG00000004487.16|KDM1A	7.73676874247761	7.65537310258396	7.67503738310951	7.71710446195206
ENSG00000004534.15|RBM6	7.00930467944668	6.87549732599952	6.99876758558637	6.88603441985982
ENSG00000004660.14|CAMKK1	2.22346512479429	2.5053244531256	2.34703457875046	2.38175499916943
ENSG00000004700.16|RECQL	5.87346070150242	6.0536786212606	6.00105416382582	5.92608515893719
ENSG00000004766.17|VPS50	5.25906554069786	5.3160637128613	5.40595238067391	5.16917687288525
ENSG00000004777.18|ARHGAP33	5.84084085788091	5.87580901116075	5.65489153850867	6.061758330533
ENSG00000004779.10|NDUFAB1	4.83446579019283	4.62401447524908	4.95944832112017	4.49903194432173
ENSG00000004838.14|ZMYND10	1.50511245024954	0.742189708793732	1.18924727734538	1.05805488169789
ENSG00000004864.13|SLC25A13	5.51468985167229	5.46293299212523	5.55939781413468	5.41822502966285
ENSG00000004866.20|ST7	4.9010074793907	4.80942871031154	4.93310844778649	4.77732774191574
ENSG00000004897.12|CDC27	6.62397318733174	6.91392304315697	6.80209452818868	6.73580170230002
ENSG00000004961.15|HCCS	5.01248612492242	4.94208287464402	5.00907478459323	4.9454942149732
ENSG00000004975.12|DVL2	6.39011224247544	6.43795591379711	6.30147298940544	6.52659516686711
ENSG00000005007.12|UPF1	7.13414977091849	7.2710301747147	7.05264857633205	7.35253136930114
ENSG00000005020.13|SKAP2	4.21116200167445	4.15709409470858	4.26378602913299	4.10447006725004
ENSG00000005022.6|SLC25A5	7.85490235000808	7.78544126603068	7.82017180801938	7.82017180801938
ENSG00000005059.16|MCUB	3.80074511977244	3.95092387252095	3.96829643911537	3.78337255317803
ENSG00000005073.5|HOXA11	1.74778038025441	1.31470429061416	1.52659061440928	1.5358940564593
ENSG00000005075.15|POLR2J	6.14118508419644	6.10356435530124	6.12843809486045	6.11631134463723
ENSG00000005100.13|DHX33	6.16888980577435	6.17937494800431	6.23713244660844	6.11113230717022
ENSG00000005156.11|LIG3	5.4802262881972	5.60488859257707	5.55089446186191	5.53422041891236
ENSG00000005175.10|RPAP3	4.78911329466144	4.99489928948873	4.90053876374797	4.8834738204022
ENSG00000005189.19|REXO5	2.61585226092497	2.64468604208208	2.38946259924516	2.87107570376188
ENSG00000005194.15|CIAPIN1	6.41942423836988	6.3283611521601	6.37036711368737	6.3774182768426
ENSG00000005206.17|SPPL2B	6.55220311201502	6.73024832290025	6.61320471247119	6.66924672244408
ENSG00000005238.19|FAM214B	4.69048465865974	4.66170314583128	4.64796942959165	4.70421837489937
ENSG00000005249.13|PRKAR2B	2.81071845319453	3.02321223076641	2.87054462284794	2.96338606111299
ENSG00000005302.18|MSL3	5.99629017316437	5.90130188947543	5.97751354993972	5.92007851270008
ENSG00000005339.14|CREBBP	6.53591316010236	6.66683949368281	6.50993419430192	6.69281845948325
ENSG00000005379.17|TSPOAP1	2.32621580496643	2.48206349500459	2.20470677899538	2.60357252097564
ENSG00000005436.13|GCFC2	5.12199179409657	5.19388372789678	5.18764266651244	5.12823285548091
ENSG00000005448.16|WDR54	4.72871616794055	4.88719550156121	4.71518158658217	4.90073008291959
ENSG00000005469.11|CROT	4.40138508485	4.32797621183231	4.28074544738254	4.44861584929977
ENSG00000005483.20|KMT2E	7.12685819187981	7.21866208065851	7.22510311077112	7.12041716176719
ENSG00000005486.17|RHBDD2	6.20702388109895	6.1833449916993	6.09662966755734	6.29373920524091
ENSG00000005513.10|SOX8	5.09788174566947	5.20196063309192	5.16395643310695	5.13588594565443
ENSG00000005700.15|IBTK	5.93235831992323	6.10582889116072	6.09298280030076	5.94520441078319
ENSG00000005801.18|ZNF195	5.72890929136778	5.86638815361019	5.83728247407547	5.75801497090249
ENSG00000005810.18|MYCBP2	5.44041957769242	5.41049720218844	5.44663898056189	5.40427779931896
ENSG00000005812.11|FBXL3	4.70397196946085	4.80518517641393	4.87376436597557	4.63539277989921
ENSG00000005882.11|PDK2	4.46996653013752	4.58353038075278	4.36574881564463	4.68774809524567
ENSG00000005884.18|ITGA3	4.45656942379118	4.20172044155048	4.2966739478107	4.36161591753097
ENSG00000005889.15|ZFX	5.50211077728702	5.45588006753976	5.59063129585539	5.36735954897139
ENSG00000005893.15|LAMP2	6.70367510487406	6.73751092192351	6.89067667439792	6.55050935239965
ENSG00000005961.18|ITGA2B	0.143301672902037	0.366790572620542	-0.290944919028762	0.801037164551341
ENSG00000006007.12|GDE1	5.30311350617406	5.39404341792066	5.31799881938608	5.37915810470865
ENSG00000006015.17|REX1BD	3.81928374534731	3.77899614281775	3.80224260293184	3.79603728523322
ENSG00000006016.11|CRLF1	2.5451154058142	2.54758230566488	2.80070145330818	2.29199625817091
ENSG00000006025.12|AC003665.1	4.2583293240144	4.28961786726292	4.14799832639457	4.39994886488275
ENSG00000006042.12|TMEM98	5.9656290640933	5.92846488142455	5.91706409169245	5.97702985382539
ENSG00000006047.13|YBX2	1.25926053795501	0.963721511234888	1.09125929577011	1.13172275341978
ENSG00000006062.16|MAP3K14	4.02754408393304	4.17590566448779	4.1154014359547	4.08804831246613
ENSG00000006071.13|ABCC8	4.1284269274908	4.10731310138456	3.89928495139879	4.33645507747657
ENSG00000006118.14|TMEM132A	7.07937834813997	7.25615561095376	7.05217330139777	7.28336065769597
ENSG00000006125.18|AP2B1	8.65863688941751	8.61334524456174	8.70747767652456	8.5645044574547
ENSG00000006194.10|ZNF263	5.3247643575009	5.28246644696555	5.29633986411453	5.31089094035192
ENSG00000006210.7|CX3CL1	4.67129316161159	4.92142772729888	4.67008128006203	4.92263960884843
ENSG00000006282.21|SPATA20	5.85219718278824	6.07980195691062	5.7700925976143	6.16190654208456
ENSG00000006283.18|CACNA1G	0.340921648543236	0.741607423031398	0.826112043557215	0.25641702801742
