	Ctrl_923_R2B1	LMP_923_R2B1	Ctrl_923_R3B1	LMP_923_R3B1	Ctrl_923_R1B2	LMP_923_R1B2
ENSG00000000003.14|TSPAN6	6.04838737771168	5.85415950015804	5.79507649546609	5.71320035425174	5.89353077473733	5.81188108905645
ENSG00000000419.12|DPM1	5.60247415608605	5.5192959191904	5.36121772760402	5.46002758360429	5.47352517741622	5.49798251582616
ENSG00000000457.14|SCYL3	3.80099253951714	3.59902366375809	3.58863239107293	3.62071459990758	3.75835745250972	3.54632414461815
ENSG00000000460.17|C1orf112	4.90003939865514	4.92245464881777	4.78308393320457	4.78953735138	4.78829260500289	4.90926506102585
ENSG00000001036.13|FUCA2	6.88575952215964	6.81452099759033	6.78083823189636	6.71502700205137	6.81136506573889	6.78670781110997
ENSG00000001084.12|GCLC	4.99938158340394	4.70530341538622	4.95443669200917	4.62434114450777	4.83959775354907	4.80213366410449
ENSG00000001167.14|NFYA	6.12431900261964	5.97470656133347	5.9203661676789	5.66806698364746	5.9937674501006	5.84996190753913
ENSG00000001461.17|NIPAL3	3.75399722691728	4.23237529523942	3.4948389784321	4.03680212085219	3.55647998663619	4.20252682408431
ENSG00000001497.16|LAS1L	6.3847861654451	6.63572329720636	6.63848406366569	6.48086381014001	6.54471446652318	6.5252142017054
ENSG00000001629.10|ANKIB1	7.12121073090296	6.98840429054787	6.8469603673763	6.84852906044684	6.98734183198054	6.91521039265645
ENSG00000001630.17|CYP51A1	6.82159913430553	6.66338236372159	6.75652551288182	6.67306668874494	6.74577531474479	6.71151153508215
ENSG00000001631.15|KRIT1	6.42309725013531	6.30716318831974	6.29724296620601	6.15656145913079	6.20706669216723	6.3849657397287
ENSG00000002016.17|RAD52	3.50871114393805	3.70460286889588	3.81240907126066	3.7373254553047	3.61085523254823	3.77066903715142
ENSG00000002330.13|BAD	2.96761292213315	3.02591541603506	3.23791741730942	3.35636489605937	3.24517195975313	3.04873336601537
ENSG00000002549.12|LAP3	6.60742538532513	6.50078061079244	6.52740658332584	6.59998415542046	6.52045829939508	6.59734006803687
ENSG00000002586.20|CD99	4.72429818768697	4.54064592094964	4.48554675146037	4.49306693177956	4.61799201385232	4.50378688208596
ENSG00000002586.20|PAR|Y|CD99	4.72429818768697	4.54064592094964	4.48554675146037	4.49306693177956	4.61799201385232	4.50378688208596
ENSG00000002822.15|MAD1L1	4.89988966383345	4.80664142469583	5.25530571266859	5.0837517979281	5.03932821976279	4.98346607980019
ENSG00000002834.18|LASP1	7.48844967495128	7.71929079484726	7.54491818038632	7.79339245375642	7.48605061330116	7.78697493866949
ENSG00000002919.14|SNX11	4.62749932770357	4.4093173514876	4.16156582847455	4.50795281263059	4.41022852783782	4.44293913231034
ENSG00000003056.8|M6PR	7.30115251895117	7.28276644201901	7.25181639622214	7.19838161769441	7.27323531395982	7.24382317348355
ENSG00000003096.14|KLHL13	5.07774690487526	4.78051252860613	5.00137976900821	4.63110518987625	5.0045784748256	4.74079372135733
ENSG00000003147.19|ICA1	3.43487753366867	3.36547131764714	3.28003854983093	2.99599403197844	3.34558630856627	3.19260440799633
ENSG00000003249.13|DBNDD1	4.84908115192562	5.00616838068306	5.03994238907382	5.09321841401551	5.04334056568307	4.95086460216594
ENSG00000003393.15|ALS2	4.82509868234142	4.83896806746982	4.51462542697316	4.56220004919815	4.66225760751872	4.70818850547255
ENSG00000003402.20|CFLAR	5.08788713672389	5.21746626007048	5.14557126161372	5.18353662664168	5.07759193961261	5.23963870291228
ENSG00000003509.16|NDUFAF7	4.34814007844448	4.21802645738794	4.38958301151223	4.34411843503296	4.29988057910679	4.35005341208201
ENSG00000003756.16|RBM5	7.51149936305659	7.79350511078448	7.54241555577075	7.70002115524693	7.55472817108417	7.71899242134521
ENSG00000003987.14|MTMR7	0.774711941255974	0.0209838828946697	0.481711257300951	-0.971898161556459	0.0188321101028479	0.13392234984472
ENSG00000003989.17|SLC7A2	2.86976158594026	2.82412117141652	3.16385027285731	2.69942400672164	3.23242587722987	2.546152641238
ENSG00000004059.11|ARF5	6.3464444835945	6.35932432473298	6.41279202386531	6.45807680272056	6.37859591717288	6.4097229002838
ENSG00000004139.14|SARM1	6.08060659010118	6.2602362803171	6.35947247350854	6.38447550565816	6.27765864442366	6.26473678036883
ENSG00000004142.12|POLDIP2	6.8914892187535	6.88469671951293	6.86038992322249	6.91127261752015	6.89543598983769	6.87848824966685
ENSG00000004399.12|PLXND1	5.38129512359956	5.53153486364459	5.56670847921971	5.65253661620298	5.49573159362724	5.57030594770618
ENSG00000004455.16|AK2	7.3899493123948	7.27052793799094	7.35003578140362	7.22130459550412	7.38489343006389	7.23101538358285
ENSG00000004478.8|FKBP4	7.24521693647301	7.21439132285252	7.26391204378277	7.31093179689002	7.2946311125943	7.22259493740486
ENSG00000004487.16|KDM1A	8.19784148041436	8.17596296795182	8.09140029881959	8.09550336770157	8.14017702872183	8.14017702872183
ENSG00000004534.15|RBM6	7.18538748296962	7.39644736970509	7.3427144010356	7.20877135636299	7.32740750629913	7.23925279873752
ENSG00000004660.14|CAMKK1	1.48482584760068	1.958824919345	1.72654913070375	1.99952038587936	1.62176868500867	1.96309145675573
ENSG00000004700.16|RECQL	6.03526058330164	6.11864255887438	5.83803048507219	6.08148082406296	5.9397867676439	6.09692045801169
ENSG00000004766.17|VPS50	5.40216625522847	5.42744309296082	5.24370955641138	5.03334858619551	5.33909790450788	5.21423584089021
ENSG00000004776.13|HSPB6	-1.67090939629021	-0.811664093578405	-0.501054137711142	-0.72124284355435	-0.930067514234622	-0.922367721332432
ENSG00000004777.18|ARHGAP33	5.4262897991807	5.59785345639049	6.00643606964859	6.07495833799064	5.7049951289002	5.84777370270501
ENSG00000004779.10|NDUFAB1	5.6893366945783	5.56584641111601	5.60446327903421	5.5122551751696	5.64152393502044	5.54442684492862
ENSG00000004799.8|PDK4	0.543591038910987	0.607841255795269	0.241634570101395	0.283696041697275	0.113314171033957	0.725067282218506
ENSG00000004838.14|ZMYND10	1.32556574043971	1.71735505222906	1.71821421405942	2.45046189503409	1.64034192265511	1.96545652822603
ENSG00000004848.8|ARX	0.869005187798572	0.0713382574724885	0.555736342765339	-0.152542250330824	0.559230961970869	0.112537806881919
ENSG00000004864.13|SLC25A13	6.8333018391115	6.58215102733564	6.69556635167332	6.6399373951016	6.73991241247183	6.63556589413921
ENSG00000004866.20|ST7	4.47792213106045	4.29756447015983	4.51593468249879	4.24481239393501	4.42839669354962	4.33972014527742
ENSG00000004897.12|CDC27	7.0823540426784	6.9829791042916	6.95435559531757	6.80178227027118	6.96840475412048	6.94233075215889
ENSG00000004961.15|HCCS	4.75919755515826	4.78962441209422	4.58399479425153	4.71304395091759	4.75127104452342	4.67165931168738
ENSG00000004975.12|DVL2	6.26632387781023	6.33088064643691	6.33296834167029	6.46966589029861	6.26414949606367	6.43576988204436
ENSG00000005007.12|UPF1	6.84270900951462	6.91283762840988	7.0402562133997	7.11959547566275	6.9218639198908	7.03583524360268
ENSG00000005020.13|SKAP2	4.54004086670028	4.39963339082495	4.13978896321031	4.08391104352012	4.33891030454757	4.24277682758026
ENSG00000005022.6|SLC25A5	7.79210650075977	7.68280232012153	7.78573645986973	7.76648085981446	7.82991136103393	7.68365170924882
ENSG00000005059.16|MCUB	5.58310211445882	5.5167296363237	5.23516411229594	5.44969251820835	5.51026726640646	5.38207692423695
ENSG00000005075.15|POLR2J	5.86237358632503	5.84454037104148	5.88506419751854	5.82563081705982	5.8465990719825	5.86220541398993
ENSG00000005100.13|DHX33	6.64094013695899	6.72757227259019	6.71030364176953	6.7726956643291	6.77151863105828	6.65423722676562
ENSG00000005108.16|THSD7A	-0.976768860796927	-0.498273920683554	-0.364751618690194	-0.960164348415842	-0.554695304966685	-0.845284069326574
ENSG00000005156.11|LIG3	6.54489765114023	6.32601228680787	6.6166692848828	6.37686296442391	6.6212563145206	6.31096477910682
ENSG00000005175.10|RPAP3	5.83611583309539	5.79367379320793	5.63582852234911	5.71561841224914	5.66002243240655	5.83059584804423
ENSG00000005189.19|REXO5	3.66286852021962	3.35379754353277	3.48377494958749	3.42789354894923	3.56268433942786	3.40148294171669
ENSG00000005194.15|CIAPIN1	6.36854049491134	6.36323333897652	6.24124978049919	6.34092641531276	6.3494180878781	6.30755692697181
ENSG00000005206.17|SPPL2B	5.63836604420702	5.88096310703987	6.07546068175599	6.30748455871582	5.91210754900989	6.03902964684947
