	Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000000003.14|TSPAN6	4.85800911317227	4.84095457606722	4.80582535240951	4.89313833682998
ENSG00000000419.12|DPM1	5.68594811847121	5.50607472492901	5.70452892720233	5.48749391619788
ENSG00000000457.14|SCYL3	3.14525110071045	3.0014575787727	3.1065066316111	3.04020204787205
ENSG00000000460.17|C1orf112	4.16627321215833	4.54900094720729	4.438173751796	4.27710040756961
ENSG00000001036.13|FUCA2	5.70858102123172	5.66145761380596	5.79924684133942	5.57079179369826
ENSG00000001084.12|GCLC	4.74808019946926	4.44150796631293	4.60085285031464	4.58873531546755
ENSG00000001167.14|NFYA	6.21245105714247	6.18088922785343	6.20700413614514	6.18633614885077
ENSG00000001460.18|STPG1	1.13614947502883	1.04130008456291	1.10135300332409	1.07609655626766
ENSG00000001461.17|NIPAL3	5.8481518558166	5.93460206401506	5.87743657056199	5.90531734926968
ENSG00000001497.16|LAS1L	6.9773780322534	6.91188402951526	6.94945403164492	6.93980803012373
ENSG00000001561.7|ENPP4	3.08886251241006	3.0276960818073	3.25455433473094	2.86200425948642
ENSG00000001629.10|ANKIB1	6.60854963097614	6.68853835509139	6.6621878925179	6.63490009354963
ENSG00000001630.17|CYP51A1	6.9849310880215	6.98445725825299	7.09387925356239	6.8755090927121
ENSG00000001631.15|KRIT1	6.27769129707943	6.19683327517524	6.20231484198508	6.27220973026959
ENSG00000002016.17|RAD52	4.40266898538866	4.30772578145945	4.35648707613484	4.35390769071327
ENSG00000002330.13|BAD	4.08338490751892	4.35483361618081	4.16224409820532	4.27597442549441
ENSG00000002549.12|LAP3	6.4975056654571	6.39808469125352	6.44499200512493	6.45059835158568
ENSG00000002586.20|CD99	6.04942134730281	5.95406968909639	5.93028202066786	6.07320901573134
ENSG00000002586.20|PAR|Y|CD99	6.04942134730281	5.95406968909639	5.93028202066786	6.07320901573134
ENSG00000002587.10|HS3ST1	4.66022852107954	4.44465290416432	4.45758174363443	4.64729968160943
ENSG00000002822.15|MAD1L1	4.72571262933183	4.59190898110636	4.65235079285121	4.66527081758698
ENSG00000002834.18|LASP1	8.39319795867417	8.35491089386545	8.35767996666616	8.39042888587345
ENSG00000002919.14|SNX11	4.25460767625102	4.37892014658397	4.29169179923215	4.34183602360284
ENSG00000003056.8|M6PR	6.26688040829276	6.21678162811766	6.29125106013294	6.19241097627748
ENSG00000003096.14|KLHL13	6.40965973369492	6.58033775628771	6.52320664703871	6.46679084294391
ENSG00000003137.8|CYP26B1	1.83037401815628	1.30140820013018	1.74600097973175	1.38578123855471
ENSG00000003147.19|ICA1	5.39329598142613	5.41298135707808	5.40948972566569	5.39678761283852
ENSG00000003249.13|DBNDD1	4.93052522284871	4.85331066229955	4.80370882026503	4.98012706488323
ENSG00000003393.15|ALS2	6.46619183396136	6.55976084111747	6.5563632868789	6.46958938819992
ENSG00000003402.20|CFLAR	6.34851379925909	6.50828538786395	6.44246044296767	6.41433874415537
ENSG00000003436.16|TFPI	6.15543188783652	6.07319386287203	6.22513332508518	6.00349242562337
ENSG00000003509.16|NDUFAF7	4.45480690514483	4.60048325021327	4.5546239553942	4.50066619996389
ENSG00000003756.16|RBM5	7.47219165669349	7.45182944409097	7.51491217223146	7.40910892855299
ENSG00000003987.14|MTMR7	0.452060780867946	0.97885425970844	0.907876764721977	0.523038275854409
ENSG00000003989.17|SLC7A2	3.12242225427733	3.45750360054796	3.28650026403106	3.29342559079423
ENSG00000004059.11|ARF5	5.99799994342496	5.91316288573508	5.86293861575459	6.04822421340544
ENSG00000004139.14|SARM1	6.36461816528675	6.40353463596846	6.32183660195466	6.44631619930055
ENSG00000004142.12|POLDIP2	7.26863801994883	7.19760877796308	7.20655416020415	7.25969263770776
ENSG00000004399.12|PLXND1	5.41192604075264	5.34650454204326	5.21876821585514	5.53966236694075
ENSG00000004455.16|AK2	6.91819547926962	6.97102611007159	6.98113349182165	6.90808809751956
ENSG00000004478.8|FKBP4	6.9816377786965	6.97866927535209	6.94813170144953	7.01217535259906
ENSG00000004487.16|KDM1A	7.70895471557669	7.68035185160661	7.70207700013561	7.6872295670477
ENSG00000004534.15|RBM6	6.98602031218934	6.97970830088184	7.02917567779736	6.93655293527382
ENSG00000004660.14|CAMKK1	2.32354827547051	2.11497269654322	2.23978126890416	2.19873970310957
ENSG00000004700.16|RECQL	5.88643999151709	6.02679628592286	5.98252133626579	5.93071494117416
ENSG00000004766.17|VPS50	5.29287144532974	5.22089114978668	5.3642526630722	5.14950993204421
ENSG00000004776.13|HSPB6	-1.76003512481179	-1.64963744621834	-1.43804185939817	-1.97163071163195
ENSG00000004777.18|ARHGAP33	5.8123773068943	5.83655664051562	5.6717149737291	5.97721897368082
ENSG00000004779.10|NDUFAB1	4.88094827776154	4.85007590844396	4.90607016273816	4.82495402346734
ENSG00000004799.8|PDK4	-0.961412025332397	-0.972258959106397	-0.468383679930797	-1.465287304508
ENSG00000004838.14|ZMYND10	1.43528909678737	1.12383365324374	1.25931470330992	1.29980804672118
ENSG00000004864.13|SLC25A13	5.50344462048757	5.52226361015597	5.55948239862109	5.46622583202245
ENSG00000004866.20|ST7	4.90029007732152	4.90313279863826	4.92571636458743	4.87770651137235
ENSG00000004897.12|CDC27	6.65155881470769	6.81291055792369	6.77187081521742	6.69259855741396
ENSG00000004961.15|HCCS	5.01163404893933	4.98040070029188	5.00300635254734	4.98902839668386
ENSG00000004975.12|DVL2	6.42026131416122	6.27450532895954	6.26914285847858	6.42562378464218
