	Ctrl_827_R1B1	Ola_827_R1B1	Ctrl_827_R2B1	Ola_827_R2B1	Ctrl_827_R3B2	Ola_827_R3B2
ENSG00000000003.14|TSPAN6	4.96527913236591	5.10539230367486	5.15385248985404	5.2308435070315	5.00367184960248	5.22401186686068
ENSG00000000419.12|DPM1	5.36435493677362	5.39713691924198	5.63608727175184	5.44803397854379	5.58103443036893	5.34177212278668
ENSG00000000457.14|SCYL3	3.57536566665392	3.52303354669865	3.28124164191412	3.47585549287424	3.48281862325722	3.44492955081325
ENSG00000000460.17|C1orf112	5.1084844292646	5.17754660898678	4.51138011024418	4.69484504331145	4.99362469398757	4.75250340191594
ENSG00000001036.13|FUCA2	6.7205842838182	6.62041205920202	6.42498566898745	6.63754205957007	6.6541261542633	6.54763588152557
ENSG00000001084.12|GCLC	4.54165203956829	4.56362093615428	4.11592223067693	4.1470931311293	4.41326312993471	4.2708810388297
ENSG00000001167.14|NFYA	5.75812061736633	5.8288199462995	6.15246958243148	5.9009476133479	5.99861433380532	5.82156454591728
ENSG00000001460.18|STPG1	2.98005976873396	2.7778028546905	2.81843716329106	2.614830046047	2.74261313029159	2.85295178608966
ENSG00000001461.17|NIPAL3	5.6979627855734	5.75802796115344	5.0532628553805	5.41233773468277	5.40774564395903	5.55305002443603
ENSG00000001497.16|LAS1L	6.13701187599726	6.03847066341269	5.86655281642037	5.90682989345901	6.04096729462324	5.93346533002143
ENSG00000001629.10|ANKIB1	6.96114327952218	6.97546787748894	7.01171574675557	6.90839500517274	6.98815173803115	6.94020921643856
ENSG00000001630.17|CYP51A1	8.71913552698131	8.76748847823717	7.9991390307361	8.36684871513593	8.50979561523855	8.41651026030671
ENSG00000001631.15|KRIT1	5.92234577188679	6.04469295879922	5.86099577660178	5.87135966443064	5.89720680730218	5.95249027855703
ENSG00000002016.17|RAD52	4.12462912485597	4.09281966515461	4.86214156381084	4.37177196983449	4.35657196486915	4.3691091969588
ENSG00000002330.13|BAD	3.81731243906183	3.90916029558452	3.92053261227023	4.37388662819002	3.97018055051711	4.04026543703619
ENSG00000002549.12|LAP3	5.59824360104797	5.59296714406318	4.87841532094009	5.36121594088157	5.42007506750597	5.29534593596044
ENSG00000002586.20|CD99	5.7997740655493	5.66441147367288	7.32175969663601	6.78997877383102	6.36681599887528	6.42114600596932
ENSG00000002586.20|PAR|Y|CD99	5.7997740655493	5.66441147367288	7.32175969663601	6.78997877383102	6.36681599887528	6.42114600596932
ENSG00000002587.10|HS3ST1	2.95724974218642	2.90191303045647	2.00858720382394	2.74986714457053	2.82764082846891	2.48116773204976
ENSG00000002746.15|HECW1	3.39879910634481	3.17509418922093	2.53025299141004	3.26953210915206	3.13140435571046	3.05543484235346
ENSG00000002822.15|MAD1L1	5.11161966683536	4.80501410958969	4.22155033721223	4.64284555745289	4.77200366627573	4.61851116926936
ENSG00000002834.18|LASP1	7.07675243787159	7.14739341243354	7.21115982750743	7.13726592061181	7.13015467038597	7.15613112882621
ENSG00000002919.14|SNX11	3.87791926832382	3.98001203747529	4.17015746199328	4.01680373850096	3.99474957321484	4.02769667993184
ENSG00000003056.8|M6PR	6.95055965174596	6.91912089021771	6.84662268077413	6.86172029455058	6.94105327366389	6.84795848498031
ENSG00000003096.14|KLHL13	5.19210418924332	5.2634393949398	5.10888284125409	5.07376842139993	5.09520931223224	5.22388811118633
ENSG00000003137.8|CYP26B1	0.347584394019335	0.114635989428457	-0.129344699360016	0.453235051424706	0.320085085553513	0.0729702822027284
ENSG00000003147.19|ICA1	3.41293263681124	3.47797979591756	3.06857854234502	3.22320278822889	3.18858354785602	3.40276333379533
ENSG00000003249.13|DBNDD1	5.97556315843313	6.03906758373459	4.91908252708477	5.63901462464543	5.56088166637231	5.72548228057665
ENSG00000003393.15|ALS2	6.00659684027444	5.95136886195584	5.86148405040121	5.74451201790266	5.90966598675343	5.87231489851365
ENSG00000003402.20|CFLAR	6.21087952228168	6.16036212013839	6.1029472718663	6.1537778155254	6.09680169953831	6.21718166536758
ENSG00000003436.16|TFPI	1.73212550016808	2.07439903919915	2.71500407503016	2.21132284970896	2.01456652137569	2.35185921067749
ENSG00000003509.16|NDUFAF7	3.72948952247779	3.89873789130127	3.9265315964949	3.4568438627594	3.78299801268731	3.72280342382938
ENSG00000003756.16|RBM5	7.20223648440353	7.30256065259493	7.75331905779667	7.42508985097746	7.36405239944898	7.47755062343732
ENSG00000003987.14|MTMR7	-0.0654489029968833	-0.108428612849456	0.477248971453459	-0.433460114046347	0.296490855237648	-0.36153518445726
ENSG00000004059.11|ARF5	6.55076898501478	6.46289307038337	6.7311930572723	6.62642030887935	6.61896940518122	6.56666830559368
ENSG00000004139.14|SARM1	6.26194417623748	6.22348028966606	5.86953907988279	6.12649302115282	6.07298591146457	6.16774237200501
ENSG00000004142.12|POLDIP2	6.95196500113315	7.00363324660271	6.93193968283655	6.85428252332411	6.91959805701331	6.95131216993495
ENSG00000004399.12|PLXND1	6.865973714585	6.79481821554812	6.58874762383609	6.86850608105603	6.72293416861142	6.8360886489012
ENSG00000004455.16|AK2	6.48499737326971	6.38438437764139	6.69410108095738	6.5062307150529	6.51928741325244	6.51556936020825
ENSG00000004478.8|FKBP4	7.45121044468486	7.3935061472874	6.53979652081422	6.97419073542824	7.14589426332166	7.0334576607857
ENSG00000004487.16|KDM1A	6.81775716438895	6.87563930996326	6.44679900521775	6.55366026895854	6.78972106696297	6.55720680730127
ENSG00000004534.15|RBM6	7.12744479449091	7.05019980277557	7.31163547262858	7.16724887813371	7.21612881285351	7.11213566116088
ENSG00000004660.14|CAMKK1	2.222829013933	2.22008033813268	3.47223625520377	2.67930004063932	2.62634190769118	2.6708809162632
ENSG00000004700.16|RECQL	6.81872574528997	6.82985009272979	6.52917982851517	6.62878782252766	6.73667909144193	6.66659265308937
ENSG00000004766.17|VPS50	5.19221759231327	5.3715024066038	4.97068767845899	5.02450623303813	5.1005322721098	5.17892468309729
ENSG00000004776.13|HSPB6	3.38892620558173	3.45587373760694	3.26528901794293	3.15939745917868	3.45409218513065	3.18065102502449
ENSG00000004777.18|ARHGAP33	4.95462358745172	4.78251030629112	4.77792779712344	4.8268641733593	4.77986528085683	4.89109765125596
ENSG00000004779.10|NDUFAB1	5.12403129833566	5.13155718196011	5.53908733063133	5.39717598407046	5.30360429372501	5.29232160377377
ENSG00000004838.14|ZMYND10	2.47106706830842	2.69046811465424	3.3790096744159	2.9701733777747	2.88893349493993	2.8664256226367
ENSG00000004864.13|SLC25A13	6.37164400803869	6.31240573753519	5.6149726910258	5.9932631166447	6.0842001862504	6.06194259037179
ENSG00000004866.20|ST7	5.17490754597764	5.29566857811797	5.63847525535653	5.32658431620893	5.38578647726811	5.33203137056243
ENSG00000004897.12|CDC27	7.17629699275074	7.12912416038898	6.75503875925925	6.91667270698997	7.0066448166486	6.98192149304588
ENSG00000004961.15|HCCS	4.723488480895	4.73331683494908	4.46185594506424	4.57198342362812	4.59667846374141	4.64864387852681
ENSG00000004975.12|DVL2	6.35511896204391	6.22472501494855	6.36471715903086	6.40569201292741	6.32040784327398	6.35471873120139
ENSG00000005007.12|UPF1	7.32523784944404	7.32992952597778	6.67468377723133	7.0205087596762	7.1102740752758	7.06490588088888
ENSG00000005020.13|SKAP2	6.57628749875274	6.60114365569361	6.31024272819364	6.45249874067169	6.46480286559539	6.50528344606046
