	Ctrl_602_R1B1	LMP_602_R1B1	Ola_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000000003.14|TSPAN6	4.81703475071521	4.84292173084885	4.80036818396804	4.81997746088151	4.86903284445087	4.74107950690172	4.95465837126041	4.71553140380061
ENSG00000000419.12|DPM1	5.68081273308275	5.53302539542298	5.49886158701393	5.57273822004449	5.73423302815245	5.46879133382114	5.51860232866589	5.56381124492466
ENSG00000000457.14|SCYL3	3.12985546254309	2.80912383743431	2.98588956181439	3.04787815351464	3.14483202632054	2.77670399618737	3.08324842570129	2.96796256709723
ENSG00000000460.17|C1orf112	4.12099278303328	4.56254947341384	4.50921361014502	4.81977877914755	4.50093630871912	4.4212805684899	4.33911938132752	4.75119838720316
ENSG00000001036.13|FUCA2	5.74662566137742	5.6911694403743	5.70124964841276	5.72886109763471	5.78388426169017	5.74428139602751	5.55692689332374	5.78281329675777
ENSG00000001084.12|GCLC	4.78409733487064	4.6482481153767	4.48188286960443	4.47709793469064	4.57987588605684	4.6240189351198	4.56764591396226	4.61978551940351
ENSG00000001167.14|NFYA	6.18074496151264	6.15386439075839	6.15144123599138	6.18947775786396	6.25453539106451	6.14250010329974	6.23439783754669	6.04409501421543
ENSG00000001460.18|STPG1	1.26201487229132	1.12096278440675	1.16685998968008	1.65611601445256	0.985091686445041	1.55781040277538	0.95993737655625	1.70311419505404
ENSG00000001461.17|NIPAL3	5.82514303290931	6.18666787503943	5.91035722389755	6.03033003938865	5.92213821174821	6.1518175729929	5.95017918039767	5.92836320609616
ENSG00000001497.16|LAS1L	6.99038748260684	7.00303572627179	6.92985008280383	7.02422028679924	6.94303239743416	7.0139335520057	6.93412062793149	7.05640700111036
ENSG00000001561.7|ENPP4	3.13235833046662	2.70163543264829	3.06788640180262	3.08931554004631	3.23541599010276	2.85007635305344	2.84756174739758	3.05814161441007
