	Ctrl_923_R2B1	LMP_923_R2B1	Ola_923_R2B1	LMP.Olap_923_R2B1	Ctrl_923_R3B1	LMP_923_R3B1	Ola_923_R3B1	LMP.Olap_923_R3B1	Ctrl_923_R1B2	LMP_923_R1B2	Ola_923_R1B2	LMP.Olap_923_R1B2
ENSG00000000003.14|TSPAN6	6.00483958902348	5.8093333695814	5.88592041384036	5.46624977206486	5.75257026762357	5.6700118091803	5.7918131631779	5.41933449273054	5.95187465564946	5.87034223582605	5.82340510169248	5.25441444544323
ENSG00000000419.12|DPM1	5.65779325274112	5.57228758114781	5.41514690714725	5.43350730836604	5.41695606721744	5.51400260956239	5.30441812098788	5.51817134659175	5.4374358905374	5.46070826430967	5.44567765494197	5.5723197870918
ENSG00000000457.14|SCYL3	3.82491715226292	3.6248089802652	3.59448012079415	3.35703199820399	3.61529138028325	3.64786195123796	3.69229280105175	3.60008159751726	3.74642472871032	3.53314044087433	3.59815305837761	3.60066476284599
ENSG00000000460.17|C1orf112	4.86500103731818	4.88803223345813	4.89990788057142	5.193955717647	4.74856389984945	4.75434272429953	4.75984370843429	5.28650565096087	4.83585727473549	4.95819304729476	4.84180349211628	5.06222261212292
ENSG00000001036.13|FUCA2	6.88906743472736	6.81711836318044	6.84128670085525	6.71100507377436	6.78542620456867	6.72192270555314	6.77887128533367	6.88029928325383	6.81621396126142	6.79184146089363	6.80360530842377	6.80083779504453
ENSG00000001084.12|GCLC	5.01829164121142	4.72365485602617	4.76422599267565	4.51700300318277	4.97217641907993	4.64378536833274	4.67620916888863	4.79751882345506	4.83364745800206	4.79783341491671	4.95452042668233	4.4704313368251
ENSG00000001167.14|NFYA	6.11328329668876	5.96384106996203	5.91982508893547	5.67615326718838	5.90857960423014	5.65635040710143	5.81204088778047	5.68641482893944	6.0224667576587	5.87687506486569	5.86854018727598	5.60036221561269
ENSG00000001461.17|NIPAL3	3.77562374058954	4.2622543973447	3.76634989489327	4.44161769925309	3.51900412900453	4.06032895295543	3.5157029711521	4.13656806444534	3.5452091669896	4.19059030142857	3.68805899332938	4.31486646307146
ENSG00000001497.16|LAS1L	6.35893788742439	6.61089301412071	6.6280214076259	6.43950946638617	6.61324105686371	6.45604643070558	6.60535736428156	6.41425001737447	6.58297386587346	6.56436461140485	6.49119813803334	6.4245917070796
ENSG00000001617.12|SEMA3F	-1.86719323585849	-1.939939158012	-2.09198624393552	-0.392666926347287	-2.22797864567128	-0.0186901143691105	-1.16216481681631	-0.557671242464465	-2.43324251904465	-1.03363401365278	-1.48648888192008	-0.175779777119718
ENSG00000001629.10|ANKIB1	7.11812253565936	6.98494038517728	7.0638387097929	6.86400052269056	6.84219259876667	6.84327101735549	6.9057229077528	6.87560183710361	7.00215307258695	6.92909506515892	6.96301205491554	6.85458506448793
ENSG00000001630.17|CYP51A1	6.83063910118325	6.6759847696748	6.73037630123714	6.55080199889533	6.76852468804886	6.68565837818159	6.69759159086033	6.83336435928896	6.74311557330478	6.71118469091555	6.76073444945087	6.67143588001394
ENSG00000001631.15|KRIT1	6.44629657524473	6.33488897165518	6.25680846214882	6.19007619075989	6.32396528160997	6.18406942614731	6.12553376332698	6.24692473066481	6.19837778621743	6.37329265089326	6.26098275169127	6.22162851197689
ENSG00000002016.17|RAD52	3.62772886296853	3.81846267470625	3.54885858012555	3.59062065956659	3.92844998464787	3.85407457336806	3.47614076778063	3.71131654002716	3.5041770862041	3.66384738689593	3.87791961566739	3.73188223282789
ENSG00000002330.13|BAD	3.0038996209823	3.06403311988768	3.12317053561432	3.45174456996603	3.27076574226683	3.39309870482896	3.17387420805054	3.12789015950314	3.21205712082349	3.01828128261644	3.16390107682926	3.40999885028071
ENSG00000002549.12|LAP3	6.60733709402593	6.50118559185135	6.46429363155443	6.52158938758938	6.52952567985911	6.59960844969557	6.38088703314857	6.54648842893147	6.53220555605724	6.61022814982675	6.47983085824719	6.45319308419672
ENSG00000002586.20|CD99	4.69748689674482	4.51531919883245	4.65128500377746	4.53491951917568	4.46190888099548	4.46977152243887	4.52374815131477	4.28535602009577	4.6600195650756	4.54778565676206	4.57721565095549	4.2848767238945
ENSG00000002586.20|PAR|Y|CD99	4.69748689674482	4.51531919883245	4.65128500377746	4.53491951917568	4.46190888099548	4.46977152243887	4.52374815131477	4.28535602009577	4.6600195650756	4.54778565676206	4.57721565095549	4.2848767238945
ENSG00000002746.15|HECW1	-0.0737515417341224	-1.29162579780477	-1.27055219338976	-0.600293208303682	-0.848312631031496	-1.71277901016646	-1.46761387365572	-1.98755941855456	-0.751789703567467	-1.75779109900251	0.0554216028140653	-2.17208463756437
