Ctrl_827_R1B1	LMP.Olap_827_R1B1	Ctrl_827_R2B1	LMP.Olap_827_R2B1	Ctrl_827_R3B2	LMP.Olap_827_R3B2
ENSG00000000003.14|TSPAN6	584	655	609	664	660	584
ENSG00000000419.12|DPM1	802	749	907	752	946	593
ENSG00000000457.14|SCYL3	223.8	210.53	163.18	214.42	229.9	178.45
ENSG00000000460.17|C1orf112	604.2	483.47	362.82	452.58	696.1	422.55
ENSG00000001036.13|FUCA2	1882.82	1797.18	1509.52	1984.63	2120.35	1577.97
ENSG00000001084.12|GCLC	397	408	268	378	484	345
ENSG00000001167.14|NFYA	1064	940	1358	1046	1232	803
ENSG00000001460.18|STPG1	141	166.04	116	185	140.02	166
ENSG00000001461.17|NIPAL3	952	1402.96	561	1295	884.98	965
ENSG00000001497.16|LAS1L	1239	1055	985	1217	1406	970
ENSG00000001629.10|ANKIB1	2390	2027	2456.83	2335.99	2447	1672.84
ENSG00000001630.17|CYP51A1	7217.98	5381	4728	5496.95	7615.99	5203.99
ENSG00000001631.15|KRIT1	1132.15	972.31	1027.03	1000.15	1216.87	967.89
ENSG00000002016.17|RAD52	337.94	377.14	509.59	455.51	412.25	344.13
ENSG00000002330.13|BAD	258.34	270.91	251.76	408.05	330.58	261.11
ENSG00000002549.12|LAP3	855	743	468	819	934	695
ENSG00000002586.20|CD99	1188	969	3444.5	1760.5	1467	1119
ENSG00000002586.20|PAR|Y|CD99	1188	969	3444.5	1760.5	1467	1119
ENSG00000002587.10|HS3ST1	142	178	69	178	145	139
ENSG00000002746.15|HECW1	168	170	85	177.94	210	152
ENSG00000002822.15|MAD1L1	549.2	360.25	268.52	494.66	662.29	312.37
ENSG00000002834.18|LASP1	2533.39	2328.22	2791.21	2685.72	2776.6	2122.94
ENSG00000002919.14|SNX11	277	339	310	361	324	276
ENSG00000003056.8|M6PR	2268.25	1978.37	2075.62	2109.48	2495.26	1660.27
ENSG00000003096.14|KLHL13	721	493	627	540	666	454
ENSG00000003137.8|CYP26B1	22	32	15	45	25	24
ENSG00000003147.19|ICA1	200	219	143	181	185	163
ENSG00000003249.13|DBNDD1	1079	1136	470	1254	1047	918
ENSG00000003393.15|ALS2	1197	1009	1030	1090	1223	826
ENSG00000003402.20|CFLAR	1290.99	1635.92	1163.88	1706.42	1470	1433.34
ENSG00000003436.16|TFPI	58	67	109	86	84	77
ENSG00000003509.16|NDUFAF7	266.26	227.32	279.71	255	263.02	207.14
ENSG00000003756.16|RBM5	2908.47	2901.21	4499.81	3431.4	3073.78	2474.59
ENSG00000003987.14|MTMR7	24.5	26.34	35.36	28.85	16.66	15.76
ENSG00000004059.11|ARF5	1709	1541.67	1892	2111.79	2023.45	1475.71
ENSG00000004139.14|SARM1	1342.1	1386.76	982.52	1666.49	1444.22	1181.82
ENSG00000004142.12|POLDIP2	2253.4	2197.33	2197.65	2678.05	2480.51	1990.21
ENSG00000004399.12|PLXND1	2056	1613	1667	2305	2238	1527
ENSG00000004455.16|AK2	1690.66	1404	1911	1653	1815	1278.77
ENSG00000004478.8|FKBP4	3040	2809	1597	2708	3020	2320
ENSG00000004487.16|KDM1A	2013	1687	1531	1888	2301	1514
ENSG00000004534.15|RBM6	2612	2042	3024.36	2352	2946	1834
ENSG00000004660.14|CAMKK1	90	89	194	132	120	99
ENSG00000004700.16|RECQL	2070.54	1786.36	1663.69	1897.2	2174.81	1525.01
ENSG00000004766.17|VPS50	706	582	551	603	685	531
ENSG00000004776.13|HSPB6	164.72	206.4	138.45	260.08	266.99	185.88
ENSG00000004777.18|ARHGAP33	513.07	302.99	409.88	498.34	642.29	345.75
ENSG00000004779.10|NDUFAB1	672	656	834	763	790	566
ENSG00000004838.14|ZMYND10	106	119	179	182	146	104
ENSG00000004864.13|SLC25A13	1416	1122	790	1148	1491	985
ENSG00000004866.20|ST7	730.26	578.78	952.68	634.35	793.58	527.65
ENSG00000004897.12|CDC27	2621.97	1850.99	1928	2101	2627	1650.94
ENSG00000004961.15|HCCS	513	440	387	514	483	377
ENSG00000004975.12|DVL2	1484	1211	1469	1722	1655	1175
ENSG00000005007.12|UPF1	2773	2318	1724	2669	2974	2103
ENSG00000005020.13|SKAP2	1780	1614	1450	1663	1776	1279
ENSG00000005022.6|SLC25A5	3837.91	3093.88	3590.93	3741.91	4316.84	2911.88
ENSG00000005059.16|MCUB	638	386	1423	652	683	444
ENSG00000005073.5|HOXA11	35.36	40	29	28	27	20
ENSG00000005075.15|POLR2J	1124.53	903.25	1139.04	1092.43	1334.09	903.71
ENSG00000005100.13|DHX33	1280	1157	844	1186	1257	947
ENSG00000005156.11|LIG3	632.94	551.52	592.6	543.22	739.64	494.66
ENSG00000005175.10|RPAP3	1223	1137	737	1119	1203	885
ENSG00000005189.19|REXO5	147	106	130.62	144	267.79	138
ENSG00000005194.15|CIAPIN1	1198	1290	1001	1428	1376	1144
ENSG00000005206.17|SPPL2B	1486	1477.11	1531	2238	1888.79	1566
ENSG00000005238.19|FAM214B	431	511	584	630	445	431
ENSG00000005243.10|COPZ2	160	141	162	163	179	168
ENSG00000005249.13|PRKAR2B	242	154	161	198	228	151
ENSG00000005302.18|MSL3	583	591	598	683	626	498
ENSG00000005339.14|CREBBP	1932	1593	1371	1795	2205	1427
ENSG00000005379.17|TSPOAP1	188	198	146	230	184	170
ENSG00000005436.13|GCFC2	512.93	464	356.94	570	631	437
ENSG00000005448.16|WDR54	386	333	516	505	453	354
ENSG00000005469.11|CROT	836	1195	513	1087	874	873
ENSG00000005483.20|KMT2E	1870	1438	2755.46	1854.84	2224	1463.81
ENSG00000005486.17|RHBDD2	2375	2207	1643	2891	2834	2131
ENSG00000005513.10|SOX8	397	273	193	280	576	318
ENSG00000005700.15|IBTK	1776	1546	1879	1787	1841	1385
ENSG00000005801.18|ZNF195	335	478	219	463	363	315
ENSG00000005810.18|MYCBP2	604.35	485.43	461.95	475	561.82	398
ENSG00000005812.11|FBXL3	398.92	286.99	553.06	391.96	500.11	371
ENSG00000005882.11|PDK2	544.55	542.14	385.05	598.58	547.79	438.92
ENSG00000005884.18|ITGA3	5002	4086	7390	5923.22	6007	4098
ENSG00000005889.15|ZFX	724	645	635	671	790	535
ENSG00000005893.15|LAMP2	1922	1955	3696	2465	2370	1811
ENSG00000005961.18|ITGA2B	6	5	16	12	4	17
ENSG00000006007.12|GDE1	962.47	1035	694	986	1114	870
ENSG00000006015.17|REX1BD	248	282	179	318	330	230
ENSG00000006016.11|CRLF1	74.91	67.35	97.25	67.83	67.38	52.37
ENSG00000006025.12|AC003665.1	380	415	506	541	393	362
ENSG00000006047.13|YBX2	33	30	33	33	17	16
ENSG00000006062.16|MAP3K14	129.26	95.08	111.68	119.13	163	135.95
ENSG00000006071.13|ABCC8	40	51	53	53	34	25
ENSG00000006118.14|TMEM132A	830.95	844	631	977	801.9	617
ENSG00000006125.18|AP2B1	6640	5850	7989	6874	7046	5225
ENSG00000006194.10|ZNF263	723.18	626.77	983.07	815.86	948.65	589.02
ENSG00000006210.7|CX3CL1	1392	1382	934	1458	1557	1129
ENSG00000006282.21|SPATA20	752	833	718	1228	903	896
ENSG00000006283.18|CACNA1G	48.05	15	34	32	82	25
ENSG00000006327.13|TNFRSF12A	1139	1019	764	1140	1136	779
ENSG00000006451.8|RALA	1493	1295	1668	1360	1621	1137
ENSG00000006453.14|BAIAP2L1	95.53	96.55	153.9	169.78	141.33	130.66
ENSG00000006459.11|KDM7A	119	75	215	118	149	82
ENSG00000006468.14|ETV1	5542	4612	3202	4570	5708	3970
ENSG00000006530.17|AGK	1645.37	1560.97	1145.05	1494.26	1693.77	1208.71
ENSG00000006534.16|ALDH3B1	280	367	358	530	290	370
ENSG00000006576.16|PHTF2	2716	2261	1819	2321	2912	2011
ENSG00000006607.14|FARP2	1839.48	1842.38	1391.4	1982.14	1883.92	1509.11
ENSG00000006625.18|GGCT	1248	1125	792.44	1054	1375.29	938.6
ENSG00000006634.8|DBF4	1276.77	603.89	648.43	727.04	1350.73	705.21
ENSG00000006638.11|TBXA2R	72	65	96	97	73	49
ENSG00000006652.14|IFRD1	1624	1118	1491	1296	1644	1001
ENSG00000006695.11|COX10	319.91	361.92	395.54	439.82	396.82	294.81
ENSG00000006704.10|GTF2IRD1	751	570	928	809	843	559
ENSG00000006712.15|PAF1	2049	1779	1385	1933	2277	1422
ENSG00000006715.16|VPS41	1192	1025	1193	1082	1165	897
ENSG00000006744.19|ELAC2	1726	1723	1193	1946	1896	1453
ENSG00000006756.16|ARSD	444	542.49	364	657.75	508.05	537.78
ENSG00000006831.10|ADIPOR2	1900	1519	1552	1646	1930	1438
ENSG00000006837.12|CDKL3	49.34	67.47	43.71	70.61	41.52	47.28
ENSG00000007047.15|MARK4	498	532	624	585	504	403
ENSG00000007062.11|PROM1	29	33	127	77	31	47
ENSG00000007080.11|CCDC124	1069	858	662	1098	1281	778
ENSG00000007168.13|PAFAH1B1	4347	4168	3800.63	4335	4554	3496
ENSG00000007171.17|NOS2	8931	4951	3242	5731	10144	4998
ENSG00000007174.18|DNAH9	99	120	63	93	78	74
ENSG00000007202.15|KIAA0100	4882.7	4409.3	3747.37	5056.69	5013.85	3741.59
ENSG00000007237.18|GAS7	8676	8619	4923	8977	8859	6802
ENSG00000007255.10|TRAPPC6A	31	31	23	63	39	50
ENSG00000007314.12|SCN4A	25	9	7	10	20	9
ENSG00000007341.19|ST7L	619.96	606.96	475.65	603.76	659.45	472.32
ENSG00000007372.22|PAX6	141.65	93.86	86.48	93.42	157.47	92.76
ENSG00000007376.8|RPUSD1	254	183	106	301	319	208
ENSG00000007384.15|RHBDF1	342	309	1132	545	356	271
ENSG00000007392.16|LUC7L	1235	1200	1531	1547	1247	1052
ENSG00000007402.11|CACNA2D2	22	18	28	33	27	16
ENSG00000007516.13|BAIAP3	6	15.01	27.02	14.01	11	4
ENSG00000007520.4|TSR3	160	150.99	165.98	191.99	211	129
ENSG00000007541.16|PIGQ	443	469.88	302.14	731.25	653	505.13
ENSG00000007545.15|CRAMP1	845.64	848.81	895.33	1095.61	874.21	735.46
ENSG00000007866.21|TEAD3	617	570	957	803	638	578
ENSG00000007923.16|DNAJC11	1946.31	1824.48	1438.75	1990.98	2169.34	1698.92
ENSG00000007944.15|MYLIP	160	123	158	111	127	76
ENSG00000007968.7|E2F2	253	168	116	201	322	199
ENSG00000008018.9|PSMB1	1862	1463	1696	1747	2094	1390
ENSG00000008056.14|SYN1	66	80	47.14	87	60	56
ENSG00000008083.14|JARID2	540	457	988	631	624	465
ENSG00000008086.11|CDKL5	16	18	53	40	27	28
ENSG00000008118.10|CAMK1G	43	25	10	16	25	15
ENSG00000008128.23|CDK11A	969.59	938.53	798.05	1014.31	1077.67	764.98
ENSG00000008130.15|NADK	1371	1382	1136	1720	1769	1315
ENSG00000008196.13|TFAP2B	11	10	0	7	13	8
ENSG00000008226.19|DLEC1	2	10.09	9.27	13.89	16.96	11.7
ENSG00000008256.16|CYTH3	644	544	1190	778	642	547
ENSG00000008277.14|ADAM22	1666	1304	792	1047	1742	1010
ENSG00000008282.8|SYPL1	2797	3092	3724	3482	3076	2590
ENSG00000008283.16|CYB561	966	998	898	1307	1090	920
ENSG00000008294.21|SPAG9	3607	3342	4777	4038	3847	2939
ENSG00000008300.17|CELSR3	458	641	325	682	396	477
ENSG00000008311.15|AASS	2447	2358	2284	2455	2586	2023
ENSG00000008324.11|SS18L2	188	199	219	215	194	164
ENSG00000008382.15|MPND	298.67	239.16	178	315.02	344.89	261.15
ENSG00000008405.12|CRY1	457	419	337	447	487	346
ENSG00000008441.16|NFIX	3854	3249	4103	4625	4717	3468
ENSG00000008513.16|ST3GAL1	1090	927	1930	1110	1195	769
ENSG00000008710.19|PKD1	1844.54	1859.54	4613.73	3660.48	2097.99	1647.94
ENSG00000008735.14|MAPK8IP2	185	251	136	269	217	179
ENSG00000008838.20|MED24	1837	1771	1538	2117	2018	1555
ENSG00000008853.16|RHOBTB2	648.09	613.64	366.57	668.17	665.73	503.05
ENSG00000008869.12|HEATR5B	700	712	758	740	731	549
ENSG00000008952.17|SEC62	3284	3039	3386	3347	3241	2554
ENSG00000008988.9|RPS20	3357	2872	4415.32	3674	3945	2886
ENSG00000009307.16|CSDE1	12120	10775	15258	11983	13562	9606
ENSG00000009335.18|UBE3C	2892	2592	2667	2945	3167	2436
ENSG00000009413.15|REV3L	2836.53	2483.58	2250.18	2448.56	3124.07	2154.73
ENSG00000009694.13|TENM1	1755	950	1389	1004	1657.92	756
ENSG00000009724.16|MASP2	59	39	33	51	55	31
ENSG00000009780.15|FAM76A	139	180	161	143	130	171
ENSG00000009830.11|POMT2	929	880	803	961	1080	804
