Ola_827_R1B1	LMP.Olap_827_R1B1	Ola_827_R2B1	LMP.Olap_827_R2B1	Ola_827_R3B2	LMP.Olap_827_R3B2
ENSG00000000003.14|TSPAN6	577	655	583	664	626	584
ENSG00000000419.12|DPM1	729	749	705	752	652	593
ENSG00000000457.14|SCYL3	192.24	210.53	173.91	214.42	184.05	178.45
ENSG00000000460.17|C1orf112	570.76	483.47	377.09	452.58	486.95	422.55
ENSG00000001036.13|FUCA2	1569.71	1797.18	1512.94	1984.63	1594.64	1577.97
ENSG00000001084.12|GCLC	361	408	250	378	355	345
ENSG00000001167.14|NFYA	995	940	982	1046	886	803
ENSG00000001460.18|STPG1	111	166.04	93	185	125.02	166
ENSG00000001461.17|NIPAL3	888	1402.96	651	1295	791.98	965
ENSG00000001497.16|LAS1L	1036	1055	893	1217	1059	970
ENSG00000001629.10|ANKIB1	2165.85	2027	1969	2335.99	1941.81	1672.84
ENSG00000001630.17|CYP51A1	6769.99	5381	5034.99	5496.95	5751	5203.99
ENSG00000001631.15|KRIT1	1093.83	972.31	912.23	1000.15	1025.14	967.89
ENSG00000002016.17|RAD52	294	377.14	332.14	455.51	334.06	344.13
ENSG00000002330.13|BAD	244.95	270.91	315.93	408.05	281.6	261.11
ENSG00000002549.12|LAP3	756	743	604	819	692	695
ENSG00000002586.20|CD99	963	969	1992	1760.5	1235.5	1119
ENSG00000002586.20|PAR|Y|CD99	963	969	1992	1760.5	1235.5	1119
ENSG00000002587.10|HS3ST1	124	178	105	178	94	139
ENSG00000002746.15|HECW1	131	170	130.95	177.94	163.84	152
ENSG00000002822.15|MAD1L1	396.25	360.25	328.81	494.66	490.21	312.37
ENSG00000002834.18|LASP1	2364.09	2328.22	2256.32	2685.72	2292.22	2122.94
ENSG00000002919.14|SNX11	268	339	256	361	269	276
ENSG00000003056.8|M6PR	1975.71	1978.37	1798.28	2109.48	1916.47	1660.27
ENSG00000003096.14|KLHL13	674	493	554	540	592	454
ENSG00000003137.8|CYP26B1	17	32	21	45	18	24
ENSG00000003147.19|ICA1	188	219	147	181	178	163
ENSG00000003249.13|DBNDD1	1001	1136	714	1254	950	918
ENSG00000003393.15|ALS2	1025	1009	842	1090	966	826
ENSG00000003402.20|CFLAR	1122.2	1635.92	1054	1706.42	1296.04	1433.34
ENSG00000003436.16|TFPI	68	67	71	86	87	77
ENSG00000003509.16|NDUFAF7	269.24	227.32	186	255	204.7	207.14
ENSG00000003756.16|RBM5	2772.31	2901.21	2911.11	3431.4	2686.78	2474.59
ENSG00000003987.14|MTMR7	21.99	26.34	16.69	28.85	9.07	15.76
ENSG00000004059.11|ARF5	1430.68	1541.67	1531.74	2111.79	1582.71	1475.71
ENSG00000004139.14|SARM1	1169.54	1386.76	1036.66	1666.49	1250.82	1181.82
ENSG00000004142.12|POLDIP2	2075.33	2197.33	1777.39	2678.05	2058.91	1990.21
ENSG00000004399.12|PLXND1	1752	1613	1753	2305	1960	1527
ENSG00000004455.16|AK2	1405	1404	1458	1653	1469	1278.77
ENSG00000004478.8|FKBP4	2611	2809	1863	2708	2264	2320
ENSG00000004487.16|KDM1A	1875	1687	1427	1888	1608	1514
ENSG00000004534.15|RBM6	2227	2042	2300.63	2352	2217	1834
ENSG00000004660.14|CAMKK1	81	89	105	132	102	99
ENSG00000004700.16|RECQL	1870.05	1786.36	1543.78	1897.2	1694.42	1525.01
ENSG00000004766.17|VPS50	709	582	522	603	587	531
ENSG00000004776.13|HSPB6	156.24	206.4	119.87	260.08	179.96	185.88
ENSG00000004777.18|ARHGAP33	406.72	302.99	388.61	498.34	562.02	345.75
ENSG00000004779.10|NDUFAB1	603	656	669	763	638	566
ENSG00000004838.14|ZMYND10	111	119	126	182	119	104
ENSG00000004864.13|SLC25A13	1211	1122	918	1148	1189	985
ENSG00000004866.20|ST7	707.28	578.78	671.35	634.35	622.88	527.65
ENSG00000004897.12|CDC27	2269	1850.99	1872	2101	2088	1650.94
ENSG00000004961.15|HCCS	460	440	382	514	409	377
ENSG00000004975.12|DVL2	1212	1211	1310	1722	1369	1175
ENSG00000005007.12|UPF1	2473	2318	1899	2669	2339	2103
ENSG00000005020.13|SKAP2	1609	1614	1389	1663	1480	1279
ENSG00000005022.6|SLC25A5	3428.95	3093.88	3137.92	3741.91	3490.82	2911.88
ENSG00000005059.16|MCUB	496	386	765	652	627	444
ENSG00000005073.5|HOXA11	21.7	40	27	28	20	20
ENSG00000005075.15|POLR2J	972.88	903.25	844.1	1092.43	1002.26	903.71
ENSG00000005100.13|DHX33	1139	1157	895	1186	1044	947
ENSG00000005156.11|LIG3	603.51	551.52	511.47	543.22	606.5	494.66
ENSG00000005175.10|RPAP3	1086	1137	742	1119	906	885
ENSG00000005189.19|REXO5	159	106	136	144	194	138
ENSG00000005194.15|CIAPIN1	1144	1290	1002	1428	1221	1144
ENSG00000005206.17|SPPL2B	1373	1477.11	1538	2238	1767	1566
ENSG00000005238.19|FAM214B	423	511	418	630	411	431
ENSG00000005243.10|COPZ2	145	141	119	163	133	168
ENSG00000005249.13|PRKAR2B	174	154	196	198	200	151
ENSG00000005302.18|MSL3	627	591	592	683	560	498
ENSG00000005339.14|CREBBP	1567	1593	1418	1795	1828	1427
ENSG00000005379.17|TSPOAP1	163	198	169	230	186	170
ENSG00000005436.13|GCFC2	429.62	464	416	570	479.89	437
ENSG00000005448.16|WDR54	312	333	402	505	363	354
ENSG00000005469.11|CROT	835	1195	658	1087	685	873
ENSG00000005483.20|KMT2E	1581	1438	1976	1854.84	1807	1463.81
ENSG00000005486.17|RHBDD2	2033	2207	1830	2891	2402	2131
ENSG00000005513.10|SOX8	348	273	240	280	412	318
ENSG00000005700.15|IBTK	1665	1546	1548	1787	1562	1385
ENSG00000005801.18|ZNF195	368	478	236	463	334	315
ENSG00000005810.18|MYCBP2	537.41	485.43	424.53	475	436.43	398
ENSG00000005812.11|FBXL3	337.66	286.99	350.58	391.96	329.57	371
ENSG00000005882.11|PDK2	437.9	542.14	404.57	598.58	480.21	438.92
ENSG00000005884.18|ITGA3	4444	4086	5197	5923.22	5445	4098
ENSG00000005889.15|ZFX	618	645	578	671	645	535
ENSG00000005893.15|LAMP2	1854	1955	2202	2465	2014	1811
ENSG00000005961.18|ITGA2B	5	5	18	12	7	17
ENSG00000006007.12|GDE1	970	1035	714	986	917.9	870
ENSG00000006015.17|REX1BD	215	282	217	318	235	230
ENSG00000006016.11|CRLF1	62.9	67.35	62.11	67.83	55.23	52.37
ENSG00000006025.12|AC003665.1	359	415	392	541	346	362
ENSG00000006047.13|YBX2	31	30	30	33	27	16
ENSG00000006062.16|MAP3K14	129	95.08	111	119.13	135.44	135.95
ENSG00000006071.13|ABCC8	46	51	33	53	43	25
ENSG00000006118.14|TMEM132A	711.81	844	692	977	754	617
ENSG00000006125.18|AP2B1	6007	5850	6395	6874	5859	5225
ENSG00000006194.10|ZNF263	672.32	626.77	737.66	815.86	615.8	589.02
ENSG00000006210.7|CX3CL1	1274	1382	962	1458	1255	1129
ENSG00000006282.21|SPATA20	648	833	665	1228	915	896
ENSG00000006283.18|CACNA1G	51	15	43.03	32	65	25
ENSG00000006327.13|TNFRSF12A	988	1019	737	1140	899	779
ENSG00000006451.8|RALA	1276	1295	1245	1360	1187	1137
ENSG00000006453.14|BAIAP2L1	82.7	96.55	123.85	169.78	127.98	130.66
ENSG00000006459.11|KDM7A	90	75	139	118	117	82
ENSG00000006468.14|ETV1	5135	4612	3676	4570	4390	3970
ENSG00000006530.17|AGK	1476.58	1560.97	1187.52	1494.26	1306.94	1208.71
ENSG00000006534.16|ALDH3B1	249	367	257	530	298	370
ENSG00000006576.16|PHTF2	2438	2261	2048	2321	2338	2011
ENSG00000006607.14|FARP2	1716.2	1842.38	1455.42	1982.14	1531.42	1509.11
ENSG00000006625.18|GGCT	1243	1125	811	1054	945.61	938.6
ENSG00000006634.8|DBF4	1109.27	603.89	783.55	727.04	937.86	705.21
ENSG00000006638.11|TBXA2R	59	65	84	97	71	49
ENSG00000006652.14|IFRD1	1349	1118	1206	1296	1295	1001
ENSG00000006695.11|COX10	300	361.92	370.91	439.82	281	294.81
ENSG00000006704.10|GTF2IRD1	658	570	753	809	726	559
ENSG00000006712.15|PAF1	1652	1779	1372	1933	1676	1422
ENSG00000006715.16|VPS41	1101	1025	976	1082	927	897
ENSG00000006744.19|ELAC2	1538	1723	1208	1946	1469	1453
ENSG00000006756.16|ARSD	463.81	542.49	394.74	657.75	471.73	537.78
ENSG00000006831.10|ADIPOR2	1650	1519	1475	1646	1612	1438
ENSG00000006837.12|CDKL3	44	67.47	50.24	70.61	24.96	47.28
ENSG00000007047.15|MARK4	452	532	460	585	456	403
ENSG00000007062.11|PROM1	14	33	72	77	27	47
ENSG00000007080.11|CCDC124	821	858	683	1098	892	778
ENSG00000007168.13|PAFAH1B1	3873	4168	3566.3	4335	3798.63	3496
ENSG00000007171.17|NOS2	6688	4951	4619	5731	6720	4998
ENSG00000007174.18|DNAH9	53	120	60	93	69	74
ENSG00000007202.15|KIAA0100	4437.82	4409.3	3667.26	5056.69	4166.87	3741.59
ENSG00000007237.18|GAS7	7807	8619	5508	8977	7263	6802
ENSG00000007255.10|TRAPPC6A	38	31	37	63	33	50
ENSG00000007314.12|SCN4A	20	9	14	10	18	9
ENSG00000007341.19|ST7L	537.86	606.96	471.6	603.76	569.82	472.32
ENSG00000007372.22|PAX6	103.57	93.86	93.48	93.42	107.57	92.76
ENSG00000007376.8|RPUSD1	178	183	173	301	276	208
ENSG00000007384.15|RHBDF1	272	309	575	545	310	271
ENSG00000007392.16|LUC7L	1039	1200	1131	1547	994	1052
ENSG00000007402.11|CACNA2D2	15	18	13	33	14.24	16
ENSG00000007516.13|BAIAP3	3	15.01	15.01	14.01	14	4
ENSG00000007520.4|TSR3	135	150.99	147.99	191.99	200	129
ENSG00000007541.16|PIGQ	419.96	469.88	427.73	731.25	609.17	505.13
ENSG00000007545.15|CRAMP1	812.02	848.81	687.47	1095.61	819.09	735.46
ENSG00000007866.21|TEAD3	529	570	616	803	637	578
ENSG00000007923.16|DNAJC11	1662.45	1824.48	1393.71	1990.98	1698.74	1698.92
ENSG00000007944.15|MYLIP	143	123	150	111	80	76
ENSG00000007968.7|E2F2	215	168	153	201	235	199
ENSG00000008018.9|PSMB1	1650	1463	1540	1747	1547	1390
ENSG00000008056.14|SYN1	60	80	57	87	75.45	56
ENSG00000008083.14|JARID2	448	457	668	631	464	465
ENSG00000008086.11|CDKL5	8	18	34	40	24	28
ENSG00000008118.10|CAMK1G	48	25	22	16	20	15
ENSG00000008128.23|CDK11A	791.56	938.53	774.96	1014.31	911.04	764.98
ENSG00000008130.15|NADK	1222	1382	1051	1720	1388	1315
ENSG00000008226.19|DLEC1	6.45	10.09	5.96	13.89	10.81	11.7
ENSG00000008256.16|CYTH3	504	544	618	778	588	547
ENSG00000008277.14|ADAM22	1580	1304	1098	1047	1423	1010
ENSG00000008282.8|SYPL1	2685	3092	2931	3482	2611	2590
ENSG00000008283.16|CYB561	884	998	808	1307	896	920
ENSG00000008294.21|SPAG9	3366	3342	3548	4038	3211	2939
ENSG00000008300.17|CELSR3	394	641	345	682	354	477
ENSG00000008311.15|AASS	2342	2358	1978	2455	2023	2023
ENSG00000008324.11|SS18L2	201	199	159	215	173	164
ENSG00000008382.15|MPND	244	239.16	188.9	315.02	279.94	261.15
ENSG00000008405.12|CRY1	460	419	333	447	373	346
ENSG00000008441.16|NFIX	3321	3249	3664	4625	3976	3468
ENSG00000008513.16|ST3GAL1	928	927	1232	1110	985	769
