Ctrl_827_R1B1	LMP_827_R1B1	Ctrl_827_R2B1	LMP_827_R2B1	Ctrl_827_R3B2	LMP_827_R3B2
ENSG00000000003.14|TSPAN6	584	557	609	628	660	736
ENSG00000000419.12|DPM1	802	587	907	800	946	884
ENSG00000000457.14|SCYL3	223.8	142.17	163.18	165.39	229.9	204.57
ENSG00000000460.17|C1orf112	604.2	433.83	362.82	416.61	696.1	669.43
ENSG00000001036.13|FUCA2	1882.82	1560.8	1509.52	1928.43	2120.35	2084.1
ENSG00000001084.12|GCLC	397	326	268	290	484	481
ENSG00000001167.14|NFYA	1064	811	1358	1196	1232	1154
ENSG00000001460.18|STPG1	141	123	116	125	140.02	170.02
ENSG00000001461.17|NIPAL3	952	914	561	844	884.98	1116.98
ENSG00000001497.16|LAS1L	1239	949	985	1124	1406	1367
ENSG00000001629.10|ANKIB1	2390	1794	2456.83	2062	2447	2234.98
ENSG00000001630.17|CYP51A1	7217.98	5237	4728	5735.33	7615.99	7122.98
ENSG00000001631.15|KRIT1	1132.15	926.14	1027.03	1052.58	1216.87	1174.56
ENSG00000002016.17|RAD52	337.94	304.22	509.59	408	412.25	428.27
ENSG00000002330.13|BAD	258.34	219.64	251.76	237.32	330.58	423.91
ENSG00000002549.12|LAP3	855	699	468	695	934	933
ENSG00000002586.20|CD99	1188	906	3444.5	2090.5	1467	1381.5
ENSG00000002586.20|PAR|Y|CD99	1188	906	3444.5	2090.5	1467	1381.5
ENSG00000002587.10|HS3ST1	142	146	69	137	145	185
ENSG00000002746.15|HECW1	168	156	85	142	210	209.92
ENSG00000002822.15|MAD1L1	549.2	332.59	268.52	296.42	662.29	527.72
ENSG00000002834.18|LASP1	2533.39	2257.38	2791.21	2854	2776.6	2901.68
ENSG00000002919.14|SNX11	277	266	310	295	324	356
ENSG00000003056.8|M6PR	2268.25	1751.83	2075.62	1970.38	2495.26	2250.65
ENSG00000003096.14|KLHL13	721	486	627	470	666	584
ENSG00000003137.8|CYP26B1	22	25	15	19	25	39
ENSG00000003147.19|ICA1	200	176	143	203	185	232
ENSG00000003249.13|DBNDD1	1079	946	470	651	1047	1254
ENSG00000003393.15|ALS2	1197	908	1030	1137	1223	1175
ENSG00000003402.20|CFLAR	1290.99	1213	1163.88	1304.68	1470	1727.27
ENSG00000003436.16|TFPI	58	59	109	96	84	74
ENSG00000003509.16|NDUFAF7	266.26	191.27	279.71	244.34	263.02	283.37
ENSG00000003756.16|RBM5	2908.47	2488.72	4499.81	3547.36	3073.78	3312.11
ENSG00000003987.14|MTMR7	24.5	10.5	35.36	21.37	16.66	12.96
ENSG00000004059.11|ARF5	1709	1547.44	1892	1847.34	2023.45	2048.99
ENSG00000004139.14|SARM1	1342.1	1273.18	982.52	1115.92	1444.22	1645.16
ENSG00000004142.12|POLDIP2	2253.4	1896.03	2197.65	2207.48	2480.51	2555.53
ENSG00000004399.12|PLXND1	2056	1678	1667	1697	2238	2147
ENSG00000004455.16|AK2	1690.66	1246.83	1911	1719	1815	1698.69
ENSG00000004478.8|FKBP4	3040	2518	1597	2367	3020	3149
ENSG00000004487.16|KDM1A	2013	1624	1531	1832	2301	1995
ENSG00000004534.15|RBM6	2612	1811	3024.36	2726.47	2946	2652
ENSG00000004660.14|CAMKK1	90	95	194	157	120	160
ENSG00000004700.16|RECQL	2070.54	1594.71	1663.69	1747.76	2174.81	2179.29
ENSG00000004766.17|VPS50	706	523	551	586	685	674
ENSG00000004776.13|HSPB6	164.72	155.48	138.45	202.24	266.99	257.23
ENSG00000004777.18|ARHGAP33	513.07	404.48	409.88	342.69	642.29	553.24
ENSG00000004779.10|NDUFAB1	672	580	834	690	790	804
ENSG00000004838.14|ZMYND10	106	77	179	149	146	153
ENSG00000004864.13|SLC25A13	1416	1044	790	940	1491	1369
ENSG00000004866.20|ST7	730.26	540.1	952.68	830.31	793.58	661.88
ENSG00000004897.12|CDC27	2621.97	1895	1928	2077.97	2627	2485.91
ENSG00000004961.15|HCCS	513	387	387	357	483	545
ENSG00000004975.12|DVL2	1484	1257	1469	1626	1655	1663
ENSG00000005007.12|UPF1	2773	2419	1724	1959	2974	3096
ENSG00000005020.13|SKAP2	1780	1332	1450	1585	1776	1705
ENSG00000005022.6|SLC25A5	3837.91	2853.92	3590.93	3653.93	4316.84	4343.89
ENSG00000005059.16|MCUB	638	382	1423	870	683	643
ENSG00000005073.5|HOXA11	35.36	19.77	29	31	27	45
ENSG00000005075.15|POLR2J	1124.53	915.85	1139.04	1025.6	1334.09	1157.04
ENSG00000005100.13|DHX33	1280	1013	844	951	1257	1188
ENSG00000005156.11|LIG3	632.94	500.71	592.6	587.73	739.64	684.11
ENSG00000005175.10|RPAP3	1223	895	737	903	1203	1228
ENSG00000005189.19|REXO5	147	111	130.62	137.84	267.79	179
ENSG00000005194.15|CIAPIN1	1198	1126	1001	1058	1376	1550
ENSG00000005206.17|SPPL2B	1486	1467	1531	1468	1888.79	2107
ENSG00000005238.19|FAM214B	431	408	584	505	445	555
ENSG00000005243.10|COPZ2	160	124	162	160	179	213
ENSG00000005249.13|PRKAR2B	242	157	161	159	228	233
ENSG00000005302.18|MSL3	583	537	598	611	626	766
ENSG00000005339.14|CREBBP	1932	1505	1371	1459	2205	2052
ENSG00000005379.17|TSPOAP1	188	177	146	173	184	213
ENSG00000005436.13|GCFC2	512.93	368.54	356.94	429	631	631
ENSG00000005448.16|WDR54	386	340	516	551	453	536
ENSG00000005469.11|CROT	836	843	513	658	874	1010
ENSG00000005483.20|KMT2E	1870	1381.95	2755.46	2142.9	2224	2124.78
ENSG00000005486.17|RHBDD2	2375	2339	1643	2037	2834	3500
ENSG00000005513.10|SOX8	397	377	193	290	576	556
ENSG00000005700.15|IBTK	1776	1345	1879	1834	1841	1855
ENSG00000005801.18|ZNF195	335	318	219	280	363	371
ENSG00000005810.18|MYCBP2	604.35	452	461.95	452.51	561.82	504.97
ENSG00000005812.11|FBXL3	398.92	306.5	553.06	459.36	500.11	451.01
ENSG00000005882.11|PDK2	544.55	450.04	385.05	443.63	547.79	630.62
ENSG00000005884.18|ITGA3	5002	3457	7390	4319	6007	5051
ENSG00000005889.15|ZFX	724	565	635	636	790	743
ENSG00000005893.15|LAMP2	1922	1654	3696	2745	2370	2341
ENSG00000005961.18|ITGA2B	6	4	16	19	4	12
ENSG00000006007.12|GDE1	962.47	817	694	861	1114	1082
ENSG00000006015.17|REX1BD	248	215	179	205	330	336
ENSG00000006016.11|CRLF1	74.91	52.89	97.25	71.46	67.38	82.45
ENSG00000006025.12|AC003665.1	380	405	506	451	393	494
ENSG00000006047.13|YBX2	33	18	33	16	17	16
ENSG00000006062.16|MAP3K14	129.26	112.54	111.68	64.24	163	158.88
ENSG00000006071.13|ABCC8	40	41	53	34	34	32
ENSG00000006118.14|TMEM132A	830.95	864.97	631	687	801.9	986.74
ENSG00000006125.18|AP2B1	6640	5359	7989	7147	7046	6800
ENSG00000006194.10|ZNF263	723.18	577.01	983.07	728.63	948.65	734.12
ENSG00000006210.7|CX3CL1	1392	1156	934	949	1557	1423
ENSG00000006282.21|SPATA20	752	859	718	886	903	1230
ENSG00000006283.18|CACNA1G	48.05	32	34	33	82	45
ENSG00000006327.13|TNFRSF12A	1139	971	764	868	1136	1275
ENSG00000006451.8|RALA	1493	1084	1668	1403	1621	1549
ENSG00000006453.14|BAIAP2L1	95.53	84.95	153.9	128.78	141.33	159.52
ENSG00000006459.11|KDM7A	119	110	215	127	149	152
ENSG00000006468.14|ETV1	5542	4380	3202	4336	5708	5498
ENSG00000006530.17|AGK	1645.37	1237.28	1145.05	1247.46	1693.77	1585.45
ENSG00000006534.16|ALDH3B1	280	316	358	284	290	461
ENSG00000006576.16|PHTF2	2716	2012	1819	1960	2912	2597
ENSG00000006607.14|FARP2	1839.48	1625.91	1391.4	1565.97	1883.92	2069.67
ENSG00000006625.18|GGCT	1248	970	792.44	972	1375.29	1246.45
ENSG00000006634.8|DBF4	1276.77	769.19	648.43	751.13	1350.73	1147.35
ENSG00000006638.11|TBXA2R	72	70	96	97	73	102
ENSG00000006652.14|IFRD1	1624	1068	1491	1317	1644	1357
ENSG00000006695.11|COX10	319.91	292.87	395.54	348.95	396.82	351.88
ENSG00000006704.10|GTF2IRD1	751	524	928	795	843	826
ENSG00000006712.15|PAF1	2049	1554	1385	1595	2277	2232
ENSG00000006715.16|VPS41	1192	1032	1193	1051	1165	1171
ENSG00000006744.19|ELAC2	1726	1555	1193	1517	1896	1910
ENSG00000006756.16|ARSD	444	497	364	452.19	508.05	642
ENSG00000006831.10|ADIPOR2	1900	1511	1552	1593	1930	1817
ENSG00000006837.12|CDKL3	49.34	30.68	43.71	51.54	41.52	61.08
ENSG00000007047.15|MARK4	498	386	624	628	504	588
ENSG00000007062.11|PROM1	29	31	127	85	31	25
ENSG00000007080.11|CCDC124	1069	939	662	755	1281	1372
ENSG00000007168.13|PAFAH1B1	4347	3542	3800.63	3858.47	4554	4602.33
ENSG00000007171.17|NOS2	8931	6695	3242	5442	10144	8482
ENSG00000007174.18|DNAH9	99	59	63	69	78	124
ENSG00000007202.15|KIAA0100	4882.7	3967.66	3747.37	4326.92	5013.85	5234.1
ENSG00000007237.18|GAS7	8676	6797	4923	6084	8859	8422
ENSG00000007255.10|TRAPPC6A	31	38	23	30	39	45
ENSG00000007314.12|SCN4A	25	7	7	7	20	28
ENSG00000007341.19|ST7L	619.96	423.41	475.65	484.4	659.45	585.06
ENSG00000007372.22|PAX6	141.65	87.98	86.48	111.24	157.47	104.91
ENSG00000007376.8|RPUSD1	254	252	106	132	319	323
ENSG00000007384.15|RHBDF1	342	338	1132	843	356	392
ENSG00000007392.16|LUC7L	1235	1091	1531	1484	1247	1483
ENSG00000007402.11|CACNA2D2	22	16	28	23	27	24
