Ctrl_827_R1B1	Ola_827_R1B1	Ctrl_827_R2B1	Ola_827_R2B1	Ctrl_827_R3B2	Ola_827_R3B2
ENSG00000000003.14|TSPAN6	584	577	609	583	660	626
ENSG00000000419.12|DPM1	802	729	907	705	946	652
ENSG00000000457.14|SCYL3	223.8	192.24	163.18	173.91	229.9	184.05
ENSG00000000460.17|C1orf112	604.2	570.76	362.82	377.09	696.1	486.95
ENSG00000001036.13|FUCA2	1882.82	1569.71	1509.52	1512.94	2120.35	1594.64
ENSG00000001084.12|GCLC	397	361	268	250	484	355
ENSG00000001167.14|NFYA	1064	995	1358	982	1232	886
ENSG00000001460.18|STPG1	141	111	116	93	140.02	125.02
ENSG00000001461.17|NIPAL3	952	888	561	651	884.98	791.98
ENSG00000001497.16|LAS1L	1239	1036	985	893	1406	1059
ENSG00000001629.10|ANKIB1	2390	2165.85	2456.83	1969	2447	1941.81
ENSG00000001630.17|CYP51A1	7217.98	6769.99	4728	5034.99	7615.99	5751
ENSG00000001631.15|KRIT1	1132.15	1093.83	1027.03	912.23	1216.87	1025.14
ENSG00000002016.17|RAD52	337.94	294	509.59	332.14	412.25	334.06
ENSG00000002330.13|BAD	258.34	244.95	251.76	315.93	330.58	281.6
ENSG00000002549.12|LAP3	855	756	468	604	934	692
ENSG00000002586.20|CD99	1188	963	3444.5	1992	1467	1235.5
ENSG00000002586.20|PAR|Y|CD99	1188	963	3444.5	1992	1467	1235.5
ENSG00000002587.10|HS3ST1	142	124	69	105	145	94
ENSG00000002746.15|HECW1	168	131	85	130.95	210	163.84
ENSG00000002822.15|MAD1L1	549.2	396.25	268.52	328.81	662.29	490.21
ENSG00000002834.18|LASP1	2533.39	2364.09	2791.21	2256.32	2776.6	2292.22
ENSG00000002919.14|SNX11	277	268	310	256	324	269
ENSG00000003056.8|M6PR	2268.25	1975.71	2075.62	1798.28	2495.26	1916.47
ENSG00000003096.14|KLHL13	721	674	627	554	666	592
