Ctrl_827_R1B1	LMP_827_R1B1	Ola_827_R1B1	LMP.Olap_827_R1B1	Ctrl_827_R2B1	LMP_827_R2B1	Ola_827_R2B1	LMP.Olap_827_R2B1	Ctrl_827_R3B2	LMP_827_R3B2	Ola_827_R3B2	LMP.Olap_827_R3B2
ENSG00000000003.14|TSPAN6	584	557	577	655	609	628	583	664	660	736	626	584
ENSG00000000419.12|DPM1	802	587	729	749	907	800	705	752	946	884	652	593
ENSG00000000457.14|SCYL3	223.8	142.17	192.24	210.53	163.18	165.39	173.91	214.42	229.9	204.57	184.05	178.45
ENSG00000000460.17|C1orf112	604.2	433.83	570.76	483.47	362.82	416.61	377.09	452.58	696.1	669.43	486.95	422.55
ENSG00000001036.13|FUCA2	1882.82	1560.8	1569.71	1797.18	1509.52	1928.43	1512.94	1984.63	2120.35	2084.1	1594.64	1577.97
ENSG00000001084.12|GCLC	397	326	361	408	268	290	250	378	484	481	355	345
ENSG00000001167.14|NFYA	1064	811	995	940	1358	1196	982	1046	1232	1154	886	803
ENSG00000001460.18|STPG1	141	123	111	166.04	116	125	93	185	140.02	170.02	125.02	166
ENSG00000001461.17|NIPAL3	952	914	888	1402.96	561	844	651	1295	884.98	1116.98	791.98	965
ENSG00000001497.16|LAS1L	1239	949	1036	1055	985	1124	893	1217	1406	1367	1059	970
ENSG00000001629.10|ANKIB1	2390	1794	2165.85	2027	2456.83	2062	1969	2335.99	2447	2234.98	1941.81	1672.84
ENSG00000001630.17|CYP51A1	7217.98	5237	6769.99	5381	4728	5735.33	5034.99	5496.95	7615.99	7122.98	5751	5203.99
ENSG00000001631.15|KRIT1	1132.15	926.14	1093.83	972.31	1027.03	1052.58	912.23	1000.15	1216.87	1174.56	1025.14	967.89
ENSG00000002016.17|RAD52	337.94	304.22	294	377.14	509.59	408	332.14	455.51	412.25	428.27	334.06	344.13
