LMP_923_R2B1	LMP.Olap_923_R2B1	LMP_923_R3B1	LMP.Olap_923_R3B1	LMP_923_R1B2	LMP.Olap_923_R1B2
ENSG00000000003.14|TSPAN6	1045	779	700	825	1169	635
ENSG00000000419.12|DPM1	900	777	638	906	852	777
ENSG00000000457.14|SCYL3	245.56	191.83	180.68	243.94	218.92	190.28
ENSG00000000460.17|C1orf112	544.44	635.17	365.32	740.06	628.08	569.72
ENSG00000001036.13|FUCA2	2066.9	1819.71	1424.64	2222.88	2214.07	1866.85
ENSG00000001084.12|GCLC	486	401	340	529	564	376
ENSG00000001167.14|NFYA	1128	880	677	969	1201	837
ENSG00000001461.17|NIPAL3	382	413.99	246	362	341	311
ENSG00000001497.16|LAS1L	1871	1583	1254	1714	1805	1386
ENSG00000001617.12|SEMA3F	5	14	14	13	9	13
ENSG00000001629.10|ANKIB1	2369	2062	1599.86	2281	2373.83	1886.8
ENSG00000001630.17|CYP51A1	1863.5	1629.98	1389.99	2160.99	2096	1717
ENSG00000001631.15|KRIT1	1485.38	1282.74	995.51	1459.28	1661.21	1254.53
ENSG00000002016.17|RAD52	270.32	217	201	252.27	249.26	216
ENSG00000002330.13|BAD	157.3	195.63	144.84	167.31	160.12	174.46
ENSG00000002549.12|LAP3	1678	1613	1332	1806	1950	1468
ENSG00000002586.20|CD99	456.5	440	326.5	405	437	305.5
ENSG00000002586.20|PAR|Y|CD99	456.5	440	326.5	405	437	305.5
ENSG00000002822.15|MAD1L1	543.85	711.67	483.29	714.49	612.47	652.06
ENSG00000002834.18|LASP1	3961.34	3867.52	3075.92	4049.97	4296.5	3692.16
ENSG00000002919.14|SNX11	391	368	308	393	445	321
ENSG00000003056.8|M6PR	2915.24	2654.57	2024.03	2981.57	2974.37	2551.83
ENSG00000003096.14|KLHL13	519	512	344	488	535	416
ENSG00000003147.19|ICA1	200	203	113	186	179	153
ENSG00000003249.13|DBNDD1	645	533	508	522	575	495
ENSG00000003393.15|ALS2	545	494	331	487	520	389
ENSG00000003402.20|CFLAR	717	749.72	514.27	812	731.68	636
ENSG00000003509.16|NDUFAF7	343	393.52	275.18	415.47	416.2	326.19
ENSG00000003756.16|RBM5	4152.44	4013.9	2862.02	4122.41	4157.44	3339.9
ENSG00000003987.14|MTMR7	20.03	21.59	6.73	24.79	20.09	34.08
ENSG00000003989.17|SLC7A2	147	99	99	117	103	68
ENSG00000004059.11|ARF5	1579.69	1486	1249.52	1336	1655	1257.12
ENSG00000004139.14|SARM1	1452.28	1255.18	1168.61	1421.91	1505.6	1187.47
ENSG00000004142.12|POLDIP2	2212.06	1990.88	1662.05	2127.75	2324.93	1967.28
ENSG00000004399.12|PLXND1	954	1104	770	1056	855	864
ENSG00000004455.16|AK2	2893.53	2730.33	2060.67	3059.84	2945.58	2407.33
ENSG00000004478.8|FKBP4	2757.99	2695	2173	2955	2968.96	2713
ENSG00000004487.16|KDM1A	5388	4555	3791	5085	5500	3956
ENSG00000004534.15|RBM6	3128.45	2445	2024	2640	2988	1989
ENSG00000004660.14|CAMKK1	78	66	58	73	73	36
ENSG00000004700.16|RECQL	1302.72	1270.02	946.09	1399.19	1363.97	1132.54
ENSG00000004766.17|VPS50	813	720	459	786	728	613
ENSG00000004777.18|ARHGAP33	935.12	1043.01	962.73	986.87	1119.88	859.71
ENSG00000004779.10|NDUFAB1	875	840	621	941	947	728
ENSG00000004799.8|PDK4	34	53	19	39	28	34
ENSG00000004838.14|ZMYND10	72	81	86	81	67	81
ENSG00000004848.8|ARX	20	14	12	11	21	9
ENSG00000004864.13|SLC25A13	1755	1570	1350	1871	2020	1512
ENSG00000004866.20|ST7	346.7	324.47	246.74	347.54	433.35	311.77
ENSG00000004897.12|CDC27	2371.99	1809.98	1555	2138	2405	1741.91
ENSG00000004961.15|HCCS	506	480	353	537	525	416
ENSG00000004975.12|DVL2	1559	1600	1266	1631	1673	1439
ENSG00000005007.12|UPF1	2320	2192	1969	2242	2520	2047
ENSG00000005020.13|SKAP2	414	402	245	373	363	323
ENSG00000005022.6|SLC25A5	3847.8	3438.81	2981.79	3981.81	4058.85	3364.79
ENSG00000005059.16|MCUB	879	863	618	906	806	716
ENSG00000005075.15|POLR2J	1108.3	1100.05	809.14	1164.95	1130.62	1018.66
ENSG00000005100.13|DHX33	1958	1943	1495	2148	2021	1893
ENSG00000005108.16|THSD7A	16	14	8	20	9	7
ENSG00000005156.11|LIG3	1526.48	1129.21	1162.55	1312.01	1551.36	1048.31
ENSG00000005175.10|RPAP3	1024	946	717	1152	1158	901
ENSG00000005189.19|REXO5	192	212.88	147.25	261	212	163.98
ENSG00000005194.15|CIAPIN1	1529	1252	1109	1419	1595	1345
ENSG00000005206.17|SPPL2B	1136	1354	1122	1303	1273	1092
ENSG00000005238.19|FAM214B	489	466	418	490	523	425
ENSG00000005243.10|COPZ2	34	27	22	33	21	24
ENSG00000005249.13|PRKAR2B	161	93	102	153	152	89
ENSG00000005302.18|MSL3	649	567	484	650	688	535
ENSG00000005339.14|CREBBP	2021	1649	1634	1965	2062	1763
ENSG00000005379.17|TSPOAP1	138	127	93	91	120	84
ENSG00000005436.13|GCFC2	344.84	304.97	252	350	384	253.84
ENSG00000005448.16|WDR54	886	1077	766	1108	967	895
ENSG00000005469.11|CROT	139	141	108	168	203	141
ENSG00000005483.20|KMT2E	2627.9	2180.92	1737	2277.93	2469	1754
ENSG00000005486.17|RHBDD2	1916	1937	1740	1960	2192	2030
ENSG00000005513.10|SOX8	1257	884	1014	1033	1311	938
ENSG00000005700.15|IBTK	1297	1101	796	1177	1281	927
ENSG00000005801.18|ZNF195	1297	1161	903	1211	1230	1070
ENSG00000005810.18|MYCBP2	633	569.77	364	531.99	535.13	513.42
ENSG00000005812.11|FBXL3	413.29	399.44	320.59	473.61	429.69	363.91
ENSG00000005882.11|PDK2	412.44	456.6	386.74	408.84	348.29	375.98
ENSG00000005884.18|ITGA3	259	311	203	347	218	308
ENSG00000005889.15|ZFX	1142	964	787	1171	1121	930
ENSG00000005893.15|LAMP2	2772	2742	2082	3056	3017	2300
ENSG00000005961.18|ITGA2B	34	38	30	34	24	16
ENSG00000006007.12|GDE1	780	718.17	557.9	733	809	715
ENSG00000006015.17|REX1BD	184	147	130	178	168	165
ENSG00000006016.11|CRLF1	45.32	46.13	27.91	45.42	51.19	31.33
ENSG00000006025.12|AC003665.1	396	417	340	428	365	370
ENSG00000006042.12|TMEM98	148	88	71	84	96	52
ENSG00000006047.13|YBX2	90	136	98	124	125	87
ENSG00000006062.16|MAP3K14	244.06	270.38	227.59	337.37	272.56	290.55
ENSG00000006071.13|ABCC8	749	611	501	589	710	471
ENSG00000006118.14|TMEM132A	3406.82	3591.75	3152	3433.95	3601.87	3323.62
ENSG00000006125.18|AP2B1	5563	5157	4234	6028	5963	4845
ENSG00000006194.10|ZNF263	1179.16	1124.31	741.89	1115.58	1156.68	877.9
ENSG00000006210.7|CX3CL1	1308	1684	1350	2015	1553	1909
ENSG00000006282.21|SPATA20	387	514	402	481	445	421
ENSG00000006283.18|CACNA1G	101	128	78	116	96	91.22
ENSG00000006327.13|TNFRSF12A	437	391	413	575	511	519
ENSG00000006432.15|MAP3K9	796	789	639	896	795	846
ENSG00000006451.8|RALA	1226	1051	854	1320	1327	1079
ENSG00000006453.14|BAIAP2L1	388.41	338.02	271.18	358.03	330.14	347.28
ENSG00000006459.11|KDM7A	265	159	182	175	241	124
ENSG00000006468.14|ETV1	10934	8237	7196	8896	10726	7089
ENSG00000006530.17|AGK	1587.92	1226.23	1091.66	1429.32	1489.99	1161.1
ENSG00000006534.16|ALDH3B1	193	254	176	260	183	231
ENSG00000006576.16|PHTF2	2291	2328	1699	2996	2679	2422
ENSG00000006607.14|FARP2	1377.32	1370.72	1040.77	1607.04	1442	1215.31
ENSG00000006625.18|GGCT	1812	1846	1133.52	2162	1883	1768.99
ENSG00000006634.8|DBF4	1448.87	1189.96	1042.3	1550.89	1597.95	1185.07
ENSG00000006638.11|TBXA2R	28	36	18	35	19	17
ENSG00000006652.14|IFRD1	2303	1894	1525	1974	2332	1619
ENSG00000006695.11|COX10	278	238.99	176	263.93	252.94	221
ENSG00000006704.10|GTF2IRD1	700	647	510	619	744	509
ENSG00000006712.15|PAF1	2041	1899	1448	1890	1989	1696
ENSG00000006715.16|VPS41	2115	1910	1345	2066	2023	1586
ENSG00000006744.19|ELAC2	1332	1215	1009	1375	1479	1281
ENSG00000006756.16|ARSD	331.26	309.17	275	346.77	364.12	272
ENSG00000006831.10|ADIPOR2	2218	2120	1744	2315	2487	2026
ENSG00000006837.12|CDKL3	58.85	30.96	43.55	66.59	39.42	49.05
ENSG00000007047.15|MARK4	649	611	550	667	596	543
ENSG00000007062.11|PROM1	1940	1510	1107	1361	1577	959
ENSG00000007080.11|CCDC124	637	522	546	615	618	610
ENSG00000007168.13|PAFAH1B1	4558	4096.24	3178	4453	4672.4	3676
ENSG00000007171.17|NOS2	29	34	25	43	19	20
ENSG00000007174.18|DNAH9	467	256	293	285	418	245
ENSG00000007202.15|KIAA0100	6038.35	5630.15	4270.83	6256.51	5773.39	5398.87
ENSG00000007237.18|GAS7	13738	14152	10521	15553	14176	13343
