sampleName	fileName	condition	label	batch
Ctrl_923_R2B1	Ctrl_923_R2B1	Ctrl	Ctrl_923_R2B1	1
LMP_923_R2B1	LMP_923_R2B1	treated	LMP_923_R2B1	1
Ola_923_R2B1	Ola_923_R2B1	treated	Ola_923_R2B1	1
LMP.Olap_923_R2B1	LMP.Olap_923_R2B1	treated	LMP.Olap_923_R2B1	1
Ctrl_923_R3B1	Ctrl_923_R3B1	Ctrl	Ctrl_923_R3B1	1
LMP_923_R3B1	LMP_923_R3B1	treated	LMP_923_R3B1	1
Ola_923_R3B1	Ola_923_R3B1	treated	Ola_923_R3B1	1
LMP.Olap_923_R3B1	LMP.Olap_923_R3B1	treated	LMP.Olap_923_R3B1	1
Ctrl_923_R1B2	Ctrl_923_R1B2	Ctrl	Ctrl_923_R1B2	2
LMP_923_R1B2	LMP_923_R1B2	treated	LMP_923_R1B2	2
Ola_923_R1B2	Ola_923_R1B2	treated	Ola_923_R1B2	2
LMP.Olap_923_R1B2	LMP.Olap_923_R1B2	treated	LMP.Olap_923_R1B2	2
Ctrl_827_R1B1	Ctrl_827_R1B1	Ctrl	Ctrl_827_R1B1	1
LMP_827_R1B1	LMP_827_R1B1	treated	LMP_827_R1B1	1
Ola_827_R1B1	Ola_827_R1B1	treated	Ola_827_R1B1	1
LMP.Olap_827_R1B1	LMP.Olap_827_R1B1	treated	LMP.Olap_827_R1B1	1
Ctrl_827_R2B1	Ctrl_827_R2B1	Ctrl	Ctrl_827_R2B1	1
LMP_827_R2B1	LMP_827_R2B1	treated	LMP_827_R2B1	1
Ola_827_R2B1	Ola_827_R2B1	treated	Ola_827_R2B1	1
LMP.Olap_827_R2B1	LMP.Olap_827_R2B1	treated	LMP.Olap_827_R2B1	1
Ctrl_827_R3B2	Ctrl_827_R3B2	Ctrl	Ctrl_827_R3B2	2
LMP_827_R3B2	LMP_827_R3B2	treated	LMP_827_R3B2	2
Ola_827_R3B2	Ola_827_R3B2	treated	Ola_827_R3B2	2
LMP.Olap_827_R3B2	LMP.Olap_827_R3B2	treated	LMP.Olap_827_R3B2	2
Ctrl_417_R1B1	Ctrl_417_R1B1	Ctrl	Ctrl_417_R1B1	1
LMP_417_R1B1	LMP_417_R1B1	treated	LMP_417_R1B1	1
Ola_417_R1B1	Ola_417_R1B1	treated	Ola_417_R1B1	1
LMP.Olap_417_R1B1	LMP.Olap_417_R1B1	treated	LMP.Olap_417_R1B1	1
Ctrl_417_R2B2	Ctrl_417_R2B2	Ctrl	Ctrl_417_R2B2	2
LMP_417_R2B2	LMP_417_R2B2	treated	LMP_417_R2B2	2
Ola_417_R2B2	Ola_417_R2B2	treated	Ola_417_R2B2	2
LMP.Olap_417_R2B2	LMP.Olap_417_R2B2	treated	LMP.Olap_417_R2B2	2
Ctrl_417_R3B2	Ctrl_417_R3B2	Ctrl	Ctrl_417_R3B2	2
LMP_417_R3B2	LMP_417_R3B2	treated	LMP_417_R3B2	2
Ola_417_R3B2	Ola_417_R3B2	treated	Ola_417_R3B2	2
LMP.Olap_417_R3B2	LMP.Olap_417_R3B2	treated	LMP.Olap_417_R3B2	2
Ctrl_602_R1B1	Ctrl_602_R1B1	Ctrl	Ctrl_602_R1B1	1
LMP_602_R1B1	LMP_602_R1B1	treated	LMP_602_R1B1	1
Ola_602_R1B1	Ola_602_R1B1	treated	Ola_602_R1B1	1
LMP.Olap_602_R1B1	LMP.Olap_602_R1B1	treated	LMP.Olap_602_R1B1	1
Ctrl_602_R2B2	Ctrl_602_R2B2	Ctrl	Ctrl_602_R2B2	2
LMP_602_R2B2	LMP_602_R2B2	treated	LMP_602_R2B2	2
Ola_602_R2B2	Ola_602_R2B2	treated	Ola_602_R2B2	2
LMP.Olap_602_R2B2	LMP.Olap_602_R2B2	treated	LMP.Olap_602_R2B2	2
