Ctrl_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP.Olap_417_R3B2
ENSG00000000003.14|TSPAN6	720	703	566	474	556	411
ENSG00000000419.12|DPM1	852	737	646	538	998	797
ENSG00000000457.14|SCYL3	406.04	402.24	354.81	320.17	510.64	378.76
ENSG00000000460.17|C1orf112	549.96	551.76	486.19	431.83	629.36	540.24
ENSG00000001084.12|GCLC	524	427	369	276	389	297
ENSG00000001167.14|NFYA	1300	1210	1054	856	1193	873
ENSG00000001460.18|STPG1	100.12	148	98.02	125.02	74.02	101.03
ENSG00000001461.17|NIPAL3	2847.88	2760	2648.98	2296.98	1844.98	1251.97
ENSG00000001497.16|LAS1L	1639	1587	1306	964	1043	909
ENSG00000001561.7|ENPP4	169	183	169	152	237	133
ENSG00000001617.12|SEMA3F	19	32	11	23	24	23
ENSG00000001629.10|ANKIB1	1858.88	1729.85	1670	1322.86	1827.85	1335.6
ENSG00000001630.17|CYP51A1	4856.99	4297	3920.99	3020.99	4098	3299.98
ENSG00000001631.15|KRIT1	831.52	866.6	647.9	671.18	847.66	641.81
ENSG00000002016.17|RAD52	245.15	265	238.07	217	213	199.19
ENSG00000002330.13|BAD	590.28	664.19	464.25	488.11	432.44	615.11
ENSG00000002549.12|LAP3	2404	2410	2056	1822	2802	2248
ENSG00000002586.20|CD99	3556.5	3200	3132.5	2602.5	3504	2854.5
ENSG00000002586.20|PAR|Y|CD99	3556.5	3200	3132.5	2602.5	3504	2854.5
ENSG00000002822.15|MAD1L1	379.17	360.78	314.89	205.89	302.27	358.78
ENSG00000002834.18|LASP1	5669.89	5783.56	4524	4020.55	5499.16	5279.22
ENSG00000002919.14|SNX11	633	534	529	425	531	454
ENSG00000003056.8|M6PR	3531.1	3577.01	2753.06	2467.15	4458.17	3832.56
ENSG00000003096.14|KLHL13	2909	2365	2040	1639	3573	2410
ENSG00000003147.19|ICA1	100	87	67	64	75	40
ENSG00000003249.13|DBNDD1	252	305	166	190	244	290
ENSG00000003393.15|ALS2	1794	1894	1586	1555	2219	1879
ENSG00000003402.20|CFLAR	1252.31	1314.03	1202	1090.49	1261	934.48
ENSG00000003436.16|TFPI	692	545	602	509	723	584
ENSG00000003509.16|NDUFAF7	393.25	388.07	338.75	325.15	502.03	380.71
ENSG00000003756.16|RBM5	4982.3	4968.5	4238.31	3727.09	4926.35	3433.93
ENSG00000003987.14|MTMR7	7.09	19.51	16.33	11.07	10.86	10.78
ENSG00000004059.11|ARF5	1930.71	1910.8	1364.87	1164	1640	1774.04
ENSG00000004139.14|SARM1	1780.77	1727.03	1442.68	1195.66	1070.44	1098.3
ENSG00000004142.12|POLDIP2	3076.39	2959.27	2386.66	1994.11	2866.42	2546.09
ENSG00000004399.12|PLXND1	74	99	71	62	107	91
ENSG00000004455.16|AK2	2843.6	2774	2834	2477.82	2744	2373.57
ENSG00000004468.13|CD38	33	34	49	33	43	29
ENSG00000004478.8|FKBP4	1599	1516	1272	1061	1196	1141
ENSG00000004487.16|KDM1A	2297	2330	1969	1687	2377	2222
ENSG00000004534.15|RBM6	3467	3077.75	2336	1932	2636.55	1831
