LMP_417_R1B1	LMP.Olap_417_R1B1	LMP_417_R2B2	LMP.Olap_417_R2B2	LMP_417_R3B2	LMP.Olap_417_R3B2
ENSG00000000003.14|TSPAN6	642	703	530	474	463	411
ENSG00000000419.12|DPM1	706	737	630	538	878	797
ENSG00000000457.14|SCYL3	376.18	402.24	341.44	320.17	396.81	378.76
ENSG00000000460.17|C1orf112	438.82	551.76	517.56	431.83	640.19	540.24
ENSG00000001084.12|GCLC	380	427	348	276	334	297
ENSG00000001167.14|NFYA	1102.99	1210	982	856	988	873
ENSG00000001460.18|STPG1	101.03	148	118.02	125.02	86	101.03
ENSG00000001461.17|NIPAL3	2548.97	2760	2465.98	2296.98	1381	1251.97
ENSG00000001497.16|LAS1L	1509	1587	1208	964	937	909
ENSG00000001561.7|ENPP4	132	183	171	152	161	133
ENSG00000001617.12|SEMA3F	18	32	19	23	24	23
ENSG00000001629.10|ANKIB1	1549.97	1729.85	1426	1322.86	1448.98	1335.6
ENSG00000001630.17|CYP51A1	3864.99	4297	3436.95	3020.99	3681.99	3299.98
ENSG00000001631.15|KRIT1	767.3	866.6	627.62	671.18	760.83	641.81
ENSG00000002016.17|RAD52	266	265	183	217	187	199.19
ENSG00000002330.13|BAD	568.67	664.19	542.21	488.11	508.76	615.11
ENSG00000002549.12|LAP3	1986	2410	2076	1822	2369	2248
ENSG00000002586.20|CD99	2947.5	3200	2760	2602.5	3114	2854.5
ENSG00000002586.20|PAR|Y|CD99	2947.5	3200	2760	2602.5	3114	2854.5
ENSG00000002822.15|MAD1L1	340.96	360.78	265.1	205.89	300	358.78
ENSG00000002834.18|LASP1	5331.33	5783.56	4274.6	4020.55	5465.38	5279.22
ENSG00000002919.14|SNX11	501	534	469	425	507	454
ENSG00000003056.8|M6PR	3038.67	3577.01	2681.44	2467.15	3774.29	3832.56
ENSG00000003096.14|KLHL13	1971	2365	1729	1639	2597	2410
ENSG00000003147.19|ICA1	86	87	66	64	43	40
ENSG00000003249.13|DBNDD1	293	305	201	190	286	290
ENSG00000003393.15|ALS2	1713	1894	1650	1555	1902	1879
ENSG00000003402.20|CFLAR	1212.18	1314.03	1049.86	1090.49	1013	934.48
ENSG00000003436.16|TFPI	475	545	581	509	584	584
ENSG00000003509.16|NDUFAF7	343.61	388.07	346.98	325.15	413.5	380.71
ENSG00000003756.16|RBM5	4992.5	4968.5	3842.24	3727.09	3805.69	3433.93
ENSG00000003987.14|MTMR7	13.24	19.51	18.01	11.07	14.64	10.78
ENSG00000004059.11|ARF5	1861.73	1910.8	1307.4	1164	1874.43	1774.04
ENSG00000004139.14|SARM1	1680.54	1727.03	1218.09	1195.66	1064.58	1098.3
ENSG00000004142.12|POLDIP2	2890.11	2959.27	2179.71	1994.11	2692.65	2546.09
ENSG00000004399.12|PLXND1	94	99	85	62	83	91
ENSG00000004455.16|AK2	2379.44	2774	2383.43	2477.82	2469	2373.57
ENSG00000004468.13|CD38	37	34	40	33	36	29
ENSG00000004478.8|FKBP4	1489.98	1516	1171	1061	1176	1141
ENSG00000004487.16|KDM1A	2088	2330	1914	1687	2415	2222
ENSG00000004534.15|RBM6	3092.44	3077.75	2176	1932	2057	1831
ENSG00000004700.16|RECQL	1049.24	1219.74	1012.37	1048.38	1295.56	1177.74
ENSG00000004766.17|VPS50	688	694	596	579	611	503
ENSG00000004776.13|HSPB6	19.6	23.89	20.34	14	8	6.47
ENSG00000004777.18|ARHGAP33	678.38	689.67	626.03	593	419.81	477.2
ENSG00000004779.10|NDUFAB1	493	522	385	363	539	510
ENSG00000004838.14|ZMYND10	22	22	38	23	13	20
ENSG00000004848.8|ARX	18	26	36	16	13	14
ENSG00000004864.13|SLC25A13	1056	1258	1013	919	950	898
ENSG00000004866.20|ST7	674.35	746.77	567.6	568.6	686.36	617.42
ENSG00000004897.12|CDC27	2038	2236	2208	1936	2797	2533.97
ENSG00000004961.15|HCCS	547	639	501	488	685	633
ENSG00000004975.12|DVL2	3022	3318	2270	2098	2643	2647
ENSG00000005007.12|UPF1	2788	3361	2616	2386	2632	2639
ENSG00000005022.6|SLC25A5	4078.72	4574.78	3574.91	3244.82	4810.89	4757.87
ENSG00000005059.16|MCUB	391	409	283	271	363	329
ENSG00000005075.15|POLR2J	1068.27	1110.55	839.62	722.13	909.96	907.65
ENSG00000005100.13|DHX33	837	896	653	673	932	859
ENSG00000005156.11|LIG3	845.04	907.15	637.39	627.4	662.47	601.23
ENSG00000005175.10|RPAP3	620	715	583	515	675	629
ENSG00000005187.12|ACSM3	38.52	26.12	41.31	30.86	23.28	25.05
ENSG00000005189.19|REXO5	414	508	505.55	503.93	491	429
ENSG00000005194.15|CIAPIN1	808	952	727	629	775	721
ENSG00000005206.17|SPPL2B	1004	1076	789	791	811	961
ENSG00000005238.19|FAM214B	321	329	263	237	367	331
ENSG00000005243.10|COPZ2	441	509	295	317	365	392
ENSG00000005249.13|PRKAR2B	725	853	633	540	634	597
ENSG00000005302.18|MSL3	1021	1003	928	804	787	755
ENSG00000005339.14|CREBBP	2160	2368	1684	1571	1654	1667
ENSG00000005379.17|TSPOAP1	904	953	575	657	453	427
ENSG00000005436.13|GCFC2	466	502.98	415	360.99	400	374
ENSG00000005448.16|WDR54	419	498	458	524	505	477
ENSG00000005469.11|CROT	320	363	351	353	289	245
ENSG00000005483.20|KMT2E	2457.92	2632	2205	2023.83	1858.94	1656.91
ENSG00000005486.17|RHBDD2	2017	2375	1761	1653	1628	1706
ENSG00000005513.10|SOX8	1333	1400	1026	898	1180	1098
ENSG00000005700.15|IBTK	1956	2164	1859	1513	1514	1371
ENSG00000005801.18|ZNF195	323	350	247	250.12	335	294
ENSG00000005810.18|MYCBP2	950.71	1002.36	943	954.36	1020.9	905.81
ENSG00000005812.11|FBXL3	1142.47	1216.41	1050.49	945.55	905.25	851.7
ENSG00000005882.11|PDK2	1105.48	1215.81	691.17	659.8	865.7	743.27
ENSG00000005884.18|ITGA3	1651.05	2030	1534	1271	2926	3070
ENSG00000005889.15|ZFX	839	853	735	643	591	570
ENSG00000005893.15|LAMP2	7535	9041	6815	6578	6994	6620
ENSG00000006007.12|GDE1	1793	1902	1620	1432	1518.92	1363
ENSG00000006015.17|REX1BD	263	287	224	204	254	256
ENSG00000006016.11|CRLF1	184.3	180.04	129.42	110.38	134.67	131.72
ENSG00000006025.12|AC003665.1	843	950	601	590	691	793
ENSG00000006062.16|MAP3K14	195.14	221.62	160.55	158.91	169.5	183.17
ENSG00000006071.13|ABCC8	184	194	147	134	71	95
ENSG00000006118.14|TMEM132A	1251	1593	920	999	1606	1871
ENSG00000006125.18|AP2B1	7043	8086	6738	6104	7757	7467
ENSG00000006194.10|ZNF263	639.32	669.03	647.88	503.13	574.33	539.46
ENSG00000006210.7|CX3CL1	2396	3228	2827	2646	2483	2727
ENSG00000006282.21|SPATA20	1656	1993	1116	1060	892	960
ENSG00000006283.18|CACNA1G	194	240.45	113	105	97.19	70
ENSG00000006327.13|TNFRSF12A	661	657	408	367	604	586
ENSG00000006377.11|DLX6	1492	1546	1440	1228	1090	793
ENSG00000006432.15|MAP3K9	595	701	643	719	851	849
ENSG00000006451.8|RALA	907	999	861	771	1476	1460
ENSG00000006453.14|BAIAP2L1	33.16	69.9	32	29.45	124.67	157.56
ENSG00000006459.11|KDM7A	227	213	146	146	76	77
ENSG00000006468.14|ETV1	2559	2652	2357	2046	2289	2061
ENSG00000006530.17|AGK	481.83	520.42	442.27	370.18	541.68	448.38
ENSG00000006534.16|ALDH3B1	518	548	372	400	371	379
ENSG00000006576.16|PHTF2	2054	2381	2081	2078	2541	2222
ENSG00000006606.8|CCL26	11	13	16	10	11	12
ENSG00000006607.14|FARP2	620.02	713.76	664.48	565.81	678.8	638.41
ENSG00000006625.18|GGCT	504	523	439.16	383	663	642
ENSG00000006634.8|DBF4	646.16	836.22	782.94	679.95	967.19	811.53
ENSG00000006638.11|TBXA2R	128	140	119	106	144	169
ENSG00000006652.14|IFRD1	644	792	640	659	772	745
ENSG00000006695.11|COX10	211.68	236.93	149.84	161.89	241.77	221.94
ENSG00000006704.10|GTF2IRD1	511	569	337	326	483	553
ENSG00000006712.15|PAF1	1607	1667	1272	1175	1437	1449
ENSG00000006715.16|VPS41	1437	1670	1331	1150	1329	1291
ENSG00000006740.17|ARHGAP44	49	65.29	47	46	128	118
ENSG00000006744.19|ELAC2	1853	1916	1469	1277	1958	1904
