Ola_417_R1B1	LMP.Olap_417_R1B1	Ola_417_R2B2	LMP.Olap_417_R2B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000000003.14|TSPAN6	577	703	567	474	468	411
ENSG00000000419.12|DPM1	651	737	734	538	855	797
ENSG00000000457.14|SCYL3	351.29	402.24	393.46	320.17	518.6	378.76
ENSG00000000460.17|C1orf112	339.71	551.76	526.54	431.83	580.48	540.24
ENSG00000001084.12|GCLC	377	427	374	276	332	297
ENSG00000001167.14|NFYA	1038	1210	1116	856	1115	873
ENSG00000001460.18|STPG1	97.03	148	125.02	125.02	72.02	101.03
ENSG00000001461.17|NIPAL3	2362.97	2760	2897.98	2296.98	1778.98	1251.97
ENSG00000001497.16|LAS1L	1299	1587	1282	964	1018	909
ENSG00000001561.7|ENPP4	115	183	166	152	192	133
ENSG00000001617.12|SEMA3F	13	32	19	23	19	23
ENSG00000001629.10|ANKIB1	1444	1729.85	1746	1322.86	1575	1335.6
ENSG00000001630.17|CYP51A1	3816.98	4297	4138.6	3020.99	3820.99	3299.98
ENSG00000001631.15|KRIT1	576.36	866.6	720.64	671.18	812.85	641.81
ENSG00000002016.17|RAD52	235.08	265	244	217	201.33	199.19
ENSG00000002330.13|BAD	586.37	664.19	534.89	488.11	554.2	615.11
ENSG00000002549.12|LAP3	1895	2410	2064	1822	2664	2248
ENSG00000002586.20|CD99	2640.5	3200	3102	2602.5	3264	2854.5
ENSG00000002586.20|PAR|Y|CD99	2640.5	3200	3102	2602.5	3264	2854.5
ENSG00000002822.15|MAD1L1	326.02	360.78	341.5	205.89	378.27	358.78
ENSG00000002834.18|LASP1	4467.78	5783.56	4727.33	4020.55	5807.8	5279.22
ENSG00000002919.14|SNX11	510	534	530	425	593	454
ENSG00000003056.8|M6PR	2756.32	3577.01	2994.18	2467.15	4306.94	3832.56
ENSG00000003096.14|KLHL13	2108	2365	2102	1639	3393	2410
ENSG00000003147.19|ICA1	70	87	65	64	67	40
ENSG00000003249.13|DBNDD1	183	305	243	190	349	290
ENSG00000003393.15|ALS2	1396	1894	1842	1555	2146	1879
ENSG00000003402.20|CFLAR	987	1314.03	1106.46	1090.49	1140.92	934.48
ENSG00000003436.16|TFPI	499	545	674	509	609.97	584
ENSG00000003509.16|NDUFAF7	327.63	388.07	313.84	325.15	395.31	380.71
ENSG00000003756.16|RBM5	3886.45	4968.5	4473.56	3727.09	4340.19	3433.93
ENSG00000003987.14|MTMR7	15.48	19.51	13.27	11.07	4.12	10.78
ENSG00000004059.11|ARF5	1463.77	1910.8	1510.43	1164	1947.78	1774.04
ENSG00000004139.14|SARM1	1506.9	1727.03	1343.78	1195.66	1233.04	1098.3
