Ctrl_417_R1B1	LMP_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2
ENSG00000000003.14|TSPAN6	720	642	566	530	556	463
ENSG00000000419.12|DPM1	852	706	646	630	998	878
ENSG00000000457.14|SCYL3	406.04	376.18	354.81	341.44	510.64	396.81
ENSG00000000460.17|C1orf112	549.96	438.82	486.19	517.56	629.36	640.19
ENSG00000001084.12|GCLC	524	380	369	348	389	334
ENSG00000001167.14|NFYA	1300	1102.99	1054	982	1193	988
ENSG00000001460.18|STPG1	100.12	101.03	98.02	118.02	74.02	86
ENSG00000001461.17|NIPAL3	2847.88	2548.97	2648.98	2465.98	1844.98	1381
ENSG00000001497.16|LAS1L	1639	1509	1306	1208	1043	937
ENSG00000001561.7|ENPP4	169	132	169	171	237	161
ENSG00000001617.12|SEMA3F	19	18	11	19	24	24
ENSG00000001629.10|ANKIB1	1858.88	1549.97	1670	1426	1827.85	1448.98
ENSG00000001630.17|CYP51A1	4856.99	3864.99	3920.99	3436.95	4098	3681.99
ENSG00000001631.15|KRIT1	831.52	767.3	647.9	627.62	847.66	760.83
ENSG00000002016.17|RAD52	245.15	266	238.07	183	213	187
ENSG00000002330.13|BAD	590.28	568.67	464.25	542.21	432.44	508.76
ENSG00000002549.12|LAP3	2404	1986	2056	2076	2802	2369
ENSG00000002586.20|CD99	3556.5	2947.5	3132.5	2760	3504	3114
ENSG00000002586.20|PAR|Y|CD99	3556.5	2947.5	3132.5	2760	3504	3114
ENSG00000002822.15|MAD1L1	379.17	340.96	314.89	265.1	302.27	300
ENSG00000002834.18|LASP1	5669.89	5331.33	4524	4274.6	5499.16	5465.38
ENSG00000002919.14|SNX11	633	501	529	469	531	507
ENSG00000003056.8|M6PR	3531.1	3038.67	2753.06	2681.44	4458.17	3774.29
ENSG00000003096.14|KLHL13	2909	1971	2040	1729	3573	2597
ENSG00000003147.19|ICA1	100	86	67	66	75	43
ENSG00000003249.13|DBNDD1	252	293	166	201	244	286
ENSG00000003393.15|ALS2	1794	1713	1586	1650	2219	1902
ENSG00000003402.20|CFLAR	1252.31	1212.18	1202	1049.86	1261	1013
ENSG00000003436.16|TFPI	692	475	602	581	723	584
ENSG00000003509.16|NDUFAF7	393.25	343.61	338.75	346.98	502.03	413.5
ENSG00000003756.16|RBM5	4982.3	4992.5	4238.31	3842.24	4926.35	3805.69
ENSG00000003987.14|MTMR7	7.09	13.24	16.33	18.01	10.86	14.64
ENSG00000004059.11|ARF5	1930.71	1861.73	1364.87	1307.4	1640	1874.43
ENSG00000004139.14|SARM1	1780.77	1680.54	1442.68	1218.09	1070.44	1064.58
ENSG00000004142.12|POLDIP2	3076.39	2890.11	2386.66	2179.71	2866.42	2692.65
ENSG00000004399.12|PLXND1	74	94	71	85	107	83
ENSG00000004455.16|AK2	2843.6	2379.44	2834	2383.43	2744	2469
ENSG00000004468.13|CD38	33	37	49	40	43	36
