Ctrl_417_R1B1	Ola_417_R1B1	Ctrl_417_R2B2	Ola_417_R2B2	Ctrl_417_R3B2	Ola_417_R3B2
ENSG00000000003.14|TSPAN6	720	577	566	567	556	468
ENSG00000000419.12|DPM1	852	651	646	734	998	855
ENSG00000000457.14|SCYL3	406.04	351.29	354.81	393.46	510.64	518.6
ENSG00000000460.17|C1orf112	549.96	339.71	486.19	526.54	629.36	580.48
ENSG00000001084.12|GCLC	524	377	369	374	389	332
ENSG00000001167.14|NFYA	1300	1038	1054	1116	1193	1115
ENSG00000001460.18|STPG1	100.12	97.03	98.02	125.02	74.02	72.02
ENSG00000001461.17|NIPAL3	2847.88	2362.97	2648.98	2897.98	1844.98	1778.98
ENSG00000001497.16|LAS1L	1639	1299	1306	1282	1043	1018
ENSG00000001561.7|ENPP4	169	115	169	166	237	192
ENSG00000001617.12|SEMA3F	19	13	11	19	24	19
ENSG00000001629.10|ANKIB1	1858.88	1444	1670	1746	1827.85	1575
ENSG00000001630.17|CYP51A1	4856.99	3816.98	3920.99	4138.6	4098	3820.99
ENSG00000001631.15|KRIT1	831.52	576.36	647.9	720.64	847.66	812.85
ENSG00000002016.17|RAD52	245.15	235.08	238.07	244	213	201.33
ENSG00000002330.13|BAD	590.28	586.37	464.25	534.89	432.44	554.2
ENSG00000002549.12|LAP3	2404	1895	2056	2064	2802	2664
ENSG00000002586.20|CD99	3556.5	2640.5	3132.5	3102	3504	3264
ENSG00000002586.20|PAR|Y|CD99	3556.5	2640.5	3132.5	3102	3504	3264
ENSG00000002822.15|MAD1L1	379.17	326.02	314.89	341.5	302.27	378.27
ENSG00000002834.18|LASP1	5669.89	4467.78	4524	4727.33	5499.16	5807.8
ENSG00000002919.14|SNX11	633	510	529	530	531	593
ENSG00000003056.8|M6PR	3531.1	2756.32	2753.06	2994.18	4458.17	4306.94
ENSG00000003096.14|KLHL13	2909	2108	2040	2102	3573	3393
ENSG00000003147.19|ICA1	100	70	67	65	75	67
ENSG00000003249.13|DBNDD1	252	183	166	243	244	349
ENSG00000003393.15|ALS2	1794	1396	1586	1842	2219	2146
ENSG00000003400.14|CASP10	7	10	2	4	15	17
ENSG00000003402.20|CFLAR	1252.31	987	1202	1106.46	1261	1140.92
ENSG00000003436.16|TFPI	692	499	602	674	723	609.97
ENSG00000003509.16|NDUFAF7	393.25	327.63	338.75	313.84	502.03	395.31
ENSG00000003756.16|RBM5	4982.3	3886.45	4238.31	4473.56	4926.35	4340.19
ENSG00000003987.14|MTMR7	7.09	15.48	16.33	13.27	10.86	4.12
ENSG00000004059.11|ARF5	1930.71	1463.77	1364.87	1510.43	1640	1947.78
ENSG00000004139.14|SARM1	1780.77	1506.9	1442.68	1343.78	1070.44	1233.04
ENSG00000004142.12|POLDIP2	3076.39	2362.1	2386.66	2802.58	2866.42	2841.11
ENSG00000004399.12|PLXND1	74	65	71	74	107	106
ENSG00000004455.16|AK2	2843.6	2155.56	2834	2551	2744	2517
ENSG00000004468.13|CD38	33	36	49	61	43	38
ENSG00000004478.8|FKBP4	1599	1193	1272	1272	1196	1213
ENSG00000004487.16|KDM1A	2297	1783	1969	2031	2377	2338
ENSG00000004534.15|RBM6	3467	2605.78	2336	2452	2636.55	2445
ENSG00000004700.16|RECQL	1172.54	912.91	1030.26	1138.58	1505.41	1340.82
ENSG00000004766.17|VPS50	849	606	619	704	760	676
ENSG00000004776.13|HSPB6	7.3	14.04	13.25	8.59	11	7.96
ENSG00000004777.18|ARHGAP33	661.53	580	643.14	698.87	353.41	473
ENSG00000004779.10|NDUFAB1	636	435	451	507	637	566
ENSG00000004838.14|ZMYND10	19	29	29	12	24	27
ENSG00000004848.8|ARX	28	24	27	26	26	23
ENSG00000004864.13|SLC25A13	1313	1071	1081	1119	1262	1102
ENSG00000004866.20|ST7	913.98	613.84	670.83	716.94	896.6	831.94
ENSG00000004897.12|CDC27	2451	1913	2395	2588	3068.91	2870.99
ENSG00000004961.15|HCCS	639	477	454	527	722	668
ENSG00000004975.12|DVL2	3077	2569	2529	2674	2389	2854
ENSG00000005007.12|UPF1	2957	2626	2768	3003	2153	2811
ENSG00000005022.6|SLC25A5	4942.8	3667.82	3564.9	4256.7	5212.96	5000.78
ENSG00000005059.16|MCUB	458	345	363	371	485	426
ENSG00000005075.15|POLR2J	1305.98	897.56	928	988.52	938.72	892.18
ENSG00000005100.13|DHX33	932	824	751	838	958	868
ENSG00000005156.11|LIG3	986.08	657.01	715.5	748.58	636.65	664.2
ENSG00000005175.10|RPAP3	761	525	619	685	847	638
ENSG00000005187.12|ACSM3	24.09	15.71	17.62	26.62	26.3	26.3
ENSG00000005189.19|REXO5	528	355	360	444	487	442.95
ENSG00000005194.15|CIAPIN1	972	725	644	803	879	845
ENSG00000005206.17|SPPL2B	1014	856	841	917	601	833
ENSG00000005238.19|FAM214B	353	260	289	336	323	363
ENSG00000005243.10|COPZ2	444	310	319	346	404	400
ENSG00000005249.13|PRKAR2B	870	655	588	654	785	780
ENSG00000005302.18|MSL3	1311	902	1024	1069	960	901
ENSG00000005339.14|CREBBP	2377	2010	1941	1963	1489	1736
ENSG00000005379.17|TSPOAP1	741	580	603	651	381	410
ENSG00000005436.13|GCFC2	501.61	400	438	420.91	447	394
ENSG00000005448.16|WDR54	421	338	488	397	385	435
ENSG00000005469.11|CROT	363	308	372	393	329	335
ENSG00000005483.20|KMT2E	3027.87	2382	2649.87	2579.91	2375.92	2279
ENSG00000005486.17|RHBDD2	2260	1897	1937	1991	1440	1814
ENSG00000005513.10|SOX8	1529	1218	1062	1209	1086	1395
ENSG00000005700.15|IBTK	2396	1917	2004	2126	1912	1751
ENSG00000005801.18|ZNF195	344	275	278	282	391	306
ENSG00000005810.18|MYCBP2	1242.98	959.43	1162.86	1181.98	1232.61	1160.2
ENSG00000005812.11|FBXL3	1388.59	1041.6	1132.92	1212.8	1050.93	994.34
ENSG00000005882.11|PDK2	1057.19	862.07	742.9	843.44	717.41	887.99
ENSG00000005884.18|ITGA3	1877	1739	1854	1856	2906	3486
ENSG00000005889.15|ZFX	887	718	791	834	735	731
ENSG00000005893.15|LAMP2	9072	7264	6871	7835	8684	8152
ENSG00000006007.12|GDE1	2206	1644	1620	1900	1720.16	1554.34
ENSG00000006015.17|REX1BD	300	210	249	276	246	232
ENSG00000006016.11|CRLF1	146.01	143.7	122.13	130.84	125.14	139.84
ENSG00000006025.12|AC003665.1	819	746	745	795	713	833
ENSG00000006042.12|TMEM98	19	4	15	13	1	0
ENSG00000006062.16|MAP3K14	207.04	168.21	155.98	178.98	142.08	153.93
ENSG00000006071.13|ABCC8	193	116	113	143	77	104
ENSG00000006118.14|TMEM132A	1475	1276	1109	1205	1283	1813
ENSG00000006125.18|AP2B1	7940	6501	6893	7627	8925	8881
ENSG00000006194.10|ZNF263	722.26	559.25	741.16	627.51	638.62	640.28
ENSG00000006210.7|CX3CL1	3291	2716	3462	3247	2000	2514
ENSG00000006282.21|SPATA20	1519	1268	1070	1173	773	962
ENSG00000006283.18|CACNA1G	192	177	110	129	86	102
ENSG00000006327.13|TNFRSF12A	890	588	535	511	516	544
ENSG00000006377.11|DLX6	1939	1456	1723	1663	1488	1407
ENSG00000006432.15|MAP3K9	721	535	716	670	888	945
ENSG00000006451.8|RALA	1053	796	851	1039	1660	1493
ENSG00000006453.14|BAIAP2L1	36.81	38.13	47.47	40.37	166.14	127.58
ENSG00000006459.11|KDM7A	220	172	190	207	99	109
ENSG00000006468.14|ETV1	2827	2310	2571	2685	3036	2749
ENSG00000006530.17|AGK	557.41	443	467.02	535.36	614.38	575.39
ENSG00000006534.16|ALDH3B1	433	444	352	408	311	381
ENSG00000006576.16|PHTF2	2444	1861	2102	2381	2787	2623
ENSG00000006607.14|FARP2	728.9	602.16	679.29	673.8	653.07	635.26
ENSG00000006625.18|GGCT	595	445	474.73	504.86	668.25	590
ENSG00000006634.8|DBF4	803.85	655.97	764.17	847.01	1007.06	891.16
ENSG00000006638.11|TBXA2R	169	105	95	118	102	124
ENSG00000006652.14|IFRD1	817	601	719	755	919	853
ENSG00000006695.11|COX10	288.56	210.93	209.81	228.72	247.89	239.94
ENSG00000006704.10|GTF2IRD1	457	448	360	426	466	549
ENSG00000006712.15|PAF1	1773	1351	1348	1361	1415	1470
ENSG00000006715.16|VPS41	1776	1363	1387	1597	1761	1749
ENSG00000006740.17|ARHGAP44	73	41.1	45	61	151	148
ENSG00000006744.19|ELAC2	1922	1548	1586	1800	1905	1943
ENSG00000006831.10|ADIPOR2	2795	2136	2185	2268	2387	2399
ENSG00000006837.12|CDKL3	38.44	32.77	21.69	34.06	36.66	34.09
ENSG00000007047.15|MARK4	393	360	329	348	306	411
ENSG00000007080.11|CCDC124	845	776	671	705	485	663
ENSG00000007168.13|PAFAH1B1	6532	4702	5156	5718	6092	5748
ENSG00000007171.17|NOS2	70	56	75	86	144	156
ENSG00000007174.18|DNAH9	25	16	26	15	11	6
ENSG00000007202.15|KIAA0100	5921.96	4725.5	4838.79	4917.37	4547.17	4724.94
ENSG00000007237.18|GAS7	4401	3273	3642	3875	291	278
ENSG00000007255.10|TRAPPC6A	151	123	105	112	78	103
ENSG00000007341.19|ST7L	475.07	332.28	359.93	429.98	363.68	308.75
ENSG00000007372.22|PAX6	252.88	199.19	254.29	270.72	201.24	207.25
