Ctrl_417_R1B1	LMP_417_R1B1	Ola_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ola_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000000003.14|TSPAN6	720	642	577	703	566	530	567	474	556	463	468	411
ENSG00000000419.12|DPM1	852	706	651	737	646	630	734	538	998	878	855	797
ENSG00000000457.14|SCYL3	406.04	376.18	351.29	402.24	354.81	341.44	393.46	320.17	510.64	396.81	518.6	378.76
ENSG00000000460.17|C1orf112	549.96	438.82	339.71	551.76	486.19	517.56	526.54	431.83	629.36	640.19	580.48	540.24
ENSG00000001084.12|GCLC	524	380	377	427	369	348	374	276	389	334	332	297
ENSG00000001167.14|NFYA	1300	1102.99	1038	1210	1054	982	1116	856	1193	988	1115	873
ENSG00000001460.18|STPG1	100.12	101.03	97.03	148	98.02	118.02	125.02	125.02	74.02	86	72.02	101.03
ENSG00000001461.17|NIPAL3	2847.88	2548.97	2362.97	2760	2648.98	2465.98	2897.98	2296.98	1844.98	1381	1778.98	1251.97
ENSG00000001497.16|LAS1L	1639	1509	1299	1587	1306	1208	1282	964	1043	937	1018	909
ENSG00000001561.7|ENPP4	169	132	115	183	169	171	166	152	237	161	192	133
ENSG00000001617.12|SEMA3F	19	18	13	32	11	19	19	23	24	24	19	23
ENSG00000001629.10|ANKIB1	1858.88	1549.97	1444	1729.85	1670	1426	1746	1322.86	1827.85	1448.98	1575	1335.6
ENSG00000001630.17|CYP51A1	4856.99	3864.99	3816.98	4297	3920.99	3436.95	4138.6	3020.99	4098	3681.99	3820.99	3299.98
ENSG00000001631.15|KRIT1	831.52	767.3	576.36	866.6	647.9	627.62	720.64	671.18	847.66	760.83	812.85	641.81
ENSG00000002016.17|RAD52	245.15	266	235.08	265	238.07	183	244	217	213	187	201.33	199.19
ENSG00000002079.14|MYH16	3	0	2	6	1	1	2	3	11	11	9	12
ENSG00000002330.13|BAD	590.28	568.67	586.37	664.19	464.25	542.21	534.89	488.11	432.44	508.76	554.2	615.11
ENSG00000002549.12|LAP3	2404	1986	1895	2410	2056	2076	2064	1822	2802	2369	2664	2248
ENSG00000002586.20|CD99	3556.5	2947.5	2640.5	3200	3132.5	2760	3102	2602.5	3504	3114	3264	2854.5
ENSG00000002586.20|PAR|Y|CD99	3556.5	2947.5	2640.5	3200	3132.5	2760	3102	2602.5	3504	3114	3264	2854.5
ENSG00000002587.10|HS3ST1	7	0	1	4	7	3	9	6	17	8	18	9
ENSG00000002822.15|MAD1L1	379.17	340.96	326.02	360.78	314.89	265.1	341.5	205.89	302.27	300	378.27	358.78
ENSG00000002834.18|LASP1	5669.89	5331.33	4467.78	5783.56	4524	4274.6	4727.33	4020.55	5499.16	5465.38	5807.8	5279.22
ENSG00000002919.14|SNX11	633	501	510	534	529	469	530	425	531	507	593	454
