Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000000003.14|TSPAN6	420	484	487	460
ENSG00000000419.12|DPM1	776	832	883	823
ENSG00000000457.14|SCYL3	131.9	143.5	145.48	134.52
ENSG00000000460.17|C1orf112	262.1	486.5	376.52	469.48
ENSG00000001036.13|FUCA2	785.91	900.04	943.65	987.64
ENSG00000001084.12|GCLC	400	373	412	442
ENSG00000001167.14|NFYA	1119	1297	1236	1125
ENSG00000001460.18|STPG1	41	62	28.02	48.09
ENSG00000001461.17|NIPAL3	885	1181	973.98	1019.91
ENSG00000001497.16|LAS1L	2010	2315	1970	2209
ENSG00000001561.7|ENPP4	129	144	159	147
ENSG00000001629.10|ANKIB1	1480	1679	1686.99	1601.88
ENSG00000001630.17|CYP51A1	1835.99	1995.28	2390	2213
ENSG00000001631.15|KRIT1	1170.19	1152.06	1233.75	1303.47
ENSG00000002016.17|RAD52	307.15	339.42	354.03	325.47
ENSG00000002330.13|BAD	276.42	365.4	277.29	342.75
ENSG00000002549.12|LAP3	1434	1627	1399	1494
ENSG00000002586.20|CD99	933.5	894.5	1093	941
ENSG00000002586.20|PAR|Y|CD99	933.5	894.5	1093	941
ENSG00000002587.10|HS3ST1	444	458	315	332
ENSG00000002822.15|MAD1L1	451.52	407.49	372.54	353.76
ENSG00000002834.18|LASP1	5229.83	6037.97	5385.76	6005.9
ENSG00000002919.14|SNX11	291	382	324	368
ENSG00000003056.8|M6PR	1200.85	1340.73	1268.47	1270.17
ENSG00000003096.14|KLHL13	1307	1570	1504	1463
ENSG00000003137.8|CYP26B1	53	58	55	56
ENSG00000003147.19|ICA1	655	754	692	720
ENSG00000003249.13|DBNDD1	493	708	435	535
ENSG00000003393.15|ALS2	1331	1601	1574	1583
ENSG00000003402.20|CFLAR	1196.04	1419.69	1489.44	1686.17
ENSG00000003436.16|TFPI	1157	1064	1165	978
ENSG00000003509.16|NDUFAF7	331.31	409.63	390.7	425.66
ENSG00000003756.16|RBM5	2726.59	3003.7	3009.01	3154.89
ENSG00000003987.14|MTMR7	23.59	24.69	26.41	29.98
ENSG00000003989.17|SLC7A2	125	169	171	163
ENSG00000004059.11|ARF5	984.71	1109.69	962.16	1026
ENSG00000004139.14|SARM1	1278.21	1495.16	1303.23	1402.44
ENSG00000004142.12|POLDIP2	2404.61	2677.89	2385.54	2563.45
ENSG00000004399.12|PLXND1	709	848	567	683
ENSG00000004455.16|AK2	1922	2169	2032	2061
ENSG00000004478.8|FKBP4	1951	2417.97	2046.99	2474
ENSG00000004487.16|KDM1A	3486	3676	3201	3440
ENSG00000004534.15|RBM6	1957	1966	2163	1958
ENSG00000004660.14|CAMKK1	79	95	75	57
ENSG00000004700.16|RECQL	848.09	1306.68	1115.73	1201.52
ENSG00000004766.17|VPS50	548	611	744	655
ENSG00000004777.18|ARHGAP33	967.16	1323.51	751.47	1113.24
ENSG00000004779.10|NDUFAB1	429	458	523	447
ENSG00000004799.8|PDK4	10	10	8	16
ENSG00000004838.14|ZMYND10	41	47	39	41
ENSG00000004864.13|SLC25A13	716	768	758	647
ENSG00000004866.20|ST7	479.47	508.92	476.86	469.68
ENSG00000004897.12|CDC27	1518	2027	1837	1869.98
ENSG00000004961.15|HCCS	482	617	542	595
ENSG00000004975.12|DVL2	1344	1560	1242	1450
ENSG00000005007.12|UPF1	2249	2689	2117	2482
ENSG00000005020.13|SKAP2	284	289	316	288
ENSG00000005022.6|SLC25A5	3771.93	4013.94	3528.89	3892.88
ENSG00000005059.16|MCUB	200	298	278	331
ENSG00000005073.5|HOXA11	63	64	37.26	63.29
ENSG00000005075.15|POLR2J	1223.06	1171.02	1021.8	1040.73
ENSG00000005100.13|DHX33	1138	1198	1203	1139
ENSG00000005156.11|LIG3	707.2	774.57	744.61	649.54
ENSG00000005175.10|RPAP3	406	519	513	510
ENSG00000005189.19|REXO5	109	178	73	173
ENSG00000005194.15|CIAPIN1	1338	1419	1338	1417
