LMP_602_R1B1	LMP.Olap_602_R1B1	LMP_602_R2B2	LMP.Olap_602_R2B2
ENSG00000000003.14|TSPAN6	444	484	485	460
ENSG00000000419.12|DPM1	725	832	793	823
ENSG00000000457.14|SCYL3	109.21	143.5	123.55	134.52
ENSG00000000460.17|C1orf112	365.79	486.5	384.45	469.48
ENSG00000001036.13|FUCA2	782.02	900.04	988.34	987.64
ENSG00000001084.12|GCLC	377	373	456	442
ENSG00000001167.14|NFYA	1141	1297	1229	1125
ENSG00000001460.18|STPG1	38	62	46.04	48.09
ENSG00000001461.17|NIPAL3	1181	1181	1217.96	1019.91
ENSG00000001497.16|LAS1L	2067	2315	2223	2209
ENSG00000001561.7|ENPP4	99	144	133	147
ENSG00000001617.12|SEMA3F	7	20	14	8
ENSG00000001629.10|ANKIB1	1544.83	1679	1654	1601.88
ENSG00000001630.17|CYP51A1	1866	1995.28	2191	2213
ENSG00000001631.15|KRIT1	1086.91	1152.06	1447.85	1303.47
ENSG00000002016.17|RAD52	313.8	339.42	382	325.47
ENSG00000002330.13|BAD	283.09	365.4	334.63	342.75
ENSG00000002549.12|LAP3	1525	1627	1618	1494
ENSG00000002586.20|CD99	847	894.5	1036.5	941
ENSG00000002586.20|PAR|Y|CD99	847	894.5	1036.5	941
ENSG00000002587.10|HS3ST1	402	458	368	332
ENSG00000002822.15|MAD1L1	364.04	407.49	383.63	353.76
ENSG00000002834.18|LASP1	5368.01	6037.97	6396.15	6005.9
ENSG00000002919.14|SNX11	342	382	412	368
ENSG00000003056.8|M6PR	1215.66	1340.73	1339.58	1270.17
ENSG00000003096.14|KLHL13	1386	1570	1377	1463
ENSG00000003137.8|CYP26B1	29	58	57	56
ENSG00000003147.19|ICA1	668	754	715	720
ENSG00000003249.13|DBNDD1	549	708	599	535
ENSG00000003393.15|ALS2	1385	1601	1703	1583
ENSG00000003402.20|CFLAR	1443.87	1419.69	1640.97	1686.17
ENSG00000003436.16|TFPI	1080	1064	1035	978
ENSG00000003509.16|NDUFAF7	341.21	409.63	446.95	425.66
ENSG00000003756.16|RBM5	2742.03	3003.7	3140.69	3154.89
ENSG00000003987.14|MTMR7	26.64	24.69	24.5	29.98
ENSG00000003989.17|SLC7A2	172	169	159	163
ENSG00000004059.11|ARF5	985	1109.69	1150	1026
ENSG00000004139.14|SARM1	1388.5	1495.16	1579.8	1402.44
ENSG00000004142.12|POLDIP2	2298.46	2677.89	2617.76	2563.45
ENSG00000004399.12|PLXND1	723	848	785	683
ENSG00000004455.16|AK2	2046	2169	2104.36	2061
ENSG00000004478.8|FKBP4	1995.93	2417.97	2561.84	2474
ENSG00000004487.16|KDM1A	3354	3676	3546	3440
ENSG00000004534.15|RBM6	1822	1966	2136	1958
ENSG00000004660.14|CAMKK1	99	95	83	57
ENSG00000004700.16|RECQL	999.25	1306.68	1143.38	1201.52
ENSG00000004766.17|VPS50	593	611	683	655
ENSG00000004777.18|ARHGAP33	1033.73	1323.51	1077.27	1113.24
ENSG00000004779.10|NDUFAB1	384	458	410	447
ENSG00000004838.14|ZMYND10	25	47	39	41
ENSG00000004864.13|SLC25A13	716	768	744	647
ENSG00000004866.20|ST7	469.78	508.92	463.26	469.68
ENSG00000004897.12|CDC27	1910	2027	1895	1869.98
ENSG00000004961.15|HCCS	478	617	561	595
ENSG00000004975.12|DVL2	1448	1560	1561	1450
ENSG00000005007.12|UPF1	2517	2689	2786	2482
ENSG00000005020.13|SKAP2	282	289	304	288
ENSG00000005022.6|SLC25A5	3653.83	4013.94	3798.95	3892.88
ENSG00000005059.16|MCUB	228	298	264	331
ENSG00000005073.5|HOXA11	48.52	64	41.12	63.29
ENSG00000005075.15|POLR2J	1240.92	1171.02	1090.52	1040.73
ENSG00000005100.13|DHX33	1188	1198	1191	1139
ENSG00000005156.11|LIG3	797.83	774.57	797.97	649.54
ENSG00000005175.10|RPAP3	486	519	548	510
ENSG00000005189.19|REXO5	116	178	112.58	173
ENSG00000005194.15|CIAPIN1	1308	1419	1445.98	1417
ENSG00000005206.17|SPPL2B	1784	2054	1712	1790
ENSG00000005238.19|FAM214B	399	428	467	442
ENSG00000005249.13|PRKAR2B	132	167	136	117
ENSG00000005302.18|MSL3	884	1116	1159	1262
ENSG00000005339.14|CREBBP	1672	1708	1784	1493
ENSG00000005379.17|TSPOAP1	91	102	105	71
ENSG00000005436.13|GCFC2	614.86	700	586.97	620.96
ENSG00000005448.16|WDR54	481	549	521	503
ENSG00000005469.11|CROT	331	390	375	321
ENSG00000005483.20|KMT2E	2395.74	2458	2423.9	2224.88
ENSG00000005486.17|RHBDD2	1198	1256	1346	1214
ENSG00000005513.10|SOX8	583	612	627	540
ENSG00000005700.15|IBTK	1053	1029	1142	1150
ENSG00000005801.18|ZNF195	968	928.13	918	926
ENSG00000005810.18|MYCBP2	666	693	763.19	623.29
ENSG00000005812.11|FBXL3	441.01	483.09	444.58	518
ENSG00000005882.11|PDK2	449.74	513.85	388.38	417.95
ENSG00000005884.18|ITGA3	253	345	425	339
ENSG00000005889.15|ZFX	706	721	726	690
ENSG00000005893.15|LAMP2	1723	1872	1642	1762
ENSG00000005961.18|ITGA2B	28	21	22	29
ENSG00000006007.12|GDE1	718	722	688	622
ENSG00000006015.17|REX1BD	216	235	250	260
ENSG00000006016.11|CRLF1	95.63	98.85	83.66	98.72
ENSG00000006025.12|AC003665.1	308	328	377	351
ENSG00000006042.12|TMEM98	966	1209	1119.94	1128
ENSG00000006047.13|YBX2	34	42	34	25
ENSG00000006062.16|MAP3K14	287.02	315	300.09	283.04
ENSG00000006071.13|ABCC8	294	385	333	289
ENSG00000006118.14|TMEM132A	2692.5	3019.93	2473.75	2215.85
ENSG00000006125.18|AP2B1	6317	6761	6641	6151
ENSG00000006194.10|ZNF263	632.02	625.59	691.52	637.23
ENSG00000006210.7|CX3CL1	517	522	504	425
ENSG00000006282.21|SPATA20	1140	1197	1201	1105
ENSG00000006283.18|CACNA1G	41	50	13	19
ENSG00000006327.13|TNFRSF12A	231	274	311	264
ENSG00000006377.11|DLX6	15	11	7	12
ENSG00000006432.15|MAP3K9	126	144	171	175
ENSG00000006451.8|RALA	1364	1612	1628	1665
ENSG00000006459.11|KDM7A	86	77	102	61
ENSG00000006468.14|ETV1	7265	7635	7745	7036
ENSG00000006530.17|AGK	680.8	703.93	790.37	648.05
ENSG00000006534.16|ALDH3B1	237	247	233	197
ENSG00000006576.16|PHTF2	945	1282	1242	1328
ENSG00000006607.14|FARP2	1043.82	1026.21	1040.07	929.76
ENSG00000006625.18|GGCT	835	1050	947	1040.49
ENSG00000006634.8|DBF4	1191.26	1338	1310	1395.11
ENSG00000006638.11|TBXA2R	22	46	45	51
ENSG00000006652.14|IFRD1	1707	1888	1873	1882
ENSG00000006695.11|COX10	206.62	213.8	223.09	192.92
ENSG00000006704.10|GTF2IRD1	675	829	805	724
ENSG00000006712.15|PAF1	1872	2244	2304	2049
ENSG00000006715.16|VPS41	1701	1729	1791	1707
ENSG00000006744.19|ELAC2	1338	1436	1516	1358
ENSG00000006747.15|SCIN	35	29	34	23
ENSG00000006756.16|ARSD	79	74	54.6	55.99
ENSG00000006831.10|ADIPOR2	1335	1466	1428	1476
ENSG00000006837.12|CDKL3	27.49	37	39.91	28.98
ENSG00000007047.15|MARK4	787	811	861	814
ENSG00000007062.11|PROM1	363	338	431	354
ENSG00000007080.11|CCDC124	759	803	879	691
ENSG00000007168.13|PAFAH1B1	3951	4341	4387	4405
ENSG00000007171.17|NOS2	290	358	249	335
ENSG00000007174.18|DNAH9	62	76	91	81
ENSG00000007202.15|KIAA0100	4915.88	5073.16	4982.65	4527.02
ENSG00000007237.18|GAS7	8105	8630	9026	8076
ENSG00000007255.10|TRAPPC6A	88	74	75	76
ENSG00000007341.19|ST7L	361.61	401.8	338.22	329.56
ENSG00000007372.22|PAX6	851.09	1026.61	954.58	885.74
ENSG00000007376.8|RPUSD1	162	184	141	157
ENSG00000007384.15|RHBDF1	504	539	545	491
ENSG00000007392.16|LUC7L	1091	1314	1314	1144
ENSG00000007402.11|CACNA2D2	170	161	148	112
ENSG00000007516.13|BAIAP3	274.11	279.44	344.26	285.19
ENSG00000007520.4|TSR3	234.89	316.56	289.74	295.81
ENSG00000007541.16|PIGQ	347.73	419.5	347.36	340.18
ENSG00000007545.15|CRAMP1	1120.95	1182.48	1193.52	1153.03
ENSG00000007866.21|TEAD3	91	122	116	94
ENSG00000007923.16|DNAJC11	550.64	599.8	613.05	489
ENSG00000007944.15|MYLIP	154	133	88	98
ENSG00000007968.7|E2F2	1150	1579	1154	1386
ENSG00000008018.9|PSMB1	1347	1369	1471	1475
ENSG00000008056.14|SYN1	26.6	51.32	34.44	47
ENSG00000008083.14|JARID2	801	833	975	845
ENSG00000008086.11|CDKL5	426	451	447	487
ENSG00000008118.10|CAMK1G	132	181	137	151
ENSG00000008128.23|CDK11A	279.72	307.38	335.68	280.94
ENSG00000008130.15|NADK	821	880	840	939
ENSG00000008196.13|TFAP2B	17	10	24	22
ENSG00000008256.16|CYTH3	591	611	721	665
ENSG00000008277.14|ADAM22	1763	1792	1809	1759
ENSG00000008282.8|SYPL1	1529	1645	1518	1708
ENSG00000008283.16|CYB561	168	169	217	175
ENSG00000008294.21|SPAG9	4538	4853	4632	4423
ENSG00000008300.17|CELSR3	1104	1083	1153	958
ENSG00000008311.15|AASS	2407	2693	2505	2451
ENSG00000008324.11|SS18L2	140	156	140	141
ENSG00000008382.15|MPND	290	373	285	317
ENSG00000008405.12|CRY1	407	444	498	504
ENSG00000008441.16|NFIX	3711	4229	3529	3336
ENSG00000008513.16|ST3GAL1	585	628	729	726
ENSG00000008710.19|PKD1	1152.08	1160.52	977.83	883.55
ENSG00000008735.14|MAPK8IP2	371	416	383	375
ENSG00000008838.20|MED24	2460	2682	2659	2546
ENSG00000008853.16|RHOBTB2	988.89	1253.25	1147.96	1212.71
ENSG00000008869.12|HEATR5B	1212	1303	1533	1419
ENSG00000008952.17|SEC62	1866	2155	2099	2044
ENSG00000008988.9|RPS20	5196.03	5486	5194	4825.99
ENSG00000009307.16|CSDE1	9579	10307	9918	9388
ENSG00000009335.18|UBE3C	898	907	857	893
ENSG00000009413.15|REV3L	5540.81	5844.1	5623.67	5722.89
ENSG00000009724.16|MASP2	48	44	48	40
ENSG00000009780.15|FAM76A	158	174	156	169
ENSG00000009830.11|POMT2	1789	1948	1927	1796
ENSG00000009844.16|VTA1	889	905	892	896
ENSG00000009954.11|BAZ1B	6452	7515	7245	7293
ENSG00000010017.13|RANBP9	2009.5	2409.69	2418.39	2502.61
ENSG00000010072.16|SPRTN	289.72	354.81	405.05	349.26
ENSG00000010165.20|EEF1AKNMT	569	566	620	561
ENSG00000010219.13|DYRK4	284.26	325.65	328	279
ENSG00000010244.18|ZNF207	4313	4689	4512.05	4392
ENSG00000010256.11|UQCRC1	1696	2007	1944	1801
ENSG00000010270.13|STARD3NL	1043	1067	1270	1225
ENSG00000010278.14|CD9	2976	3440	3808	3805
ENSG00000010282.14|HHATL	13	16	13	9
ENSG00000010292.13|NCAPD2	3668.42	4447.51	3730.3	3697.08
ENSG00000010295.19|IFFO1	769	741	947	845
ENSG00000010310.9|GIPR	108	97	100	70
ENSG00000010318.21|PHF7	70	79	95	66
ENSG00000010322.16|NISCH	1822	1871	1906	1821
ENSG00000010361.13|FUZ	458.72	559.1	392.58	428.4
ENSG00000010404.18|IDS	956.11	1092.21	1181.31	1158.31
ENSG00000010539.11|ZNF200	350	344	391	369
ENSG00000010626.15|LRRC23	96.86	87.03	75.1	68
ENSG00000010803.16|SCMH1	701	788.99	680.99	700
ENSG00000010810.17|FYN	4527	4743	5002	4584
ENSG00000010818.10|HIVEP2	282	305.92	308	322
ENSG00000011007.12|ELOA	2157.22	2487.82	2435.47	2447.73
ENSG00000011009.11|LYPLA2	1124	1165	1265	1193
ENSG00000011021.23|CLCN6	882.22	1036.82	1083.68	894.19
ENSG00000011028.14|AC080038.1	1928.79	2036.74	2438.81	2263.66
ENSG00000011052.21|NME1-NME2	310.84	238.5	379.94	340.43
ENSG00000011105.14|TSPAN9	585	573	663	641
ENSG00000011114.15|BTBD7	736	842	819	798
ENSG00000011132.12|APBA3	272	330.56	379	385
ENSG00000011143.16|MKS1	575	554	613	538
ENSG00000011198.9|ABHD5	358	416	363	432
ENSG00000011243.18|AKAP8L	2008.69	2235.24	2342.1	1950.8
ENSG00000011258.16|MBTD1	797	812	825	862
ENSG00000011260.14|UTP18	830	942	891	997
ENSG00000011275.18|RNF216	1921.16	1966.91	1939.08	1842.7
ENSG00000011295.16|TTC19	955.69	1058.03	1044.87	1049.25
ENSG00000011304.20|PTBP1	7083	7972	7573	7152
ENSG00000011332.19|DPF1	316	393	405	424
ENSG00000011347.9|SYT7	10	21	8	6
ENSG00000011376.11|LARS2	667	765	768	714
ENSG00000011405.13|PIK3C2A	1584	1800	1804	1611
ENSG00000011422.12|PLAUR	112	166	101	124
ENSG00000011426.11|ANLN	3799	4428	3827	4173
ENSG00000011451.19|WIZ	2195	2421	2259	1906
ENSG00000011454.17|RABGAP1	2520	2613	2668	2433
ENSG00000011478.12|QPCTL	120	150	154	117
ENSG00000011485.14|PPP5C	1655	1866	1800	1702
ENSG00000011523.14|CEP68	973.1	1079.07	1047.06	1061.79
ENSG00000011566.15|MAP4K3	799	794	775	793
ENSG00000011638.10|TMEM159	57	60	45	58
ENSG00000012048.22|BRCA1	1372	1930	1612	2003
ENSG00000012061.15|ERCC1	1615.21	1747.58	1708.8	1434.54
ENSG00000012171.19|SEMA3B	200	193	161	146
ENSG00000012174.12|MBTPS2	775.6	759.11	802.99	719.64
ENSG00000012232.8|EXTL3	4569	4824	4305	3926
ENSG00000012660.14|ELOVL5	922	1045	1217	1136
ENSG00000012822.16|CALCOCO1	1261	1349	1362	1260
ENSG00000012963.15|UBR7	1510.99	1775.41	1582	1666.03
ENSG00000012983.11|MAP4K5	897	906	945	997
ENSG00000013016.16|EHD3	132	122	146	138
ENSG00000013275.7|PSMC4	1781	1815	1807	1878
ENSG00000013288.8|MAN2B2	576	633	692	611
ENSG00000013306.16|SLC25A39	1345	1479	1481	1372
ENSG00000013364.19|MVP	73.14	98	73.65	91
ENSG00000013374.16|NUB1	464	537.96	574.98	522
ENSG00000013375.16|PGM3	1052.3	1171.95	1044.56	1181.49
ENSG00000013392.8|RWDD2A	239	216	215	225
ENSG00000013441.16|CLK1	1575	1815	1948	1915
ENSG00000013503.10|POLR3B	258	266	292	269
ENSG00000013523.9|ANGEL1	2317.9	2341.11	2597.95	2565.41
ENSG00000013561.18|RNF14	477	521.97	578	581
ENSG00000013563.14|DNASE1L1	131.66	151.11	138.91	140.08
ENSG00000013573.17|DDX11	1319	1620.69	1450.5	1446.49
ENSG00000013583.10|HEBP1	148.75	150	128	154
ENSG00000013588.8|GPRC5A	11	7	15	19
ENSG00000013619.14|MAMLD1	604	625	636	567
ENSG00000013810.19|TACC3	3983.57	4670	4223	4073.31
ENSG00000014123.10|UFL1	864	1032	931	932
ENSG00000014138.9|POLA2	700.79	970.34	747.3	939.06
ENSG00000014164.7|ZC3H3	349	349	377	260
ENSG00000014216.15|CAPN1	1229	1217.71	1302	1194
ENSG00000014641.18|MDH1	2621	2907.11	2572.59	2724.72
ENSG00000014824.14|SLC30A9	995	1020	929	997
ENSG00000014914.21|MTMR11	152	141	180	166
ENSG00000014919.12|COX15	600.87	563.84	628.61	645.33
ENSG00000015133.19|CCDC88C	381	367	351	351
ENSG00000015153.14|YAF2	143	152	154	135
ENSG00000015171.19|ZMYND11	1143	1200	1387	1257
ENSG00000015285.10|WAS	36	38	43	47
ENSG00000015475.18|BID	506	573	472	484
ENSG00000015479.18|MATR3	7463.46	8078.38	7632.99	7600.97
ENSG00000015532.9|XYLT2	508	573	569	528
ENSG00000015568.13|RGPD5	128.54	47.58	242	93.54
ENSG00000015592.16|STMN4	11	17	5	4
ENSG00000015676.18|NUDCD3	2377	2589	2712	2568
ENSG00000016391.11|CHDH	94	88	91	105
ENSG00000016864.18|GLT8D1	522	555	556	524
ENSG00000017260.19|ATP2C1	1280.33	1505.38	1552.04	1563.05
ENSG00000017797.13|RALBP1	876	939	1062	975
ENSG00000018189.13|RUFY3	2563	2652	2900	2830
ENSG00000018236.15|CNTN1	55	73	48	62
ENSG00000018280.17|SLC11A1	12	13	13	10
ENSG00000018408.14|WWTR1	353.4	451.16	578.14	637.23
ENSG00000018510.15|AGPS	1120	1288.5	1197	1305
ENSG00000018610.14|CXorf56	516	582.76	577	588
ENSG00000018699.13|TTC27	245	255	260	260
ENSG00000018869.16|ZNF582	122.8	112.11	121.84	123.29
ENSG00000019144.19|PHLDB1	1139	1132	1219	1079
ENSG00000019485.13|PRDM11	348	403	434	333
ENSG00000019549.12|SNAI2	98	92	174	144
ENSG00000019995.6|ZRANB1	475.47	598.39	561.27	566.51
ENSG00000020129.16|NCDN	656	615	692	523
ENSG00000020181.17|ADGRA2	107.5	108.91	105.93	103.13
ENSG00000020256.20|ZFP64	508	531	565	474
ENSG00000020426.11|MNAT1	316	405	407	371
ENSG00000020577.13|SAMD4A	779	813	874	820
ENSG00000020633.18|RUNX3	23	20	23	17
ENSG00000020922.12|MRE11	447	589	479	592
ENSG00000021300.14|PLEKHB1	1683	1778	1770	1572
ENSG00000021574.12|SPAST	389	469	449	472
ENSG00000021762.20|OSBPL5	321	395	369	352
ENSG00000021776.11|AQR	2114	2317	2432	2236
ENSG00000021826.15|CPS1	1410	1435	1417	1250
ENSG00000022267.17|FHL1	730	915	795	865
ENSG00000022277.12|RTF2	1977	2214	2231.77	2067
ENSG00000022567.9|SLC45A4	264	221	295	231
ENSG00000022840.16|RNF10	1371	1640	1641	1639
ENSG00000022976.15|ZNF839	268.13	309.65	314.67	260.35
ENSG00000023041.11|ZDHHC6	460	638	595	671
ENSG00000023171.18|GRAMD1B	33	33	28	32
ENSG00000023191.17|RNH1	1221	1382	1341	1097
ENSG00000023228.14|NDUFS1	3093.75	3438.28	3400.44	3517.11
ENSG00000023287.13|RB1CC1	916	997	1038	1061
ENSG00000023318.8|ERP44	902	969	1052	1007
ENSG00000023330.15|ALAS1	752	864	863	833
ENSG00000023516.9|AKAP11	918	965	1028	1098
