Ola_602_R1B1	LMP.Olap_602_R1B1	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000000003.14|TSPAN6	480	484	502	460
ENSG00000000419.12|DPM1	785	832	729	823
ENSG00000000457.14|SCYL3	137.11	143.5	134.06	134.52
ENSG00000000460.17|C1orf112	393.89	486.5	325.94	469.48
ENSG00000001036.13|FUCA2	874.89	900.04	775.82	987.64
ENSG00000001084.12|GCLC	376	373	396	442
ENSG00000001167.14|NFYA	1269	1297	1182	1125
ENSG00000001460.18|STPG1	44.11	62	27	48.09
ENSG00000001461.17|NIPAL3	1082.89	1181	953	1019.91
ENSG00000001497.16|LAS1L	2200	2315	1888	2209
ENSG00000001561.7|ENPP4	142	144	117	147
ENSG00000001617.12|SEMA3F	12	20	6	8
ENSG00000001629.10|ANKIB1	1807	1679	1604	1601.88
ENSG00000001630.17|CYP51A1	2100	1995.28	1990.98	2213
ENSG00000001631.15|KRIT1	1281.4	1152.06	1251.13	1303.47
ENSG00000002016.17|RAD52	332.53	339.42	344	325.47
ENSG00000002330.13|BAD	386.26	365.4	290.63	342.75
ENSG00000002549.12|LAP3	1535	1627	1356	1494
ENSG00000002586.20|CD99	1012	894.5	1168.5	941
ENSG00000002586.20|PAR|Y|CD99	1012	894.5	1168.5	941
ENSG00000002587.10|HS3ST1	441	458	349	332
ENSG00000002822.15|MAD1L1	473.74	407.49	364.97	353.76
ENSG00000002834.18|LASP1	5761.8	6037.97	5379.09	6005.9
ENSG00000002919.14|SNX11	368	382	325	368
ENSG00000003056.8|M6PR	1340.85	1340.73	1149.21	1270.17
ENSG00000003096.14|KLHL13	1709	1570	1407	1463
ENSG00000003137.8|CYP26B1	43	58	42	56
ENSG00000003147.19|ICA1	761	754	663	720
ENSG00000003249.13|DBNDD1	542	708	476	535
ENSG00000003393.15|ALS2	1643	1601	1440	1583
ENSG00000003402.20|CFLAR	1540.18	1419.69	1420.85	1686.17
ENSG00000003436.16|TFPI	1265	1064	965.06	978
ENSG00000003509.16|NDUFAF7	425.66	409.63	364.92	425.66
ENSG00000003756.16|RBM5	3077.93	3003.7	2716.15	3154.89
ENSG00000003987.14|MTMR7	39.49	24.69	19.99	29.98
ENSG00000003989.17|SLC7A2	181	169	168	163
ENSG00000004059.11|ARF5	1067.88	1109.69	1048.49	1026
ENSG00000004139.14|SARM1	1517.27	1495.16	1371.81	1402.44
ENSG00000004142.12|POLDIP2	2650.59	2677.89	2405.94	2563.45
ENSG00000004399.12|PLXND1	779	848	683	683
ENSG00000004455.16|AK2	2274	2169	1861.6	2061
ENSG00000004478.8|FKBP4	2216	2417.97	2066	2474
ENSG00000004487.16|KDM1A	3869	3676	3080	3440
ENSG00000004534.15|RBM6	2220	1966	1945.92	1958
ENSG00000004660.14|CAMKK1	79	95	71	57
