Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000000003.14|TSPAN6	420	444	487	485
ENSG00000000419.12|DPM1	776	725	883	793
ENSG00000000457.14|SCYL3	131.9	109.21	145.48	123.55
ENSG00000000460.17|C1orf112	262.1	365.79	376.52	384.45
ENSG00000001036.13|FUCA2	785.91	782.02	943.65	988.34
ENSG00000001084.12|GCLC	400	377	412	456
ENSG00000001167.14|NFYA	1119	1141	1236	1229
ENSG00000001460.18|STPG1	41	38	28.02	46.04
ENSG00000001461.17|NIPAL3	885	1181	973.98	1217.96
ENSG00000001497.16|LAS1L	2010	2067	1970	2223
ENSG00000001561.7|ENPP4	129	99	159	133
ENSG00000001629.10|ANKIB1	1480	1544.83	1686.99	1654
ENSG00000001630.17|CYP51A1	1835.99	1866	2390	2191
ENSG00000001631.15|KRIT1	1170.19	1086.91	1233.75	1447.85
ENSG00000002016.17|RAD52	307.15	313.8	354.03	382
ENSG00000002330.13|BAD	276.42	283.09	277.29	334.63
ENSG00000002549.12|LAP3	1434	1525	1399	1618
ENSG00000002586.20|CD99	933.5	847	1093	1036.5
ENSG00000002586.20|PAR|Y|CD99	933.5	847	1093	1036.5
ENSG00000002587.10|HS3ST1	444	402	315	368
ENSG00000002822.15|MAD1L1	451.52	364.04	372.54	383.63
ENSG00000002834.18|LASP1	5229.83	5368.01	5385.76	6396.15
ENSG00000002919.14|SNX11	291	342	324	412
ENSG00000003056.8|M6PR	1200.85	1215.66	1268.47	1339.58
ENSG00000003096.14|KLHL13	1307	1386	1504	1377
ENSG00000003137.8|CYP26B1	53	29	55	57
ENSG00000003147.19|ICA1	655	668	692	715
ENSG00000003249.13|DBNDD1	493	549	435	599
ENSG00000003393.15|ALS2	1331	1385	1574	1703
ENSG00000003402.20|CFLAR	1196.04	1443.87	1489.44	1640.97
ENSG00000003436.16|TFPI	1157	1080	1165	1035
ENSG00000003509.16|NDUFAF7	331.31	341.21	390.7	446.95
ENSG00000003756.16|RBM5	2726.59	2742.03	3009.01	3140.69
ENSG00000003987.14|MTMR7	23.59	26.64	26.41	24.5
ENSG00000003989.17|SLC7A2	125	172	171	159
ENSG00000004059.11|ARF5	984.71	985	962.16	1150
ENSG00000004139.14|SARM1	1278.21	1388.5	1303.23	1579.8
ENSG00000004142.12|POLDIP2	2404.61	2298.46	2385.54	2617.76
ENSG00000004399.12|PLXND1	709	723	567	785
ENSG00000004455.16|AK2	1922	2046	2032	2104.36
ENSG00000004478.8|FKBP4	1951	1995.93	2046.99	2561.84
ENSG00000004487.16|KDM1A	3486	3354	3201	3546
ENSG00000004534.15|RBM6	1957	1822	2163	2136
ENSG00000004660.14|CAMKK1	79	99	75	83
ENSG00000004700.16|RECQL	848.09	999.25	1115.73	1143.38
ENSG00000004766.17|VPS50	548	593	744	683
ENSG00000004777.18|ARHGAP33	967.16	1033.73	751.47	1077.27
ENSG00000004779.10|NDUFAB1	429	384	523	410
ENSG00000004838.14|ZMYND10	41	25	39	39
ENSG00000004864.13|SLC25A13	716	716	758	744
ENSG00000004866.20|ST7	479.47	469.78	476.86	463.26
ENSG00000004897.12|CDC27	1518	1910	1837	1895
ENSG00000004961.15|HCCS	482	478	542	561
ENSG00000004975.12|DVL2	1344	1448	1242	1561
ENSG00000005007.12|UPF1	2249	2517	2117	2786
ENSG00000005020.13|SKAP2	284	282	316	304
ENSG00000005022.6|SLC25A5	3771.93	3653.83	3528.89	3798.95
ENSG00000005059.16|MCUB	200	228	278	264
ENSG00000005073.5|HOXA11	63	48.52	37.26	41.12
ENSG00000005075.15|POLR2J	1223.06	1240.92	1021.8	1090.52
ENSG00000005100.13|DHX33	1138	1188	1203	1191
ENSG00000005156.11|LIG3	707.2	797.83	744.61	797.97
ENSG00000005175.10|RPAP3	406	486	513	548
ENSG00000005189.19|REXO5	109	116	73	112.58
ENSG00000005194.15|CIAPIN1	1338	1308	1338	1445.98
ENSG00000005206.17|SPPL2B	1527	1784	1514	1712
ENSG00000005238.19|FAM214B	393	399	417	467
ENSG00000005249.13|PRKAR2B	110	132	115	136
ENSG00000005302.18|MSL3	906	884	1118	1159
ENSG00000005339.14|CREBBP	1477	1672	1448	1784
ENSG00000005379.17|TSPOAP1	79	91	73	105
ENSG00000005436.13|GCFC2	564	614.86	566.94	586.97
ENSG00000005448.16|WDR54	415	481	424	521
ENSG00000005469.11|CROT	334	331	310	375
ENSG00000005483.20|KMT2E	2190	2395.74	2428.93	2423.9
ENSG00000005486.17|RHBDD2	1173	1198	1087	1346
ENSG00000005513.10|SOX8	522	583	593	627
ENSG00000005700.15|IBTK	895	1053	1171	1142
ENSG00000005801.18|ZNF195	847	968	901	918
ENSG00000005810.18|MYCBP2	657.93	666	727.51	763.19
ENSG00000005812.11|FBXL3	396.8	441.01	484.39	444.58
ENSG00000005882.11|PDK2	400.72	449.74	288.07	388.38
ENSG00000005884.18|ITGA3	290	253	376	425
ENSG00000005889.15|ZFX	704	706	783	726
ENSG00000005893.15|LAMP2	1626	1723	1925	1642
ENSG00000005961.18|ITGA2B	23	28	9	22
ENSG00000006007.12|GDE1	651.77	718	611	688
ENSG00000006015.17|REX1BD	215	216	231	250
ENSG00000006016.11|CRLF1	92.47	95.63	109.71	83.66
ENSG00000006025.12|AC003665.1	292	308	294	377
ENSG00000006042.12|TMEM98	953	966	1001	1119.94
ENSG00000006047.13|YBX2	41	34	31	34
ENSG00000006062.16|MAP3K14	250.65	287.02	285.9	300.09
ENSG00000006071.13|ABCC8	289	294	227	333
ENSG00000006118.14|TMEM132A	2326.96	2692.5	1960	2473.75
ENSG00000006125.18|AP2B1	6350	6317	6764	6641
ENSG00000006194.10|ZNF263	625.66	632.02	635.51	691.52
ENSG00000006210.7|CX3CL1	418	517	391	504
ENSG00000006282.21|SPATA20	932	1140	853	1201
ENSG00000006283.18|CACNA1G	30	41	18	13
ENSG00000006327.13|TNFRSF12A	330	231	325	311
ENSG00000006432.15|MAP3K9	106	126	92	171
