Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000000003.14|TSPAN6	420	480	487	502
ENSG00000000419.12|DPM1	776	785	883	729
ENSG00000000457.14|SCYL3	131.9	137.11	145.48	134.06
ENSG00000000460.17|C1orf112	262.1	393.89	376.52	325.94
ENSG00000001036.13|FUCA2	785.91	874.89	943.65	775.82
ENSG00000001084.12|GCLC	400	376	412	396
ENSG00000001167.14|NFYA	1119	1269	1236	1182
ENSG00000001460.18|STPG1	41	44.11	28.02	27
ENSG00000001461.17|NIPAL3	885	1082.89	973.98	953
ENSG00000001497.16|LAS1L	2010	2200	1970	1888
ENSG00000001561.7|ENPP4	129	142	159	117
ENSG00000001629.10|ANKIB1	1480	1807	1686.99	1604
ENSG00000001630.17|CYP51A1	1835.99	2100	2390	1990.98
ENSG00000001631.15|KRIT1	1170.19	1281.4	1233.75	1251.13
ENSG00000002016.17|RAD52	307.15	332.53	354.03	344
ENSG00000002330.13|BAD	276.42	386.26	277.29	290.63
ENSG00000002549.12|LAP3	1434	1535	1399	1356
ENSG00000002586.20|CD99	933.5	1012	1093	1168.5
ENSG00000002586.20|PAR|Y|CD99	933.5	1012	1093	1168.5
ENSG00000002587.10|HS3ST1	444	441	315	349
ENSG00000002822.15|MAD1L1	451.52	473.74	372.54	364.97
ENSG00000002834.18|LASP1	5229.83	5761.8	5385.76	5379.09
ENSG00000002919.14|SNX11	291	368	324	325
ENSG00000003056.8|M6PR	1200.85	1340.85	1268.47	1149.21
ENSG00000003096.14|KLHL13	1307	1709	1504	1407
ENSG00000003137.8|CYP26B1	53	43	55	42
ENSG00000003147.19|ICA1	655	761	692	663
ENSG00000003249.13|DBNDD1	493	542	435	476
ENSG00000003393.15|ALS2	1331	1643	1574	1440
ENSG00000003402.20|CFLAR	1196.04	1540.18	1489.44	1420.85
ENSG00000003436.16|TFPI	1157	1265	1165	965.06
ENSG00000003509.16|NDUFAF7	331.31	425.66	390.7	364.92
ENSG00000003756.16|RBM5	2726.59	3077.93	3009.01	2716.15
ENSG00000003987.14|MTMR7	23.59	39.49	26.41	19.99
ENSG00000003989.17|SLC7A2	125	181	171	168
ENSG00000004059.11|ARF5	984.71	1067.88	962.16	1048.49
ENSG00000004139.14|SARM1	1278.21	1517.27	1303.23	1371.81
ENSG00000004142.12|POLDIP2	2404.61	2650.59	2385.54	2405.94
ENSG00000004399.12|PLXND1	709	779	567	683
ENSG00000004455.16|AK2	1922	2274	2032	1861.6
ENSG00000004478.8|FKBP4	1951	2216	2046.99	2066
ENSG00000004487.16|KDM1A	3486	3869	3201	3080
ENSG00000004534.15|RBM6	1957	2220	2163	1945.92
ENSG00000004660.14|CAMKK1	79	79	75	71
ENSG00000004700.16|RECQL	848.09	1078.12	1115.73	1037.54
ENSG00000004766.17|VPS50	548	602	744	622
ENSG00000004776.13|HSPB6	10	13	1.72	1
ENSG00000004777.18|ARHGAP33	967.16	1134.16	751.47	895.68
ENSG00000004779.10|NDUFAB1	429	486	523	477
ENSG00000004799.8|PDK4	10	12	8	4
ENSG00000004838.14|ZMYND10	41	38	39	39
ENSG00000004864.13|SLC25A13	716	836	758	685
ENSG00000004866.20|ST7	479.47	557.38	476.86	447.65
ENSG00000004897.12|CDC27	1518	1951	1837	1685
ENSG00000004961.15|HCCS	482	546	542	521
ENSG00000004975.12|DVL2	1344	1406	1242	1342
ENSG00000005007.12|UPF1	2249	2688	2117	2335
ENSG00000005020.13|SKAP2	284	313	316	294
ENSG00000005022.6|SLC25A5	3771.93	4031.92	3528.89	3385.81
ENSG00000005059.16|MCUB	200	231	278	204
ENSG00000005073.5|HOXA11	63	62.83	37.26	36
ENSG00000005075.15|POLR2J	1223.06	1251.51	1021.8	1092.04
ENSG00000005100.13|DHX33	1138	1346	1203	1049
ENSG00000005156.11|LIG3	707.2	755.71	744.61	700.43
ENSG00000005175.10|RPAP3	406	475	513	430
ENSG00000005189.19|REXO5	109	134	73	117
ENSG00000005194.15|CIAPIN1	1338	1416	1338	1295.99
ENSG00000005206.17|SPPL2B	1527	1977	1514	1803
ENSG00000005238.19|FAM214B	393	462	417	420
ENSG00000005249.13|PRKAR2B	110	135	115	114
ENSG00000005302.18|MSL3	906	1071	1118	1091
ENSG00000005339.14|CREBBP	1477	1900	1448	1482
ENSG00000005379.17|TSPOAP1	79	77	73	64
ENSG00000005436.13|GCFC2	564	680	566.94	593.66
ENSG00000005448.16|WDR54	415	467	424	401
ENSG00000005469.11|CROT	334	409	310	302
ENSG00000005483.20|KMT2E	2190	2654.9	2428.93	2231.98
ENSG00000005486.17|RHBDD2	1173	1309	1087	1215
ENSG00000005513.10|SOX8	522	610	593	596
ENSG00000005700.15|IBTK	895	1168	1171	1112
ENSG00000005801.18|ZNF195	847	1082	901	742
ENSG00000005810.18|MYCBP2	657.93	911.55	727.51	665.05
ENSG00000005812.11|FBXL3	396.8	489.54	484.39	431.02
ENSG00000005882.11|PDK2	400.72	416.96	288.07	361.2
ENSG00000005884.18|ITGA3	290	378	376	409
ENSG00000005889.15|ZFX	704	834	783	709
ENSG00000005893.15|LAMP2	1626	2025	1925	1715
ENSG00000005961.18|ITGA2B	23	22	9	17
ENSG00000006007.12|GDE1	651.77	673.42	611	611.07
ENSG00000006015.17|REX1BD	215	294	231	228
ENSG00000006016.11|CRLF1	92.47	95.7	109.71	70.23
ENSG00000006025.12|AC003665.1	292	341	294	348
ENSG00000006042.12|TMEM98	953	1070	1001	901
ENSG00000006047.13|YBX2	41	44	31	41
ENSG00000006062.16|MAP3K14	250.65	261.41	285.9	315.51
ENSG00000006071.13|ABCC8	289	292	227	206
ENSG00000006118.14|TMEM132A	2326.96	2504.76	1960	2042.92
ENSG00000006125.18|AP2B1	6350	7370	6764	6488
ENSG00000006194.10|ZNF263	625.66	683.29	635.51	640.2
ENSG00000006210.7|CX3CL1	418	488	391	420
ENSG00000006282.21|SPATA20	932	1093	853	887
ENSG00000006283.18|CACNA1G	30	46	18	17
ENSG00000006327.13|TNFRSF12A	330	317	325	351
ENSG00000006432.15|MAP3K9	106	152	92	114
ENSG00000006451.8|RALA	1390	1614	1626.99	1367
ENSG00000006459.11|KDM7A	93	94	101	98
ENSG00000006468.14|ETV1	6989	7899	7588	6793
ENSG00000006530.17|AGK	666.01	766.25	722.65	669
ENSG00000006534.16|ALDH3B1	232	247	202	173
ENSG00000006576.16|PHTF2	928	1155	981	1015
ENSG00000006607.14|FARP2	948.37	1131.92	987.07	1019.35
ENSG00000006625.18|GGCT	794	946	895	765
ENSG00000006634.8|DBF4	1083.46	1330.89	1206.73	1172.11
ENSG00000006638.11|TBXA2R	25	42	26	40
ENSG00000006652.14|IFRD1	1550	1925	1888	1770
ENSG00000006695.11|COX10	215.86	235.59	223.23	201.22
ENSG00000006704.10|GTF2IRD1	649	740	617	631
