Ctrl_602_R1B1	LMP_602_R1B1	Ola_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000000003.14|TSPAN6	420	444	480	484	487	485	502	460
ENSG00000000419.12|DPM1	776	725	785	832	883	793	729	823
ENSG00000000457.14|SCYL3	131.9	109.21	137.11	143.5	145.48	123.55	134.06	134.52
ENSG00000000460.17|C1orf112	262.1	365.79	393.89	486.5	376.52	384.45	325.94	469.48
ENSG00000001036.13|FUCA2	785.91	782.02	874.89	900.04	943.65	988.34	775.82	987.64
ENSG00000001084.12|GCLC	400	377	376	373	412	456	396	442
ENSG00000001167.14|NFYA	1119	1141	1269	1297	1236	1229	1182	1125
ENSG00000001460.18|STPG1	41	38	44.11	62	28.02	46.04	27	48.09
ENSG00000001461.17|NIPAL3	885	1181	1082.89	1181	973.98	1217.96	953	1019.91
ENSG00000001497.16|LAS1L	2010	2067	2200	2315	1970	2223	1888	2209
ENSG00000001561.7|ENPP4	129	99	142	144	159	133	117	147
ENSG00000001617.12|SEMA3F	9	7	12	20	6	14	6	8
ENSG00000001629.10|ANKIB1	1480	1544.83	1807	1679	1686.99	1654	1604	1601.88
ENSG00000001630.17|CYP51A1	1835.99	1866	2100	1995.28	2390	2191	1990.98	2213
ENSG00000001631.15|KRIT1	1170.19	1086.91	1281.4	1152.06	1233.75	1447.85	1251.13	1303.47
ENSG00000002016.17|RAD52	307.15	313.8	332.53	339.42	354.03	382	344	325.47
ENSG00000002330.13|BAD	276.42	283.09	386.26	365.4	277.29	334.63	290.63	342.75
ENSG00000002549.12|LAP3	1434	1525	1535	1627	1399	1618	1356	1494
ENSG00000002586.20|CD99	933.5	847	1012	894.5	1093	1036.5	1168.5	941
ENSG00000002586.20|PAR|Y|CD99	933.5	847	1012	894.5	1093	1036.5	1168.5	941
ENSG00000002587.10|HS3ST1	444	402	441	458	315	368	349	332
ENSG00000002822.15|MAD1L1	451.52	364.04	473.74	407.49	372.54	383.63	364.97	353.76
ENSG00000002834.18|LASP1	5229.83	5368.01	5761.8	6037.97	5385.76	6396.15	5379.09	6005.9
ENSG00000002919.14|SNX11	291	342	368	382	324	412	325	368
ENSG00000003056.8|M6PR	1200.85	1215.66	1340.85	1340.73	1268.47	1339.58	1149.21	1270.17
ENSG00000003096.14|KLHL13	1307	1386	1709	1570	1504	1377	1407	1463
ENSG00000003137.8|CYP26B1	53	29	43	58	55	57	42	56
ENSG00000003147.19|ICA1	655	668	761	754	692	715	663	720
ENSG00000003249.13|DBNDD1	493	549	542	708	435	599	476	535
ENSG00000003393.15|ALS2	1331	1385	1643	1601	1574	1703	1440	1583
ENSG00000003402.20|CFLAR	1196.04	1443.87	1540.18	1419.69	1489.44	1640.97	1420.85	1686.17
ENSG00000003436.16|TFPI	1157	1080	1265	1064	1165	1035	965.06	978
ENSG00000003509.16|NDUFAF7	331.31	341.21	425.66	409.63	390.7	446.95	364.92	425.66
ENSG00000003756.16|RBM5	2726.59	2742.03	3077.93	3003.7	3009.01	3140.69	2716.15	3154.89
ENSG00000003987.14|MTMR7	23.59	26.64	39.49	24.69	26.41	24.5	19.99	29.98
ENSG00000003989.17|SLC7A2	125	172	181	169	171	159	168	163
ENSG00000004059.11|ARF5	984.71	985	1067.88	1109.69	962.16	1150	1048.49	1026
ENSG00000004139.14|SARM1	1278.21	1388.5	1517.27	1495.16	1303.23	1579.8	1371.81	1402.44
ENSG00000004142.12|POLDIP2	2404.61	2298.46	2650.59	2677.89	2385.54	2617.76	2405.94	2563.45
ENSG00000004399.12|PLXND1	709	723	779	848	567	785	683	683
ENSG00000004455.16|AK2	1922	2046	2274	2169	2032	2104.36	1861.6	2061
ENSG00000004468.13|CD38	6	9	6	11	9	5	4	4
ENSG00000004478.8|FKBP4	1951	1995.93	2216	2417.97	2046.99	2561.84	2066	2474
ENSG00000004487.16|KDM1A	3486	3354	3869	3676	3201	3546	3080	3440
ENSG00000004534.15|RBM6	1957	1822	2220	1966	2163	2136	1945.92	1958
ENSG00000004660.14|CAMKK1	79	99	79	95	75	83	71	57
ENSG00000004700.16|RECQL	848.09	999.25	1078.12	1306.68	1115.73	1143.38	1037.54	1201.52
ENSG00000004766.17|VPS50	548	593	602	611	744	683	622	655
ENSG00000004776.13|HSPB6	10	6.37	13	3.09	1.72	3	1	1.68
ENSG00000004777.18|ARHGAP33	967.16	1033.73	1134.16	1323.51	751.47	1077.27	895.68	1113.24
ENSG00000004779.10|NDUFAB1	429	384	486	458	523	410	477	447
ENSG00000004799.8|PDK4	10	9	12	10	8	9	4	16
ENSG00000004838.14|ZMYND10	41	25	38	47	39	39	39	41
ENSG00000004864.13|SLC25A13	716	716	836	768	758	744	685	647
ENSG00000004866.20|ST7	479.47	469.78	557.38	508.92	476.86	463.26	447.65	469.68
ENSG00000004897.12|CDC27	1518	1910	1951	2027	1837	1895	1685	1869.98
ENSG00000004961.15|HCCS	482	478	546	617	542	561	521	595
ENSG00000004975.12|DVL2	1344	1448	1406	1560	1242	1561	1342	1450
ENSG00000005007.12|UPF1	2249	2517	2688	2689	2117	2786	2335	2482
ENSG00000005020.13|SKAP2	284	282	313	289	316	304	294	288
ENSG00000005022.6|SLC25A5	3771.93	3653.83	4031.92	4013.94	3528.89	3798.95	3385.81	3892.88
ENSG00000005059.16|MCUB	200	228	231	298	278	264	204	331
ENSG00000005073.5|HOXA11	63	48.52	62.83	64	37.26	41.12	36	63.29
ENSG00000005075.15|POLR2J	1223.06	1240.92	1251.51	1171.02	1021.8	1090.52	1092.04	1040.73
ENSG00000005100.13|DHX33	1138	1188	1346	1198	1203	1191	1049	1139
ENSG00000005108.16|THSD7A	10	7	8	4	9	4	5	4
ENSG00000005156.11|LIG3	707.2	797.83	755.71	774.57	744.61	797.97	700.43	649.54
ENSG00000005175.10|RPAP3	406	486	475	519	513	548	430	510
ENSG00000005189.19|REXO5	109	116	134	178	73	112.58	117	173
ENSG00000005194.15|CIAPIN1	1338	1308	1416	1419	1338	1445.98	1295.99	1417
ENSG00000005206.17|SPPL2B	1527	1784	1977	2054	1514	1712	1803	1790
ENSG00000005238.19|FAM214B	393	399	462	428	417	467	420	442
ENSG00000005249.13|PRKAR2B	110	132	135	167	115	136	114	117
ENSG00000005302.18|MSL3	906	884	1071	1116	1118	1159	1091	1262
ENSG00000005339.14|CREBBP	1477	1672	1900	1708	1448	1784	1482	1493
ENSG00000005379.17|TSPOAP1	79	91	77	102	73	105	64	71
ENSG00000005436.13|GCFC2	564	614.86	680	700	566.94	586.97	593.66	620.96
ENSG00000005448.16|WDR54	415	481	467	549	424	521	401	503
ENSG00000005469.11|CROT	334	331	409	390	310	375	302	321
ENSG00000005483.20|KMT2E	2190	2395.74	2654.9	2458	2428.93	2423.9	2231.98	2224.88
ENSG00000005486.17|RHBDD2	1173	1198	1309	1256	1087	1346	1215	1214
ENSG00000005513.10|SOX8	522	583	610	612	593	627	596	540
ENSG00000005700.15|IBTK	895	1053	1168	1029	1171	1142	1112	1150
ENSG00000005801.18|ZNF195	847	968	1082	928.13	901	918	742	926
ENSG00000005810.18|MYCBP2	657.93	666	911.55	693	727.51	763.19	665.05	623.29
ENSG00000005812.11|FBXL3	396.8	441.01	489.54	483.09	484.39	444.58	431.02	518
ENSG00000005882.11|PDK2	400.72	449.74	416.96	513.85	288.07	388.38	361.2	417.95
ENSG00000005884.18|ITGA3	290	253	378	345	376	425	409	339
ENSG00000005889.15|ZFX	704	706	834	721	783	726	709	690
ENSG00000005893.15|LAMP2	1626	1723	2025	1872	1925	1642	1715	1762
ENSG00000005961.18|ITGA2B	23	28	22	21	9	22	17	29
ENSG00000006007.12|GDE1	651.77	718	673.42	722	611	688	611.07	622
ENSG00000006015.17|REX1BD	215	216	294	235	231	250	228	260
ENSG00000006016.11|CRLF1	92.47	95.63	95.7	98.85	109.71	83.66	70.23	98.72
ENSG00000006025.12|AC003665.1	292	308	341	328	294	377	348	351
ENSG00000006042.12|TMEM98	953	966	1070	1209	1001	1119.94	901	1128
ENSG00000006047.13|YBX2	41	34	44	42	31	34	41	25
ENSG00000006062.16|MAP3K14	250.65	287.02	261.41	315	285.9	300.09	315.51	283.04
ENSG00000006071.13|ABCC8	289	294	292	385	227	333	206	289
ENSG00000006118.14|TMEM132A	2326.96	2692.5	2504.76	3019.93	1960	2473.75	2042.92	2215.85
ENSG00000006125.18|AP2B1	6350	6317	7370	6761	6764	6641	6488	6151
ENSG00000006194.10|ZNF263	625.66	632.02	683.29	625.59	635.51	691.52	640.2	637.23
ENSG00000006210.7|CX3CL1	418	517	488	522	391	504	420	425
ENSG00000006282.21|SPATA20	932	1140	1093	1197	853	1201	887	1105
ENSG00000006283.18|CACNA1G	30	41	46	50	18	13	17	19
ENSG00000006327.13|TNFRSF12A	330	231	317	274	325	311	351	264
ENSG00000006377.11|DLX6	5	15	5	11	8	7	8	12
ENSG00000006432.15|MAP3K9	106	126	152	144	92	171	114	175
ENSG00000006451.8|RALA	1390	1364	1614	1612	1626.99	1628	1367	1665
ENSG00000006459.11|KDM7A	93	86	94	77	101	102	98	61
ENSG00000006468.14|ETV1	6989	7265	7899	7635	7588	7745	6793	7036
ENSG00000006530.17|AGK	666.01	680.8	766.25	703.93	722.65	790.37	669	648.05
ENSG00000006534.16|ALDH3B1	232	237	247	247	202	233	173	197
ENSG00000006576.16|PHTF2	928	945	1155	1282	981	1242	1015	1328
ENSG00000006607.14|FARP2	948.37	1043.82	1131.92	1026.21	987.07	1040.07	1019.35	929.76
ENSG00000006625.18|GGCT	794	835	946	1050	895	947	765	1040.49
ENSG00000006634.8|DBF4	1083.46	1191.26	1330.89	1338	1206.73	1310	1172.11	1395.11
ENSG00000006638.11|TBXA2R	25	22	42	46	26	45	40	51
ENSG00000006652.14|IFRD1	1550	1707	1925	1888	1888	1873	1770	1882
ENSG00000006695.11|COX10	215.86	206.62	235.59	213.8	223.23	223.09	201.22	192.92
ENSG00000006704.10|GTF2IRD1	649	675	740	829	617	805	631	724
ENSG00000006712.15|PAF1	1922	1872	2105	2244	1843	2304	1810	2049
ENSG00000006715.16|VPS41	1708	1701	1966	1729	1900	1791	1818	1707
ENSG00000006744.19|ELAC2	1417	1338	1513	1436	1343	1516	1284	1358
ENSG00000006747.15|SCIN	15.36	35	34	29	25	34	23	23
ENSG00000006756.16|ARSD	68	79	52.56	74	51	54.6	50	55.99
ENSG00000006831.10|ADIPOR2	1258	1335	1458	1466	1439	1428	1331	1476
ENSG00000006837.12|CDKL3	23.42	27.49	30.26	37	25.45	39.91	19.65	28.98
ENSG00000007047.15|MARK4	739	787	824	811	684	861	645	814
ENSG00000007062.11|PROM1	326	363	467	338	446	431	391	354
ENSG00000007080.11|CCDC124	755	759	788	803	685	879	713	691
ENSG00000007168.13|PAFAH1B1	3963	3951	4598	4341	4473.05	4387	4079	4405
ENSG00000007171.17|NOS2	302	290	327	358	229	249	241	335
ENSG00000007174.18|DNAH9	97	62	86	76	101	91	97	81
ENSG00000007202.15|KIAA0100	4574.04	4915.88	5281.59	5073.16	4083.96	4982.65	4240.91	4527.02
ENSG00000007237.18|GAS7	8116	8105	9659	8630	8096	9026	8226	8076
ENSG00000007255.10|TRAPPC6A	90	88	84	74	88	75	79	76
ENSG00000007314.12|SCN4A	12	3	12	12	1	2	1	5
ENSG00000007341.19|ST7L	384.31	361.61	373.29	401.8	341.17	338.22	318.67	329.56
ENSG00000007372.22|PAX6	770.38	851.09	908.08	1026.61	857.71	954.58	771.3	885.74
ENSG00000007376.8|RPUSD1	149	162	139	184	138	141	198	157
ENSG00000007384.15|RHBDF1	541	504	550	539	529	545	543	491
ENSG00000007392.16|LUC7L	1043	1091	1247	1314	1220	1314	1075	1144
ENSG00000007402.11|CACNA2D2	153	170	199	161	115	148	119	112
ENSG00000007516.13|BAIAP3	267.16	274.11	354.42	279.44	294.15	344.26	358.13	285.19
ENSG00000007520.4|TSR3	223.84	234.89	334.58	316.56	282.85	289.74	262.87	295.81
ENSG00000007541.16|PIGQ	304.7	347.73	354.88	419.5	323.59	347.36	383	340.18
ENSG00000007545.15|CRAMP1	1040.03	1120.95	1281.62	1182.48	1059.04	1193.52	1051.99	1153.03
ENSG00000007866.21|TEAD3	98	91	113	122	97	116	89	94
ENSG00000007923.16|DNAJC11	541.95	550.64	633	599.8	518.92	613.05	469.84	489
ENSG00000007944.15|MYLIP	131	154	148	133	86	88	94	98
ENSG00000007968.7|E2F2	981	1150	1028	1579	790	1154	787	1386
ENSG00000008018.9|PSMB1	1350	1347	1431	1369	1452	1471	1350	1475
ENSG00000008056.14|SYN1	39	26.6	44.52	51.32	36	34.44	36	47
ENSG00000008083.14|JARID2	808	801	1080	833	953	975	956	845
ENSG00000008086.11|CDKL5	373	426	537	451	484	447	466	487
ENSG00000008118.10|CAMK1G	129	132	156	181	136	137	117	151
ENSG00000008128.23|CDK11A	280.71	279.72	292.22	307.38	258.12	335.68	255.88	280.94
ENSG00000008130.15|NADK	687	821	981	880	745	840	956	939
ENSG00000008196.13|TFAP2B	8	17	11	10	7	24	20	22
ENSG00000008226.19|DLEC1	13.94	2	2.39	3.08	10	9.1	8.13	10.78
ENSG00000008256.16|CYTH3	585	591	705	611	706	721	727	665
ENSG00000008277.14|ADAM22	1871	1763	2398	1792	2229	1809	2070	1759
ENSG00000008282.8|SYPL1	1220	1529	1527	1645	1628	1518	1337	1708
ENSG00000008283.16|CYB561	166	168	158	169	125	217	168	175
ENSG00000008294.21|SPAG9	4072	4538	5192	4853	4771	4632	4156	4423
ENSG00000008300.17|CELSR3	966	1104	1109	1083	854	1153	923	958
ENSG00000008311.15|AASS	2099	2407	2392.99	2693	2384	2505	2084	2451
ENSG00000008324.11|SS18L2	117	140	102	156	136	140	98	141
ENSG00000008382.15|MPND	318	290	294.9	373	285.19	285	259	317
ENSG00000008405.12|CRY1	422	407	473	444	460	498	435	504
ENSG00000008441.16|NFIX	3136	3711	3730	4229	2892	3529	3016	3336
